sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778670459.457372,0,1.669263,0.009385,0.004069,-0.0150,0.0348,0.000828,1.648994,-0.000000,-0.000000,-0.0020,1.669145,0.009678,0.004078,-0.0052,0.0001,0.000006,-0.114534,0.0000,1.669145,0.000000,-0.000000,1.6373,0.000000,2.000000,241.9264,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0520,0.0000,0.000000,0.2000,17.60,9.28,44.49,5.21,-0.000000,-0.0000,-1.6393,nan,nan,nan,nan,nan,nan,0.0,0.0,2342.777835542829,4380.1909348381505,-0.072109,-0.066670,6561.0,6059.6,-0.020222,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778670459.463309,1,1.683493,-0.067848,-0.002700,-0.0152,0.0113,0.001564,1.648913,-0.000001,-0.000000,-0.0094,1.683434,-0.067591,-0.002691,-0.0025,0.0002,0.000009,-0.022362,0.0000,1.683434,0.000000,-0.000000,1.6190,0.000000,2.000000,250.3182,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0565,0.0000,0.000000,0.2240,15.27,8.34,38.87,3.01,-0.000001,-0.0000,-1.6283,nan,nan,nan,nan,nan,nan,0.0,0.0,2295.4698488566855,4317.520424315952,-0.063522,-0.057139,6557.8,6062.8,-0.018006,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778670459.473540,2,1.650236,0.054321,0.002728,-0.0374,-0.0562,0.000776,1.648775,-0.000002,-0.000001,-0.0125,1.650200,0.054438,0.002734,-0.0017,0.0002,0.000008,-0.014324,0.0000,1.650200,0.000000,0.000000,1.6606,0.000000,2.000000,234.5864,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0615,0.0000,0.000000,0.2480,13.02,7.47,33.51,2.52,-0.000002,-0.0001,-1.6730,nan,nan,nan,nan,nan,nan,0.0,0.0,1792.762360202461,3864.1380197143394,-0.030026,-0.023873,6553.0,6067.6,-0.014672,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778670459.485532,3,1.648154,0.017234,0.005082,0.0253,-0.1057,-0.000233,1.648627,-0.000004,-0.000003,-0.0122,1.648283,0.017162,0.005084,0.0040,-0.0002,-0.000009,0.000268,0.0000,1.648283,0.000000,0.000000,1.6629,0.000000,2.000000,241.5580,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0671,0.0000,0.000000,0.2720,11.12,6.76,28.99,2.73,-0.000004,-0.0002,-1.6751,nan,nan,nan,nan,nan,nan,0.0,0.0,861.6407768682224,3052.443405360913,0.016832,0.021498,6546.9,6073.6,-0.010440,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778670459.497736,4,1.737020,0.004004,-0.000294,-0.0799,0.0484,-0.000090,1.648492,-0.000007,-0.000005,-0.0106,1.737118,0.004021,-0.000291,0.0038,0.0001,0.000004,0.021045,0.0000,1.737118,0.000000,-0.000000,1.5438,0.000000,2.000000,220.7549,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0731,0.0000,0.000000,0.2960,9.53,6.92,25.97,7.82,-0.000007,-0.0003,-1.5544,nan,nan,nan,nan,nan,nan,0.0,0.0,1378.8130140778894,3512.4870715433826,-0.005117,-0.001467,6539.7,6080.9,-0.005400,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778670459.509845,5,1.641413,0.004321,-0.002736,-0.0281,-0.0038,0.001267,1.648463,-0.000004,-0.000003,0.0003,1.641493,0.004330,-0.002733,0.0039,0.0000,0.000004,0.055284,0.0000,1.641493,0.000000,0.000000,1.6710,0.000000,2.000000,282.5290,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0796,0.0000,0.000000,0.3200,8.19,6.28,22.67,2.70,-0.000004,-0.0002,-1.6707,nan,nan,nan,nan,nan,nan,0.0,0.0,1442.9211376816334,3509.231013454691,-0.003436,0.001127,6529.8,6090.8,0.001534,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778670459.521731,6,1.601860,-0.067908,0.000411,0.0132,0.0065,0.001780,1.648468,0.000001,-0.000000,0.0003,1.601973,-0.067888,0.000415,0.0062,0.0001,0.000014,0.072188,0.0000,1.601973,0.000000,0.000000,1.7160,0.000000,2.000000,272.3440,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0865,0.0000,0.000000,0.3440,7.04,5.76,19.84,2.82,0.000001,-0.0000,-1.7157,nan,nan,nan,nan,nan,nan,0.0,0.0,1581.1588033516548,3563.359924777585,-0.006371,-0.000416,6524.0,6096.6,0.005556,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778670459.533959,7,1.593267,-0.000720,-0.005210,-0.0830,-0.0498,0.000052,1.648453,0.000007,0.000003,-0.0009,1.593351,-0.000777,-0.005208,0.0054,-0.0009,-0.000023,0.087302,0.0000,1.593351,0.000000,0.000000,1.7254,0.000000,2.000000,272.8165,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0939,0.0000,0.000000,0.3680,6.09,5.33,17.50,2.84,0.000007,0.0002,-1.7263,nan,nan,nan,nan,nan,nan,0.0,0.0,1151.875125920359,3218.0202210459124,0.014091,0.018958,6518.9,6101.6,0.009080,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778670459.545877,8,1.754022,0.005937,-0.002186,0.0530,0.0555,-0.000783,1.648434,0.000013,0.000007,-0.0008,1.754248,0.005968,-0.002183,0.0150,0.0006,0.000032,0.105301,0.0000,1.754248,-0.000000,-0.000000,1.5173,0.000000,2.000000,202.1184,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1016,0.0000,0.000000,0.3920,5.24,5.00,15.48,3.12,0.000013,0.0004,-1.5181,nan,nan,nan,nan,nan,nan,0.0,0.0,1794.4082446472523,3726.4949549779735,-0.009621,-0.006696,6513.3,6107.3,0.013011,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778670459.557703,9,1.654402,0.014311,-0.001616,0.0946,-0.0483,-0.001105,1.648415,0.000020,0.000011,-0.0007,1.654823,0.014270,-0.001617,0.0308,-0.0011,-0.000031,0.123249,0.0000,1.654823,0.000000,0.000000,1.6550,0.000000,1.521038,11657.9558,0,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1095,0.0000,0.000000,0.4103,4.53,5.56,14.61,8.74,0.000020,0.0006,-1.6557,0.008000,0.064894,-0.3193,-0.470728,-0.006037,0.001363,0.0,0.0,1314.0169759045693,3364.9794732731643,0.011616,0.012564,6507.9,6112.7,0.016801,0.000000,0.000000,0.5000,1.0000,,,,,
