step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
15,0.410,0.019,0.76,1.118,0.00,3,18,10.00,5.63,+0.000,0.991,0.000,-0.000,0.992,0.000,1,10.245,49.67,0.000
16,0.530,0.026,0.90,1.298,0.00,3,18,10.00,5.63,+0.000,0.994,0.000,-0.000,0.999,0.000,1,9.930,49.35,0.000
17,0.667,0.031,1.05,1.461,0.00,3,18,10.00,5.63,+0.000,0.996,0.000,-0.001,0.999,0.000,1,10.034,49.05,0.000
18,0.819,0.036,1.17,1.607,0.00,3,18,10.00,5.63,+0.000,0.997,0.000,-0.002,0.999,0.000,1,9.448,50.15,0.000
19,0.985,0.041,1.28,1.745,0.00,3,18,10.00,5.63,+0.000,0.998,0.000,-0.003,0.999,0.000,1,9.182,50.09,0.000
20,1.165,0.046,1.35,1.893,0.00,3,18,10.00,5.63,+0.000,0.999,0.000,+0.003,0.996,0.000,1,8.429,49.63,0.000
21,1.360,0.052,1.41,2.031,0.00,3,18,10.00,5.63,+0.000,0.999,0.000,+0.008,0.997,0.000,1,8.389,49.65,0.000
22,1.568,0.059,1.49,2.172,0.00,3,18,10.00,5.63,+0.000,0.999,0.000,-0.020,0.995,0.000,1,7.907,48.76,0.000
23,1.790,0.067,1.57,2.310,0.00,3,18,10.00,5.62,+0.000,1.000,0.000,-0.016,0.985,0.000,1,7.407,47.85,0.000
24,2.025,0.075,1.64,2.444,0.00,3,18,10.00,5.62,+0.000,1.000,0.000,-0.010,0.983,0.000,1,7.034,48.52,0.000
25,2.274,0.084,1.71,2.575,0.00,3,18,10.00,5.62,+0.000,0.994,0.000,-0.026,0.967,0.000,1,6.818,47.59,0.000
26,2.535,0.092,1.82,2.716,0.00,3,18,10.00,5.62,+0.000,0.980,0.000,-0.029,0.908,0.000,1,6.183,47.94,0.011
27,2.811,0.100,1.94,2.848,0.00,3,18,10.00,5.62,+0.000,0.958,0.000,-0.003,0.936,0.000,1,6.164,47.85,0.008
28,3.101,0.109,2.03,3.019,0.00,3,18,10.00,5.61,+0.000,0.928,0.000,-0.073,0.927,0.000,1,5.764,47.81,0.017
29,3.404,0.119,2.09,3.165,0.00,3,18,10.00,5.61,+0.000,0.895,0.000,-0.013,0.874,0.000,1,5.314,49.93,0.015
30,3.718,0.129,2.07,3.163,-5.10,3,18,10.00,5.60,-0.182,0.858,0.000,-0.197,0.857,0.000,1,5.521,49.13,0.001
