s,x,y,psi
0.0000,0.0000,0.0000,0.000000
0.2500,0.2500,0.0000,-0.000000
0.5000,0.5000,0.0000,0.000000
0.7500,0.7500,0.0000,-0.000000
1.0000,1.0000,0.0000,0.000000
1.2500,1.2500,0.0000,-0.000000
1.5000,1.5000,0.0000,0.000000
1.7500,1.7500,0.0000,-0.000000
2.0000,2.0000,0.0000,0.000000
2.2500,2.2500,0.0000,-0.000000
2.5000,2.5000,0.0000,0.000000
2.7500,2.7500,0.0000,-0.000001
3.0000,3.0000,0.0000,0.000005
3.2500,3.2500,0.0000,-0.000018
3.5000,3.5000,0.0000,0.000069
3.7500,3.7500,0.0000,-0.000256
4.0000,4.0000,0.0000,0.000956
4.2500,4.2500,0.0000,-0.003565
4.5000,4.5000,0.0000,0.013348
4.7500,4.7500,0.0000,-0.049154
5.0000,5.0000,0.0000,0.190276
5.2710,5.2500,0.1047,0.449496
5.5420,5.5000,0.2091,0.380274
5.8127,5.7500,0.3129,0.396003
6.0830,6.0000,0.4158,0.387679
6.3529,6.2500,0.5176,0.384766
6.6223,6.5000,0.6180,0.379001
6.8911,6.7500,0.7167,0.372926
7.1592,7.0000,0.8135,0.365604
7.4265,7.2500,0.9080,0.357109
7.6929,7.5000,1.0000,0.347998
7.9583,7.7500,1.0893,0.337967
8.2228,8.0000,1.1756,0.326516
8.4862,8.2500,1.2586,0.314771
8.7486,8.5000,1.3383,0.301869
9.0099,8.7500,1.4142,0.287831
9.2701,9.0000,1.4863,0.273392
9.5292,9.2500,1.5543,0.257635
9.7872,9.5000,1.6180,0.241231
10.0441,9.7500,1.6773,0.224568
10.3000,10.0000,1.7321,0.206513
10.5550,10.2500,1.7820,0.187736
10.8090,10.5000,1.8271,0.168986
11.0622,10.7500,1.8672,0.148863
11.3146,11.0000,1.9021,0.128775
11.5664,11.2500,1.9319,0.108044
11.8176,11.5000,1.9563,0.086821
12.0683,11.7500,1.9754,0.065285
12.3187,12.0000,1.9890,0.043819
12.5688,12.2500,1.9973,0.022034
12.8188,12.5000,2.0000,-0.000000
13.0688,12.7500,1.9973,-0.022034
13.3190,13.0000,1.9890,-0.043819
13.5693,13.2500,1.9754,-0.065285
13.8201,13.5000,1.9563,-0.086821
14.0713,13.7500,1.9319,-0.108044
14.3230,14.0000,1.9021,-0.128775
14.5755,14.2500,1.8672,-0.148863
14.8286,14.5000,1.8271,-0.168986
15.0827,14.7500,1.7820,-0.187736
15.3376,15.0000,1.7321,-0.206513
15.5935,15.2500,1.6773,-0.224568
15.8505,15.5000,1.6180,-0.241231
16.1085,15.7500,1.5543,-0.257635
16.3676,16.0000,1.4863,-0.273392
16.6277,16.2500,1.4142,-0.287831
16.8890,16.5000,1.3383,-0.301869
17.1514,16.7500,1.2586,-0.314771
17.4148,17.0000,1.1756,-0.326516
17.6793,17.2500,1.0893,-0.337967
17.9448,17.5000,1.0000,-0.347998
18.2112,17.7500,0.9080,-0.357108
18.4784,18.0000,0.8135,-0.365610
18.7465,18.2500,0.7167,-0.372906
19.0153,18.5000,0.6180,-0.379075
19.2847,18.7500,0.5176,-0.384488
19.5546,19.0000,0.4158,-0.388715
19.8250,19.2500,0.3129,-0.392140
20.0957,19.5000,0.2091,-0.394744
20.3666,19.7500,0.1047,-0.396264
20.6376,20.0000,0.0000,-0.396779
20.9087,20.2500,-0.1047,-0.396264
21.1796,20.5000,-0.2091,-0.394744
21.4503,20.7500,-0.3129,-0.392140
21.7206,21.0000,-0.4158,-0.388715
21.9906,21.2500,-0.5176,-0.384488
22.2600,21.5000,-0.6180,-0.379075
22.5288,21.7500,-0.7167,-0.372906
22.7968,22.0000,-0.8135,-0.365610
23.0641,22.2500,-0.9080,-0.357108
23.3305,22.5000,-1.0000,-0.347998
23.5960,22.7500,-1.0893,-0.337967
23.8604,23.0000,-1.1756,-0.326516
24.1239,23.2500,-1.2586,-0.314771
24.3863,23.5000,-1.3383,-0.301869
24.6475,23.7500,-1.4142,-0.287831
24.9077,24.0000,-1.4863,-0.273392
25.1668,24.2500,-1.5543,-0.257635
25.4248,24.5000,-1.6180,-0.241231
25.6817,24.7500,-1.6773,-0.224568
25.9377,25.0000,-1.7321,-0.206513
26.1926,25.2500,-1.7820,-0.187736
26.4466,25.5000,-1.8271,-0.168986
26.6998,25.7500,-1.8672,-0.148863
26.9522,26.0000,-1.9021,-0.128775
27.2040,26.2500,-1.9319,-0.108044
27.4552,26.5000,-1.9563,-0.086821
27.7059,26.7500,-1.9754,-0.065285
27.9563,27.0000,-1.9890,-0.043819
28.2064,27.2500,-1.9973,-0.022034
28.4565,27.5000,-2.0000,-0.000000
28.7065,27.7500,-1.9973,0.022034
28.9566,28.0000,-1.9890,0.043819
29.2070,28.2500,-1.9754,0.065285
29.4577,28.5000,-1.9563,0.086821
29.7089,28.7500,-1.9319,0.108044
29.9607,29.0000,-1.9021,0.128775
30.2131,29.2500,-1.8672,0.148863
30.4663,29.5000,-1.8271,0.168986
30.7203,29.7500,-1.7820,0.187736
30.9752,30.0000,-1.7321,0.206513
31.2312,30.2500,-1.6773,0.224568
31.4881,30.5000,-1.6180,0.241231
31.7461,30.7500,-1.5543,0.257635
32.0052,31.0000,-1.4863,0.273392
32.2654,31.2500,-1.4142,0.287831
32.5266,31.5000,-1.3383,0.301869
32.7890,31.7500,-1.2586,0.314771
33.0525,32.0000,-1.1756,0.326516
33.3169,32.2500,-1.0893,0.337967
33.5824,32.5000,-1.0000,0.347998
33.8488,32.7500,-0.9080,0.357108
34.1161,33.0000,-0.8135,0.365610
34.3842,33.2500,-0.7167,0.372906
34.6529,33.5000,-0.6180,0.379075
34.9223,33.7500,-0.5176,0.384488
35.1923,34.0000,-0.4158,0.388715
35.4626,34.2500,-0.3129,0.392140
35.7333,34.5000,-0.2091,0.394744
36.0042,34.7500,-0.1047,0.396264
36.2753,35.0000,-0.0000,0.396779
36.5463,35.2500,0.1047,0.396264
36.8172,35.5000,0.2091,0.394744
37.0879,35.7500,0.3129,0.392140
37.3583,36.0000,0.4158,0.388715
37.6282,36.2500,0.5176,0.384488
37.8976,36.5000,0.6180,0.379075
38.1664,36.7500,0.7167,0.372906
38.4345,37.0000,0.8135,0.365610
38.7017,37.2500,0.9080,0.357108
38.9681,37.5000,1.0000,0.347998
39.2336,37.7500,1.0893,0.337967
39.4981,38.0000,1.1756,0.326516
39.7615,38.2500,1.2586,0.314771
40.0239,38.5000,1.3383,0.301869
40.2852,38.7500,1.4142,0.287831
40.5454,39.0000,1.4863,0.273392
40.8044,39.2500,1.5543,0.257635
41.0624,39.5000,1.6180,0.241231
41.3194,39.7500,1.6773,0.224568
41.5753,40.0000,1.7321,0.206513
41.8302,40.2500,1.7820,0.187736
42.0843,40.5000,1.8271,0.168986
42.3375,40.7500,1.8672,0.148863
42.5899,41.0000,1.9021,0.128775
42.8417,41.2500,1.9319,0.108044
43.0928,41.5000,1.9563,0.086821
43.3436,41.7500,1.9754,0.065285
43.5939,42.0000,1.9890,0.043819
43.8441,42.2500,1.9973,0.022034
44.0941,42.5000,2.0000,-0.000000
44.3441,42.7500,1.9973,-0.022034
44.5942,43.0000,1.9890,-0.043819
44.8446,43.2500,1.9754,-0.065285
45.0953,43.5000,1.9563,-0.086821
45.3465,43.7500,1.9319,-0.108044
45.5983,44.0000,1.9021,-0.128775
45.8507,44.2500,1.8672,-0.148863
46.1039,44.5000,1.8271,-0.168986
46.3580,44.7500,1.7820,-0.187736
46.6129,45.0000,1.7321,-0.206513
46.8688,45.2500,1.6773,-0.224568
47.1258,45.5000,1.6180,-0.241231
47.3837,45.7500,1.5543,-0.257635
47.6428,46.0000,1.4863,-0.273392
47.9030,46.2500,1.4142,-0.287831
48.1643,46.5000,1.3383,-0.301869
48.4267,46.7500,1.2586,-0.314771
48.6901,47.0000,1.1756,-0.326516
48.9546,47.2500,1.0893,-0.337967
49.2200,47.5000,1.0000,-0.347998
49.4864,47.7500,0.9080,-0.357108
49.7537,48.0000,0.8135,-0.365610
50.0218,48.2500,0.7167,-0.372906
50.2906,48.5000,0.6180,-0.379075
50.5600,48.7500,0.5176,-0.384488
50.8299,49.0000,0.4158,-0.388715
51.1003,49.2500,0.3129,-0.392140
51.3709,49.5000,0.2091,-0.394744
51.6419,49.7500,0.1047,-0.396264
51.9129,50.0000,0.0000,-0.396779
52.1839,50.2500,-0.1047,-0.396264
52.4549,50.5000,-0.2091,-0.394744
52.7256,50.7500,-0.3129,-0.392140
52.9959,51.0000,-0.4158,-0.388715
53.2658,51.2500,-0.5176,-0.384488
53.5353,51.5000,-0.6180,-0.379075
