time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
5.9850,13.2549,1.8184,3.715,2,16.406,0.764,0.828,3.3228,2.328,3.328,0,1
5.9880,13.2661,1.8174,3.714,2,16.406,0.764,0.828,3.3119,2.328,3.328,0,1
5.9910,13.2772,1.8164,3.713,2,16.406,0.764,0.828,3.3010,2.328,3.328,0,1
5.9940,13.2884,1.8153,3.712,2,16.406,0.764,0.828,3.2901,2.328,3.328,0,1
5.9970,13.2995,1.8143,3.710,2,16.406,0.764,0.828,3.2793,2.328,3.328,0,1
6.0000,13.3106,1.8132,3.708,2,16.406,0.764,0.828,3.2684,2.328,3.328,0,1
6.0030,13.3217,1.8121,3.707,2,16.406,0.764,0.828,3.2575,2.328,3.328,0,1
6.0060,13.3328,1.8111,3.708,2,16.406,0.764,0.828,3.2466,2.328,3.328,0,1
6.0090,13.3440,1.8100,3.705,2,16.406,0.764,0.828,3.2358,2.328,3.328,0,1
6.0120,13.3551,1.8089,3.702,2,16.406,0.764,0.828,3.2249,2.328,3.328,0,1
6.0150,13.3662,1.8078,3.704,2,16.406,0.764,0.828,3.2140,2.328,3.328,0,1
6.0180,13.3773,1.8067,3.702,2,16.406,0.764,0.828,3.2032,2.328,3.328,0,1
6.0210,13.3884,1.8055,3.701,2,16.406,0.764,0.828,3.1923,2.328,3.328,0,1
6.0240,13.3995,1.8044,3.703,2,16.406,0.764,0.828,3.1814,2.328,3.328,0,1
6.0270,13.4106,1.8032,3.703,2,16.406,0.764,0.828,3.1706,2.328,3.328,0,1
6.0300,13.4217,1.8020,3.697,2,16.406,0.764,0.828,3.1597,2.328,3.328,0,1
6.0330,13.4328,1.8009,3.699,2,16.406,0.764,0.828,3.1489,2.328,3.328,0,1
6.0360,13.4438,1.7997,3.698,2,16.406,0.764,0.828,3.1380,2.328,3.328,0,1
6.0390,13.4549,1.7985,3.698,2,16.406,0.764,0.828,3.1272,2.328,3.328,0,1
6.0420,13.4660,1.7973,3.696,2,16.406,0.764,0.828,3.1163,2.328,3.328,0,1
