time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,14.039899
0.102000,0.055424,0.000002,1.677833,-0.000091,-0.000760,0.000074,0.000358,0.000000,0.101098,0.000000,0,0,14.040468
0.204000,0.055295,0.000010,1.522611,0.000523,-0.000029,0.000428,0.000374,0.000000,0.175130,0.000000,0,0,14.040596
0.306000,0.055218,0.000030,1.263977,0.000578,0.000234,0.001707,0.000423,0.000000,0.264169,0.000000,0,0,14.040672
0.408000,0.055174,0.000079,0.902700,0.000422,0.000160,0.005456,0.000453,0.000000,0.352965,0.000000,0,0,14.040714
0.510000,0.057977,-0.000270,0.536017,0.032187,0.072396,-0.005110,0.011549,0.000000,0.417889,0.000000,0,0,14.037930
0.612000,0.059951,0.000610,0.544987,-0.045807,-0.081812,0.020625,0.002516,0.000000,0.480095,0.000000,0,0,14.035917
0.714000,0.052941,0.002916,0.650070,-0.026697,-0.049094,0.023147,0.000120,0.000000,0.532827,0.000000,0,0,14.042813
0.816000,0.051012,0.005504,0.660264,0.030851,0.039021,0.031973,-0.010872,0.000000,0.590838,0.000000,0,0,14.044619
0.918000,0.065573,0.003175,0.624699,0.222342,0.225964,-0.042996,0.016039,0.000000,0.636105,0.000000,0,0,14.030182
1.020000,0.092204,0.001696,0.620699,0.320334,0.316990,0.013423,0.000748,0.000000,0.677443,0.000000,0,0,14.003649
1.122000,0.136776,0.004789,0.636494,0.573034,0.564053,0.041610,0.013407,0.000000,0.706161,0.000000,0,0,13.958981
1.224000,0.208322,0.010002,0.658086,0.859531,0.849434,0.050463,0.008722,0.000000,0.724536,0.000000,0,0,13.887270
1.326000,0.309943,0.016655,0.684104,1.148477,1.140796,0.066052,0.010762,0.000000,0.719514,0.000000,0,0,13.785450
1.428000,0.441558,0.025107,0.709833,1.438693,1.435182,0.069887,0.010019,0.000000,0.682307,0.000000,0,0,13.653584
1.530000,0.601296,0.033343,0.728902,1.685251,1.688369,0.057073,0.011177,0.000000,0.624594,0.000000,0,0,13.493637
1.632000,0.785999,0.040178,0.736263,1.927847,1.931845,0.043942,0.019070,0.000000,0.537696,0.000000,0,0,13.308815
1.734000,0.996211,0.046428,0.735318,2.178827,2.183826,0.039322,0.021980,0.000000,0.454144,0.000000,0,0,13.098539
1.836000,1.232098,0.053235,0.734081,2.425878,2.428372,0.038740,0.013186,0.000000,0.387134,0.018695,0,0,12.862592
1.938000,1.490492,0.060471,0.736653,2.620977,2.625301,0.035535,0.020716,0.000000,0.343694,0.044807,0,0,12.604143
2.040000,1.766822,0.068940,0.737771,2.771274,2.779434,0.042278,0.017707,0.000000,0.306911,0.080889,0,0,12.327721
2.142000,2.053817,0.077602,0.735044,2.830535,2.832865,0.025281,0.015407,0.000000,0.281547,0.114635,0,0,12.040640
2.244000,2.341808,0.084133,0.731700,2.802703,2.803342,0.003060,0.002909,0.000000,0.258616,0.148631,0,0,11.752668
2.346000,2.623624,0.089071,0.730840,2.712099,2.719971,-0.012604,0.009629,0.000000,0.241720,0.171621,0,0,11.470945
2.448000,2.895305,0.092481,0.730274,2.608151,2.609863,-0.022030,0.002057,0.000000,0.225471,0.186816,0,0,11.199426
2.550000,3.156402,0.096423,0.718644,2.540165,2.506982,0.001508,-0.015521,0.000000,0.212819,0.190137,0,0,10.938458
2.652000,3.405588,0.102419,0.682583,2.402924,2.363293,-0.004153,0.028061,0.000000,0.200080,0.183172,0,0,10.689288
2.754000,3.636933,0.106813,0.676267,2.139043,2.179775,0.004023,0.005024,0.159091,0.189785,0.168182,0,0,10.458022
2.856000,3.850087,0.114612,0.698743,1.999143,2.021693,0.057886,0.064118,0.363636,0.179121,0.141638,0,0,10.244749
2.958000,4.049087,0.128687,0.717572,1.902693,1.901858,0.115004,0.106094,0.545455,0.170316,0.110973,0,0,10.045288
3.060000,4.237837,0.152220,0.722046,1.832135,1.823603,0.206810,0.131901,0.750000,0.164041,0.072051,0,0,9.855586
3.162000,4.419157,0.186603,0.717535,1.759126,1.757021,0.285396,0.190304,0.858727,0.198833,0.048611,0,0,9.672794
3.264000,4.592054,0.232329,0.714390,1.688862,1.694041,0.356781,0.213211,0.804647,0.267732,0.031222,0,0,9.497955
3.366000,4.760143,0.284658,0.713282,1.684762,1.680869,0.358036,0.218114,0.757161,0.345926,0.021065,0,0,9.327768
3.468000,4.928520,0.339214,0.713047,1.732136,1.725293,0.322561,0.213000,0.643524,0.442736,0.013530,0,0,9.157387
3.570000,5.104894,0.394172,0.716225,1.860089,1.854495,0.291357,0.190634,0.562029,0.529422,0.009128,0,0,8.979203
3.672000,5.296804,0.453164,0.719883,2.040748,2.035443,0.297147,0.184725,0.675665,0.618102,0.005863,0,0,8.785590
3.774000,5.506154,0.522225,0.722710,2.246101,2.243904,0.325288,0.219072,0.669877,0.683388,0.003956,0,0,8.574571
3.876000,5.735339,0.603561,0.726202,2.481918,2.481997,0.361196,0.239375,0.502406,0.738210,0.002541,0,0,8.343908
3.978000,5.986339,0.696376,0.729943,2.704069,2.707761,0.344016,0.224128,0.341465,0.767757,0.001714,0,0,8.091918
4.080000,6.257962,0.797289,0.735468,2.921516,2.926770,0.295997,0.190035,0.189554,0.773902,0.001101,0,0,7.820127
4.182000,6.549468,0.903123,0.740093,3.119109,3.122129,0.234406,0.144465,0.007736,0.758198,0.000743,0,0,7.529545
4.284000,6.859656,1.010661,0.742512,3.297444,3.297587,0.144028,0.084229,-0.196810,0.721982,0.000477,0,0,7.221557
4.386000,7.187743,1.115681,0.742369,3.439936,3.442416,0.046358,0.023789,-0.223196,0.678049,0.000322,0,0,6.896986
4.488000,7.531104,1.216618,0.741454,3.563434,3.565700,-0.029202,-0.040900,-0.376233,0.621155,0.000207,0,0,6.558448
4.590000,7.887738,1.310697,0.740103,3.657058,3.661033,-0.109595,-0.099465,-0.299642,0.568424,0.000139,0,0,6.207800
4.692000,8.255527,1.397903,0.740149,3.745242,3.747278,-0.144453,-0.120219,-0.224438,0.502487,0.000090,0,0,5.847095
4.794000,8.632364,1.481172,0.740123,3.811001,3.811936,-0.154233,-0.113814,-0.307837,0.452879,0.000060,0,0,5.478651
4.896000,9.017665,1.559587,0.736849,3.899430,3.888473,-0.174839,-0.120535,-0.310436,0.416078,0.000039,0,0,5.103045
4.998000,9.411855,1.633409,0.728027,3.964582,3.957431,-0.192609,-0.133657,-0.353981,0.393175,0.005836,0,0,4.719966
5.100000,9.812702,1.700397,0.721946,3.987135,3.988676,-0.217411,-0.172026,-0.382055,0.370201,0.016728,0,0,4.331447
5.202000,10.216969,1.757997,0.721536,3.981330,3.994703,-0.252306,-0.195151,-0.369675,0.351484,0.025869,0,0,3.940323
5.304000,10.622271,1.805521,0.726411,3.974874,3.980517,-0.273196,-0.200597,-0.437363,0.331980,0.033993,0,0,3.548730
5.406000,11.026219,1.840602,0.733547,3.951181,3.947963,-0.313520,-0.207138,-0.490707,0.315806,0.038512,0,0,3.158413
5.508000,11.428150,1.863492,0.737432,3.922475,3.923902,-0.329665,-0.227627,-0.488573,0.298734,0.039767,0,0,2.769787
5.610000,11.828111,1.875566,0.735801,3.885588,3.891715,-0.331856,-0.240182,-0.543568,0.284446,0.037344,0,0,2.382857
5.712000,12.223743,1.876469,0.732906,3.830627,3.833060,-0.364069,-0.261292,-0.572795,0.273677,0.025674,0,0,1.999627
5.814000,12.613494,1.863640,0.732789,3.781157,3.782635,-0.365688,-0.280494,-0.519624,0.273154,0.017322,0,0,1.620644
5.916000,12.997596,1.839742,0.735308,3.735000,3.735871,-0.364629,-0.253635,-0.511026,0.287454,0.011126,0,0,1.246059
6.018000,13.377269,1.806650,0.736999,3.701968,3.701096,-0.364088,-0.272889,-0.534137,0.324819,0.007506,0,12,0.875090
6.120000,13.753295,1.763430,0.737277,3.690719,3.690069,-0.347571,-0.248493,-0.559404,0.379351,0.004821,0,46,0.506636
6.222000,14.106842,1.717399,0.737767,2.267481,2.312204,-0.043131,-0.642747,-0.517692,0.434359,0.003253,0,80,0.160887
6.324000,14.303881,1.716387,0.735179,1.909405,1.896604,0.289066,-0.908019,-0.364192,0.501213,0.002089,4,110,-0.020319
6.426000,14.505466,1.706858,0.724167,2.050496,2.024461,0.290056,-0.796867,-0.182374,0.570234,0.001410,38,110,-0.206575
6.528000,14.720874,1.669820,0.717285,2.251769,2.250418,0.187251,-0.603010,0.022171,0.642650,0.000905,72,110,-0.414990
6.630000,14.955908,1.603155,0.721978,2.497637,2.510502,0.112028,-0.250440,0.158535,0.690883,0.000611,106,110,-0.652762
6.732000,15.210627,1.516195,0.730310,2.756090,2.758161,0.074368,-0.018645,0.272171,0.721157,0.000392,140,110,-0.915826
6.834000,15.489107,1.417285,0.731780,3.041090,3.029275,0.084294,0.109037,0.355961,0.726742,0.000265,174,110,-1.202369
6.936000,15.795581,1.315060,0.727418,3.270684,3.270459,0.151937,0.139029,0.438842,0.712520,0.000170,208,110,-1.505870
7.038000,16.126100,1.217438,0.726814,3.452024,3.462721,0.231289,0.170942,0.408207,0.685270,0.000115,242,110,-1.795453
