sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778814695.642790,0,1.633041,0.059710,0.009805,0.0275,-0.0319,0.000843,1.648994,-0.000000,-0.000000,-0.0020,1.634147,0.059461,0.009803,0.0225,-0.0001,-0.000006,-0.112036,0.0000,1.634147,0.000000,0.000000,1.6796,0.000000,2.000000,251.4897,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0520,0.0000,0.000000,0.2000,17.08,9.30,43.46,5.31,-0.000000,-0.0000,-1.6816,nan,nan,nan,nan,nan,nan,0.0,0.0,193.92496513502113,270.3991412663488,0.061129,0.066670,6560.3,6060.2,-0.019781,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778814695.651345,1,1.642914,0.065851,0.012203,0.0407,-0.0144,-0.001941,1.648913,-0.000001,-0.000000,-0.0094,1.644017,0.065631,0.012199,0.0277,-0.0002,-0.000010,-0.021820,0.0000,1.644017,0.000000,0.000000,1.6680,0.000000,2.000000,229.6776,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0565,0.0000,0.000000,0.2240,14.58,8.75,37.91,5.65,-0.000001,-0.0000,-1.6773,nan,nan,nan,nan,nan,nan,0.0,0.0,188.2521214742948,244.4354025417201,0.056065,0.058064,6557.0,6063.6,-0.017432,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778814695.663526,2,1.621955,0.087669,0.004597,-0.0581,-0.0070,-0.000081,1.648775,-0.000002,-0.000002,-0.0124,1.622739,0.087474,0.004594,0.0227,-0.0004,-0.000016,-0.012060,0.0000,1.622739,0.000000,0.000000,1.6927,0.000000,2.000000,229.9816,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0615,0.0000,0.000000,0.2480,12.47,7.87,32.81,2.89,-0.000002,-0.0001,-1.7052,nan,nan,nan,nan,nan,nan,0.0,0.0,175.56585683194692,217.20381230718272,0.047989,0.049499,6552.1,6068.5,-0.014026,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778814695.675435,3,1.664885,0.017575,-0.000236,0.0609,-0.0565,-0.002575,1.648627,-0.000004,-0.000003,-0.0120,1.665785,0.017325,-0.000243,0.0306,-0.0008,-0.000034,0.003024,0.0000,1.665785,0.000000,-0.000000,1.6415,0.000000,2.000000,252.9007,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0671,0.0000,0.000000,0.2720,10.67,7.12,28.46,2.87,-0.000004,-0.0002,-1.6535,nan,nan,nan,nan,nan,nan,0.0,0.0,209.50062714295018,245.14164039084147,0.062106,0.060042,6546.0,6074.6,-0.009781,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778814695.687418,4,1.613834,-0.018524,-0.003657,-0.0055,-0.0391,-0.000694,1.648492,-0.000007,-0.000005,-0.0105,1.614472,-0.018785,-0.003664,0.0252,-0.0014,-0.000057,0.024743,0.0000,1.614472,0.000000,0.000000,1.7021,0.000000,2.000000,243.3041,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0731,0.0000,0.000000,0.2960,9.14,6.47,24.75,2.78,-0.000007,-0.0003,-1.7126,nan,nan,nan,nan,nan,nan,0.0,0.0,222.64267964413827,250.44808799768305,0.065616,0.063068,6538.6,6082.0,-0.004601,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778814695.699463,5,1.550788,0.005830,0.000698,0.0723,-0.0838,0.000279,1.648464,-0.000004,-0.000003,0.0002,1.551557,0.005501,0.000690,0.0352,-0.0027,-0.000107,0.058319,0.0000,1.551557,0.000000,0.000000,1.7697,0.000000,2.000000,237.7603,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0796,0.0000,0.000000,0.3200,7.84,5.94,21.62,2.93,-0.000004,-0.0002,-1.7695,nan,nan,nan,nan,nan,nan,0.0,0.0,266.13199426336996,307.39929698512356,0.085070,0.083376,6528.4,6092.1,0.002473,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778814695.711438,6,1.679440,-0.053323,-0.004495,0.0193,0.0074,0.001100,1.648468,0.000001,-0.000000,0.0002,1.680059,-0.053572,-0.004499,0.0326,-0.0029,-0.000112,0.077414,0.0000,1.680059,0.000000,-0.000000,1.6234,0.000000,2.000000,249.5885,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0865,0.0000,0.000000,0.3440,6.73,5.47,18.94,2.84,0.000001,-0.0000,-1.6231,nan,nan,nan,nan,nan,nan,0.0,0.0,233.98374044662347,248.9213571591217,0.065124,0.065154,6522.2,6098.4,0.006815,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778814695.723491,7,1.635533,-0.073108,0.002331,-0.0163,-0.0202,-0.002007,1.648453,0.000006,0.000003,-0.0009,1.635977,-0.073329,0.002325,0.0267,-0.0037,-0.000137,0.092967,0.0000,1.635977,0.000000,0.000000,1.6775,0.000000,2.000000,288.7950,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0939,0.0000,0.000000,0.3680,5.80,5.08,16.69,2.83,0.000006,0.0002,-1.6783,nan,nan,nan,nan,nan,nan,0.0,0.0,228.49708159485294,227.51591873167152,0.061584,0.059052,6517.1,6103.5,0.010382,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778814695.735387,8,1.729184,-0.050532,-0.000524,-0.0016,0.0827,-0.000384,1.648433,0.000014,0.000007,-0.0008,1.729502,-0.050594,-0.000527,0.0219,-0.0013,-0.000056,0.111035,0.0000,1.729502,0.000000,-0.000000,1.5551,0.000000,2.000000,210.3945,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1016,0.0000,0.000000,0.3920,5.00,4.74,14.74,2.82,0.000014,0.0004,-1.5560,nan,nan,nan,nan,nan,nan,0.0,0.0,107.47182392723042,94.15401672989552,0.017946,0.015407,6511.5,6109.1,0.014279,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778814695.747543,9,1.623874,0.008411,-0.001041,-0.0221,0.0067,0.000469,1.648415,0.000021,0.000011,-0.0007,1.624105,0.008373,-0.001042,0.0180,-0.0010,-0.000044,0.128893,0.0000,1.624105,0.000000,0.000000,1.6912,0.000000,2.000000,269.9257,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1097,0.0000,0.000000,0.4160,4.32,4.45,13.09,2.78,0.000021,0.0006,-1.6919,0.008000,0.079303,-0.5983,-0.483503,-0.005448,0.003809,0.0,0.0,89.88791467467695,77.96265677540174,0.011595,0.010147,6506.1,6114.5,0.018030,0.000000,0.000000,0.5000,1.0000,,,,,
