sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778814708.032722,0,1.581893,-0.037803,0.003126,-0.0306,-0.0539,-0.001473,1.648994,-0.000000,-0.000000,-0.0020,1.581782,-0.038260,0.003111,-0.0051,-0.0002,-0.000010,-0.115896,0.0000,1.581782,0.000000,0.000000,5.0000,0.000000,2.000000,3412.3478,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0723,0.0000,0.000000,0.2000,17.07,9.23,43.36,4.87,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,214.6112844338659,371.784461221564,0.112070,0.102455,6561.3,6059.3,-0.020462,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778814708.041484,1,1.715290,0.003092,-0.002531,-0.1412,-0.0055,-0.000814,1.648913,-0.000001,-0.000000,-0.0094,1.715232,0.002715,-0.002544,-0.0025,-0.0004,-0.000017,-0.026640,0.0000,1.715232,0.000000,-0.000000,5.0000,0.000000,2.000000,3344.2198,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0785,0.0000,0.000000,0.2240,14.56,8.78,37.91,6.26,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,227.4476965048287,319.1874478569224,0.093126,0.084312,6558.1,6062.4,-0.018247,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778814708.053399,2,1.647395,-0.049807,0.001360,-0.0408,-0.0760,-0.001010,1.648775,-0.000002,-0.000001,-0.0124,1.647361,-0.050231,0.001346,-0.0017,-0.0008,-0.000033,-0.016699,0.0000,1.647361,0.000000,0.000000,5.0000,0.000000,2.000000,3344.1799,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0855,0.0000,0.000000,0.2480,12.45,7.89,32.78,2.84,-0.000002,-0.0001,-5.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,236.8787009459496,353.185368561357,0.104956,0.096586,6553.2,6067.3,-0.014840,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778814708.065506,3,1.601892,-0.005963,0.002067,-0.0302,0.0503,-0.001832,1.648627,-0.000004,-0.000003,-0.0121,1.601875,-0.006224,0.002056,-0.0009,-0.0008,-0.000036,-0.001588,0.0000,1.601875,0.000000,0.000000,5.0000,0.000000,2.000000,3342.6335,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0932,0.0000,0.000000,0.2720,10.65,7.15,28.45,2.94,-0.000004,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,216.33543694408638,237.9390791043637,0.066510,0.057384,6547.2,6073.4,-0.010590,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778814708.077561,4,1.669351,0.100358,-0.003118,-0.0397,-0.0149,-0.000097,1.648492,-0.000007,-0.000005,-0.0106,1.669346,0.100128,-0.003127,-0.0002,-0.0012,-0.000052,0.018519,0.0000,1.669346,0.000000,-0.000000,5.0000,0.000000,2.000000,3348.8597,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1016,0.0000,0.000000,0.2960,9.13,6.51,24.76,2.87,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,209.03891702610838,218.45827409345333,0.059474,0.051984,6540.1,6080.4,-0.005699,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778814708.089473,5,1.576682,-0.061683,-0.005685,-0.0507,0.0220,-0.000822,1.648461,-0.000004,-0.000003,0.0007,1.576686,-0.061832,-0.005692,0.0006,-0.0012,-0.000053,0.051466,0.0000,1.576686,0.000000,0.000000,5.0000,0.000000,2.000000,3356.3844,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1106,0.0000,0.000000,0.3200,7.83,5.95,21.61,2.80,-0.000004,-0.0002,-4.9993,nan,nan,nan,nan,nan,nan,0.0,0.0,167.0735112666616,155.4443727623193,0.039985,0.032885,6530.2,6090.4,0.001259,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778814708.101676,6,1.652353,-0.050718,-0.003490,-0.1492,0.0899,-0.000410,1.648469,0.000003,0.000000,0.0001,1.652361,-0.050704,-0.003494,0.0009,0.0002,-0.000001,0.067115,0.0000,1.652361,0.000000,0.000000,5.0000,0.000000,2.000000,3363.1222,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1203,0.0000,0.000000,0.3440,6.75,5.49,18.99,2.87,0.000003,0.0000,-4.9999,nan,nan,nan,nan,nan,nan,0.0,0.0,60.86591943163508,57.89701476996777,-0.002281,-0.008538,6524.8,6095.7,0.004980,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778814708.113896,7,1.634156,0.001701,0.007612,-0.0054,-0.0471,0.000418,1.648453,0.000008,0.000003,-0.0008,1.634165,0.001646,0.007609,0.0011,-0.0008,-0.000045,0.083194,0.0000,1.634165,0.000000,0.000000,5.0000,0.000000,2.000000,3371.5000,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1305,0.0000,0.000000,0.3680,5.82,5.10,16.74,2.87,0.000008,0.0002,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,103.15088072840601,90.55587812312069,0.016118,0.011608,6519.6,6101.0,0.008640,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778814708.125658,8,1.666005,0.064048,0.002489,0.0126,0.0111,0.000904,1.648434,0.000014,0.000007,-0.0008,1.666051,0.064021,0.002487,0.0038,-0.0005,-0.000030,0.101783,0.0000,1.666051,0.000000,-0.000000,5.0000,0.000000,2.000000,3376.4845,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1412,0.0000,0.000000,0.3920,5.02,4.78,14.81,3.00,0.000014,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,82.55433228122436,73.84150158739541,0.008133,0.005650,6513.9,6106.7,0.012629,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778814708.137872,9,1.556564,-0.003753,0.000823,0.0347,0.0271,0.001064,1.648415,0.000021,0.000011,-0.0007,1.556691,-0.003737,0.000823,0.0101,0.0005,0.000012,0.120155,0.0000,1.556691,0.000000,0.000000,5.0000,0.000000,2.000000,3364.6552,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1525,0.0000,0.000000,0.4160,4.37,4.51,13.24,2.95,0.000021,0.0006,-5.0007,0.008000,0.082691,-0.1337,-0.491319,0.002452,-0.000550,0.0,0.0,55.415339425393896,52.53752736309481,-0.004595,-0.005238,6508.4,6112.2,0.016443,0.000000,0.000000,0.5000,1.0000,,,,,
