time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.0510,18.6558,-1.1659,4.195,2,19.058,2.137,0.828,3.3273,2.328,3.328,0,1
6.0540,18.6684,-1.1659,4.194,2,19.058,2.137,0.828,3.3258,2.328,3.328,0,1
6.0570,18.6811,-1.1658,4.193,2,19.058,2.137,0.828,3.3242,2.328,3.328,0,1
6.0600,18.6937,-1.1657,4.195,2,19.058,2.137,0.828,3.3227,2.328,3.328,0,1
6.0630,18.7063,-1.1656,4.193,2,19.058,2.137,0.828,3.3213,2.328,3.328,0,1
6.0660,18.7190,-1.1655,4.194,2,19.058,2.137,0.828,3.3198,2.328,3.328,0,1
6.0690,18.7316,-1.1653,4.200,2,19.058,2.137,0.828,3.3184,2.328,3.328,0,1
6.0720,18.7443,-1.1651,4.199,2,19.058,2.137,0.828,3.3170,2.328,3.328,0,1
6.0750,18.7569,-1.1649,4.199,2,19.058,2.137,0.828,3.3156,2.328,3.328,0,1
6.0780,18.7696,-1.1648,4.199,2,19.058,2.137,0.828,3.3143,2.328,3.328,0,1
6.0810,18.7822,-1.1646,4.201,2,19.058,2.137,0.828,3.3130,2.328,3.328,0,1
6.0840,18.7949,-1.1644,4.205,2,19.058,2.137,0.828,3.3118,2.328,3.328,0,1
6.0870,18.8075,-1.1642,4.207,2,19.058,2.137,0.828,3.3106,2.328,3.328,0,1
6.0900,18.8202,-1.1639,4.210,2,19.058,2.137,0.828,3.3095,2.328,3.328,0,1
6.0930,18.8329,-1.1637,4.210,2,19.058,2.137,0.828,3.3084,2.328,3.328,0,1
6.0960,18.8456,-1.1635,4.212,2,19.058,2.137,0.828,3.3073,2.328,3.328,0,1
6.0990,18.8583,-1.1633,4.214,2,19.058,2.137,0.828,3.3063,2.328,3.328,0,1
6.1020,18.8710,-1.1631,4.217,2,19.058,2.137,0.828,3.3053,2.328,3.328,0,1
6.1050,18.8837,-1.1628,4.218,2,19.058,2.137,0.828,3.3044,2.328,3.328,0,1
6.1080,18.8964,-1.1626,4.219,2,19.058,2.137,0.828,3.3035,2.328,3.328,0,1
6.1110,18.9091,-1.1623,4.219,2,19.058,2.137,0.828,3.3026,2.328,3.328,0,1
6.1140,18.9218,-1.1620,4.220,2,19.058,2.137,0.828,3.3018,2.328,3.328,0,1
6.1170,18.9345,-1.1618,4.220,2,19.058,2.137,0.828,3.3010,2.328,3.328,0,1
6.1200,18.9472,-1.1615,4.220,2,19.058,2.137,0.828,3.3003,2.328,3.328,0,1
6.1230,18.9599,-1.1612,4.220,2,19.058,2.137,0.828,3.2996,2.328,3.328,0,1
6.1260,18.9726,-1.1609,4.220,2,19.058,2.137,0.828,3.2990,2.328,3.328,0,1
6.1290,18.9853,-1.1606,4.220,2,19.058,2.137,0.828,3.2983,2.328,3.328,0,1
6.1320,18.9980,-1.1602,4.220,2,19.058,2.137,0.828,3.2977,2.328,3.328,0,1
6.1350,19.0107,-1.1599,4.218,2,19.058,2.137,0.828,3.2972,2.328,3.328,0,1
6.1380,19.0234,-1.1596,4.220,2,19.058,2.137,0.828,3.2967,2.328,3.328,0,1
6.1410,19.0361,-1.1592,4.215,2,19.058,2.137,0.828,3.2963,2.328,3.328,0,1
6.1440,19.0488,-1.1588,4.215,2,19.058,2.137,0.828,3.2958,2.328,3.328,0,1
6.1470,19.0614,-1.1585,4.208,2,19.058,2.137,0.828,3.2954,2.328,3.328,0,1
6.1500,19.0741,-1.1581,4.208,2,19.058,2.137,0.828,3.2951,2.328,3.328,0,1
6.1530,19.0868,-1.1577,4.212,2,19.058,2.137,0.828,3.2948,2.328,3.328,0,1
6.1560,19.0995,-1.1573,4.214,2,19.058,2.137,0.828,3.2945,2.328,3.328,0,1
6.1590,19.1122,-1.1569,4.215,2,19.058,2.137,0.828,3.2943,2.328,3.328,0,1
6.1620,19.1249,-1.1565,4.215,2,19.058,2.137,0.828,3.2941,2.328,3.328,0,1
6.1650,19.1376,-1.1560,4.214,2,19.058,2.137,0.828,3.2939,2.328,3.328,0,1
6.1680,19.1503,-1.1556,4.215,2,19.058,2.137,0.828,3.2939,2.328,3.328,0,1
6.1710,19.1630,-1.1552,4.216,2,19.058,2.137,0.828,3.2938,2.328,3.328,0,1
6.1740,19.1757,-1.1548,4.217,2,19.058,2.137,0.828,3.2938,2.328,3.328,0,1
6.1770,19.1884,-1.1543,4.218,2,19.058,2.137,0.828,3.2939,2.328,3.328,0,1
6.1800,19.2011,-1.1539,4.219,2,19.058,2.137,0.828,3.2940,2.328,3.328,0,1
6.1830,19.2138,-1.1535,4.219,2,19.058,2.137,0.828,3.2941,2.328,3.328,0,1
6.1860,19.2265,-1.1531,4.219,2,19.058,2.137,0.828,3.2944,2.328,3.328,0,1
6.1890,19.2392,-1.1527,4.221,2,19.058,2.137,0.828,3.2946,2.328,3.328,0,1
6.1920,19.2520,-1.1523,4.222,2,19.058,2.137,0.828,3.2950,2.328,3.328,0,1
6.1950,19.2647,-1.1519,4.225,2,19.058,2.137,0.828,3.2953,2.328,3.328,0,1
6.1980,19.2774,-1.1515,4.225,2,19.058,2.137,0.828,3.2958,2.328,3.328,0,1
6.2010,19.2901,-1.1511,4.226,2,19.058,2.137,0.828,3.2963,2.328,3.328,0,1
6.2040,19.3029,-1.1508,4.227,2,19.058,2.137,0.828,3.2968,2.328,3.328,0,1
6.2070,19.3156,-1.1504,4.228,2,19.058,2.137,0.828,3.2974,2.328,3.328,0,1
6.2100,19.3283,-1.1500,4.230,2,19.058,2.137,0.828,3.2981,2.328,3.328,0,1
6.2130,19.3411,-1.1497,4.231,2,19.058,2.137,0.828,3.2988,2.328,3.328,0,1
6.2160,19.3538,-1.1493,4.230,2,19.058,2.137,0.828,3.2995,2.328,3.328,0,1
6.2190,19.3665,-1.1490,4.231,2,19.058,2.137,0.828,3.3004,2.328,3.328,0,1
6.2220,19.3793,-1.1486,4.231,2,19.058,2.137,0.828,3.3012,2.328,3.328,0,1
6.2250,19.3920,-1.1483,4.231,2,19.058,2.137,0.828,3.3021,2.328,3.328,0,1
6.2280,19.4047,-1.1479,4.232,2,19.058,2.137,0.828,3.3031,2.328,3.328,0,1
6.2310,19.4174,-1.1475,4.230,2,19.058,2.137,0.828,3.3041,2.328,3.328,0,1
6.2340,19.4302,-1.1472,4.231,2,19.058,2.137,0.828,3.3051,2.328,3.328,0,1
6.2370,19.4429,-1.1468,4.231,2,19.058,2.137,0.828,3.3062,2.328,3.328,0,1
6.2400,19.4556,-1.1464,4.232,2,19.058,2.137,0.828,3.3074,2.328,3.328,0,1
6.2430,19.4684,-1.1461,4.233,2,19.058,2.137,0.828,3.3085,2.328,3.328,0,1
6.2460,19.4811,-1.1457,4.234,2,19.058,2.137,0.828,3.3098,2.328,3.328,0,1
6.2490,19.4938,-1.1453,4.234,2,19.058,2.137,0.828,3.3110,2.328,3.328,0,1
6.2520,19.5066,-1.1449,4.234,2,19.058,2.137,0.828,3.3124,2.328,3.328,0,1
6.2550,19.5193,-1.1446,4.234,2,19.058,2.137,0.828,3.3138,2.328,3.328,0,1
6.2580,19.5321,-1.1442,4.235,2,19.058,2.137,0.828,3.3152,2.328,3.328,0,1
6.2610,19.5448,-1.1438,4.235,2,19.058,2.137,0.828,3.3166,2.328,3.328,0,1
6.2640,19.5575,-1.1434,4.234,2,19.058,2.137,0.828,3.3181,2.328,3.328,0,1
6.2670,19.5703,-1.1430,4.234,2,19.058,2.137,0.828,3.3197,2.328,3.328,0,1
6.2700,19.5830,-1.1426,4.233,2,19.058,2.137,0.828,3.3213,2.328,3.328,0,1
6.2730,19.5958,-1.1422,4.234,2,19.058,2.137,0.828,3.3229,2.328,3.328,0,1
6.2760,19.6085,-1.1418,4.232,2,19.058,2.137,0.828,3.3246,2.328,3.328,0,1
6.2790,19.6212,-1.1414,4.232,2,19.058,2.137,0.828,3.3263,2.328,3.328,0,1
6.2820,19.6340,-1.1410,4.232,2,19.058,2.137,0.828,3.3281,2.328,3.328,0,1
8.7210,30.0746,-1.5196,4.223,1,30.556,1.364,0.424,2.9236,1.924,2.924,0,1
8.7240,30.0873,-1.5193,4.221,1,30.556,1.364,0.424,2.9212,1.924,2.924,0,1
8.7270,30.1000,-1.5189,4.219,1,30.556,1.364,0.424,2.9189,1.924,2.924,0,1
8.7300,30.1127,-1.5186,4.216,1,30.556,1.364,0.424,2.9165,1.924,2.924,0,1
8.7330,30.1254,-1.5182,4.215,1,30.556,1.364,0.424,2.9143,1.924,2.924,0,1
8.7360,30.1381,-1.5177,4.214,1,30.556,1.364,0.424,2.9120,1.924,2.924,0,1
8.7390,30.1507,-1.5173,4.213,1,30.556,1.364,0.424,2.9097,1.924,2.924,0,1
8.7420,30.1634,-1.5168,4.212,1,30.556,1.364,0.424,2.9075,1.924,2.924,0,1
