sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778814925.746392,0,1.656017,-0.016712,-0.006312,0.0227,0.0063,0.000166,1.648994,-0.000000,-0.000000,-0.0020,1.656932,-0.016665,-0.006311,0.0176,0.0000,0.000001,-0.113989,0.0000,1.656932,0.000000,-0.000000,1.6524,0.000000,2.000000,246.0083,4,1,dirt,1.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0519,0.0000,0.000000,0.2000,17.70,9.28,44.69,5.23,-0.000000,-0.0000,-1.6544,nan,nan,nan,nan,nan,nan,0.0,0.0,-27.89273028330213,-4.767694588362971,-0.013080,-0.011983,6560.8,6059.7,-0.020962,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778814925.752322,1,1.654172,-0.019276,0.002489,0.1171,0.0621,0.000967,1.648913,-0.000001,-0.000000,-0.0094,1.655780,-0.019128,0.002493,0.0386,0.0001,0.000005,-0.019429,0.0000,1.655780,0.000000,-0.000000,1.6538,0.000000,2.000000,234.3553,4,1,dirt,1.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0564,0.0000,0.000000,0.2240,15.71,8.80,40.22,6.05,-0.000001,-0.0000,-1.6632,nan,nan,nan,nan,nan,nan,0.0,0.0,-6.697940192248808,-13.648986915059552,-0.035172,-0.033055,6557.5,6063.1,-0.018543,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778814925.760498,2,1.695325,0.056804,-0.000242,-0.0027,0.0433,-0.000519,1.648775,-0.000002,-0.000001,-0.0124,1.696467,0.056987,-0.000238,0.0314,0.0003,0.000011,-0.010040,0.0000,1.696467,0.000000,-0.000000,1.6017,0.000000,2.000000,259.6866,4,1,dirt,1.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0614,0.0000,0.000000,0.2480,13.42,7.91,34.76,2.86,-0.000002,-0.0001,-1.6142,nan,nan,nan,nan,nan,nan,0.0,0.0,7.337061391145056,-25.601339772815948,-0.044770,-0.043725,6552.6,6068.0,-0.014958,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778814925.772538,3,1.642260,-0.089153,-0.000595,0.0285,0.0863,-0.000972,1.648627,-0.000005,-0.000003,-0.0121,1.643237,-0.088873,-0.000590,0.0314,0.0008,0.000031,0.004580,0.0000,1.643237,0.000000,0.000000,1.6689,0.000000,2.000000,252.0416,4,1,dirt,1.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0669,0.0000,0.000000,0.2720,11.49,7.16,30.15,2.91,-0.000005,-0.0002,-1.6810,nan,nan,nan,nan,nan,nan,0.0,0.0,1.7770699125772182,-108.27044488577688,-0.068813,-0.069209,6546.5,6074.1,-0.010522,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778814925.784633,4,1.713474,0.029513,0.005407,0.0167,0.0544,-0.000263,1.648492,-0.000007,-0.000005,-0.0106,1.714252,0.029824,0.005412,0.0291,0.0014,0.000056,0.025271,0.0000,1.714252,0.000000,-0.000000,1.5772,0.000000,2.000000,238.1859,4,1,dirt,1.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0729,0.0000,0.000000,0.2960,9.86,6.51,26.22,2.84,-0.000007,-0.0003,-1.5878,nan,nan,nan,nan,nan,nan,0.0,0.0,-19.37819192562074,-143.76457180147213,-0.076339,-0.076993,6539.2,6081.4,-0.005236,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778814925.796539,5,1.622113,0.078815,0.001451,0.0431,0.0799,0.000574,1.648462,-0.000004,-0.000003,0.0001,1.622866,0.079182,0.001459,0.0327,0.0025,0.000102,0.059732,0.0000,1.622866,0.000000,0.000000,1.6926,0.000000,2.000000,273.6226,4,1,dirt,1.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0793,0.0000,0.000000,0.3200,8.46,5.98,22.89,2.97,-0.000004,-0.0002,-1.6925,nan,nan,nan,nan,nan,nan,0.0,0.0,-108.61176316920458,-238.85003999837687,-0.092686,-0.092485,6528.7,6091.9,0.002369,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778814925.808512,6,1.731474,-0.004474,0.009901,0.0658,0.0597,0.002174,1.648469,0.000002,0.000000,0.0002,1.732269,-0.004089,0.009910,0.0396,0.0039,0.000152,0.076944,0.0000,1.732269,0.000000,-0.000000,1.5510,0.000000,2.000000,206.7835,4,1,dirt,1.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0862,0.0000,0.000000,0.3440,7.26,5.51,20.04,2.84,0.000002,0.0000,-1.5508,nan,nan,nan,nan,nan,nan,0.0,0.0,-162.30517309145688,-259.6404683280879,-0.099073,-0.096158,6522.9,6097.7,0.006607,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778814925.820442,7,1.624017,0.074409,0.007829,-0.0388,0.0011,-0.001083,1.648452,0.000007,0.000003,-0.0009,1.624584,0.074708,0.007835,0.0323,0.0043,0.000162,0.091519,0.0000,1.624584,0.000000,0.000000,1.6906,0.000000,2.000000,300.2023,4,1,dirt,1.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0935,0.0000,0.000000,0.3680,6.24,5.11,17.58,2.83,0.000007,0.0002,-1.6915,nan,nan,nan,nan,nan,nan,0.0,0.0,-38.47403215400425,-125.94915248589223,-0.079743,-0.078761,6517.9,6102.7,0.010215,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778814925.832537,8,1.681065,0.011345,0.000739,-0.0258,-0.0563,-0.001041,1.648434,0.000013,0.000007,-0.0008,1.681472,0.011495,0.000741,0.0265,0.0030,0.000102,0.109496,0.0000,1.681472,0.000000,-0.000000,1.6215,0.000000,2.000000,228.8711,4,1,dirt,1.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1012,0.0000,0.000000,0.3920,5.37,4.78,15.52,2.92,0.000013,0.0004,-1.6223,nan,nan,nan,nan,nan,nan,0.0,0.0,19.382576005837734,7.163199032395752,-0.041993,-0.042526,6512.3,6108.3,0.014309,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778814925.844487,9,1.761220,-0.039934,0.000819,-0.0248,0.0008,0.001300,1.648415,0.000020,0.000011,-0.0007,1.761514,-0.039815,0.000822,0.0218,0.0030,0.000110,0.127757,0.0000,1.761514,-0.000000,-0.000000,1.5057,0.000000,2.000000,210.5359,4,1,dirt,1.0000,0.700000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1093,0.0000,0.000000,0.4160,4.63,4.48,13.74,2.81,0.000020,0.0006,-1.5064,0.008000,0.058942,0.3974,-0.479838,0.017197,-0.001752,0.0,0.0,13.311885519541491,18.144781761930275,-0.034973,-0.033744,6506.7,6113.8,0.018331,0.000000,0.000000,0.5000,1.0000,,,,,
