sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778814996.395954,0,1.688380,-0.006962,-0.009311,0.0450,-0.0424,-0.000983,1.648994,-0.000000,-0.000000,-0.0020,1.690255,-0.007337,-0.009322,0.0401,-0.0002,-0.000008,-0.112251,0.0000,1.690255,0.000000,-0.000000,1.3551,0.000000,2.000000,319.7677,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0500,0.0000,0.000000,0.2000,17.09,9.99,44.16,9.91,-0.000000,-0.0000,-1.3571,nan,nan,nan,nan,nan,nan,0.0,0.0,-84.53484250571154,93.54027409735454,0.087736,0.081287,6560.4,6060.2,-0.049563,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778814996.407116,1,1.764802,-0.055461,0.000464,0.0003,0.0135,0.001779,1.648775,-0.000002,-0.000002,-0.0125,1.766001,-0.055661,0.000460,0.0292,-0.0002,-0.000007,0.007215,0.0000,1.766001,-0.000000,-0.000000,1.2145,0.000000,1.500000,91.1136,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0594,0.0000,0.000000,0.2360,15.29,9.78,40.36,8.61,-0.000002,-0.0001,-1.2270,nan,nan,nan,nan,nan,nan,0.0,0.0,-86.71932231705541,54.72845507836416,0.048779,0.048202,6550.7,6069.9,-0.032634,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778814996.416404,2,1.581105,0.064774,-0.000818,0.0898,-0.0341,0.000757,1.648627,-0.000004,-0.000003,-0.0121,1.582614,0.064558,-0.000822,0.0411,-0.0003,-0.000012,0.001774,0.0000,1.582614,0.000000,0.000000,1.5035,0.000000,1.005499,76.2858,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0641,0.0000,0.000000,0.2481,13.35,9.15,35.86,5.62,-0.000004,-0.0002,-1.5155,nan,nan,nan,nan,nan,nan,0.0,0.0,-67.48323682006775,73.32608078307422,0.052061,0.052561,6546.0,6074.5,-0.024529,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778814996.426493,3,1.651774,-0.031261,0.001284,-0.0166,-0.0731,0.000461,1.648492,-0.000007,-0.000005,-0.0106,1.652844,-0.031546,0.001279,0.0331,-0.0007,-0.000028,-0.007521,0.0000,1.652844,0.000000,0.000000,1.4119,0.000000,2.000000,292.6582,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0693,0.0000,0.000000,0.2721,11.43,8.62,31.47,5.57,-0.000007,-0.0003,-1.4225,nan,nan,nan,nan,nan,nan,0.0,0.0,-25.32129812108586,118.54983590829744,0.069929,0.070917,6542.0,6078.5,-0.017533,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778814996.438393,4,1.620650,-0.037674,-0.006128,-0.0378,0.0107,-0.000842,1.648464,-0.000004,-0.000003,0.0006,1.621430,-0.037892,-0.006132,0.0283,-0.0008,-0.000033,0.063167,0.0000,1.621430,0.000000,0.000000,1.4548,0.000000,2.000000,288.8620,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0750,0.0000,0.000000,0.2961,9.80,7.76,27.35,2.88,-0.000004,-0.0002,-1.4543,nan,nan,nan,nan,nan,nan,0.0,0.0,-11.828847593123598,114.94247569309388,0.052826,0.052551,6530.3,6090.3,0.002982,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778814996.450392,5,1.590408,-0.066422,0.002681,-0.0499,-0.0269,-0.001120,1.648468,0.000001,-0.000000,0.0002,1.590965,-0.066632,0.002676,0.0234,-0.0013,-0.000051,0.079194,0.0000,1.590965,0.000000,0.000000,1.4933,0.000000,2.000000,296.2592,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0811,0.0000,0.000000,0.3201,8.42,7.01,23.85,2.78,0.000001,-0.0000,-1.4932,nan,nan,nan,nan,nan,nan,0.0,0.0,10.719530329120644,131.21987409672397,0.053695,0.052046,6524.4,6096.2,0.013243,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778814996.462452,6,1.687164,-0.121137,0.000486,0.1166,0.0723,0.000103,1.648453,0.000006,0.000003,-0.0009,1.688047,-0.121194,0.000484,0.0419,-0.0005,-0.000021,0.092518,0.0000,1.688047,0.000000,-0.000000,1.3586,0.000000,2.000000,369.1079,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0877,0.0000,0.000000,0.3441,7.25,6.40,20.91,2.96,0.000006,0.0002,-1.3595,nan,nan,nan,nan,nan,nan,0.0,0.0,-49.4768577169838,60.04960676484393,0.015291,0.014089,6519.4,6101.1,0.021852,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778814996.474455,7,1.686588,0.054934,-0.001169,-0.0504,0.0607,-0.000629,1.648434,0.000013,0.000007,-0.0008,1.687219,0.054975,-0.001169,0.0343,0.0006,0.000018,0.109921,0.0000,1.687219,0.000000,-0.000000,1.3600,0.000000,2.000000,366.6625,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0947,0.0000,0.000000,0.3681,6.26,5.87,18.39,2.85,0.000013,0.0004,-1.3608,nan,nan,nan,nan,nan,nan,0.0,0.0,-39.50624486498242,28.213950157309213,-0.010776,-0.012549,6513.7,6106.9,0.031824,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778814996.489834,8,1.608551,0.006047,0.005627,-0.0345,0.0317,-0.001960,1.648415,0.000020,0.000011,-0.0007,1.609002,0.006124,0.005626,0.0281,0.0014,0.000034,0.127463,0.0000,1.609002,0.000000,0.000000,1.4709,0.000000,2.000000,296.5806,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1020,0.0000,0.000000,0.3921,5.40,5.42,16.23,2.86,0.000020,0.0006,-1.4716,0.008000,0.132429,0.8432,-0.473766,0.010831,-0.002936,0.0,0.0,-33.053240626021946,1.1837519615503282,-0.019760,-0.023694,6508.1,6112.4,0.041552,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778814996.498211,9,1.685281,-0.044922,-0.002476,-0.0319,0.0918,0.000898,1.648397,0.000026,0.000015,-0.0006,1.685607,-0.044741,-0.002474,0.0231,0.0043,0.000137,0.144763,0.0000,1.685607,0.000000,-0.000000,1.3625,0.000000,2.000000,364.8092,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1098,0.0000,0.000000,0.4161,4.66,5.02,14.34,2.77,0.000026,0.0008,-1.3631,nan,nan,nan,nan,nan,nan,0.0,0.0,-5.847811585992773,-91.75568191897307,-0.051965,-0.053986,6502.8,6117.8,0.050900,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778814996.510312,10,1.739865,0.001981,-0.005256,0.0445,-0.0266,0.000536,1.648380,0.000032,0.000018,-0.0005,1.740214,0.002086,-0.005255,0.0276,0.0032,0.000101,0.163354,0.0000,1.740214,0.000000,-0.000000,1.2668,0.000000,2.000000,291.9652,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1179,0.0000,0.000000,0.4401,4.04,4.69,12.76,2.81,0.000032,0.0011,-1.2672,0.008000,0.095492,-0.3274,-0.475042,0.016375,-0.000137,0.0,0.0,-44.99310356780637,-47.362348182607974,-0.031963,-0.032911,6497.2,6123.3,0.060565,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778814996.522354,11,1.701645,0.009664,0.006527,-0.0270,0.0537,-0.001774,1.648364,0.000039,0.000023,-0.0004,1.701898,0.009811,0.006528,0.0227,0.0055,0.000123,0.181045,0.0000,1.701898,0.000000,-0.000000,1.3359,0.000000,2.000000,315.4794,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1263,0.0000,0.000000,0.4641,3.52,4.41,11.44,2.84,0.000039,0.0013,-1.3363,0.008000,0.088152,0.4212,-0.479468,0.023749,-0.000447,0.0,0.0,-51.191564550136306,-109.48089232020259,-0.045434,-0.048460,6492.1,6128.5,0.069589,0.000000,0.000000,0.5000,1.0000,,,,,
