step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.448,0.029,1.00,2.785,0.00,2,18,26.00,7.11,+0.000,0.342,0.046,+0.000,0.342,0.046,0,6.388,7.55,0.000
40,6.510,0.760,13.95,2.715,3.98,2,18,26.00,7.11,+0.142,0.652,0.004,+0.142,0.652,0.004,0,1.045,7.71,0.000
42,7.066,0.938,15.38,3.166,-1.47,2,18,26.00,7.09,-0.052,0.704,0.002,-0.054,0.701,0.000,1,0.449,48.16,0.000
43,7.377,1.031,15.78,3.385,-2.36,2,18,26.00,7.07,-0.084,0.696,0.001,-0.086,0.699,0.000,1,0.210,46.70,0.000
44,7.708,1.127,16.00,3.575,-2.53,2,18,26.00,7.06,-0.090,0.668,0.001,-0.095,0.661,0.000,1,0.033,46.55,0.000
45,8.057,1.226,16.08,3.738,-6.37,2,18,26.00,6.94,-0.227,0.629,0.001,-0.190,0.636,0.000,1,-0.144,46.41,0.002
46,8.421,1.325,15.98,3.867,-7.52,2,18,26.00,6.83,-0.268,0.583,0.000,-0.199,0.586,0.000,1,0.312,47.36,0.002
47,8.797,1.423,15.68,3.976,-10.94,2,18,26.00,6.46,-0.390,0.532,0.000,-0.164,0.499,0.000,1,-0.326,46.70,0.003
48,9.184,1.520,15.26,4.085,-15.07,2,18,26.00,6.01,-0.537,0.466,0.000,-0.148,0.373,0.000,1,-0.446,46.91,0.049
49,9.581,1.615,14.87,4.169,-17.84,2,18,26.00,5.71,-0.636,0.428,0.000,-0.489,0.513,0.000,1,-0.462,46.23,0.078
50,9.987,1.710,14.38,4.232,-22.95,2,18,26.00,5.22,-0.817,0.400,0.010,-0.308,0.803,0.000,1,-0.405,48.69,0.137
51,10.400,1.793,13.52,4.288,-25.74,2,18,26.00,4.98,-0.917,0.375,0.022,+0.509,0.347,0.000,1,-0.319,46.59,1.541
52,10.820,1.874,12.69,4.325,-26.63,2,18,26.00,4.90,-0.949,0.351,0.038,+0.385,0.250,0.000,1,-0.317,46.31,0.589
53,11.239,1.967,12.99,4.345,-28.07,2,18,26.00,4.79,-1.000,0.333,0.052,+0.369,0.383,0.000,1,-0.242,46.11,0.662
