sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778815266.946654,0,1.626289,0.065331,-0.003238,0.0623,-0.1273,-0.000653,1.648994,-0.000000,-0.000000,-0.0020,1.628925,0.064256,-0.003263,0.0572,-0.0005,-0.000023,-0.114709,0.0000,1.628925,0.000000,0.000000,1.6856,0.000000,2.000000,253.9254,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0518,0.0000,0.000000,0.2000,17.08,9.31,43.47,5.37,-0.000000,-0.0000,-1.6877,nan,nan,nan,nan,nan,nan,0.0,0.0,85.39828201405172,863.0100342401165,0.251170,0.247121,6561.0,6059.6,-0.020253,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778815266.952694,1,1.633681,0.007212,0.007360,-0.0416,0.0396,0.000841,1.648913,-0.000001,-0.000000,-0.0094,1.635625,0.006436,0.007342,0.0477,-0.0007,-0.000029,-0.022820,0.0000,1.635625,0.000000,0.000000,1.6779,0.000000,2.000000,224.8981,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0563,0.0000,0.000000,0.2240,15.24,8.74,39.22,5.50,-0.000001,-0.0000,-1.6872,nan,nan,nan,nan,nan,nan,0.0,0.0,115.18954450360931,647.4436809260296,0.188819,0.186501,6557.9,6062.7,-0.018082,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778815266.958786,2,1.691055,-0.111692,0.006403,-0.0369,0.0271,0.000033,1.648775,-0.000002,-0.000002,-0.0125,1.692457,-0.112272,0.006389,0.0388,-0.0009,-0.000038,-0.012566,0.0000,1.692457,0.000000,-0.000000,1.6071,0.000000,2.000000,267.7819,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0614,0.0000,0.000000,0.2480,13.35,7.88,34.58,3.03,-0.000002,-0.0001,-1.6195,nan,nan,nan,nan,nan,nan,0.0,0.0,202.45377480830126,492.65584216978345,0.142622,0.140765,6553.1,6067.5,-0.014733,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778815266.968545,3,1.752992,0.009930,0.003376,-0.0300,0.0404,0.001268,1.648627,-0.000004,-0.000003,-0.0121,1.753979,0.009529,0.003368,0.0318,-0.0011,-0.000046,0.001800,0.0000,1.753979,-0.000000,-0.000000,1.5177,0.000000,2.000000,215.8351,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0669,0.0000,0.000000,0.2720,11.42,7.14,29.99,2.92,-0.000004,-0.0002,-1.5298,nan,nan,nan,nan,nan,nan,0.0,0.0,249.2093028347746,359.7062647914107,0.099059,0.099151,6547.1,6073.5,-0.010533,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778815266.980613,4,1.661761,0.019199,0.000905,-0.1073,0.1127,0.000820,1.648492,-0.000007,-0.000005,-0.0106,1.662460,0.019054,0.000902,0.0262,-0.0007,-0.000027,0.021691,0.0000,1.662460,0.000000,-0.000000,1.6456,0.000000,2.000000,266.4735,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0729,0.0000,0.000000,0.2960,9.79,6.49,26.08,2.85,-0.000007,-0.0003,-1.6563,nan,nan,nan,nan,nan,nan,0.0,0.0,153.10658843820687,173.9623987965133,0.035992,0.037113,6540.0,6080.6,-0.005606,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778815266.992533,5,1.672041,0.110239,0.013523,-0.1110,0.0425,0.000031,1.648461,-0.000004,-0.000003,0.0009,1.672540,0.110196,0.013523,0.0218,-0.0004,-0.000014,0.046629,0.0000,1.672540,0.000000,-0.000000,1.6330,0.000000,2.000000,278.8958,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0794,0.0000,0.000000,0.3200,8.39,5.94,22.73,2.84,-0.000004,-0.0002,-1.6321,nan,nan,nan,nan,nan,nan,0.0,0.0,93.58917791778921,103.14383661058434,0.012585,0.013530,6531.9,6088.6,0.000012,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778815267.004559,6,1.626802,-0.071405,-0.009530,-0.0608,0.0130,0.000159,1.648469,0.000001,-0.000000,0.0002,1.627158,-0.071428,-0.009530,0.0180,-0.0002,-0.000007,0.062201,0.0000,1.627158,0.000000,0.000000,1.6877,0.000000,2.000000,285.3503,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0863,0.0000,0.000000,0.3440,7.20,5.48,19.88,2.82,0.000001,-0.0000,-1.6875,nan,nan,nan,nan,nan,nan,0.0,0.0,75.95561780268108,82.72013109403053,0.005022,0.005988,6526.5,6094.0,0.003796,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778815267.016592,7,1.707357,-0.030973,-0.007559,-0.0292,0.0103,0.001600,1.648453,0.000006,0.000003,-0.0008,1.707612,-0.030974,-0.007558,0.0149,-0.0000,0.000005,0.078687,0.0000,1.707612,0.000000,-0.000000,1.5865,0.000000,2.000000,224.4245,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0936,0.0000,0.000000,0.3680,6.20,5.08,17.47,2.82,0.000006,0.0002,-1.5873,nan,nan,nan,nan,nan,nan,0.0,0.0,63.41548582094957,71.42600358370909,-0.000931,0.001893,6521.1,6099.5,0.007582,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778815267.028652,8,1.585626,0.015083,-0.002437,-0.0026,0.0045,0.002287,1.648434,0.000013,0.000007,-0.0008,1.585811,0.015092,-0.002434,0.0124,0.0001,0.000025,0.097144,0.0000,1.585811,0.000000,0.000000,1.7335,0.000000,2.000000,274.3286,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1014,0.0000,0.000000,0.3920,5.35,4.74,15.44,2.85,0.000013,0.0004,-1.7344,nan,nan,nan,nan,nan,nan,0.0,0.0,57.54618271667424,66.75999778847758,-0.003893,0.001308,6515.4,6105.2,0.011581,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778815267.040671,9,1.682444,-0.079692,0.003390,-0.0529,0.0146,0.000873,1.648415,0.000020,0.000011,-0.0007,1.682579,-0.079664,0.003394,0.0104,0.0006,0.000050,0.116482,0.0000,1.682579,0.000000,-0.000000,1.6201,0.000000,2.000000,233.4464,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1095,0.0000,0.000000,0.4160,4.61,4.45,13.68,2.82,0.000020,0.0006,-1.6207,0.008000,0.143828,0.3881,-0.491013,0.003386,0.002009,0.0,0.0,48.32391513099675,54.85081424812583,-0.009334,-0.004024,6509.5,6111.0,0.015632,0.000000,0.000000,0.5000,1.0000,,,,,
