time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,14.039899,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000084,-0.000755,0.000066,0.000342,0.000000,0.097658,0.000000,0,0,14.040468,0.000000,0.000000,0.000000
0.204000,0.055295,0.000009,1.522611,0.000523,-0.000028,0.000392,0.000374,0.000000,0.169353,0.000000,0,0,14.040596,0.000000,0.000000,0.000000
0.306000,0.055218,0.000028,1.263977,0.000577,0.000236,0.001574,0.000424,0.000000,0.254085,0.000000,0,0,14.040672,0.000000,0.000000,0.000000
0.408000,0.055175,0.000073,0.902700,0.000432,0.000176,0.005038,0.000454,0.000000,0.324965,0.000000,0,0,14.040714,0.000000,0.000000,0.000000
0.510000,0.058464,-0.000212,0.564527,0.027327,0.076293,-0.004645,0.004681,0.000000,0.386764,0.000000,0,0,14.037441,0.000000,0.000000,0.000000
0.612000,0.059476,0.000349,0.637310,-0.026141,-0.072950,0.004900,0.000484,0.000000,0.436823,0.000000,0,0,14.036404,0.000000,0.000000,0.000000
0.714000,0.053129,0.001236,0.740599,-0.015635,-0.047071,0.008789,-0.001470,0.000000,0.507544,0.000000,0,0,14.042702,0.000000,0.000000,0.000000
0.816000,0.049069,0.002325,0.746253,-0.039789,-0.029412,0.006108,0.014658,0.000000,0.590826,0.000000,0,0,14.046708,0.000000,0.000000,0.000000
0.918000,0.052335,0.001460,0.694378,0.058900,0.093087,0.001562,0.022992,0.000000,0.685993,0.000000,0,0,14.043485,0.000000,0.000000,0.000000
1.020000,0.073227,0.002232,0.662535,0.308525,0.299090,0.027705,-0.025954,0.000000,0.769653,0.000000,0,0,14.022580,0.000000,0.000000,0.000000
1.122000,0.116166,0.005957,0.686645,0.541644,0.525962,0.051986,0.008586,0.000000,0.808875,0.000000,0,0,13.979514,0.000000,0.000000,0.000000
1.224000,0.177175,0.013358,0.720778,0.666609,0.669422,0.075280,0.017164,0.000000,0.821700,0.000000,0,0,13.918228,0.000000,0.000000,0.000000
1.326000,0.254654,0.021485,0.743495,0.852817,0.849476,0.067769,0.024328,0.000000,0.809249,0.000000,0,0,13.840456,0.000000,0.000000,0.000000
1.428000,0.350447,0.028744,0.762036,1.027792,1.026975,0.057192,0.021430,0.000000,0.769092,0.000000,0,0,13.744432,0.000000,0.000000,0.000000
1.530000,0.463940,0.034796,0.774338,1.194660,1.197129,0.041144,0.017292,0.000000,0.710741,0.000000,0,0,13.630780,0.000000,0.000000,0.000000
1.632000,0.595024,0.039635,0.779763,1.361340,1.366780,0.031562,0.020535,0.000000,0.625919,0.000000,0,0,13.499613,0.000000,0.000000,0.000000
1.734000,0.742504,0.043804,0.780089,1.513700,1.515843,0.019434,0.014533,0.000000,0.538600,0.000000,0,0,13.352097,0.000000,0.000000,0.000000
1.836000,0.904054,0.046849,0.780299,1.647205,1.646996,0.006741,0.012426,0.000000,0.430062,0.000000,0,0,13.190577,0.000000,0.000000,0.000000
1.938000,1.078718,0.049593,0.780885,1.773970,1.775333,0.006227,0.016251,0.000000,0.360867,0.013320,0,0,13.015974,0.000000,0.000000,0.000000
2.040000,1.266557,0.053456,0.780405,1.901466,1.903779,0.012699,0.014072,0.000000,0.305630,0.041012,0,0,12.828160,0.000000,0.000000,0.000000
2.142000,1.466957,0.058299,0.780159,2.020202,2.020468,0.018452,0.014031,0.000000,0.270039,0.071769,0,0,12.627755,0.000000,0.000000,0.000000
2.244000,1.678250,0.064059,0.780278,2.115482,2.117214,0.021281,0.017193,0.000000,0.240110,0.108444,0,0,12.416425,0.000000,0.000000,0.000000
2.346000,1.899098,0.070664,0.779961,2.211223,2.210725,0.023362,0.023788,0.000000,0.219626,0.139883,0,0,12.195514,0.000000,0.000000,0.000000
2.448000,2.129545,0.077900,0.780195,2.305350,2.303502,0.017969,0.026794,0.000000,0.201247,0.172136,0,0,11.964984,0.000000,0.000000,0.000000
2.550000,2.368131,0.084853,0.779068,2.367592,2.369702,0.002144,0.025159,0.000000,0.187802,0.196748,0,0,11.726340,0.000000,0.000000,0.000000
2.652000,2.610610,0.091857,0.777823,2.353985,2.359391,-0.000174,0.014766,0.000000,0.174954,0.218679,0,0,11.483807,0.000000,0.000000,0.000000
2.754000,2.845838,0.098444,0.778504,2.246161,2.250126,-0.006578,0.010969,0.000000,0.165003,0.231878,0,0,11.248539,0.000000,0.000000,0.000000
2.856000,3.068978,0.104791,0.775903,2.133986,2.128408,0.000539,0.001895,0.000000,0.155027,0.237163,0,0,11.025357,0.000000,0.000000,0.000000
2.958000,3.279511,0.112302,0.757002,2.051029,2.004916,0.017215,-0.012659,0.000000,0.146992,0.232560,0,0,10.814710,0.000000,0.000000,0.000000
3.060000,3.476687,0.119086,0.726729,1.828825,1.838062,0.007184,-0.018342,0.045455,0.138689,0.217553,0,0,10.617441,0.000000,0.000000,0.000000
3.162000,3.653475,0.125843,0.736999,1.592819,1.634522,0.021094,0.022108,0.227273,0.131846,0.196299,0,0,10.440536,0.000000,0.000000,0.000000
3.264000,3.809602,0.133900,0.763018,1.432727,1.439913,0.033196,0.044256,0.431818,0.124655,0.164368,0,0,10.284201,0.000000,0.000000,0.000000
