time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
7.0200,13.2516,1.8146,3.227,2,16.406,0.764,0.828,3.3248,2.328,3.328,0,1
7.0230,13.2613,1.8138,3.229,2,16.406,0.764,0.828,3.3153,2.328,3.328,0,1
7.0260,13.2710,1.8129,3.230,2,16.406,0.764,0.828,3.3059,2.328,3.328,0,1
7.0290,13.2807,1.8121,3.232,2,16.406,0.764,0.828,3.2964,2.328,3.328,0,1
7.0320,13.2904,1.8113,3.237,2,16.406,0.764,0.828,3.2869,2.328,3.328,0,1
7.0350,13.3001,1.8104,3.236,2,16.406,0.764,0.828,3.2774,2.328,3.328,0,1
7.0380,13.3098,1.8096,3.238,2,16.406,0.764,0.828,3.2680,2.328,3.328,0,1
7.0410,13.3196,1.8087,3.239,2,16.406,0.764,0.828,3.2585,2.328,3.328,0,1
7.0440,13.3293,1.8079,3.241,2,16.406,0.764,0.828,3.2490,2.328,3.328,0,1
7.0470,13.3390,1.8070,3.242,2,16.406,0.764,0.828,3.2395,2.328,3.328,0,1
7.0500,13.3487,1.8061,3.244,2,16.406,0.764,0.828,3.2300,2.328,3.328,0,1
7.0530,13.3585,1.8052,3.245,2,16.406,0.764,0.828,3.2205,2.328,3.328,0,1
7.0560,13.3682,1.8044,3.248,2,16.406,0.764,0.828,3.2110,2.328,3.328,0,1
7.0590,13.3780,1.8035,3.250,2,16.406,0.764,0.828,3.2015,2.328,3.328,0,1
7.0620,13.3877,1.8025,3.252,2,16.406,0.764,0.828,3.1920,2.328,3.328,0,1
7.0650,13.3975,1.8016,3.253,2,16.406,0.764,0.828,3.1824,2.328,3.328,0,1
7.0680,13.4072,1.8007,3.255,2,16.406,0.764,0.828,3.1729,2.328,3.328,0,1
7.0710,13.4170,1.7998,3.257,2,16.406,0.764,0.828,3.1634,2.328,3.328,0,1
7.0740,13.4268,1.7988,3.259,2,16.406,0.764,0.828,3.1538,2.328,3.328,0,1
7.0770,13.4365,1.7979,3.261,2,16.406,0.764,0.828,3.1443,2.328,3.328,0,1
7.0800,13.4463,1.7969,3.263,2,16.406,0.764,0.828,3.1348,2.328,3.328,0,1
7.0830,13.4561,1.7960,3.266,2,16.406,0.764,0.828,3.1252,2.328,3.328,0,1
7.0860,13.4659,1.7950,3.270,2,16.406,0.764,0.828,3.1156,2.328,3.328,0,1
7.0890,13.4757,1.7940,3.272,2,16.406,0.764,0.828,3.1061,2.328,3.328,0,1
7.0920,13.4855,1.7930,3.274,2,16.406,0.764,0.828,3.0965,2.328,3.328,0,1
7.0950,13.4953,1.7920,3.275,2,16.406,0.764,0.828,3.0869,2.328,3.328,0,1
7.0980,13.5052,1.7910,3.277,2,16.406,0.764,0.828,3.0773,2.328,3.328,0,1
7.1010,13.5150,1.7900,3.280,2,16.406,0.764,0.828,3.0677,2.328,3.328,0,1
7.1040,13.5248,1.7890,3.282,2,16.406,0.764,0.828,3.0581,2.328,3.328,0,1
7.1070,13.5346,1.7880,3.284,2,16.406,0.764,0.828,3.0485,2.328,3.328,0,1
7.1100,13.5445,1.7870,3.286,2,16.406,0.764,0.828,3.0389,2.328,3.328,0,1
7.1130,13.5543,1.7859,3.289,2,16.406,0.764,0.828,3.0292,2.328,3.328,0,1
7.1160,13.5642,1.7849,3.291,2,16.406,0.764,0.828,3.0196,2.328,3.328,0,1
7.1190,13.5740,1.7838,3.293,2,16.406,0.764,0.828,3.0100,2.328,3.328,0,1
7.1220,13.5839,1.7828,3.295,2,16.406,0.764,0.828,3.0003,2.328,3.328,0,1
7.1250,13.5938,1.7817,3.299,2,16.406,0.764,0.828,2.9907,2.328,3.328,0,1
7.1280,13.6037,1.7806,3.300,2,16.406,0.764,0.828,2.9811,2.328,3.328,0,1
7.1310,13.6135,1.7796,3.303,2,16.406,0.764,0.828,2.9714,2.328,3.328,0,1
7.1340,13.6234,1.7785,3.306,2,16.406,0.764,0.828,2.9617,2.328,3.328,0,1
7.1370,13.6333,1.7774,3.309,2,16.406,0.764,0.828,2.9521,2.328,3.328,0,1
7.1400,13.6432,1.7763,3.310,2,16.406,0.764,0.828,2.9424,2.328,3.328,0,1
7.1430,13.6531,1.7752,3.313,2,16.406,0.764,0.828,2.9327,2.328,3.328,0,1
7.1460,13.6631,1.7741,3.317,2,16.406,0.764,0.828,2.9230,2.328,3.328,0,1
7.1490,13.6730,1.7730,3.319,2,16.406,0.764,0.828,2.9133,2.328,3.328,0,1
7.1520,13.6829,1.7719,3.321,2,16.406,0.764,0.828,2.9036,2.328,3.328,0,1
7.1550,13.6929,1.7708,3.324,2,16.406,0.764,0.828,2.8939,2.328,3.328,0,1
7.1580,13.7028,1.7696,3.327,2,16.406,0.764,0.828,2.8842,2.328,3.328,0,1
7.1610,13.7128,1.7685,3.329,2,16.406,0.764,0.828,2.8745,2.328,3.328,0,1
7.1640,13.7227,1.7673,3.332,2,16.406,0.764,0.828,2.8647,2.328,3.328,0,1
7.1670,13.7327,1.7662,3.336,2,16.406,0.764,0.828,2.8550,2.328,3.328,0,1
7.1700,13.7427,1.7650,3.339,2,16.406,0.764,0.828,2.8452,2.328,3.328,0,1
7.1730,13.7527,1.7638,3.342,2,16.406,0.764,0.828,2.8355,2.328,3.328,0,1
7.1760,13.7627,1.7627,3.346,2,16.406,0.764,0.828,2.8257,2.328,3.328,0,1
7.1790,13.7727,1.7615,3.348,2,16.406,0.764,0.828,2.8159,2.328,3.328,0,1
7.1820,13.7827,1.7603,3.350,2,16.406,0.764,0.828,2.8061,2.328,3.328,0,1
7.1850,13.7927,1.7591,3.353,2,16.406,0.764,0.828,2.7963,2.328,3.328,0,1
7.1880,13.8028,1.7578,3.356,2,16.406,0.764,0.828,2.7865,2.328,3.328,0,1
7.1910,13.8128,1.7566,3.359,2,16.406,0.764,0.828,2.7767,2.328,3.328,0,1
7.1940,13.8228,1.7554,3.362,2,16.406,0.764,0.828,2.7669,2.328,3.328,0,1
7.1970,13.8329,1.7542,3.368,2,16.406,0.764,0.828,2.7570,2.328,3.328,0,1
7.2000,13.8430,1.7529,3.370,2,16.406,0.764,0.828,2.7472,2.328,3.328,0,1
7.2030,13.8531,1.7517,3.372,2,16.406,0.764,0.828,2.7373,2.328,3.328,0,1
7.2060,13.8631,1.7504,3.374,2,16.406,0.764,0.828,2.7275,2.328,3.328,0,1
7.2090,13.8732,1.7492,3.377,2,16.406,0.764,0.828,2.7176,2.328,3.328,0,1
7.2120,13.8833,1.7479,3.380,2,16.406,0.764,0.828,2.7078,2.328,3.328,0,1
7.2150,13.8934,1.7467,3.385,2,16.406,0.764,0.828,2.6979,2.328,3.328,0,1
7.2180,13.9036,1.7454,3.387,2,16.406,0.764,0.828,2.6880,2.328,3.328,0,1
7.2210,13.9137,1.7441,3.389,2,16.406,0.764,0.828,2.6781,2.328,3.328,0,1
7.2240,13.9238,1.7428,3.392,2,16.406,0.764,0.828,2.6682,2.328,3.328,0,1
7.2270,13.9339,1.7416,3.396,2,16.406,0.764,0.828,2.6583,2.328,3.328,0,1
7.2300,13.9441,1.7403,3.399,2,16.406,0.764,0.828,2.6484,2.328,3.328,0,1
7.2330,13.9543,1.7390,3.403,2,16.406,0.764,0.828,2.6385,2.328,3.328,0,1
7.2360,13.9644,1.7376,3.407,2,16.406,0.764,0.828,2.6285,2.328,3.328,0,1
7.2390,13.9746,1.7363,3.411,2,16.406,0.764,0.828,2.6186,2.328,3.328,0,1
7.2420,13.9848,1.7350,3.414,2,16.406,0.764,0.828,2.6086,2.328,3.328,0,1
7.2450,13.9950,1.7337,3.417,2,16.406,0.764,0.828,2.5987,2.328,3.328,0,1
7.2480,14.0052,1.7324,3.394,2,16.406,0.764,0.828,2.5888,2.328,3.328,0,1
7.2510,14.0151,1.7312,3.344,2,16.406,0.764,0.828,2.5791,2.328,3.328,0,1
7.2540,14.0248,1.7301,3.257,2,16.406,0.764,0.828,2.5696,2.328,3.328,0,1
7.2570,14.0343,1.7289,3.161,2,16.406,0.764,0.828,2.5605,2.328,3.328,0,1
7.2600,14.0434,1.7280,3.032,2,16.406,0.764,0.828,2.5517,2.328,3.328,0,1
7.2630,14.0520,1.7270,2.898,2,16.406,0.764,0.828,2.5433,2.328,3.328,0,1
7.2660,14.0602,1.7262,2.734,2,16.406,0.764,0.828,2.5354,2.328,3.328,0,1
7.2690,14.0680,1.7255,2.576,2,16.406,0.764,0.828,2.5280,2.328,3.328,0,1
7.2720,14.0752,1.7250,2.392,2,16.406,0.764,0.828,2.5211,2.328,3.328,0,1
7.2750,14.0820,1.7246,2.227,2,16.406,0.764,0.828,2.5147,2.328,3.328,0,1
7.2780,14.0883,1.7243,2.071,2,16.406,0.764,0.828,2.5088,2.328,3.328,0,1
7.2810,14.0942,1.7241,1.926,2,16.406,0.764,0.828,2.5033,2.328,3.328,0,1
7.2840,14.0996,1.7241,1.786,2,16.406,0.764,0.828,2.4982,2.328,3.328,0,1
7.2870,14.1048,1.7243,1.670,2,16.406,0.764,0.828,2.4935,2.328,3.328,0,1
7.2900,14.1097,1.7245,1.596,2,16.406,0.764,0.828,2.4891,2.328,3.328,0,1
7.2930,14.1144,1.7249,1.501,2,16.406,0.764,0.828,2.4849,2.328,3.328,0,1
7.2960,14.1188,1.7253,1.426,2,16.406,0.764,0.828,2.4810,2.328,3.328,0,1
7.2990,14.1232,1.7258,1.388,2,16.406,0.764,0.828,2.4771,2.328,3.328,0,1
7.3020,14.1274,1.7263,1.333,2,16.406,0.764,0.828,2.4735,2.328,3.328,0,1
7.3050,14.1315,1.7269,1.320,2,16.406,0.764,0.828,2.4699,2.328,3.328,0,1
7.3080,14.1356,1.7275,1.303,2,16.406,0.764,0.828,2.4664,2.328,3.328,0,1
7.3110,14.1396,1.7282,1.289,2,16.406,0.764,0.828,2.4630,2.328,3.328,0,1
7.3140,14.1436,1.7288,1.287,2,16.406,0.764,0.828,2.4595,2.328,3.328,0,1
7.3170,14.1476,1.7295,1.290,2,16.406,0.764,0.828,2.4561,2.328,3.328,0,1
7.3200,14.1516,1.7302,1.286,2,16.406,0.764,0.828,2.4527,2.328,3.328,0,1
7.3230,14.1556,1.7310,1.265,2,16.406,0.764,0.828,2.4494,2.328,3.328,0,1
7.3260,14.1595,1.7317,1.258,2,16.406,0.764,0.828,2.4461,2.328,3.328,0,1
7.3290,14.1634,1.7325,1.255,2,16.406,0.764,0.828,2.4428,2.328,3.328,0,1
7.3320,14.1673,1.7332,1.254,2,16.406,0.764,0.828,2.4395,2.328,3.328,0,1
7.3350,14.1712,1.7340,1.251,2,16.406,0.764,0.828,2.4362,2.328,3.328,0,1
7.3380,14.1751,1.7347,1.251,2,16.406,0.764,0.828,2.4330,2.328,3.328,0,1
7.3410,14.1789,1.7354,1.250,2,16.406,0.764,0.828,2.4297,2.328,3.328,0,1
7.3440,14.1828,1.7362,1.240,2,16.406,0.764,0.828,2.4265,2.328,3.328,0,1
7.3470,14.1866,1.7369,1.237,2,16.406,0.764,0.828,2.4233,2.328,3.328,0,1
