sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778829377.031030,0,1.626937,0.018227,-0.008156,0.0325,-0.1020,0.000401,1.648994,-0.000000,-0.000000,-0.0020,1.628285,0.017370,-0.008172,0.0274,-0.0004,-0.000016,-0.113244,0.0000,1.628285,0.000000,0.000000,1.4458,0.000000,2.000000,383.0667,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0506,0.0000,0.000000,0.2000,17.64,9.46,44.73,6.38,-0.000000,-0.0000,-1.4478,nan,nan,nan,nan,nan,nan,0.0,0.0,-48.59776063092582,258.6376918523399,0.199982,0.202524,6560.6,6059.9,-0.050001,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778829377.038226,1,1.678415,-0.000004,-0.000290,-0.0103,-0.1074,0.000034,1.648913,-0.000001,-0.000000,-0.0094,1.679415,-0.000858,-0.000306,0.0238,-0.0007,-0.000029,-0.019041,0.0000,1.679415,0.000000,-0.000000,1.3723,0.000000,2.000000,281.7940,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0550,0.0000,0.000000,0.2240,15.51,9.02,40.05,6.56,-0.000001,-0.0000,-1.3816,nan,nan,nan,nan,nan,nan,0.0,0.0,-20.530766252034837,269.8600962830228,0.202205,0.204295,6557.3,6063.3,-0.044154,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778829377.047429,2,1.689046,-0.026516,0.001216,0.0005,-0.0872,-0.001324,1.648775,-0.000002,-0.000002,-0.0125,1.689765,-0.027340,0.001199,0.0196,-0.0012,-0.000052,-0.010433,0.0000,1.689765,0.000000,-0.000000,1.3559,0.000000,2.000000,290.7114,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0598,0.0000,0.000000,0.2480,13.26,8.21,34.73,3.61,-0.000002,-0.0001,-1.3684,nan,nan,nan,nan,nan,nan,0.0,0.0,16.29462454625829,275.99828595624405,0.197287,0.197350,6552.6,6068.0,-0.035995,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778829377.059296,3,1.649908,-0.011160,0.001303,-0.1000,-0.0342,-0.000969,1.648627,-0.000005,-0.000003,-0.0121,1.650421,-0.011873,0.001288,0.0163,-0.0019,-0.000080,0.005010,0.0000,1.650421,0.000000,0.000000,1.4154,0.000000,2.000000,282.0092,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0652,0.0000,0.000000,0.2720,11.34,7.49,30.17,3.38,-0.000005,-0.0002,-1.4274,nan,nan,nan,nan,nan,nan,0.0,0.0,56.76223691053879,264.2978430669576,0.173292,0.172140,6546.3,6074.2,-0.025072,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778829377.071150,4,1.657372,0.000477,0.003322,0.0301,0.0115,0.002047,1.648492,-0.000007,-0.000005,-0.0106,1.657899,-0.000067,0.003312,0.0196,-0.0024,-0.000098,0.025994,0.0000,1.657899,0.000000,-0.000000,1.4046,0.000000,2.000000,284.2055,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0711,0.0000,0.000000,0.2960,9.72,6.84,26.28,3.15,-0.000007,-0.0003,-1.4152,nan,nan,nan,nan,nan,nan,0.0,0.0,79.8338211816955,237.49126789660613,0.134631,0.136261,6539.0,6081.5,-0.012306,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778829377.083141,5,1.631501,0.039752,-0.002120,0.0684,-0.0248,-0.000067,1.648463,-0.000004,-0.000003,0.0005,1.632193,0.039282,-0.002128,0.0300,-0.0032,-0.000129,0.062468,0.0000,1.632193,0.000000,0.000000,1.4406,0.000000,2.000000,284.6001,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0774,0.0000,0.000000,0.3200,8.34,6.26,22.94,2.97,-0.000004,-0.0002,-1.4401,nan,nan,nan,nan,nan,nan,0.0,0.0,126.16335395166718,253.49748442304477,0.118335,0.119571,6528.1,6092.5,0.006809,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778829377.095248,6,1.689594,-0.038967,-0.000336,0.0649,0.0486,-0.000154,1.648468,0.000001,-0.000000,0.0002,1.690346,-0.039263,-0.000342,0.0372,-0.0030,-0.000115,0.079930,0.0000,1.690346,0.000000,-0.000000,1.3549,0.000000,2.000000,346.5999,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0841,0.0000,0.000000,0.3440,7.17,5.81,20.15,3.28,0.000001,-0.0000,-1.3547,nan,nan,nan,nan,nan,nan,0.0,0.0,74.9470776410435,199.536989380287,0.077023,0.077832,6522.2,6098.4,0.017108,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778829377.107442,7,1.626167,-0.085437,-0.000696,0.0055,-0.0594,-0.001357,1.648453,0.000006,0.000003,-0.0008,1.626725,-0.085756,-0.000702,0.0315,-0.0045,-0.000172,0.094839,0.0000,1.626725,0.000000,0.000000,1.4479,0.000000,2.000000,300.9872,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0912,0.0000,0.000000,0.3680,6.18,5.47,17.83,3.58,0.000006,0.0002,-1.4487,nan,nan,nan,nan,nan,nan,0.0,0.0,119.03594657830152,235.02664990716514,0.085874,0.084805,6517.1,6103.4,0.025838,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778829377.119470,8,1.673290,0.032971,-0.003096,-0.0092,-0.0595,0.001466,1.648434,0.000014,0.000007,-0.0008,1.673693,0.032641,-0.003101,0.0258,-0.0062,-0.000214,0.112617,0.0000,1.673693,0.000000,-0.000000,1.3811,0.000000,2.000000,345.0991,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0987,0.0000,0.000000,0.3920,5.34,5.23,15.90,3.83,0.000014,0.0004,-1.3819,nan,nan,nan,nan,nan,nan,0.0,0.0,158.74250094001872,275.3567530823172,0.091301,0.092297,6511.6,6108.9,0.035462,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778829377.131263,9,1.676387,-0.082068,-0.005998,-0.0789,0.0313,-0.000110,1.648415,0.000021,0.000011,-0.0007,1.676681,-0.082283,-0.006001,0.0213,-0.0052,-0.000175,0.130753,0.0000,1.676681,0.000000,-0.000000,1.3765,0.000000,2.000000,377.9824,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1066,0.0000,0.000000,0.4160,4.61,4.90,14.13,3.06,0.000021,0.0006,-1.3772,0.008000,0.099047,0.1170,-0.480423,-0.031059,-0.001229,0.0,0.0,97.275019493526,221.05579160523902,0.061716,0.062383,6506.2,6114.4,0.044969,0.000000,0.000000,0.5000,1.0000,,,,,
