time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
8.6490,28.1759,-0.1066,4.513,3,29.922,2.729,0.834,3.3298,2.334,3.334,0,1
8.6520,28.1893,-0.1092,4.513,3,29.922,2.729,0.834,3.3251,2.334,3.334,0,1
8.6550,28.2026,-0.1118,4.513,3,29.922,2.729,0.834,3.3203,2.334,3.334,0,1
8.6580,28.2159,-0.1144,4.513,3,29.922,2.729,0.834,3.3157,2.334,3.334,0,1
8.6610,28.2293,-0.1170,4.512,3,29.922,2.729,0.834,3.3111,2.334,3.334,0,1
8.6640,28.2426,-0.1196,4.512,3,29.922,2.729,0.834,3.3066,2.334,3.334,0,1
8.6670,28.2559,-0.1223,4.511,3,29.922,2.729,0.834,3.3021,2.334,3.334,0,1
8.6700,28.2693,-0.1249,4.515,3,29.922,2.729,0.834,3.2977,2.334,3.334,0,1
8.6730,28.2826,-0.1276,4.511,3,29.922,2.729,0.834,3.2934,2.334,3.334,0,1
8.6760,28.2959,-0.1303,4.510,3,29.922,2.729,0.834,3.2891,2.334,3.334,0,1
8.6790,28.3092,-0.1330,4.511,3,29.922,2.729,0.834,3.2849,2.334,3.334,0,1
8.6820,28.3225,-0.1357,4.511,3,29.922,2.729,0.834,3.2807,2.334,3.334,0,1
8.6850,28.3359,-0.1384,4.510,3,29.922,2.729,0.834,3.2766,2.334,3.334,0,1
8.6880,28.3492,-0.1411,4.509,3,29.922,2.729,0.834,3.2726,2.334,3.334,0,1
8.6910,28.3625,-0.1439,4.509,3,29.922,2.729,0.834,3.2686,2.334,3.334,0,1
8.6940,28.3758,-0.1466,4.509,3,29.922,2.729,0.834,3.2647,2.334,3.334,0,1
8.6970,28.3891,-0.1494,4.509,3,29.922,2.729,0.834,3.2609,2.334,3.334,0,1
8.7000,28.4024,-0.1522,4.510,3,29.922,2.729,0.834,3.2571,2.334,3.334,0,1
8.7030,28.4157,-0.1550,4.510,3,29.922,2.729,0.834,3.2534,2.334,3.334,0,1
8.7060,28.4290,-0.1578,4.510,3,29.922,2.729,0.834,3.2498,2.334,3.334,0,1
8.7090,28.4423,-0.1606,4.509,3,29.922,2.729,0.834,3.2462,2.334,3.334,0,1
8.7120,28.4556,-0.1634,4.516,3,29.922,2.729,0.834,3.2427,2.334,3.334,0,1
8.7150,28.4689,-0.1663,4.512,3,29.922,2.729,0.834,3.2392,2.334,3.334,0,1
8.7180,28.4822,-0.1691,4.513,3,29.922,2.729,0.834,3.2358,2.334,3.334,0,1
8.7210,28.4955,-0.1720,4.513,3,29.922,2.729,0.834,3.2325,2.334,3.334,0,1
8.7240,28.5088,-0.1749,4.513,3,29.922,2.729,0.834,3.2292,2.334,3.334,0,1
8.7270,28.5221,-0.1777,4.513,3,29.922,2.729,0.834,3.2260,2.334,3.334,0,1
8.7300,28.5353,-0.1806,4.513,3,29.922,2.729,0.834,3.2229,2.334,3.334,0,1
8.7330,28.5486,-0.1835,4.513,3,29.922,2.729,0.834,3.2198,2.334,3.334,0,1
8.7360,28.5619,-0.1864,4.506,3,29.922,2.729,0.834,3.2168,2.334,3.334,0,1
8.7390,28.5751,-0.1893,4.510,3,29.922,2.729,0.834,3.2138,2.334,3.334,0,1
8.7420,28.5884,-0.1922,4.510,3,29.922,2.729,0.834,3.2109,2.334,3.334,0,1
8.7450,28.6017,-0.1951,4.508,3,29.922,2.729,0.834,3.2081,2.334,3.334,0,1
8.7480,28.6149,-0.1981,4.512,3,29.922,2.729,0.834,3.2054,2.334,3.334,0,1
8.7510,28.6282,-0.2011,4.510,3,29.922,2.729,0.834,3.2027,2.334,3.334,0,1
8.7540,28.6414,-0.2040,4.511,3,29.922,2.729,0.834,3.2001,2.334,3.334,0,1
8.7570,28.6547,-0.2070,4.512,3,29.922,2.729,0.834,3.1976,2.334,3.334,0,1
8.7600,28.6680,-0.2100,4.512,3,29.922,2.729,0.834,3.1951,2.334,3.334,0,1
8.7630,28.6812,-0.2130,4.512,3,29.922,2.729,0.834,3.1927,2.334,3.334,0,1
8.7660,28.6945,-0.2160,4.512,3,29.922,2.729,0.834,3.1903,2.334,3.334,0,1
8.7690,28.7077,-0.2191,4.512,3,29.922,2.729,0.834,3.1881,2.334,3.334,0,1
8.7720,28.7210,-0.2221,4.513,3,29.922,2.729,0.834,3.1859,2.334,3.334,0,1
8.7750,28.7342,-0.2252,4.512,3,29.922,2.729,0.834,3.1837,2.334,3.334,0,1
8.7780,28.7474,-0.2282,4.511,3,29.922,2.729,0.834,3.1817,2.334,3.334,0,1
8.7810,28.7607,-0.2313,4.511,3,29.922,2.729,0.834,3.1797,2.334,3.334,0,1
8.7840,28.7739,-0.2344,4.510,3,29.922,2.729,0.834,3.1778,2.334,3.334,0,1
8.7870,28.7871,-0.2375,4.511,3,29.922,2.729,0.834,3.1759,2.334,3.334,0,1
8.7900,28.8003,-0.2406,4.510,3,29.922,2.729,0.834,3.1741,2.334,3.334,0,1
8.7930,28.8135,-0.2438,4.510,3,29.922,2.729,0.834,3.1724,2.334,3.334,0,1
8.7960,28.8267,-0.2469,4.509,3,29.922,2.729,0.834,3.1708,2.334,3.334,0,1
8.7990,28.8399,-0.2501,4.508,3,29.922,2.729,0.834,3.1692,2.334,3.334,0,1
8.8020,28.8531,-0.2533,4.508,3,29.922,2.729,0.834,3.1677,2.334,3.334,0,1
8.8050,28.8663,-0.2565,4.508,3,29.922,2.729,0.834,3.1663,2.334,3.334,0,1
8.8080,28.8795,-0.2597,4.508,3,29.922,2.729,0.834,3.1649,2.334,3.334,0,1
8.8110,28.8927,-0.2629,4.506,3,29.922,2.729,0.834,3.1636,2.334,3.334,0,1
8.8140,28.9059,-0.2661,4.506,3,29.922,2.729,0.834,3.1624,2.334,3.334,0,1
8.8170,28.9191,-0.2693,4.495,3,29.922,2.729,0.834,3.1613,2.334,3.334,0,1
8.8200,28.9322,-0.2725,4.501,3,29.922,2.729,0.834,3.1602,2.334,3.334,0,1
8.8230,28.9454,-0.2758,4.500,3,29.922,2.729,0.834,3.1592,2.334,3.334,0,1
8.8260,28.9586,-0.2790,4.498,3,29.922,2.729,0.834,3.1582,2.334,3.334,0,1
8.8290,28.9717,-0.2823,4.501,3,29.922,2.729,0.834,3.1574,2.334,3.334,0,1
8.8320,28.9849,-0.2856,4.500,3,29.922,2.729,0.834,3.1566,2.334,3.334,0,1
8.8350,28.9980,-0.2889,4.501,3,29.922,2.729,0.834,3.1558,2.334,3.334,0,1
8.8380,29.0112,-0.2922,4.501,3,29.922,2.729,0.834,3.1552,2.334,3.334,0,1
8.8410,29.0244,-0.2955,4.501,3,29.922,2.729,0.834,3.1546,2.334,3.334,0,1
8.8440,29.0375,-0.2988,4.502,3,29.922,2.729,0.834,3.1541,2.334,3.334,0,1
8.8470,29.0507,-0.3022,4.502,3,29.922,2.729,0.834,3.1536,2.334,3.334,0,1
8.8500,29.0638,-0.3055,4.503,3,29.922,2.729,0.834,3.1532,2.334,3.334,0,1
8.8530,29.0770,-0.3089,4.503,3,29.922,2.729,0.834,3.1529,2.334,3.334,0,1
8.8560,29.0901,-0.3123,4.503,3,29.922,2.729,0.834,3.1527,2.334,3.334,0,1
8.8590,29.1033,-0.3157,4.504,3,29.922,2.729,0.834,3.1525,2.334,3.334,0,1
8.8620,29.1164,-0.3190,4.504,3,29.922,2.729,0.834,3.1524,2.334,3.334,0,1
8.8650,29.1296,-0.3224,4.505,3,29.922,2.729,0.834,3.1523,2.334,3.334,0,1
8.8680,29.1427,-0.3258,4.505,3,29.922,2.729,0.834,3.1523,2.334,3.334,0,1
8.8710,29.1558,-0.3293,4.505,3,29.922,2.729,0.834,3.1524,2.334,3.334,0,1
