sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778829479.976854,0,1.660891,0.037410,0.001670,0.0423,0.1155,0.000776,1.648994,-0.000000,-0.000000,-0.0020,1.662699,0.038382,0.001693,0.0373,0.0004,0.000018,-0.111481,0.0000,1.662699,0.000000,-0.000000,7.0000,0.000000,2.000000,7079.7838,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0839,0.0000,0.000000,0.2000,17.73,9.57,45.02,7.14,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-1061.3154260417302,-1511.2037161352644,-0.229367,-0.224504,6560.2,6060.4,-0.049223,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778829479.984982,1,1.619102,-0.061479,-0.003981,-0.0145,0.0294,-0.000056,1.648913,-0.000001,-0.000000,-0.0094,1.620468,-0.060658,-0.003962,0.0318,0.0006,0.000024,-0.015214,0.0000,1.620468,0.000000,0.000000,7.0000,0.000000,2.000000,7008.3983,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0911,0.0000,0.000000,0.2240,16.07,9.21,41.36,7.15,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-805.4264795856161,-1265.6909520618028,-0.197052,-0.193144,6556.9,6063.6,-0.043559,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778829479.992845,2,1.629890,-0.009108,0.003678,0.0491,-0.0340,-0.001663,1.648775,-0.000002,-0.000001,-0.0124,1.631231,-0.008498,0.003691,0.0355,0.0007,0.000031,-0.005000,0.0000,1.631231,0.000000,0.000000,7.0000,0.000000,2.000000,7001.6145,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0992,0.0000,0.000000,0.2480,14.04,8.55,36.64,4.83,-0.000002,-0.0001,-7.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,-272.75558150324787,-687.9814184311152,-0.145783,-0.144658,6552.1,6068.4,-0.035141,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778829480.002666,3,1.640298,0.018246,0.000915,-0.0536,-0.0161,-0.000584,1.648627,-0.000005,-0.000003,-0.0121,1.641252,0.018704,0.000925,0.0291,0.0010,0.000042,0.010007,0.0000,1.641252,0.000000,0.000000,7.0000,0.000000,2.000000,6992.5794,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1081,0.0000,0.000000,0.2720,11.99,7.93,31.91,4.39,-0.000005,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,-33.356919371329596,-325.57858934162715,-0.111344,-0.111166,6545.9,6074.7,-0.024313,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778829480.014782,4,1.675495,0.030187,-0.003510,-0.0051,0.0091,0.000749,1.648492,-0.000007,-0.000005,-0.0106,1.676179,0.030564,-0.003502,0.0241,0.0014,0.000057,0.029501,0.0000,1.676179,0.000000,-0.000000,7.0000,0.000000,2.000000,6980.9161,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1179,0.0000,0.000000,0.2960,10.27,7.23,27.77,3.27,-0.000007,-0.0003,-7.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,30.799154399679523,-186.4279489123004,-0.093881,-0.092788,6538.9,6081.7,-0.012113,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778829480.026709,5,1.861289,-0.000727,-0.003330,-0.0146,0.0011,0.000152,1.648464,-0.000004,-0.000003,0.0004,1.861783,-0.000427,-0.003323,0.0205,0.0018,0.000071,0.068426,0.0000,1.861783,-0.000000,-0.000000,7.0000,0.000000,2.000000,6955.1844,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1283,0.0000,0.000000,0.3200,8.79,6.58,24.17,2.92,-0.000004,-0.0002,-6.9996,nan,nan,nan,nan,nan,nan,0.0,0.0,52.489758124591205,-106.54874538369262,-0.076320,-0.075243,6527.2,6093.4,0.008296,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778829480.038723,6,1.617332,-0.020229,0.004910,0.0210,-0.0367,-0.000139,1.648468,0.000002,0.000000,0.0003,1.617771,-0.020044,0.004914,0.0211,0.0016,0.000063,0.084954,0.0000,1.617771,0.000000,0.000000,7.0000,0.000000,2.000000,6977.8629,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1395,0.0000,0.000000,0.3440,7.54,6.13,21.21,3.57,0.000002,0.0000,-6.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,36.279185477199334,-14.410752458799152,-0.047338,-0.046643,6521.4,6099.1,0.018379,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778829480.050849,7,1.742130,-0.068096,0.009354,0.0502,0.1778,0.001532,1.648453,0.000007,0.000003,-0.0009,1.742629,-0.067687,0.009363,0.0272,0.0050,0.000194,0.099413,0.0000,1.742629,0.000000,-0.000000,7.0000,0.000000,2.000000,6971.6612,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1513,0.0000,0.000000,0.3680,6.49,5.81,18.79,3.97,0.000007,0.0002,-7.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,-51.53374907646308,-330.1040647258577,-0.107539,-0.105047,6516.5,6104.1,0.027019,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778829480.063046,8,1.728635,-0.047150,-0.004018,-0.0284,-0.0717,0.001076,1.648434,0.000014,0.000007,-0.0008,1.729001,-0.046936,-0.004012,0.0224,0.0036,0.000137,0.117573,0.0000,1.729001,0.000000,-0.000000,7.0000,0.000000,2.000000,6962.4797,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1638,0.0000,0.000000,0.3920,5.59,5.51,16.70,3.84,0.000014,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,22.98022944892297,-74.7382549250452,-0.059899,-0.056502,6510.8,6109.8,0.036909,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778829480.074851,9,1.648521,0.026737,-0.001531,0.0876,0.0274,0.000533,1.648415,0.000021,0.000011,-0.0007,1.649045,0.026942,-0.001525,0.0354,0.0044,0.000168,0.135232,0.0000,1.649045,0.000000,0.000000,7.0000,0.000000,2.000000,6959.1162,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1769,0.0000,0.000000,0.4160,4.84,5.15,14.83,3.13,0.000021,0.0006,-7.0007,0.008000,0.065241,-0.1758,-0.466377,0.028830,0.002066,0.0,0.0,6.734811566864721,-89.48979697343162,-0.059245,-0.055826,6505.4,6115.2,0.046300,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778829480.086815,10,1.622548,0.073065,-0.010469,0.0481,0.0321,0.001668,1.648397,0.000028,0.000015,-0.0006,1.623055,0.073262,-0.010463,0.0383,0.0055,0.000217,0.153447,0.0000,1.623055,0.000000,0.000000,7.0000,0.000000,2.000000,6956.1020,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1906,0.0000,0.000000,0.4400,4.18,4.89,13.24,3.37,0.000028,0.0008,-7.0006,0.008000,0.142236,-0.3885,-0.463571,0.029454,-0.001996,0.0,0.0,-11.414811581074801,-109.39316088766716,-0.061194,-0.056313,6499.9,6120.6,0.055820,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778829480.098712,11,1.584148,-0.117715,0.003764,0.0142,-0.0013,-0.000201,1.648380,0.000035,0.000018,-0.0005,1.584548,-0.117559,0.003769,0.0341,0.0053,0.000193,0.171810,0.0000,1.584548,0.000000,0.000000,7.0000,0.000000,2.000000,6958.7047,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2048,0.0000,0.000000,0.4640,3.62,4.62,11.85,3.09,0.000035,0.0011,-7.0005,0.008000,0.146266,0.0075,-0.467879,0.023510,0.001140,0.0,0.0,-38.22415555993719,-90.00853407321202,-0.048762,-0.045078,6494.6,6126.0,0.065159,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778829480.110975,12,1.649818,-0.035008,-0.002843,0.0090,-0.0444,0.002018,1.648364,0.000043,0.000022,-0.0004,1.650131,-0.034940,-0.002839,0.0296,0.0027,0.000149,0.189435,0.0000,1.650131,0.000000,0.000000,7.0000,0.000000,2.000000,6948.3725,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2196,0.0000,0.000000,0.4880,3.17,4.39,10.73,3.09,0.000043,0.0013,-7.0004,0.008000,0.067934,-0.2114,-0.473363,0.010361,0.001619,0.0,0.0,-78.69214665887864,-30.21797852472288,-0.023398,-0.017843,6489.5,6131.0,0.073968,0.000000,0.000000,0.5000,1.0000,,,,,
