time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,14.039899,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000087,-0.000757,0.000072,0.000345,0.000000,0.102511,0.000000,0,0,14.040468,0.000000,0.000000,0.000000
0.204000,0.055295,0.000010,1.522611,0.000531,-0.000022,0.000434,0.000372,0.000000,0.176745,0.000000,0,0,14.040596,0.000000,0.000000,0.000000
0.306000,0.055218,0.000031,1.263977,0.000577,0.000234,0.001735,0.000423,0.000000,0.264815,0.000000,0,0,14.040672,0.000000,0.000000,0.000000
0.408000,0.055217,0.000174,0.904350,0.001355,0.005505,0.011554,0.006424,0.000000,0.350262,0.000000,0,0,14.040667,0.000000,0.000000,0.000000
0.510000,0.061113,0.001484,0.642881,0.051915,0.096025,0.025520,-0.011439,0.000000,0.412760,0.000000,0,0,14.034715,0.000000,0.000000,0.000000
0.612000,0.059472,0.003163,0.717496,-0.050002,-0.089038,0.015530,-0.009925,0.000000,0.473311,0.000000,0,0,14.036276,0.000000,0.000000,0.000000
0.714000,0.053945,0.005391,0.790376,-0.020419,-0.032620,0.024139,-0.012192,0.000000,0.526046,0.000000,0,0,14.041694,0.000000,0.000000,0.000000
0.816000,0.056421,0.006094,0.778795,0.080538,0.094954,-0.023811,0.012355,0.000000,0.582207,0.000000,0,0,14.039189,0.000000,0.000000,0.000000
0.918000,0.070464,0.002558,0.753900,0.165615,0.165642,-0.015721,0.005691,0.000000,0.625240,0.000000,0,0,14.025325,0.000000,0.000000,0.000000
1.020000,0.090758,0.002709,0.757164,0.266373,0.262531,0.020378,0.008107,0.000000,0.665517,0.000000,0,0,14.005046,0.000000,0.000000,0.000000
1.122000,0.131222,0.006290,0.770970,0.539929,0.529742,0.039243,0.018341,0.000000,0.693862,0.000000,0,0,13.964459,0.000000,0.000000,0.000000
1.224000,0.200958,0.011388,0.790271,0.845367,0.836469,0.051676,0.017052,0.000000,0.711828,0.000000,0,0,13.894561,0.000000,0.000000,0.000000
1.326000,0.302727,0.017982,0.814189,1.152622,1.144714,0.063429,0.012186,0.000000,0.707173,0.000000,0,0,13.792596,0.000000,0.000000,0.000000
1.428000,0.435479,0.026250,0.838842,1.452924,1.447769,0.069772,0.008610,0.000000,0.670162,0.000000,0,0,13.659604,0.000000,0.000000,0.000000
1.530000,0.597252,0.034854,0.856448,1.705790,1.710314,0.062695,0.015967,0.000000,0.612555,0.000000,0,0,13.497606,0.000000,0.000000,0.000000
1.632000,0.784969,0.042268,0.862212,1.959153,1.964691,0.049458,0.023643,0.000000,0.524159,0.000000,0,0,13.309747,0.000000,0.000000,0.000000
1.734000,0.998591,0.049508,0.859768,2.209677,2.215230,0.038088,0.009513,-0.164123,0.398562,0.000000,0,0,13.096018,0.000000,0.000000,0.000000
1.836000,1.237552,0.053884,0.854693,2.449378,2.456183,-0.000116,-0.023088,-0.293398,0.253616,0.000000,0,0,12.857114,0.000000,0.000000,0.000000
1.938000,1.498418,0.052976,0.851915,2.637304,2.644000,-0.060662,-0.065060,-0.198527,0.251760,0.000000,0,0,12.596581,0.000000,0.000000,0.000000
2.040000,1.774983,0.046216,0.851281,2.738936,2.747298,-0.073202,-0.050467,0.000000,0.305703,0.086052,0,0,12.320666,0.000000,0.000000,0.000000
2.142000,2.057144,0.040830,0.848463,2.765918,2.765412,-0.036016,-0.003192,0.000000,0.281218,0.120324,0,0,12.039122,0.000000,0.000000,0.000000
2.244000,2.336649,0.036762,0.844839,2.710458,2.709571,-0.022237,0.004093,0.000000,0.258912,0.154489,0,0,11.760187,0.000000,0.000000,0.000000
2.346000,2.607946,0.035255,0.842236,2.605393,2.607255,0.005380,-0.001496,0.000000,0.242359,0.176901,0,0,11.489339,0.000000,0.000000,0.000000
2.448000,2.867381,0.036219,0.840369,2.484946,2.483242,0.027153,-0.004637,0.000000,0.226340,0.190781,0,0,11.230221,0.000000,0.000000,0.000000
2.550000,3.115396,0.039342,0.830067,2.410202,2.383742,0.051662,-0.014339,0.000000,0.213802,0.192441,0,0,10.982400,0.000000,0.000000,0.000000
2.652000,3.353824,0.042618,0.802013,2.335581,2.290924,0.020971,0.016594,0.000000,0.201125,0.183765,0,0,10.744151,0.000000,0.000000,0.000000
2.754000,3.578621,0.039141,0.785230,2.078285,2.115036,-0.010309,-0.010163,0.136364,0.190848,0.167910,0,0,10.519899,0.000000,0.000000,0.000000
2.856000,3.785319,0.040821,0.800878,1.915746,1.943920,0.053488,0.043137,0.340909,0.180178,0.141949,0,0,10.313439,0.000000,0.000000,0.000000
2.958000,3.976759,0.050042,0.819657,1.816461,1.818007,0.109379,0.092646,0.522727,0.171352,0.112187,0,0,10.121785,0.000000,0.000000,0.000000
3.060000,4.157365,0.066805,0.826236,1.754580,1.742420,0.164602,0.133132,0.592682,0.164929,0.072930,0,0,9.940517,0.000000,0.000000,0.000000
3.162000,4.332185,0.090223,0.821767,1.707806,1.701393,0.210686,0.152203,0.769006,0.195263,0.049204,0,0,9.764655,0.000000,0.000000,0.000000
3.264000,4.502340,0.122550,0.816174,1.660681,1.660280,0.279946,0.190615,0.973551,0.262097,0.031604,0,0,9.592984,0.000000,0.000000,0.000000
3.366000,4.667137,0.165389,0.812673,1.626082,1.625098,0.352391,0.230589,0.950566,0.336792,0.000000,0,0,9.426170,0.000000,0.000000,0.000000
3.468000,4.829506,0.216858,0.812596,1.655775,1.653670,0.380455,0.229317,1.000000,0.320410,0.000000,0,0,9.261469,0.000000,0.000000,0.000000
3.570000,4.997402,0.275154,0.816113,1.752710,1.746626,0.414374,0.272647,1.000000,0.120546,0.000000,0,0,9.091118,0.000000,0.000000,0.000000
3.672000,5.172944,0.343013,0.820556,1.838081,1.835957,0.437195,0.271290,1.000000,0.392420,0.000000,0,0,8.912991,0.000000,0.000000,0.000000
3.774000,5.353900,0.418225,0.822273,1.894368,1.893957,0.441881,0.298320,0.882429,0.642996,0.000000,0,0,8.729554,0.000000,0.000000,0.000000
3.876000,5.541526,0.500231,0.822206,2.017182,2.016331,0.440380,0.281006,0.759083,0.726902,0.000000,0,0,8.539720,0.000000,0.000000,0.000000
3.978000,5.743766,0.591367,0.825489,2.242253,2.236263,0.438682,0.250811,0.976836,0.783672,0.000000,0,0,8.335673,0.000000,0.000000,0.000000
4.080000,5.962528,0.694790,0.828604,2.403787,2.404966,0.478825,0.351980,0.201490,0.887844,0.001114,0,0,8.115739,0.000000,0.000000,0.000000
4.182000,6.196457,0.812842,0.834760,2.646657,2.643747,0.411285,0.263684,0.019672,0.914214,0.000752,0,0,7.881694,0.000000,0.000000,0.000000
4.284000,6.453758,0.931091,0.842021,2.851926,2.848676,0.270943,0.102624,0.654989,0.897464,0.000000,0,0,7.625674,0.000000,0.000000,0.000000
4.386000,6.730270,1.050103,0.847145,2.999861,3.005431,0.273750,0.205333,0.452328,0.904594,0.000000,0,0,7.351984,0.000000,0.000000,0.000000
4.488000,7.021426,1.182772,0.847977,3.236678,3.233734,0.265765,0.224860,0.510203,0.889814,0.000000,0,0,7.065933,0.000000,0.000000,0.000000
4.590000,7.329207,1.329403,0.848428,3.415828,3.414681,0.274684,0.251733,0.527200,0.869794,0.000000,0,0,6.766400,0.000000,0.000000,0.000000
4.692000,7.647508,1.491015,0.850278,3.543163,3.550347,0.287169,0.308770,-0.627852,0.861470,0.000091,0,0,6.460621,0.000000,0.000000,0.000000
4.794000,7.974162,1.660651,0.851887,3.627848,3.632356,0.137402,-0.002726,-0.091819,0.833378,0.000000,0,0,6.151378,0.000000,0.000000,0.000000
4.896000,8.312702,1.821237,0.853991,3.707533,3.709868,0.059535,-0.011910,-0.343714,0.810269,0.000000,0,0,5.834049,0.000000,0.000000,0.000000
4.998000,8.661399,1.975430,0.857139,3.761606,3.760750,-0.069007,-0.083830,-0.316309,0.786016,0.000000,0,0,5.510757,0.000000,0.000000,0.000000
5.100000,9.020283,2.118630,0.861690,3.813404,3.813602,-0.159971,-0.109534,-0.322537,0.767465,0.000000,0,0,5.180888,0.000000,0.000000,0.000000
5.202000,9.389183,2.253890,0.864680,3.882291,3.883508,-0.188094,-0.112968,-0.194824,0.752755,0.000000,0,0,4.845209,0.000000,0.000000,0.000000
5.304000,9.767320,2.387426,0.863578,3.963809,3.961285,-0.180945,-0.106584,-0.185165,0.750565,0.000000,0,0,4.506244,0.000000,0.000000,0.000000
5.406000,10.153214,2.520765,0.859062,4.037593,4.032396,-0.160259,-0.097057,-0.147308,0.753541,0.000000,0,0,4.166824,0.000000,0.000000,0.000000
