sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778829677.912847,0,1.741412,-0.004528,0.000772,-0.0413,0.0196,0.000442,1.648994,-0.000000,-0.000000,-0.0020,1.741294,-0.004362,0.000777,-0.0053,0.0001,0.000003,-0.117280,0.0000,1.741294,0.000000,-0.000000,5.0000,0.000000,2.000000,3410.9336,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0724,0.0000,0.000000,0.2000,17.44,9.25,44.13,5.02,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,21.36924582480634,35.912977734050756,-0.040610,-0.037693,6561.7,6058.9,-0.020707,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778829677.918704,1,1.620087,0.005910,0.002568,-0.0237,0.0293,0.000927,1.648913,-0.000001,-0.000000,-0.0094,1.620025,0.006092,0.002574,-0.0026,0.0002,0.000007,-0.025536,0.0000,1.620025,0.000000,0.000000,5.0000,0.000000,2.000000,3344.0952,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0786,0.0000,0.000000,0.2240,15.22,8.74,39.18,5.83,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,25.825009956761974,28.099934686554917,-0.044662,-0.041128,6558.5,6062.0,-0.018524,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778829677.928643,2,1.623451,0.040973,0.001821,-0.0328,-0.0742,0.000536,1.648775,-0.000002,-0.000001,-0.0124,1.623413,0.041001,0.001823,-0.0018,0.0000,0.000002,-0.015906,0.0000,1.623413,0.000000,0.000000,5.0000,0.000000,2.000000,3343.8727,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0856,0.0000,0.000000,0.2480,13.01,7.86,33.88,2.89,-0.000002,-0.0001,-5.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,44.53425644195916,78.70489265171614,-0.007665,-0.004124,6553.6,6067.0,-0.015083,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778829677.940695,3,1.703443,0.016916,-0.007027,0.1709,0.0013,0.001110,1.648627,-0.000005,-0.000003,-0.0120,1.704423,0.016935,-0.007024,0.0321,0.0001,0.000003,-0.000874,0.0000,1.704423,0.000000,-0.000000,5.0000,0.000000,2.000000,3342.7051,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0933,0.0000,0.000000,0.2720,11.15,7.12,29.42,2.91,-0.000005,-0.0002,-5.0120,nan,nan,nan,nan,nan,nan,0.0,0.0,47.62072669515342,77.54511503549645,-0.007370,-0.003096,6547.5,6073.1,-0.010806,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778829677.952668,4,1.595502,-0.011232,-0.001713,-0.0445,-0.0212,-0.001618,1.648492,-0.000007,-0.000005,-0.0105,1.596197,-0.011247,-0.001713,0.0265,-0.0001,-0.000003,0.020562,0.0000,1.596197,0.000000,0.000000,5.0000,0.000000,2.000000,3344.9217,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1016,0.0000,0.000000,0.2960,9.56,6.48,25.60,2.88,-0.000007,-0.0003,-5.0105,nan,nan,nan,nan,nan,nan,0.0,0.0,70.33979460510282,87.88845074454343,0.003250,0.004630,6540.0,6080.5,-0.005634,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778829677.964552,5,1.661594,-0.011999,0.008397,0.0747,-0.0315,-0.000192,1.648463,-0.000004,-0.000003,0.0008,1.662427,-0.012051,0.008396,0.0369,-0.0004,-0.000017,0.063034,0.0000,1.662427,0.000000,-0.000000,5.0000,0.000000,2.000000,3359.6182,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1106,0.0000,0.000000,0.3200,8.20,5.93,22.34,2.82,-0.000004,-0.0002,-4.9992,nan,nan,nan,nan,nan,nan,0.0,0.0,99.92304311082034,106.04440495179699,0.014928,0.015796,6527.6,6093.0,0.003046,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778829677.976686,6,1.731308,0.068864,0.005742,-0.0470,0.0513,0.000219,1.648468,0.000002,-0.000000,0.0002,1.731901,0.068897,0.005744,0.0302,0.0003,0.000013,0.080186,0.0000,1.731901,0.000000,-0.000000,5.0000,0.000000,2.000000,3372.1097,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1202,0.0000,0.000000,0.3440,7.06,5.47,19.60,2.84,0.000002,-0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,51.2466631285275,58.226679615990946,-0.007934,-0.006954,6521.8,6098.7,0.007074,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778829677.988600,7,1.677829,-0.028223,0.003965,0.0304,0.0722,0.001103,1.648452,0.000007,0.000003,-0.0008,1.678357,-0.028093,0.003969,0.0307,0.0019,0.000076,0.095543,0.0000,1.678357,0.000000,-0.000000,5.0000,0.000000,2.000000,3374.7307,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1304,0.0000,0.000000,0.3680,6.09,5.10,17.29,3.02,0.000007,0.0002,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,35.98602633146541,31.982592570110285,-0.034996,-0.032799,6516.7,6103.9,0.010634,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778829678.000519,8,1.746586,-0.055343,-0.004559,-0.0291,0.0226,0.002396,1.648434,0.000014,0.000007,-0.0008,1.746967,-0.055212,-0.004554,0.0251,0.0026,0.000112,0.113507,0.0000,1.746967,0.000000,-0.000000,5.0000,0.000000,2.000000,3369.6012,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1411,0.0000,0.000000,0.3920,5.25,4.81,15.31,3.19,0.000014,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,37.22697554662662,29.75670552137305,-0.038444,-0.033613,6511.1,6109.4,0.014531,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778829678.012541,9,1.689235,-0.044813,0.005866,-0.0243,-0.0603,-0.000908,1.648415,0.000021,0.000011,-0.0007,1.689510,-0.044789,0.005868,0.0207,0.0005,0.000033,0.132032,0.0000,1.689510,0.000000,-0.000000,5.0000,0.000000,2.000000,3360.2755,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1523,0.0000,0.000000,0.4160,4.54,4.57,13.65,3.18,0.000021,0.0006,-5.0007,0.008000,0.109797,0.2919,-0.480950,0.002900,0.000459,0.0,0.0,50.87068801814145,51.930702351946934,-0.007123,-0.004382,6505.6,6115.0,0.018406,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778829678.024578,10,1.589421,0.030747,-0.003016,0.0144,-0.0501,0.000267,1.648397,0.000028,0.000015,-0.0006,1.589657,0.030701,-0.003015,0.0199,-0.0016,-0.000016,0.149944,0.0000,1.589657,0.000000,0.000000,5.0000,0.000000,2.000000,3354.1921,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1641,0.0000,0.000000,0.4400,3.93,4.33,12.18,2.95,0.000028,0.0008,-5.0006,0.008000,0.084252,-0.3159,-0.481851,-0.007361,0.001155,0.0,0.0,93.58508456440543,87.73753625801933,0.013490,0.016041,6500.3,6120.3,0.022086,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778829678.036711,11,1.643419,-0.012006,-0.003748,-0.0193,-0.0335,0.002430,1.648380,0.000035,0.000018,-0.0005,1.643592,-0.012078,-0.003747,0.0164,-0.0031,-0.000025,0.168441,0.0000,1.643592,0.000000,0.000000,5.0000,0.000000,2.000000,3350.4091,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1763,0.0000,0.000000,0.4640,3.43,4.14,11.00,3.07,0.000035,0.0011,-5.0005,0.008000,0.060984,-0.3097,-0.485363,-0.012414,0.002438,0.0,0.0,117.11733325767148,115.39776654451205,0.022333,0.027493,6495.0,6125.6,0.025790,0.000000,0.000000,0.5000,1.0000,,,,,
