time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.731430,0.000000,0.000000,0.000000
0.102000,0.055424,0.000004,1.677833,-0.000081,-0.000750,0.000142,0.000338,0.000000,0.164481,0.000000,0,0,16.731991,0.000000,0.000000,0.000000
0.204000,0.055295,0.000019,1.522611,0.000534,-0.000023,0.000871,0.000374,0.000000,0.284229,0.000000,0,0,16.732116,0.000000,0.000000,0.000000
0.306000,0.055218,0.000064,1.263977,0.000579,0.000198,0.003694,0.000417,0.000000,0.423316,0.000000,0,0,16.732185,0.000000,0.000000,0.000000
0.408000,0.055239,0.000194,0.904393,0.005311,0.009451,0.012494,0.005914,0.000000,0.567255,0.000000,0,0,16.732144,0.000000,0.000000,0.000000
0.510000,0.062731,0.001163,0.642985,0.079234,0.123337,0.028217,0.022728,0.000000,0.685980,0.000000,0,0,16.724593,0.000000,0.000000,0.000000
0.612000,0.064930,0.004180,0.717048,-0.005911,-0.048694,0.035552,-0.012213,0.000000,0.797794,0.000000,0,0,16.721940,0.000000,0.000000,0.000000
0.714000,0.065051,0.010099,0.790991,0.043799,0.030274,0.065993,-0.029660,0.000000,0.863576,0.000000,0,0,16.720876,0.000000,0.000000,0.000000
0.816000,0.076361,0.013608,0.787658,0.234416,0.234546,-0.004166,0.025002,0.000000,0.912376,0.000000,0,0,16.709152,0.000000,0.000000,0.000000
0.918000,0.121676,0.012264,0.770710,0.642301,0.641331,-0.008818,-0.001046,0.000000,0.940882,0.000000,0,0,16.664631,0.000000,0.000000,0.000000
1.020000,0.205302,0.014184,0.786065,0.994050,0.990219,0.024106,0.012874,0.000000,0.962029,0.000000,0,0,16.581777,0.000000,0.000000,0.000000
1.122000,0.323052,0.019161,0.815964,1.311803,1.305294,0.055794,0.008817,0.000000,0.974382,0.000000,0,0,16.464759,0.000000,0.000000,0.000000
