time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
7.2480,13.6728,2.6623,3.180,2,16.406,0.764,0.828,3.3277,2.328,3.328,0,1
7.2510,13.6822,2.6639,3.182,2,16.406,0.764,0.828,3.3209,2.328,3.328,0,1
7.2540,13.6916,2.6656,3.187,2,16.406,0.764,0.828,3.3141,2.328,3.328,0,1
7.2570,13.7010,2.6672,3.191,2,16.406,0.764,0.828,3.3073,2.328,3.328,0,1
7.2600,13.7105,2.6688,3.196,2,16.406,0.764,0.828,3.3005,2.328,3.328,0,1
7.2630,13.7199,2.6704,3.201,2,16.406,0.764,0.828,3.2938,2.328,3.328,0,1
7.2660,13.7294,2.6721,3.205,2,16.406,0.764,0.828,3.2870,2.328,3.328,0,1
7.2690,13.7389,2.6737,3.208,2,16.406,0.764,0.828,3.2802,2.328,3.328,0,1
7.2720,13.7484,2.6753,3.215,2,16.406,0.764,0.828,3.2734,2.328,3.328,0,1
7.2750,13.7579,2.6769,3.218,2,16.406,0.764,0.828,3.2667,2.328,3.328,0,1
7.2780,13.7674,2.6785,3.219,2,16.406,0.764,0.828,3.2599,2.328,3.328,0,1
7.2810,13.7769,2.6801,3.223,2,16.406,0.764,0.828,3.2531,2.328,3.328,0,1
7.2840,13.7865,2.6817,3.227,2,16.406,0.764,0.828,3.2464,2.328,3.328,0,1
7.2870,13.7960,2.6834,3.228,2,16.406,0.764,0.828,3.2397,2.328,3.328,0,1
7.2900,13.8056,2.6850,3.235,2,16.406,0.764,0.828,3.2329,2.328,3.328,0,1
7.2930,13.8151,2.6867,3.235,2,16.406,0.764,0.828,3.2262,2.328,3.328,0,1
7.2960,13.8247,2.6883,3.238,2,16.406,0.764,0.828,3.2195,2.328,3.328,0,1
7.2990,13.8343,2.6900,3.243,2,16.406,0.764,0.828,3.2128,2.328,3.328,0,1
7.3020,13.8439,2.6917,3.248,2,16.406,0.764,0.828,3.2062,2.328,3.328,0,1
7.3050,13.8535,2.6934,3.252,2,16.406,0.764,0.828,3.1995,2.328,3.328,0,1
7.3080,13.8631,2.6950,3.257,2,16.406,0.764,0.828,3.1929,2.328,3.328,0,1
7.3110,13.8728,2.6968,3.260,2,16.406,0.764,0.828,3.1862,2.328,3.328,0,1
7.3140,13.8824,2.6985,3.266,2,16.406,0.764,0.828,3.1796,2.328,3.328,0,1
7.3170,13.8921,2.7002,3.269,2,16.406,0.764,0.828,3.1730,2.328,3.328,0,1
7.3200,13.9017,2.7019,3.273,2,16.406,0.764,0.828,3.1664,2.328,3.328,0,1
7.3230,13.9114,2.7037,3.278,2,16.406,0.764,0.828,3.1599,2.328,3.328,0,1
7.3260,13.9211,2.7054,3.274,2,16.406,0.764,0.828,3.1533,2.328,3.328,0,1
7.3290,13.9308,2.7072,3.306,2,16.406,0.764,0.828,3.1467,2.328,3.328,0,1
7.3320,13.9405,2.7090,3.291,2,16.406,0.764,0.828,3.1402,2.328,3.328,0,1
7.3350,13.9503,2.7108,3.292,2,16.406,0.764,0.828,3.1337,2.328,3.328,0,1
7.3380,13.9600,2.7126,3.298,2,16.406,0.764,0.828,3.1272,2.328,3.328,0,1
7.3410,13.9697,2.7144,3.304,2,16.406,0.764,0.828,3.1207,2.328,3.328,0,1
7.3440,13.9795,2.7163,3.314,2,16.406,0.764,0.828,3.1142,2.328,3.328,0,1
7.3470,13.9893,2.7181,3.317,2,16.406,0.764,0.828,3.1078,2.328,3.328,0,1
7.3500,13.9991,2.7199,3.322,2,16.406,0.764,0.828,3.1013,2.328,3.328,0,1
7.3530,14.0089,2.7217,3.325,2,16.406,0.764,0.828,3.0948,2.328,3.328,0,1
7.3560,14.0187,2.7235,3.323,2,16.406,0.764,0.828,3.0884,2.328,3.328,0,1
7.3590,14.0286,2.7253,3.338,2,16.406,0.764,0.828,3.0819,2.328,3.328,0,1
7.3620,14.0383,2.7272,3.317,2,16.406,0.764,0.828,3.0756,2.328,3.328,0,1
7.3650,14.0482,2.7290,3.331,2,16.406,0.764,0.828,3.0692,2.328,3.328,0,1
7.3680,14.0580,2.7309,3.339,2,16.406,0.764,0.828,3.0628,2.328,3.328,0,1
7.3710,14.0679,2.7327,3.343,2,16.406,0.764,0.828,3.0565,2.328,3.328,0,1
7.3740,14.0777,2.7346,3.346,2,16.406,0.764,0.828,3.0501,2.328,3.328,0,1
7.3770,14.0876,2.7365,3.350,2,16.406,0.764,0.828,3.0438,2.328,3.328,0,1
7.3800,14.0975,2.7384,3.355,2,16.406,0.764,0.828,3.0375,2.328,3.328,0,1
7.3830,14.1074,2.7403,3.359,2,16.406,0.764,0.828,3.0313,2.328,3.328,0,1
7.3860,14.1173,2.7422,3.363,2,16.406,0.764,0.828,3.0250,2.328,3.328,0,1
7.3890,14.1272,2.7441,3.366,2,16.406,0.764,0.828,3.0188,2.328,3.328,0,1
7.3920,14.1371,2.7460,3.368,2,16.406,0.764,0.828,3.0126,2.328,3.328,0,1
7.3950,14.1470,2.7480,3.371,2,16.406,0.764,0.828,3.0064,2.328,3.328,0,1
7.3980,14.1570,2.7499,3.374,2,16.406,0.764,0.828,3.0002,2.328,3.328,0,1
7.4010,14.1669,2.7519,3.378,2,16.406,0.764,0.828,2.9941,2.328,3.328,0,1
7.4040,14.1768,2.7538,3.381,2,16.406,0.764,0.828,2.9879,2.328,3.328,0,1
7.4070,14.1868,2.7558,3.386,2,16.406,0.764,0.828,2.9818,2.328,3.328,0,1
7.4100,14.1968,2.7578,3.389,2,16.406,0.764,0.828,2.9758,2.328,3.328,0,1
7.4130,14.2068,2.7599,3.394,2,16.406,0.764,0.828,2.9697,2.328,3.328,0,1
7.4160,14.2167,2.7619,3.398,2,16.406,0.764,0.828,2.9637,2.328,3.328,0,1
7.4190,14.2267,2.7639,3.402,2,16.406,0.764,0.828,2.9577,2.328,3.328,0,1
7.4220,14.2367,2.7660,3.406,2,16.406,0.764,0.828,2.9517,2.328,3.328,0,1
7.4250,14.2467,2.7680,3.403,2,16.406,0.764,0.828,2.9458,2.328,3.328,0,1
7.4280,14.2568,2.7701,3.413,2,16.406,0.764,0.828,2.9398,2.328,3.328,0,1
7.4310,14.2667,2.7722,3.399,2,16.406,0.764,0.828,2.9340,2.328,3.328,0,1
7.4340,14.2768,2.7742,3.410,2,16.406,0.764,0.828,2.9281,2.328,3.328,0,1
7.4370,14.2868,2.7763,3.402,2,16.406,0.764,0.828,2.9223,2.328,3.328,0,1
7.4400,14.2968,2.7784,3.412,2,16.406,0.764,0.828,2.9164,2.328,3.328,0,1
7.4430,14.3068,2.7805,3.417,2,16.406,0.764,0.828,2.9107,2.328,3.328,0,1
7.4460,14.3169,2.7826,3.423,2,16.406,0.764,0.828,2.9049,2.328,3.328,0,1
7.4490,14.3269,2.7847,3.426,2,16.406,0.764,0.828,2.8992,2.328,3.328,0,1
7.4520,14.3370,2.7869,3.428,2,16.406,0.764,0.828,2.8935,2.328,3.328,0,1
7.4550,14.3470,2.7891,3.430,2,16.406,0.764,0.828,2.8878,2.328,3.328,0,1
7.4580,14.3571,2.7912,3.434,2,16.406,0.764,0.828,2.8822,2.328,3.328,0,1
