sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778829976.732489,0,1.649858,-0.061380,-0.002365,-0.0107,0.0823,-0.001502,1.648994,-0.000000,-0.000000,-0.0020,1.649755,-0.060706,-0.002357,-0.0048,0.0003,0.000015,-0.108158,0.0000,1.649755,0.000000,0.000000,7.0000,0.000000,2.000000,7082.0645,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0842,0.0000,0.000000,0.2000,17.07,9.23,43.36,4.85,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-390.8322189600946,-981.9050681890297,-0.158526,-0.168183,6559.4,6061.2,-0.047756,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778829976.737995,1,1.600766,0.028508,-0.000310,-0.0247,-0.0057,0.000196,1.648913,-0.000001,-0.000000,-0.0094,1.600712,0.029040,-0.000304,-0.0022,0.0005,0.000021,-0.016274,0.0000,1.600712,0.000000,0.000000,7.0000,0.000000,2.000000,7007.7796,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0914,0.0000,0.000000,0.2240,15.17,8.28,38.61,2.90,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-116.04229032031492,-554.950083800298,-0.126183,-0.133802,6556.1,6064.4,-0.042122,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778829976.741862,2,1.645727,-0.032430,0.000594,0.0073,-0.0597,0.001399,1.648775,-0.000002,-0.000002,-0.0125,1.645744,-0.032098,0.000598,-0.0000,0.0006,0.000025,-0.007981,0.0000,1.645744,0.000000,0.000000,7.0000,0.000000,2.000000,7002.3689,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0996,0.0000,0.000000,0.2480,12.97,7.48,33.41,2.95,-0.000002,-0.0001,-7.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,66.47922746560846,-107.67789955733937,-0.079904,-0.084335,6551.3,6069.3,-0.033733,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778829976.753845,3,1.668759,0.033390,0.005107,-0.0079,-0.0267,-0.000021,1.648627,-0.000004,-0.000003,-0.0121,1.668778,0.033614,0.005110,0.0005,0.0007,0.000029,0.006677,0.0000,1.668778,0.000000,-0.000000,7.0000,0.000000,2.000000,6992.2207,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1085,0.0000,0.000000,0.2720,11.10,6.78,28.98,2.84,-0.000004,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,64.78124593945407,7.07185741582289,-0.054189,-0.057801,6545.3,6075.3,-0.023257,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778829976.765859,4,1.651448,0.016792,0.000535,-0.0602,0.0025,0.000772,1.648492,-0.000007,-0.000005,-0.0105,1.651469,0.016974,0.000537,0.0010,0.0009,0.000037,0.027332,0.0000,1.651469,0.000000,0.000000,7.0000,0.000000,2.000000,6960.2827,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1183,0.0000,0.000000,0.2960,9.51,6.89,25.90,7.47,-0.000007,-0.0003,-7.0105,nan,nan,nan,nan,nan,nan,0.0,0.0,47.56133819397584,22.128779185978942,-0.045143,-0.047075,6538.1,6082.5,-0.010716,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778829976.777928,5,1.650363,0.014283,-0.004438,-0.0911,0.0218,0.000469,1.648462,-0.000004,-0.000003,0.0009,1.650387,0.014461,-0.004436,0.0015,0.0013,0.000051,0.053892,0.0000,1.650387,0.000000,0.000000,7.0000,0.000000,2.000000,6807.4556,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1288,0.0000,0.000000,0.3200,8.17,6.61,22.95,5.05,-0.000004,-0.0002,-6.9991,nan,nan,nan,nan,nan,nan,0.0,0.0,43.469471446027654,7.774727632703957,-0.045111,-0.046071,6530.1,6090.5,0.003286,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778829976.789853,6,1.632641,-0.104959,-0.008627,-0.0284,-0.0183,-0.000530,1.648469,0.000002,0.000000,0.0002,1.632664,-0.104847,-0.008626,0.0016,0.0011,0.000042,0.070133,0.0000,1.632664,0.000000,0.000000,7.0000,0.000000,2.000000,6818.0932,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1400,0.0000,0.000000,0.3440,7.02,6.39,20.43,5.14,0.000002,0.0000,-6.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,3.0491861237238282,24.31388344713848,-0.028986,-0.030437,6524.7,6095.9,0.012730,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778829976.801879,7,1.746158,-0.007094,0.006106,-0.0007,0.0305,-0.000520,1.648453,0.000007,0.000003,-0.0008,1.746177,-0.006962,0.006108,0.0018,0.0018,0.000065,0.087078,0.0000,1.746177,0.000000,-0.000000,7.0000,0.000000,2.000000,6785.7018,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1519,0.0000,0.000000,0.3680,6.05,6.20,18.30,5.12,0.000007,0.0002,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,11.050230141046384,2.6462810853242758,-0.034868,-0.036702,6519.3,6101.3,0.022122,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778829976.814049,8,1.668899,-0.051959,0.010904,-0.1187,-0.1163,0.001945,1.648434,0.000013,0.000007,-0.0008,1.668917,-0.052016,0.010904,0.0019,-0.0010,-0.000032,0.105785,0.0000,1.668917,0.000000,-0.000000,7.0000,0.000000,2.000000,6782.4491,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1644,0.0000,0.000000,0.3920,5.24,6.26,16.73,6.60,0.000013,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-41.19442193546496,69.3375131810828,0.015707,0.016711,6513.6,6106.9,0.031984,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778829976.828941,9,1.566926,-0.058116,-0.001635,-0.0050,-0.0287,0.000386,1.648415,0.000021,0.000011,-0.0007,1.566943,-0.058200,-0.001636,0.0020,-0.0018,-0.000057,0.125227,0.0000,1.566943,0.000000,0.000000,7.0000,0.000000,2.000000,6780.0894,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1775,0.0000,0.000000,0.4160,4.55,6.23,15.32,6.04,0.000021,0.0006,-7.0007,0.008000,0.132856,0.0277,-0.499685,-0.012077,-0.002177,0.0,0.0,-20.454794584455414,93.90215477999811,0.023520,0.024823,6508.0,6112.5,0.041733,0.000000,0.000000,0.5000,1.0000,,,,,
