step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,2.041,0.071,0.78,3.172,0.00,2,18,27.00,7.54,+0.000,0.999,0.000,+0.000,0.999,0.000,0,5.083,10.49,0.000
22,2.709,0.090,1.10,3.535,0.00,2,18,27.00,7.51,+0.000,1.000,0.000,-0.004,1.000,0.000,1,4.875,66.91,0.000
24,3.436,0.111,1.23,3.813,-0.64,2,18,27.00,7.49,-0.023,1.000,0.000,-0.025,1.000,0.000,1,3.727,47.27,0.000
25,3.805,0.118,1.34,3.699,-0.08,2,18,27.00,7.50,-0.003,0.999,0.000,-0.005,1.000,0.000,1,3.569,47.21,0.000
26,4.180,0.126,1.40,3.814,-2.99,2,18,27.00,7.49,-0.106,0.996,0.000,-0.106,0.999,0.000,1,3.323,47.73,0.000
27,4.566,0.132,1.45,3.968,-1.04,2,18,27.00,7.47,-0.037,0.988,0.000,-0.041,0.990,0.000,1,2.893,47.46,0.000
28,4.962,0.137,1.32,4.059,1.71,2,18,27.00,7.47,+0.061,0.975,0.000,+0.056,0.979,0.000,1,2.148,46.98,0.000
29,5.365,0.143,1.23,4.100,2.26,2,18,27.00,7.46,+0.081,0.960,0.000,+0.084,0.961,0.000,1,1.525,47.09,0.000
30,5.774,0.155,1.31,4.158,-0.78,2,18,27.00,7.46,-0.028,0.945,0.000,-0.032,0.943,0.000,1,1.125,47.53,0.000
31,6.188,0.169,1.45,4.212,-4.83,2,18,27.00,7.45,-0.172,0.932,0.000,-0.165,0.932,0.000,1,1.181,47.24,0.000
32,6.606,0.176,1.36,4.232,-4.48,2,18,27.00,7.45,-0.159,0.920,0.000,-0.159,0.916,0.000,1,0.446,47.42,0.000
33,7.025,0.173,1.02,4.232,-3.56,2,18,27.00,7.45,-0.127,0.914,0.000,-0.118,0.913,0.000,1,1.230,47.14,0.000
34,7.446,0.164,0.64,4.282,-2.72,2,18,27.00,7.45,-0.097,0.913,0.000,-0.085,0.913,0.000,1,1.133,48.13,0.000
35,7.871,0.152,0.25,4.301,0.21,2,18,27.00,7.45,+0.007,0.916,0.000,+0.009,0.918,0.000,1,0.238,47.28,0.000
36,8.299,0.142,-0.04,4.324,-0.43,2,18,27.00,7.45,-0.015,0.923,0.000,-0.018,0.924,0.000,1,0.356,47.56,0.000
37,8.728,0.135,-0.11,4.334,-0.77,2,18,27.00,7.45,-0.027,0.933,0.000,-0.034,0.937,0.000,1,0.055,47.03,0.000
38,9.157,0.128,-0.19,4.336,-1.17,2,18,27.00,7.44,-0.042,0.946,0.000,-0.040,0.950,0.000,1,0.613,47.65,0.000
39,9.587,0.122,-0.33,4.348,-2.06,2,18,27.00,7.44,-0.073,0.964,0.000,-0.071,0.963,0.000,1,0.283,47.22,0.000
40,10.018,0.117,-0.51,4.355,-0.07,2,18,27.00,7.44,-0.002,0.977,0.000,+0.009,0.980,0.000,1,0.071,47.10,0.000
41,10.449,0.112,-0.66,4.354,1.08,2,18,27.00,7.44,+0.038,0.985,0.000,+0.040,0.994,0.000,1,0.006,47.18,0.000
42,10.881,0.107,-0.62,4.358,2.25,2,18,27.00,7.44,+0.080,0.990,0.000,-0.001,0.961,0.000,1,-0.117,47.44,0.000
43,11.312,0.102,-0.53,4.363,-0.25,2,18,27.00,7.44,-0.009,0.993,0.000,-0.026,0.989,0.000,1,0.057,48.55,0.000
44,11.744,0.095,-0.51,4.372,1.77,2,18,27.00,7.44,+0.063,0.996,0.000,+0.011,0.981,0.000,1,-0.057,47.11,0.000
45,12.176,0.090,-0.57,4.361,2.72,2,18,27.00,7.44,+0.097,0.997,0.000,-0.051,0.971,0.000,1,0.021,47.42,0.001
46,12.607,0.086,-0.63,4.340,3.11,2,18,27.00,7.44,+0.111,0.998,0.000,-0.018,0.973,0.000,1,-0.299,50.03,0.008
47,13.036,0.080,-0.78,4.344,5.52,2,18,27.00,7.40,+0.196,0.999,0.000,+0.054,0.967,0.000,1,-0.133,47.61,0.006
48,13.465,0.075,-0.85,4.355,9.40,2,18,27.00,7.01,+0.335,0.999,0.000,-0.094,0.919,0.000,1,-0.353,46.96,0.020
49,13.897,0.069,-0.84,4.364,8.37,2,18,27.00,7.12,+0.298,0.999,0.000,-0.065,0.901,0.000,1,-0.369,46.95,0.017
50,14.329,0.059,-1.03,4.372,11.77,2,18,27.00,6.72,+0.419,1.000,0.000,-0.338,0.854,0.000,1,-0.479,47.36,0.123
51,14.761,0.046,-1.27,4.352,13.59,2,18,27.00,6.50,+0.484,1.000,0.000,-0.544,0.703,0.000,1,-0.465,47.29,0.277
52,15.190,0.018,-1.95,4.312,18.38,2,18,27.00,5.95,+0.655,1.000,0.000,-0.040,0.787,0.000,1,-0.494,46.81,0.246
53,15.613,-0.025,-3.00,4.283,20.82,2,18,27.00,5.69,+0.742,1.000,0.000,-0.068,0.936,0.000,1,-0.429,46.89,0.123
54,16.037,-0.067,-3.36,4.318,25.92,2,18,27.00,5.20,+0.923,1.000,0.000,-0.452,0.935,0.000,1,-0.500,47.27,0.680
55,16.462,-0.107,-3.83,4.297,28.07,2,18,27.00,5.01,+1.000,1.000,0.000,-0.497,0.876,0.000,1,-0.504,46.96,1.120
56,16.884,-0.158,-4.90,4.258,28.07,2,18,27.00,5.01,+1.000,1.000,0.000,+0.778,0.692,0.000,1,-0.502,46.52,1.788
57,17.302,-0.220,-6.38,4.279,28.07,2,18,27.00,5.01,+1.000,1.000,0.000,+0.907,0.819,0.000,1,-0.347,46.64,0.196
58,17.719,-0.278,-6.68,4.225,24.25,2,18,27.00,5.35,+0.864,1.000,0.000,+0.670,0.788,0.000,1,-0.340,46.94,0.170
59,18.134,-0.321,-5.98,4.203,25.63,2,18,27.00,5.23,+0.913,1.000,0.000,+0.871,0.816,0.000,1,-0.346,46.71,0.155
60,18.548,-0.345,-5.00,4.168,26.73,2,18,27.00,5.13,+0.952,1.000,0.000,+0.626,0.791,0.000,1,-0.342,46.73,0.078
61,18.960,-0.346,-3.67,4.134,26.80,2,18,27.00,5.12,+0.955,1.000,0.000,+0.861,0.769,0.000,1,-0.344,46.67,0.273
62,19.371,-0.329,-2.18,4.112,26.86,3,18,27.00,5.12,+0.957,1.000,0.000,+0.803,0.756,0.000,1,-0.290,47.59,0.143
63,19.779,-0.293,-0.23,4.124,26.49,5,18,27.00,5.15,+0.943,1.000,0.000,+0.858,0.833,0.000,1,-0.192,47.93,0.159
64,20.187,-0.239,1.76,4.130,27.26,5,18,27.00,5.08,+0.971,1.000,0.000,+0.786,0.819,0.000,1,-0.055,46.88,0.318
65,20.592,-0.165,3.81,4.108,28.07,5,18,27.00,5.01,+1.000,1.000,0.000,+0.864,0.751,0.000,1,0.119,47.00,0.214
66,20.993,-0.076,5.98,4.089,27.44,5,18,27.00,5.07,+0.977,1.000,0.000,+0.821,0.768,0.000,1,0.323,47.84,0.408
67,21.389,0.031,8.28,4.084,27.57,5,18,27.00,5.06,+0.982,1.000,0.000,+0.871,0.786,0.000,1,0.547,47.43,0.408
68,21.780,0.152,10.74,4.082,27.44,5,18,27.00,5.07,+0.978,1.000,0.000,+0.831,0.792,0.000,1,0.794,47.31,0.357
69,22.165,0.288,13.35,4.093,26.27,5,18,27.00,5.17,+0.936,1.000,0.000,+0.920,0.816,0.000,1,1.059,47.08,0.217
70,22.544,0.440,15.98,4.092,21.98,5,18,27.00,5.58,+0.783,1.000,0.000,+0.817,0.903,0.000,1,1.335,47.63,0.027
71,22.916,0.609,18.64,4.098,18.05,5,18,27.00,5.99,+0.643,1.000,0.000,+0.619,0.978,0.000,1,1.620,47.18,0.006
72,23.283,0.791,21.16,4.120,13.99,5,18,27.00,6.47,+0.498,1.000,0.000,+0.502,0.988,0.000,1,1.638,47.36,0.001
73,23.645,0.985,23.31,4.144,9.49,5,18,27.00,7.01,+0.338,1.000,0.000,+0.335,1.000,0.000,1,1.397,47.96,0.000
