time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.731430,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000088,-0.000758,0.000099,0.000375,0.000000,0.140921,0.000000,0,0,16.731991,0.000000,0.000000,0.000000
0.204000,0.055295,0.000014,1.522611,0.000520,-0.000033,0.000648,0.000369,0.000000,0.243624,0.000000,0,0,16.732117,0.000000,0.000000,0.000000
0.306000,0.055218,0.000049,1.263977,0.000591,0.000229,0.002791,0.000422,0.000000,0.369311,0.000000,0,0,16.732188,0.000000,0.000000,0.000000
0.408000,0.055172,0.000131,0.902700,0.000377,0.000016,0.009215,0.000447,0.000000,0.509549,0.000000,0,0,16.732219,0.000000,0.000000,0.000000
0.510000,0.059197,-0.000471,0.564168,0.049418,0.096773,-0.010132,0.009127,0.000000,0.658779,0.000000,0,0,16.728344,0.000000,0.000000,0.000000
0.612000,0.063460,-0.000629,0.637948,0.011553,-0.034828,-0.004937,0.016558,0.000000,0.780265,0.000000,0,0,16.724160,0.000000,0.000000,0.000000
0.714000,0.061425,-0.000278,0.743234,0.028906,-0.007250,0.003552,0.014667,0.000000,0.851750,0.000000,0,0,16.726113,0.000000,0.000000,0.000000
0.816000,0.062337,-0.000121,0.747299,0.045446,0.043239,-0.006237,0.021935,0.000000,0.904780,0.000000,0,0,16.725188,0.000000,0.000000,0.000000
0.918000,0.077148,-0.003063,0.703286,0.196712,0.244797,-0.032922,0.017767,0.000000,0.935757,0.000000,0,0,16.711039,0.000000,0.000000,0.000000
1.020000,0.115894,-0.004179,0.675452,0.509173,0.509972,-0.000605,0.018557,0.000000,0.958737,0.000000,0,0,16.672973,0.000000,0.000000,0.000000
1.122000,0.180183,-0.001441,0.703926,0.750626,0.734740,0.035349,0.016032,0.000000,0.972161,0.000000,0,0,16.609081,0.000000,0.000000,0.000000
1.224000,0.262682,0.005314,0.743406,0.889134,0.887153,0.063821,0.009618,0.000000,0.982119,0.000000,0,0,16.526572,0.000000,0.000000,0.000000
1.326000,0.360984,0.013733,0.768151,1.040124,1.041465,0.062412,0.012115,-0.000529,1.000000,0.000000,0,0,16.428200,0.000000,0.000000,0.000000
1.428000,0.476377,0.021125,0.779203,1.222276,1.222583,0.046781,0.028829,-0.000363,1.000000,0.000000,0,0,16.313135,0.000000,0.000000,0.000000
1.530000,0.610644,0.027818,0.782297,1.410116,1.408727,0.033472,0.031739,-0.000490,1.000000,0.000000,0,0,16.179570,0.000000,0.000000,0.000000
1.632000,0.763766,0.033859,0.780826,1.584789,1.584339,0.018392,0.026264,-0.000410,1.000000,0.000000,0,0,16.027525,0.000000,0.000000,0.000000
1.734000,0.933517,0.039709,0.778600,1.736695,1.739094,0.015424,0.020333,-0.000504,1.000000,0.000000,0,0,15.859131,0.000000,0.000000,0.000000
1.836000,1.119052,0.046078,0.777307,1.892424,1.894639,0.019761,0.012086,-0.000617,1.000000,0.000000,0,0,15.675116,0.000000,0.000000,0.000000
1.938000,1.319851,0.053195,0.776940,2.041631,2.041884,0.014505,0.011573,-0.000550,1.000000,0.000000,0,0,15.475964,0.000000,0.000000,0.000000
2.040000,1.535723,0.061155,0.777899,2.191852,2.190484,0.020357,0.012957,0.000000,0.999282,0.000000,0,0,15.261854,0.000000,0.000000,0.000000
2.142000,1.766614,0.070006,0.779891,2.328962,2.333233,0.022078,0.010927,0.000000,0.999546,0.000000,0,0,15.032843,0.000000,0.000000,0.000000
2.244000,2.011487,0.079502,0.781139,2.466172,2.469017,0.020906,0.013379,0.000000,0.999696,0.000000,0,0,14.790006,0.000000,0.000000,0.000000
2.346000,2.270349,0.089398,0.781534,2.610553,2.606614,0.012234,0.015348,-0.001211,1.000000,0.000000,0,0,14.533393,0.000000,0.000000,0.000000
2.448000,2.543167,0.099199,0.781462,2.746200,2.745110,0.000895,0.029215,-0.004860,1.000000,0.000000,0,0,14.263139,0.000000,0.000000,0.000000
2.550000,2.830828,0.109825,0.779867,2.891688,2.893288,0.001383,0.021829,-0.006878,1.000000,0.000000,0,0,13.978230,0.000000,0.000000,0.000000
2.652000,3.134413,0.121816,0.777103,3.074721,3.056290,0.006879,0.015035,-0.005096,1.000000,0.000000,0,0,13.677523,0.000000,0.000000,0.000000
2.754000,3.452075,0.135007,0.750985,3.220531,3.169964,0.005911,0.007654,-0.004091,1.000000,0.000000,0,0,13.362883,0.000000,0.000000,0.000000
2.856000,3.779401,0.148949,0.739543,3.199128,3.248981,-0.003521,-0.002656,-0.059997,1.000000,0.000000,0,0,13.038750,0.000000,0.000000,0.000000
2.958000,4.116555,0.161305,0.761366,3.361885,3.376197,-0.038041,-0.021205,-0.236992,1.000000,0.000000,0,0,12.705429,0.000000,0.000000,0.000000
3.060000,4.468005,0.170394,0.782271,3.527399,3.515399,-0.066742,-0.060401,-0.380483,1.000000,0.000000,0,0,12.358921,0.000000,0.000000,0.000000
