time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.0420,17.2107,0.2681,4.381,4,18.643,3.011,0.597,3.0937,2.097,3.097,0,1
6.0450,17.2237,0.2699,4.383,4,18.643,3.011,0.597,3.0861,2.097,3.097,0,1
6.0480,17.2368,0.2717,4.385,4,18.643,3.011,0.597,3.0785,2.097,3.097,0,1
6.0510,17.2498,0.2735,4.386,4,18.643,3.011,0.597,3.0710,2.097,3.097,0,1
6.0540,17.2629,0.2754,4.387,4,18.643,3.011,0.597,3.0635,2.097,3.097,0,1
6.0570,17.2759,0.2772,4.387,4,18.643,3.011,0.597,3.0560,2.097,3.097,0,1
6.0600,17.2890,0.2790,4.389,4,18.643,3.011,0.597,3.0485,2.097,3.097,0,1
6.0630,17.3020,0.2809,4.389,4,18.643,3.011,0.597,3.0411,2.097,3.097,0,1
6.0660,17.3151,0.2827,4.390,4,18.643,3.011,0.597,3.0337,2.097,3.097,0,1
6.0690,17.3281,0.2845,4.390,4,18.643,3.011,0.597,3.0264,2.097,3.097,0,1
6.0720,17.3412,0.2864,4.391,4,18.643,3.011,0.597,3.0190,2.097,3.097,0,1
6.0750,17.3542,0.2883,4.392,4,18.643,3.011,0.597,3.0117,2.097,3.097,0,1
6.0780,17.3673,0.2901,4.393,4,18.643,3.011,0.597,3.0045,2.097,3.097,0,1
6.0810,17.3804,0.2920,4.395,4,18.643,3.011,0.597,2.9973,2.097,3.097,0,1
6.0840,17.3934,0.2939,4.396,4,18.643,3.011,0.597,2.9901,2.097,3.097,0,1
6.0870,17.4065,0.2958,4.396,4,18.643,3.011,0.597,2.9829,2.097,3.097,0,1
6.0900,17.4196,0.2977,4.397,4,18.643,3.011,0.597,2.9758,2.097,3.097,0,1
6.0930,17.4326,0.2996,4.399,4,18.643,3.011,0.597,2.9687,2.097,3.097,0,1
6.0960,17.4457,0.3015,4.400,4,18.643,3.011,0.597,2.9616,2.097,3.097,0,1
6.0990,17.4588,0.3034,4.401,4,18.643,3.011,0.597,2.9546,2.097,3.097,0,1
6.1020,17.4719,0.3054,4.403,4,18.643,3.011,0.597,2.9476,2.097,3.097,0,1
6.1050,17.4850,0.3073,4.404,4,18.643,3.011,0.597,2.9407,2.097,3.097,0,1
6.1080,17.4980,0.3092,4.404,4,18.643,3.011,0.597,2.9338,2.097,3.097,0,1
6.1110,17.5111,0.3112,4.405,4,18.643,3.011,0.597,2.9269,2.097,3.097,0,1
6.1140,17.5242,0.3131,4.407,4,18.643,3.011,0.597,2.9201,2.097,3.097,0,1
6.1170,17.5373,0.3151,4.408,4,18.643,3.011,0.597,2.9133,2.097,3.097,0,1
6.1200,17.5504,0.3170,4.409,4,18.643,3.011,0.597,2.9065,2.097,3.097,0,1
6.1230,17.5635,0.3190,4.409,4,18.643,3.011,0.597,2.8998,2.097,3.097,0,1
6.1260,17.5766,0.3210,4.410,4,18.643,3.011,0.597,2.8931,2.097,3.097,0,1
6.1290,17.5897,0.3230,4.411,4,18.643,3.011,0.597,2.8865,2.097,3.097,0,1
6.1320,17.6028,0.3250,4.411,4,18.643,3.011,0.597,2.8798,2.097,3.097,0,1
6.1350,17.6159,0.3270,4.412,4,18.643,3.011,0.597,2.8733,2.097,3.097,0,1
6.1380,17.6290,0.3290,4.412,4,18.643,3.011,0.597,2.8667,2.097,3.097,0,1
6.1410,17.6421,0.3310,4.412,4,18.643,3.011,0.597,2.8602,2.097,3.097,0,1
6.1440,17.6552,0.3330,4.413,4,18.643,3.011,0.597,2.8538,2.097,3.097,0,1
6.1470,17.6683,0.3351,4.416,4,18.643,3.011,0.597,2.8474,2.097,3.097,0,1
6.1500,17.6814,0.3371,4.415,4,18.643,3.011,0.597,2.8410,2.097,3.097,0,1
6.1530,17.6945,0.3392,4.416,4,18.643,3.011,0.597,2.8346,2.097,3.097,0,1
6.1560,17.7076,0.3412,4.417,4,18.643,3.011,0.597,2.8283,2.097,3.097,0,1
6.1590,17.7207,0.3433,4.418,4,18.643,3.011,0.597,2.8221,2.097,3.097,0,1
6.1620,17.7339,0.3454,4.419,4,18.643,3.011,0.597,2.8158,2.097,3.097,0,1
6.1650,17.7470,0.3475,4.419,4,18.643,3.011,0.597,2.8097,2.097,3.097,0,1
6.1680,17.7601,0.3496,4.420,4,18.643,3.011,0.597,2.8035,2.097,3.097,0,1
6.1710,17.7732,0.3517,4.419,4,18.643,3.011,0.597,2.7974,2.097,3.097,0,1
6.1740,17.7863,0.3538,4.420,4,18.643,3.011,0.597,2.7913,2.097,3.097,0,1
6.1770,17.7994,0.3559,4.421,4,18.643,3.011,0.597,2.7853,2.097,3.097,0,1
6.1800,17.8126,0.3580,4.421,4,18.643,3.011,0.597,2.7793,2.097,3.097,0,1
6.1830,17.8257,0.3602,4.422,4,18.643,3.011,0.597,2.7734,2.097,3.097,0,1
6.1860,17.8388,0.3623,4.423,4,18.643,3.011,0.597,2.7675,2.097,3.097,0,1
6.1890,17.8519,0.3645,4.425,4,18.643,3.011,0.597,2.7616,2.097,3.097,0,1
6.1920,17.8651,0.3667,4.426,4,18.643,3.011,0.597,2.7558,2.097,3.097,0,1
6.1950,17.8782,0.3689,4.427,4,18.643,3.011,0.597,2.7501,2.097,3.097,0,1
6.1980,17.8913,0.3710,4.428,4,18.643,3.011,0.597,2.7443,2.097,3.097,0,1
6.2010,17.9045,0.3732,4.430,4,18.643,3.011,0.597,2.7386,2.097,3.097,0,1
6.2040,17.9176,0.3754,4.431,4,18.643,3.011,0.597,2.7330,2.097,3.097,0,1
6.2070,17.9308,0.3776,4.432,4,18.643,3.011,0.597,2.7274,2.097,3.097,0,1
6.2100,17.9439,0.3799,4.433,4,18.643,3.011,0.597,2.7219,2.097,3.097,0,1
6.2130,17.9570,0.3821,4.435,4,18.643,3.011,0.597,2.7164,2.097,3.097,0,1
6.2160,17.9702,0.3843,4.436,4,18.643,3.011,0.597,2.7110,2.097,3.097,0,1
6.2190,17.9834,0.3865,4.438,4,18.643,3.011,0.597,2.7056,2.097,3.097,0,1
6.2220,17.9965,0.3887,4.439,4,18.643,3.011,0.597,2.7002,2.097,3.097,0,1
6.2250,18.0097,0.3910,4.440,4,18.643,3.011,0.597,2.6949,2.097,3.097,0,1
6.2280,18.0228,0.3932,4.442,4,18.643,3.011,0.597,2.6897,2.097,3.097,0,1
6.2310,18.0360,0.3955,4.443,4,18.643,3.011,0.597,2.6845,2.097,3.097,0,1
6.2340,18.0492,0.3977,4.444,4,18.643,3.011,0.597,2.6794,2.097,3.097,0,1
6.2370,18.0623,0.4000,4.443,4,18.643,3.011,0.597,2.6743,2.097,3.097,0,1
6.2400,18.0755,0.4023,4.450,4,18.643,3.011,0.597,2.6692,2.097,3.097,0,1
6.2430,18.0887,0.4046,4.450,4,18.643,3.011,0.597,2.6642,2.097,3.097,0,1
6.2460,18.1018,0.4068,4.451,4,18.643,3.011,0.597,2.6593,2.097,3.097,0,1
6.2490,18.1150,0.4091,4.451,4,18.643,3.011,0.597,2.6544,2.097,3.097,0,1
6.2520,18.1282,0.4114,4.450,4,18.643,3.011,0.597,2.6495,2.097,3.097,0,1
6.2550,18.1414,0.4137,4.450,4,18.643,3.011,0.597,2.6448,2.097,3.097,0,1
6.2580,18.1545,0.4160,4.450,4,18.643,3.011,0.597,2.6400,2.097,3.097,0,1
6.2610,18.1677,0.4183,4.452,4,18.643,3.011,0.597,2.6354,2.097,3.097,0,1
6.2640,18.1809,0.4206,4.453,4,18.643,3.011,0.597,2.6307,2.097,3.097,0,1
6.2670,18.1940,0.4230,4.453,4,18.643,3.011,0.597,2.6262,2.097,3.097,0,1
6.2700,18.2072,0.4253,4.452,4,18.643,3.011,0.597,2.6216,2.097,3.097,0,1
6.2730,18.2204,0.4276,4.451,4,18.643,3.011,0.597,2.6172,2.097,3.097,0,1
6.2760,18.2335,0.4300,4.453,4,18.643,3.011,0.597,2.6128,2.097,3.097,0,1
6.2790,18.2467,0.4324,4.453,4,18.643,3.011,0.597,2.6084,2.097,3.097,0,1
6.2820,18.2599,0.4347,4.454,4,18.643,3.011,0.597,2.6041,2.097,3.097,0,1
6.2850,18.2730,0.4371,4.455,4,18.643,3.011,0.597,2.5998,2.097,3.097,0,1
6.2880,18.2862,0.4395,4.456,4,18.643,3.011,0.597,2.5956,2.097,3.097,0,1
6.2910,18.2994,0.4419,4.455,4,18.643,3.011,0.597,2.5914,2.097,3.097,0,1
6.2940,18.3126,0.4443,4.461,4,18.643,3.011,0.597,2.5873,2.097,3.097,0,1
6.2970,18.3257,0.4468,4.457,4,18.643,3.011,0.597,2.5833,2.097,3.097,0,1
6.3000,18.3389,0.4492,4.455,4,18.643,3.011,0.597,2.5793,2.097,3.097,0,1
6.3030,18.3521,0.4517,4.457,4,18.643,3.011,0.597,2.5753,2.097,3.097,0,1
