time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.0540,13.3702,2.1216,3.581,2,16.406,0.764,0.828,3.3255,2.328,3.328,0,1
6.0570,13.3807,2.1244,3.576,2,16.406,0.764,0.828,3.3171,2.328,3.328,0,1
6.0600,13.3911,2.1272,3.572,2,16.406,0.764,0.828,3.3087,2.328,3.328,0,1
6.0630,13.4016,2.1300,3.568,2,16.406,0.764,0.828,3.3004,2.328,3.328,0,1
6.0660,13.4119,2.1328,3.561,2,16.406,0.764,0.828,3.2921,2.328,3.328,0,1
6.0690,13.4223,2.1356,3.558,2,16.406,0.764,0.828,3.2838,2.328,3.328,0,1
6.0720,13.4327,2.1385,3.553,2,16.406,0.764,0.828,3.2756,2.328,3.328,0,1
6.0750,13.4430,2.1414,3.548,2,16.406,0.764,0.828,3.2674,2.328,3.328,0,1
6.0780,13.4534,2.1443,3.543,2,16.406,0.764,0.828,3.2593,2.328,3.328,0,1
6.0810,13.4637,2.1472,3.540,2,16.406,0.764,0.828,3.2512,2.328,3.328,0,1
6.0840,13.4740,2.1501,3.535,2,16.406,0.764,0.828,3.2431,2.328,3.328,0,1
6.0870,13.4842,2.1530,3.531,2,16.406,0.764,0.828,3.2351,2.328,3.328,0,1
6.0900,13.4945,2.1560,3.527,2,16.406,0.764,0.828,3.2271,2.328,3.328,0,1
6.0930,13.5047,2.1589,3.523,2,16.406,0.764,0.828,3.2191,2.328,3.328,0,1
6.0960,13.5150,2.1619,3.520,2,16.406,0.764,0.828,3.2112,2.328,3.328,0,1
6.0990,13.5252,2.1649,3.517,2,16.406,0.764,0.828,3.2033,2.328,3.328,0,1
6.1020,13.5354,2.1679,3.513,2,16.406,0.764,0.828,3.1955,2.328,3.328,0,1
6.1050,13.5456,2.1709,3.509,2,16.406,0.764,0.828,3.1877,2.328,3.328,0,1
6.1080,13.5557,2.1740,3.504,2,16.406,0.764,0.828,3.1799,2.328,3.328,0,1
6.1110,13.5659,2.1770,3.501,2,16.406,0.764,0.828,3.1722,2.328,3.328,0,1
6.1140,13.5760,2.1801,3.498,2,16.406,0.764,0.828,3.1645,2.328,3.328,0,1
6.1170,13.5861,2.1832,3.494,2,16.406,0.764,0.828,3.1568,2.328,3.328,0,1
6.1200,13.5962,2.1863,3.491,2,16.406,0.764,0.828,3.1492,2.328,3.328,0,1
6.1230,13.6063,2.1894,3.489,2,16.406,0.764,0.828,3.1416,2.328,3.328,0,1
6.1260,13.6164,2.1926,3.486,2,16.406,0.764,0.828,3.1341,2.328,3.328,0,1
6.1290,13.6265,2.1957,3.483,2,16.406,0.764,0.828,3.1266,2.328,3.328,0,1
6.1320,13.6365,2.1989,3.480,2,16.406,0.764,0.828,3.1191,2.328,3.328,0,1
6.1350,13.6465,2.2021,3.478,2,16.406,0.764,0.828,3.1117,2.328,3.328,0,1
6.1380,13.6566,2.2053,3.477,2,16.406,0.764,0.828,3.1043,2.328,3.328,0,1
6.1410,13.6666,2.2085,3.475,2,16.406,0.764,0.828,3.0969,2.328,3.328,0,1
6.1440,13.6766,2.2118,3.472,2,16.406,0.764,0.828,3.0896,2.328,3.328,0,1
6.1470,13.6866,2.2150,3.469,2,16.406,0.764,0.828,3.0823,2.328,3.328,0,1
6.1500,13.6965,2.2183,3.467,2,16.406,0.764,0.828,3.0750,2.328,3.328,0,1
6.1530,13.7065,2.2216,3.465,2,16.406,0.764,0.828,3.0678,2.328,3.328,0,1
6.1560,13.7164,2.2249,3.463,2,16.406,0.764,0.828,3.0606,2.328,3.328,0,1
6.1590,13.7264,2.2282,3.460,2,16.406,0.764,0.828,3.0535,2.328,3.328,0,1
6.1620,13.7363,2.2315,3.458,2,16.406,0.764,0.828,3.0464,2.328,3.328,0,1
6.1650,13.7462,2.2348,3.456,2,16.406,0.764,0.828,3.0393,2.328,3.328,0,1
6.1680,13.7561,2.2382,3.453,2,16.406,0.764,0.828,3.0323,2.328,3.328,0,1
6.1710,13.7659,2.2415,3.450,2,16.406,0.764,0.828,3.0253,2.328,3.328,0,1
6.1740,13.7758,2.2449,3.449,2,16.406,0.764,0.828,3.0184,2.328,3.328,0,1
6.1770,13.7857,2.2483,3.446,2,16.406,0.764,0.828,3.0115,2.328,3.328,0,1
6.1800,13.7955,2.2517,3.445,2,16.406,0.764,0.828,3.0046,2.328,3.328,0,1
6.1830,13.8053,2.2552,3.443,2,16.406,0.764,0.828,2.9978,2.328,3.328,0,1
6.1860,13.8152,2.2586,3.440,2,16.406,0.764,0.828,2.9910,2.328,3.328,0,1
6.1890,13.8250,2.2621,3.437,2,16.406,0.764,0.828,2.9842,2.328,3.328,0,1
6.1920,13.8347,2.2655,3.435,2,16.406,0.764,0.828,2.9775,2.328,3.328,0,1
6.1950,13.8445,2.2690,3.433,2,16.406,0.764,0.828,2.9708,2.328,3.328,0,1
6.1980,13.8543,2.2725,3.431,2,16.406,0.764,0.828,2.9642,2.328,3.328,0,1
6.2010,13.8640,2.2761,3.429,2,16.406,0.764,0.828,2.9576,2.328,3.328,0,1
6.2040,13.8738,2.2796,3.427,2,16.406,0.764,0.828,2.9511,2.328,3.328,0,1
6.2070,13.8835,2.2832,3.425,2,16.406,0.764,0.828,2.9445,2.328,3.328,0,1
6.2100,13.8932,2.2867,3.423,2,16.406,0.764,0.828,2.9381,2.328,3.328,0,1
6.2130,13.9029,2.2903,3.421,2,16.406,0.764,0.828,2.9316,2.328,3.328,0,1
6.2160,13.9126,2.2939,3.418,2,16.406,0.764,0.828,2.9252,2.328,3.328,0,1
6.2190,13.9223,2.2975,3.417,2,16.406,0.764,0.828,2.9189,2.328,3.328,0,1
6.2220,13.9320,2.3012,3.415,2,16.406,0.764,0.828,2.9126,2.328,3.328,0,1
6.2250,13.9417,2.3048,3.413,2,16.406,0.764,0.828,2.9063,2.328,3.328,0,1
6.2280,13.9513,2.3085,3.410,2,16.406,0.764,0.828,2.9001,2.328,3.328,0,1
6.2310,13.9609,2.3121,3.409,2,16.406,0.764,0.828,2.8939,2.328,3.328,0,1
6.2340,13.9706,2.3158,3.408,2,16.406,0.764,0.828,2.8877,2.328,3.328,0,1
6.2370,13.9802,2.3195,3.407,2,16.406,0.764,0.828,2.8816,2.328,3.328,0,1
6.2400,13.9898,2.3232,3.406,2,16.406,0.764,0.828,2.8756,2.328,3.328,0,1
6.2430,13.9994,2.3270,3.404,2,16.406,0.764,0.828,2.8695,2.328,3.328,0,1
6.2460,14.0090,2.3307,3.402,2,16.406,0.764,0.828,2.8635,2.328,3.328,0,1
6.2490,14.0186,2.3345,3.400,2,16.406,0.764,0.828,2.8576,2.328,3.328,0,1
6.2520,14.0281,2.3383,3.399,2,16.406,0.764,0.828,2.8517,2.328,3.328,0,1
6.2550,14.0377,2.3421,3.398,2,16.406,0.764,0.828,2.8458,2.328,3.328,0,1
6.2580,14.0472,2.3459,3.397,2,16.406,0.764,0.828,2.8400,2.328,3.328,0,1
6.2610,14.0568,2.3497,3.396,2,16.406,0.764,0.828,2.8342,2.328,3.328,0,1
6.2640,14.0663,2.3536,3.396,2,16.406,0.764,0.828,2.8285,2.328,3.328,0,1
6.2670,14.0759,2.3575,3.394,2,16.406,0.764,0.828,2.8228,2.328,3.328,0,1
6.2700,14.0854,2.3614,3.393,2,16.406,0.764,0.828,2.8172,2.328,3.328,0,1
6.2730,14.0949,2.3653,3.392,2,16.406,0.764,0.828,2.8115,2.328,3.328,0,1
6.2760,14.1044,2.3692,3.390,2,16.406,0.764,0.828,2.8060,2.328,3.328,0,1
6.2790,14.1139,2.3731,3.389,2,16.406,0.764,0.828,2.8005,2.328,3.328,0,1
6.2820,14.1233,2.3771,3.389,2,16.406,0.764,0.828,2.7950,2.328,3.328,0,1
6.2850,14.1328,2.3810,3.388,2,16.406,0.764,0.828,2.7896,2.328,3.328,0,1
6.2880,14.1423,2.3850,3.387,2,16.406,0.764,0.828,2.7842,2.328,3.328,0,1
6.2910,14.1517,2.3890,3.385,2,16.406,0.764,0.828,2.7788,2.328,3.328,0,1
6.2940,14.1612,2.3930,3.383,2,16.406,0.764,0.828,2.7735,2.328,3.328,0,1
6.2970,14.1706,2.3971,3.381,2,16.406,0.764,0.828,2.7683,2.328,3.328,0,1
6.3000,14.1800,2.4011,3.380,2,16.406,0.764,0.828,2.7630,2.328,3.328,0,1
6.3030,14.1895,2.4051,3.379,2,16.406,0.764,0.828,2.7579,2.328,3.328,0,1
6.3060,14.1989,2.4092,3.377,2,16.406,0.764,0.828,2.7527,2.328,3.328,0,1
6.3090,14.2083,2.4133,3.375,2,16.406,0.764,0.828,2.7477,2.328,3.328,0,1
6.3120,14.2176,2.4174,3.373,2,16.406,0.764,0.828,2.7426,2.328,3.328,0,1
6.3150,14.2270,2.4215,3.370,2,16.406,0.764,0.828,2.7376,2.328,3.328,0,1
6.3180,14.2364,2.4256,3.368,2,16.406,0.764,0.828,2.7327,2.328,3.328,0,1
6.3210,14.2457,2.4298,3.367,2,16.406,0.764,0.828,2.7278,2.328,3.328,0,1
