time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,13.904415,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000089,-0.000759,0.000070,0.000341,0.000000,0.100734,0.000000,0,0,13.904981,0.000000,0.000000,0.000000
0.204000,0.055295,0.000009,1.522611,0.000537,-0.000017,0.000412,0.000377,0.000000,0.174527,0.000000,0,0,13.905108,0.000000,0.000000,0.000000
0.306000,0.055218,0.000030,1.263977,0.000591,0.000247,0.001670,0.000425,0.000000,0.262149,0.000000,0,0,13.905182,0.000000,0.000000,0.000000
0.408000,0.055174,0.000077,0.902700,0.000425,0.000165,0.005350,0.000453,0.000000,0.338836,0.000000,0,0,13.905220,0.000000,0.000000,0.000000
0.510000,0.057974,-0.000280,0.535938,0.032541,0.072611,-0.004939,0.011413,0.000000,0.410873,0.000000,0,0,13.902479,0.000000,0.000000,0.000000
0.612000,0.059648,-0.000240,0.544476,-0.053344,-0.089326,0.001156,0.004827,0.000000,0.471201,0.000000,0,0,13.900812,0.000000,0.000000,0.000000
0.714000,0.052311,0.000162,0.649659,-0.028673,-0.050249,0.002518,0.005458,0.000000,0.524601,0.000000,0,0,13.908056,0.000000,0.000000,0.000000
0.816000,0.048920,0.000651,0.659843,-0.008572,-0.000261,-0.003202,0.020327,0.000000,0.585279,0.000000,0,0,13.911370,0.000000,0.000000,0.000000
0.918000,0.061863,0.000353,0.622707,0.238888,0.245893,0.002211,-0.016218,0.000000,0.634585,0.000000,0,0,13.898543,0.000000,0.000000,0.000000
1.020000,0.089908,0.000772,0.617585,0.326290,0.321875,0.010876,0.009590,0.000000,0.677373,0.000000,0,0,13.870632,0.000000,0.000000,0.000000
1.122000,0.134321,0.003664,0.633999,0.573768,0.561943,0.036107,0.015022,0.000000,0.704891,0.000000,0,0,13.826177,0.000000,0.000000,0.000000
1.224000,0.205120,0.008385,0.657100,0.844363,0.834913,0.046368,0.012026,0.000000,0.720600,0.000000,0,0,13.755301,0.000000,0.000000,0.000000
1.326000,0.305408,0.014792,0.683058,1.137714,1.129797,0.060059,0.015789,0.000000,0.713211,0.000000,0,0,13.654936,0.000000,0.000000,0.000000
1.428000,0.436122,0.023274,0.708831,1.433929,1.430388,0.070260,0.009215,0.000000,0.675528,0.000000,0,0,13.524110,0.000000,0.000000,0.000000
1.530000,0.595163,0.031896,0.728301,1.677261,1.681508,0.059749,0.008281,0.000000,0.617683,0.000000,0,0,13.365131,0.000000,0.000000,0.000000
1.632000,0.779043,0.039181,0.735923,1.918690,1.923807,0.048623,0.018638,0.000000,0.530933,0.000000,0,0,13.181642,0.000000,0.000000,0.000000
1.734000,0.988604,0.045670,0.734839,2.174817,2.177760,0.039772,0.022255,0.000000,0.449081,0.001204,0,0,12.972754,0.000000,0.000000,0.000000
1.836000,1.223503,0.052264,0.732543,2.415341,2.417503,0.030921,0.016075,0.000000,0.383395,0.020295,0,0,12.738717,0.000000,0.000000,0.000000
1.938000,1.480680,0.059398,0.735222,2.610598,2.616901,0.036452,0.020846,0.000000,0.340751,0.046638,0,0,12.482529,0.000000,0.000000,0.000000
2.040000,1.756002,0.068119,0.737479,2.756399,2.765919,0.043489,0.014364,0.000000,0.304581,0.083157,0,0,12.208178,0.000000,0.000000,0.000000
2.142000,2.041255,0.077255,0.736389,2.810313,2.812569,0.030809,0.010991,0.000000,0.279595,0.118837,0,0,11.923964,0.000000,0.000000,0.000000
2.244000,2.326984,0.084354,0.733222,2.780950,2.780533,0.005914,0.005656,0.000000,0.256965,0.156655,0,0,11.639582,0.000000,0.000000,0.000000
2.346000,2.606197,0.089458,0.730648,2.683183,2.689657,-0.016083,0.008943,0.000000,0.240263,0.183892,0,0,11.361979,0.000000,0.000000,0.000000
2.448000,2.874039,0.092729,0.729138,2.559396,2.564713,-0.025291,0.006094,0.000000,0.224177,0.203983,0,0,11.095959,0.000000,0.000000,0.000000
2.550000,3.129461,0.096348,0.719331,2.471217,2.442339,-0.004448,-0.014129,0.000000,0.211637,0.210727,0,0,10.842279,0.000000,0.000000,0.000000
2.652000,3.371553,0.102443,0.686214,2.356593,2.299760,-0.006337,0.017239,0.000000,0.198997,0.206094,0,0,10.601544,0.000000,0.000000,0.000000
