time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,13.904415,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000103,-0.000771,0.000074,0.000373,0.000000,0.099319,0.000000,0,0,13.904981,0.000000,0.000000,0.000000
0.204000,0.055295,0.000010,1.522611,0.000509,-0.000041,0.000419,0.000373,0.000000,0.171652,0.000000,0,0,13.905108,0.000000,0.000000,0.000000
0.306000,0.055218,0.000029,1.263977,0.000596,0.000252,0.001640,0.000427,0.000000,0.250397,0.000000,0,0,13.905182,0.000000,0.000000,0.000000
0.408000,0.055221,0.000229,0.905196,0.001266,0.004905,0.014715,0.012408,0.000000,0.320539,0.000000,0,0,13.905156,0.000000,0.000000,0.000000
0.510000,0.062099,0.001690,0.696432,0.042892,0.069880,0.020813,0.015771,0.000000,0.371360,0.000000,0,0,13.898158,0.000000,0.000000,0.000000
0.612000,0.058613,0.004198,0.818618,-0.039921,-0.087668,0.023473,-0.006206,0.000000,0.428874,0.000000,0,0,13.901337,0.000000,0.000000,0.000000
0.714000,0.051995,0.006899,0.882906,-0.033384,-0.051940,0.024112,-0.005291,0.000000,0.513239,0.000000,0,0,13.907609,0.000000,0.000000,0.000000
0.816000,0.048681,0.009919,0.863003,-0.025546,0.003767,0.042043,-0.023135,0.000000,0.604380,0.000000,0,0,13.910561,0.000000,0.000000,0.000000
0.918000,0.056031,0.013155,0.813754,0.158917,0.178542,0.019199,-0.021111,0.000000,0.697617,0.000000,0,0,13.902893,0.000000,0.000000,0.000000
1.020000,0.082151,0.012426,0.809184,0.345917,0.325130,-0.001485,0.018165,0.000000,0.766224,0.000000,0,0,13.877021,0.000000,0.000000,0.000000
1.122000,0.127640,0.015875,0.836569,0.556173,0.547790,0.053294,0.005528,0.000000,0.797449,0.000000,0,0,13.831434,0.000000,0.000000,0.000000
1.224000,0.193391,0.022614,0.862231,0.737976,0.735988,0.070207,0.011491,0.000000,0.804239,0.000000,0,0,13.765342,0.000000,0.000000,0.000000
1.326000,0.278889,0.030212,0.884153,0.924415,0.926292,0.067932,0.016208,0.000000,0.784639,0.000000,0,0,13.679533,0.000000,0.000000,0.000000
1.428000,0.383750,0.037820,0.901170,1.115602,1.119647,0.061601,0.020766,0.000000,0.734656,0.000000,0,0,13.574484,0.000000,0.000000,0.000000
1.530000,0.507315,0.044363,0.908974,1.294232,1.299404,0.051110,0.030327,0.000000,0.669255,0.000000,0,0,13.450975,0.000000,0.000000,0.000000
1.632000,0.649470,0.049429,0.908450,1.477497,1.479191,0.031266,0.024383,0.000000,0.578834,0.000000,0,0,13.309170,0.000000,0.000000,0.000000
1.734000,0.808808,0.053220,0.905298,1.638507,1.637271,0.015756,0.021650,0.000000,0.482851,0.000000,0,0,13.150452,0.000000,0.000000,0.000000
1.836000,0.982970,0.056167,0.904791,1.774516,1.774518,0.007775,0.022248,0.000000,0.389326,0.004704,0,0,12.977124,0.000000,0.000000,0.000000
1.938000,1.171149,0.059860,0.903778,1.910847,1.912482,0.012703,0.022547,0.000000,0.330980,0.024644,0,0,12.789807,0.000000,0.000000,0.000000
2.040000,1.373398,0.064444,0.901821,2.046386,2.046773,0.015929,0.019660,0.000000,0.283924,0.056380,0,0,12.588438,0.000000,0.000000,0.000000
2.142000,1.588440,0.069848,0.898889,2.165063,2.165811,0.016068,0.023383,0.000000,0.253224,0.089069,0,0,12.374296,0.000000,0.000000,0.000000
2.244000,1.815680,0.076267,0.896016,2.289604,2.287737,0.020304,0.023916,0.000000,0.227044,0.126350,0,0,12.147951,0.000000,0.000000,0.000000
2.346000,2.054531,0.083838,0.894699,2.389836,2.391986,0.021261,0.018787,0.000000,0.208852,0.157828,0,0,11.909975,0.000000,0.000000,0.000000
2.448000,2.302633,0.092194,0.892473,2.468363,2.471148,0.021351,0.018479,0.000000,0.192281,0.189772,0,0,11.662758,0.000000,0.000000,0.000000
2.550000,2.556365,0.100854,0.889841,2.480985,2.481492,0.017611,0.016337,0.000000,0.179985,0.214141,0,0,11.409954,0.000000,0.000000,0.000000
2.652000,2.804630,0.108374,0.889696,2.380478,2.385529,0.001779,0.019497,0.000000,0.168086,0.234859,0,0,11.162759,0.000000,0.000000,0.000000
2.754000,3.041452,0.114926,0.887190,2.260389,2.259037,-0.003537,0.016305,0.000000,0.158774,0.244701,0,0,10.927081,0.000000,0.000000,0.000000
2.856000,3.265045,0.122123,0.870092,2.170196,2.127138,0.017081,-0.011571,0.000000,0.149359,0.244973,0,0,10.704476,0.000000,0.000000,0.000000
2.958000,3.474573,0.129105,0.839602,1.954807,1.959438,0.004610,-0.013094,0.045455,0.141726,0.235550,0,0,10.495878,0.000000,0.000000,0.000000
3.060000,3.663050,0.136921,0.846697,1.705280,1.742782,0.037204,0.027124,0.250000,0.133802,0.214346,0,0,10.308060,0.000000,0.000000,0.000000
3.162000,3.830160,0.146893,0.870624,1.543645,1.547412,0.049199,0.055576,0.415597,0.127247,0.186951,0,0,10.141142,0.000000,0.000000,0.000000
3.264000,3.978928,0.158465,0.880364,1.398582,1.391124,0.070124,0.057498,0.534579,0.120343,0.149652,0,0,9.992186,0.000000,0.000000,0.000000
3.366000,4.114100,0.174279,0.878414,1.279193,1.278739,0.118444,0.076322,0.598368,0.114695,0.111808,0,0,9.856122,0.000000,0.000000,0.000000
3.468000,4.238964,0.194335,0.874483,1.192363,1.192120,0.140237,0.093087,0.734346,0.120621,0.071813,0,0,9.729688,0.000000,0.000000,0.000000
3.570000,4.355119,0.218496,0.872874,1.115534,1.113234,0.191569,0.115020,0.766289,0.167988,0.048451,0,0,9.611322,0.000000,0.000000,0.000000
3.672000,4.464795,0.245864,0.870704,1.073118,1.068077,0.182077,0.122269,0.707185,0.249926,0.031120,0,0,9.498948,0.000000,0.000000,0.000000
3.774000,4.570270,0.273833,0.868715,1.052268,1.049166,0.172376,0.112873,0.576470,0.340193,0.020996,0,0,9.390669,0.000000,0.000000,0.000000
3.876000,4.677130,0.301160,0.869306,1.100498,1.097043,0.162464,0.092480,0.664917,0.449570,0.013485,0,0,9.281118,0.000000,0.000000,0.000000
3.978000,4.791583,0.331209,0.870641,1.221953,1.214772,0.186987,0.121794,0.531531,0.546120,0.009098,0,0,9.163698,0.000000,0.000000,0.000000
4.080000,4.921636,0.365968,0.872420,1.405978,1.400006,0.190673,0.121272,0.520588,0.646178,0.005844,0,0,9.030215,0.000000,0.000000,0.000000
4.182000,5.071924,0.406716,0.875492,1.621846,1.621171,0.211739,0.128043,0.431135,0.718422,0.003943,0,0,8.875926,0.000000,0.000000,0.000000
4.284000,5.243834,0.453797,0.878009,1.844573,1.840249,0.213042,0.129878,0.447734,0.775753,0.002532,0,0,8.699429,0.000000,0.000000,0.000000
4.386000,5.436285,0.506016,0.877884,2.042153,2.040288,0.197355,0.157448,0.370134,0.804938,0.001708,0,0,8.501971,0.000000,0.000000,0.000000
4.488000,5.648653,0.563392,0.878800,2.248681,2.247840,0.191697,0.153930,0.407533,0.808611,0.001097,0,0,8.284196,0.000000,0.000000,0.000000
4.590000,5.879694,0.627189,0.879247,2.427896,2.427661,0.188655,0.150020,0.313568,0.788553,0.000740,0,0,8.047219,0.000000,0.000000,0.000000
4.692000,6.126401,0.697348,0.881414,2.574508,2.577894,0.179264,0.136466,0.226184,0.745758,0.000476,0,0,7.794088,0.000000,0.000000,0.000000
4.794000,6.386447,0.772392,0.883866,2.707677,2.708801,0.158612,0.133246,0.179946,0.695287,0.000321,0,0,7.527345,0.000000,0.000000,0.000000
4.896000,6.658548,0.851182,0.886740,2.832856,2.833450,0.127749,0.108450,0.100573,0.629744,0.000206,0,0,7.248451,0.000000,0.000000,0.000000
4.998000,6.943184,0.932950,0.890226,2.966722,2.965797,0.094722,0.090541,0.092818,0.567270,0.000139,0,0,6.957062,0.000000,0.000000,0.000000
