sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778837533.963739,0,1.579617,-0.036013,-0.000904,-0.0490,-0.0024,0.000265,1.648994,-0.000000,-0.000000,-0.0020,1.579512,-0.036031,-0.000903,-0.0047,-0.0000,-0.000000,-0.107441,0.0000,1.579512,0.000000,0.000000,5.0000,0.000000,2.000000,3413.7200,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0724,0.0000,0.000000,0.2000,17.07,9.20,43.35,4.64,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-115.86825180497715,3.4164477610045623,0.004051,0.005798,6559.2,6061.4,-0.047439,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778837533.972564,1,1.700527,-0.029174,0.002392,-0.0481,0.1161,0.000374,1.648913,-0.000001,-0.000000,-0.0094,1.700476,-0.029003,0.002397,-0.0022,0.0002,0.000008,-0.018208,0.0000,1.700476,0.000000,-0.000000,5.0000,0.000000,2.000000,3343.5184,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0787,0.0000,0.000000,0.2240,14.60,8.24,37.43,2.82,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,28.1988050894348,56.89808575670261,-0.041883,-0.039999,6556.0,6064.5,-0.041940,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778837533.984653,2,1.615788,-0.034973,-0.005596,-0.0769,-0.0333,-0.000596,1.648775,-0.000002,-0.000001,-0.0124,1.615759,-0.034889,-0.005594,-0.0014,0.0002,0.000007,-0.009772,0.0000,1.615759,0.000000,0.000000,5.0000,0.000000,2.000000,3343.4764,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0857,0.0000,0.000000,0.2480,12.50,7.43,32.42,2.81,-0.000002,-0.0001,-5.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,-40.26571601227123,49.61545455736689,-0.020545,-0.019784,6551.3,6069.3,-0.033660,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778837533.996472,3,1.742801,0.028905,-0.002191,-0.0255,-0.0617,-0.000880,1.648627,-0.000004,-0.000003,-0.0122,1.742787,0.028874,-0.002192,-0.0007,-0.0001,-0.000004,0.005447,0.0000,1.742787,0.000000,-0.000000,5.0000,0.000000,2.000000,3038.6041,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0934,0.0000,0.000000,0.2720,10.71,7.48,28.90,7.80,-0.000004,-0.0002,-5.0122,nan,nan,nan,nan,nan,nan,0.0,0.0,-94.19299744857014,25.22192447325355,0.007841,0.007330,6545.2,6075.4,-0.023066,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778837534.008488,4,1.645247,-0.049358,0.006440,-0.0072,0.0404,0.000066,1.648492,-0.000007,-0.000005,-0.0105,1.645244,-0.049321,0.006441,0.0000,0.0002,0.000008,0.026566,0.0000,1.645244,0.000000,0.000000,5.0000,0.000000,2.000000,3001.5609,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1017,0.0000,0.000000,0.2960,9.18,7.12,25.47,5.04,-0.000007,-0.0003,-5.0105,nan,nan,nan,nan,nan,nan,0.0,0.0,-55.127029956201994,43.45255637953156,-0.009339,-0.009666,6538.3,6082.2,-0.011087,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778837534.020418,5,1.615797,0.057707,-0.000331,0.0322,0.0541,0.000078,1.648463,-0.000004,-0.000003,0.0003,1.615949,0.057818,-0.000329,0.0071,0.0008,0.000033,0.062097,0.0000,1.615949,0.000000,0.000000,5.0000,0.000000,2.000000,2993.4372,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1107,0.0000,0.000000,0.3200,7.89,6.80,22.58,5.03,-0.000004,-0.0002,-4.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,3.1527189217631246,31.929598041506452,-0.028508,-0.028671,6527.8,6092.7,0.007198,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778837534.032527,6,1.647286,0.005977,0.003547,-0.0867,0.0302,0.000423,1.648468,0.000002,-0.000000,0.0003,1.647400,0.006110,0.003550,0.0063,0.0014,0.000054,0.080603,0.0000,1.647400,0.000000,0.000000,5.0000,0.000000,2.000000,2986.7526,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1204,0.0000,0.000000,0.3440,6.80,6.53,20.12,5.00,0.000002,-0.0000,-4.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,14.404245009050967,12.535604186643283,-0.034917,-0.034508,6521.9,6098.7,0.017580,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778837534.044500,7,1.617049,-0.019254,0.005519,0.0694,0.0407,-0.001926,1.648453,0.000007,0.000003,-0.0009,1.617379,-0.019092,0.005520,0.0189,0.0023,0.000081,0.095414,0.0000,1.617379,0.000000,0.000000,5.0000,0.000000,2.000000,2982.3900,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1306,0.0000,0.000000,0.3680,5.86,6.30,18.02,5.00,0.000007,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,21.55563058404465,-21.324821942057795,-0.042717,-0.044845,6517.0,6103.5,0.026017,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778837534.056529,8,1.665839,-0.018060,0.001343,0.0646,-0.0320,0.000079,1.648434,0.000014,0.000007,-0.0008,1.666288,-0.017979,0.001344,0.0282,0.0015,0.000046,0.114338,0.0000,1.666288,0.000000,-0.000000,5.0000,0.000000,2.000000,2976.8507,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1413,0.0000,0.000000,0.3920,5.06,6.11,16.24,5.05,0.000014,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-24.557417019236354,7.918677141881389,-0.022143,-0.023760,6511.3,6109.2,0.035977,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778837534.068548,9,1.644452,-0.025146,0.002619,-0.0226,0.0495,-0.000068,1.648415,0.000021,0.000011,-0.0007,1.644784,-0.025016,0.002620,0.0232,0.0030,0.000096,0.132611,0.0000,1.644784,0.000000,0.000000,5.0000,0.000000,2.000000,2971.7453,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1525,0.0000,0.000000,0.4160,4.39,5.95,14.73,5.00,0.000021,0.0006,-5.0007,0.008000,0.018512,0.1943,-0.478543,0.018827,-0.001507,0.0,0.0,-12.60289687016305,-35.91732512253739,-0.036966,-0.038356,6505.9,6114.6,0.045399,0.000000,0.000000,0.5000,1.0000,,,,,
