time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
5.9040,16.3749,0.1814,4.445,2,19.058,2.137,0.828,3.3203,2.328,3.328,0,1
5.9070,16.3882,0.1829,4.446,2,19.058,2.137,0.828,3.3087,2.328,3.328,0,1
5.9100,16.4015,0.1844,4.448,2,19.058,2.137,0.828,3.2971,2.328,3.328,0,1
5.9130,16.4148,0.1859,4.448,2,19.058,2.137,0.828,3.2856,2.328,3.328,0,1
5.9160,16.4281,0.1874,4.449,2,19.058,2.137,0.828,3.2740,2.328,3.328,0,1
5.9190,16.4413,0.1889,4.448,2,19.058,2.137,0.828,3.2624,2.328,3.328,0,1
5.9220,16.4546,0.1904,4.450,2,19.058,2.137,0.828,3.2509,2.328,3.328,0,1
5.9250,16.4679,0.1919,4.452,2,19.058,2.137,0.828,3.2393,2.328,3.328,0,1
5.9280,16.4812,0.1935,4.453,2,19.058,2.137,0.828,3.2278,2.328,3.328,0,1
5.9310,16.4945,0.1950,4.454,2,19.058,2.137,0.828,3.2162,2.328,3.328,0,1
5.9340,16.5078,0.1966,4.455,2,19.058,2.137,0.828,3.2047,2.328,3.328,0,1
5.9370,16.5211,0.1981,4.455,2,19.058,2.137,0.828,3.1932,2.328,3.328,0,1
5.9400,16.5344,0.1997,4.456,2,19.058,2.137,0.828,3.1817,2.328,3.328,0,1
5.9430,16.5477,0.2012,4.458,2,19.058,2.137,0.828,3.1702,2.328,3.328,0,1
5.9460,16.5610,0.2028,4.459,2,19.058,2.137,0.828,3.1587,2.328,3.328,0,1
5.9490,16.5743,0.2044,4.461,2,19.058,2.137,0.828,3.1472,2.328,3.328,0,1
5.9520,16.5876,0.2059,4.460,2,19.058,2.137,0.828,3.1358,2.328,3.328,0,1
5.9550,16.6009,0.2075,4.460,2,19.058,2.137,0.828,3.1243,2.328,3.328,0,1
5.9580,16.6142,0.2091,4.460,2,19.058,2.137,0.828,3.1129,2.328,3.328,0,1
5.9610,16.6276,0.2107,4.463,2,19.058,2.137,0.828,3.1014,2.328,3.328,0,1
5.9640,16.6409,0.2123,4.462,2,19.058,2.137,0.828,3.0900,2.328,3.328,0,1
5.9670,16.6542,0.2139,4.464,2,19.058,2.137,0.828,3.0786,2.328,3.328,0,1
5.9700,16.6675,0.2155,4.465,2,19.058,2.137,0.828,3.0672,2.328,3.328,0,1
5.9730,16.6808,0.2171,4.465,2,19.058,2.137,0.828,3.0558,2.328,3.328,0,1
5.9760,16.6941,0.2187,4.465,2,19.058,2.137,0.828,3.0445,2.328,3.328,0,1
5.9790,16.7074,0.2204,4.465,2,19.058,2.137,0.828,3.0331,2.328,3.328,0,1
5.9820,16.7207,0.2220,4.465,2,19.058,2.137,0.828,3.0218,2.328,3.328,0,1
5.9850,16.7341,0.2237,4.466,2,19.058,2.137,0.828,3.0104,2.328,3.328,0,1
5.9880,16.7474,0.2253,4.465,2,19.058,2.137,0.828,2.9991,2.328,3.328,0,1
5.9910,16.7607,0.2270,4.466,2,19.058,2.137,0.828,2.9878,2.328,3.328,0,1
5.9940,16.7740,0.2287,4.466,2,19.058,2.137,0.828,2.9765,2.328,3.328,0,1
5.9970,16.7873,0.2304,4.466,2,19.058,2.137,0.828,2.9652,2.328,3.328,0,1
6.0000,16.8006,0.2321,4.467,2,19.058,2.137,0.828,2.9539,2.328,3.328,0,1
6.0030,16.8139,0.2338,4.468,2,19.058,2.137,0.828,2.9426,2.328,3.328,0,1
6.0060,16.8272,0.2355,4.468,2,19.058,2.137,0.828,2.9314,2.328,3.328,0,1
6.0090,16.8405,0.2373,4.468,2,19.058,2.137,0.828,2.9201,2.328,3.328,0,1
6.0120,16.8539,0.2390,4.468,2,19.058,2.137,0.828,2.9089,2.328,3.328,0,1
6.0150,16.8672,0.2408,4.469,2,19.058,2.137,0.828,2.8977,2.328,3.328,0,1
6.0180,16.8805,0.2425,4.470,2,19.058,2.137,0.828,2.8865,2.328,3.328,0,1
6.0210,16.8938,0.2443,4.470,2,19.058,2.137,0.828,2.8753,2.328,3.328,0,1
6.0240,16.9071,0.2461,4.470,2,19.058,2.137,0.828,2.8641,2.328,3.328,0,1
6.0270,16.9204,0.2478,4.470,2,19.058,2.137,0.828,2.8529,2.328,3.328,0,1
6.0300,16.9337,0.2496,4.472,2,19.058,2.137,0.828,2.8418,2.328,3.328,0,1
6.0330,16.9470,0.2514,4.473,2,19.058,2.137,0.828,2.8306,2.328,3.328,0,1
6.0360,16.9604,0.2532,4.473,2,19.058,2.137,0.828,2.8195,2.328,3.328,0,1
6.0390,16.9737,0.2550,4.473,2,19.058,2.137,0.828,2.8084,2.328,3.328,0,1
6.0420,16.9870,0.2569,4.473,2,19.058,2.137,0.828,2.7973,2.328,3.328,0,1
6.0450,17.0003,0.2587,4.475,2,19.058,2.137,0.828,2.7862,2.328,3.328,0,1
6.0480,17.0136,0.2605,4.476,2,19.058,2.137,0.828,2.7752,2.328,3.328,0,1
6.0510,17.0270,0.2623,4.477,2,19.058,2.137,0.828,2.7641,2.328,3.328,0,1
6.0540,17.0403,0.2642,4.479,2,19.058,2.137,0.828,2.7531,2.328,3.328,0,1
6.0570,17.0536,0.2660,4.479,2,19.058,2.137,0.828,2.7421,2.328,3.328,0,1
6.0600,17.0669,0.2679,4.479,2,19.058,2.137,0.828,2.7311,2.328,3.328,0,1
6.0630,17.0803,0.2697,4.480,2,19.058,2.137,0.828,2.7201,2.328,3.328,0,1
6.0660,17.0936,0.2716,4.481,2,19.058,2.137,0.828,2.7092,2.328,3.328,0,1
6.0690,17.1069,0.2735,4.481,2,19.058,2.137,0.828,2.6982,2.328,3.328,0,1
6.0720,17.1202,0.2753,4.481,2,19.058,2.137,0.828,2.6873,2.328,3.328,0,1
6.0750,17.1336,0.2772,4.482,2,19.058,2.137,0.828,2.6764,2.328,3.328,0,1
6.0780,17.1469,0.2791,4.483,2,19.058,2.137,0.828,2.6655,2.328,3.328,0,1
6.0810,17.1602,0.2810,4.484,2,19.058,2.137,0.828,2.6546,2.328,3.328,0,1
6.0840,17.1735,0.2829,4.486,2,19.058,2.137,0.828,2.6438,2.328,3.328,0,1
6.0870,17.1869,0.2849,4.486,2,19.058,2.137,0.828,2.6330,2.328,3.328,0,1
6.0900,17.2002,0.2868,4.487,2,19.058,2.137,0.828,2.6221,2.328,3.328,0,1
6.0930,17.2135,0.2887,4.487,2,19.058,2.137,0.828,2.6113,2.328,3.328,0,1
6.0960,17.2268,0.2907,4.488,2,19.058,2.137,0.828,2.6006,2.328,3.328,0,1
6.0990,17.2402,0.2926,4.489,2,19.058,2.137,0.828,2.5898,2.328,3.328,0,1
6.1020,17.2535,0.2946,4.489,2,19.058,2.137,0.828,2.5791,2.328,3.328,0,1
6.1050,17.2668,0.2965,4.490,2,19.058,2.137,0.828,2.5684,2.328,3.328,0,1
6.1080,17.2802,0.2985,4.490,2,19.058,2.137,0.828,2.5577,2.328,3.328,0,1
6.1110,17.2935,0.3005,4.490,2,19.058,2.137,0.828,2.5470,2.328,3.328,0,1
6.1140,17.3068,0.3025,4.489,2,19.058,2.137,0.828,2.5363,2.328,3.328,0,1
6.1170,17.3202,0.3045,4.490,2,19.058,2.137,0.828,2.5257,2.328,3.328,0,1
6.1200,17.3335,0.3065,4.490,2,19.058,2.137,0.828,2.5151,2.328,3.328,0,1
6.1230,17.3468,0.3085,4.491,2,19.058,2.137,0.828,2.5045,2.328,3.328,0,1
