time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
5.9580,13.2525,1.8244,3.977,2,16.406,0.764,0.828,3.3270,2.328,3.328,0,1
5.9610,13.2644,1.8232,3.976,2,16.406,0.764,0.828,3.3153,2.328,3.328,0,1
5.9640,13.2763,1.8219,3.978,2,16.406,0.764,0.828,3.3037,2.328,3.328,0,1
5.9670,13.2883,1.8207,3.977,2,16.406,0.764,0.828,3.2920,2.328,3.328,0,1
5.9700,13.3002,1.8195,3.977,2,16.406,0.764,0.828,3.2803,2.328,3.328,0,1
5.9730,13.3121,1.8182,3.976,2,16.406,0.764,0.828,3.2686,2.328,3.328,0,1
5.9760,13.3240,1.8170,3.976,2,16.406,0.764,0.828,3.2569,2.328,3.328,0,1
5.9790,13.3360,1.8157,3.976,2,16.406,0.764,0.828,3.2452,2.328,3.328,0,1
5.9820,13.3479,1.8144,3.976,2,16.406,0.764,0.828,3.2335,2.328,3.328,0,1
5.9850,13.3598,1.8131,3.976,2,16.406,0.764,0.828,3.2218,2.328,3.328,0,1
5.9880,13.3717,1.8118,3.977,2,16.406,0.764,0.828,3.2101,2.328,3.328,0,1
5.9910,13.3836,1.8105,3.976,2,16.406,0.764,0.828,3.1984,2.328,3.328,0,1
5.9940,13.3955,1.8092,3.975,2,16.406,0.764,0.828,3.1867,2.328,3.328,0,1
5.9970,13.4075,1.8079,3.974,2,16.406,0.764,0.828,3.1751,2.328,3.328,0,1
6.0000,13.4194,1.8066,3.975,2,16.406,0.764,0.828,3.1634,2.328,3.328,0,1
6.0030,13.4313,1.8052,3.975,2,16.406,0.764,0.828,3.1517,2.328,3.328,0,1
6.0060,13.4432,1.8039,3.975,2,16.406,0.764,0.828,3.1400,2.328,3.328,0,1
6.0090,13.4551,1.8025,3.974,2,16.406,0.764,0.828,3.1283,2.328,3.328,0,1
6.0120,13.4670,1.8011,3.974,2,16.406,0.764,0.828,3.1166,2.328,3.328,0,1
6.0150,13.4789,1.7997,3.974,2,16.406,0.764,0.828,3.1050,2.328,3.328,0,1
6.0180,13.4908,1.7983,3.974,2,16.406,0.764,0.828,3.0933,2.328,3.328,0,1
6.0210,13.5027,1.7969,3.974,2,16.406,0.764,0.828,3.0816,2.328,3.328,0,1
6.0240,13.5146,1.7955,3.973,2,16.406,0.764,0.828,3.0699,2.328,3.328,0,1
6.0270,13.5265,1.7940,3.973,2,16.406,0.764,0.828,3.0582,2.328,3.328,0,1
6.0300,13.5384,1.7926,3.974,2,16.406,0.764,0.828,3.0465,2.328,3.328,0,1
6.0330,13.5503,1.7911,3.973,2,16.406,0.764,0.828,3.0348,2.328,3.328,0,1
6.0360,13.5622,1.7897,3.974,2,16.406,0.764,0.828,3.0231,2.328,3.328,0,1
6.0390,13.5741,1.7882,3.974,2,16.406,0.764,0.828,3.0115,2.328,3.328,0,1
6.0420,13.5859,1.7867,3.975,2,16.406,0.764,0.828,2.9998,2.328,3.328,0,1
6.0450,13.5978,1.7852,3.976,2,16.406,0.764,0.828,2.9881,2.328,3.328,0,1
6.0480,13.6097,1.7837,3.975,2,16.406,0.764,0.828,2.9764,2.328,3.328,0,1
6.0510,13.6216,1.7822,3.975,2,16.406,0.764,0.828,2.9647,2.328,3.328,0,1
6.0540,13.6335,1.7807,3.976,2,16.406,0.764,0.828,2.9530,2.328,3.328,0,1
6.0570,13.6454,1.7792,3.976,2,16.406,0.764,0.828,2.9413,2.328,3.328,0,1
6.0600,13.6573,1.7776,3.976,2,16.406,0.764,0.828,2.9296,2.328,3.328,0,1
6.0630,13.6692,1.7761,3.976,2,16.406,0.764,0.828,2.9180,2.328,3.328,0,1
6.0660,13.6811,1.7746,3.976,2,16.406,0.764,0.828,2.9063,2.328,3.328,0,1
6.0690,13.6930,1.7730,3.976,2,16.406,0.764,0.828,2.8946,2.328,3.328,0,1
6.0720,13.7048,1.7715,3.975,2,16.406,0.764,0.828,2.8829,2.328,3.328,0,1
6.0750,13.7167,1.7699,3.975,2,16.406,0.764,0.828,2.8712,2.328,3.328,0,1
6.0780,13.7286,1.7683,3.975,2,16.406,0.764,0.828,2.8596,2.328,3.328,0,1
6.0810,13.7405,1.7667,3.974,2,16.406,0.764,0.828,2.8479,2.328,3.328,0,1
6.0840,13.7523,1.7651,3.973,2,16.406,0.764,0.828,2.8362,2.328,3.328,0,1
6.0870,13.7642,1.7635,3.974,2,16.406,0.764,0.828,2.8245,2.328,3.328,0,1
6.0900,13.7761,1.7618,3.974,2,16.406,0.764,0.828,2.8129,2.328,3.328,0,1
6.0930,13.7879,1.7602,3.974,2,16.406,0.764,0.828,2.8012,2.328,3.328,0,1
6.0960,13.7998,1.7585,3.974,2,16.406,0.764,0.828,2.7895,2.328,3.328,0,1
6.0990,13.8117,1.7569,3.975,2,16.406,0.764,0.828,2.7778,2.328,3.328,0,1
6.1020,13.8235,1.7552,3.977,2,16.406,0.764,0.828,2.7661,2.328,3.328,0,1
6.1050,13.8354,1.7535,3.979,2,16.406,0.764,0.828,2.7544,2.328,3.328,0,1
6.1080,13.8473,1.7518,3.978,2,16.406,0.764,0.828,2.7428,2.328,3.328,0,1
6.1110,13.8592,1.7501,3.978,2,16.406,0.764,0.828,2.7311,2.328,3.328,0,1
6.1140,13.8710,1.7484,3.980,2,16.406,0.764,0.828,2.7194,2.328,3.328,0,1
6.1170,13.8829,1.7467,3.980,2,16.406,0.764,0.828,2.7077,2.328,3.328,0,1
6.1200,13.8948,1.7449,3.982,2,16.406,0.764,0.828,2.6960,2.328,3.328,0,1
6.1230,13.9067,1.7432,3.983,2,16.406,0.764,0.828,2.6843,2.328,3.328,0,1
6.1260,13.9186,1.7415,3.985,2,16.406,0.764,0.828,2.6726,2.328,3.328,0,1
6.1290,13.9304,1.7397,3.988,2,16.406,0.764,0.828,2.6609,2.328,3.328,0,1
6.1320,13.9423,1.7380,3.989,2,16.406,0.764,0.828,2.6492,2.328,3.328,0,1
6.1350,13.9542,1.7363,3.990,2,16.406,0.764,0.828,2.6375,2.328,3.328,0,1
6.1380,13.9661,1.7345,3.990,2,16.406,0.764,0.828,2.6258,2.328,3.328,0,1
6.1410,13.9780,1.7327,3.991,2,16.406,0.764,0.828,2.6141,2.328,3.328,0,1
6.1440,13.9899,1.7310,3.993,2,16.406,0.764,0.828,2.6024,2.328,3.328,0,1
6.1470,14.0018,1.7292,3.993,2,16.406,0.764,0.828,2.5907,2.328,3.328,0,1
6.1500,14.0136,1.7275,3.967,2,16.406,0.764,0.828,2.5791,2.328,3.328,0,1
6.1530,14.0253,1.7259,3.913,2,16.406,0.764,0.828,2.5677,2.328,3.328,0,1
6.1560,14.0367,1.7243,3.828,2,16.406,0.764,0.828,2.5565,2.328,3.328,0,1
6.1590,14.0478,1.7228,3.722,2,16.406,0.764,0.828,2.5457,2.328,3.328,0,1
6.1620,14.0585,1.7215,3.589,2,16.406,0.764,0.828,2.5353,2.328,3.328,0,1
6.1650,14.0687,1.7203,3.436,2,16.406,0.764,0.828,2.5253,2.328,3.328,0,1
6.1680,14.0785,1.7192,3.266,2,16.406,0.764,0.828,2.5159,2.328,3.328,0,1
6.1710,14.0877,1.7183,3.086,2,16.406,0.764,0.828,2.5070,2.328,3.328,0,1
6.1740,14.0964,1.7175,2.912,2,16.406,0.764,0.828,2.4987,2.328,3.328,0,1
6.1770,14.1046,1.7170,2.731,2,16.406,0.764,0.828,2.4909,2.328,3.328,0,1
6.1800,14.1123,1.7166,2.549,2,16.406,0.764,0.828,2.4836,2.328,3.328,0,1
6.1830,14.1195,1.7163,2.407,2,16.406,0.764,0.828,2.4769,2.328,3.328,0,1
6.1860,14.1263,1.7160,2.261,2,16.406,0.764,0.828,2.4705,2.328,3.328,0,1
6.1890,14.1328,1.7158,2.146,2,16.406,0.764,0.828,2.4644,2.328,3.328,0,1
6.1920,14.1390,1.7157,2.051,2,16.406,0.764,0.828,2.4587,2.328,3.328,0,1
6.1950,14.1449,1.7157,1.971,2,16.406,0.764,0.828,2.4532,2.328,3.328,0,1
6.1980,14.1508,1.7157,1.946,2,16.406,0.764,0.828,2.4477,2.328,3.328,0,1
6.2010,14.1566,1.7157,1.895,2,16.406,0.764,0.828,2.4425,2.328,3.328,0,1
6.2040,14.1623,1.7157,1.911,2,16.406,0.764,0.828,2.4372,2.328,3.328,0,1
6.2070,14.1681,1.7157,1.915,2,16.406,0.764,0.828,2.4318,2.328,3.328,0,1
6.2100,14.1739,1.7157,1.923,2,16.406,0.764,0.828,2.4265,2.328,3.328,0,1
6.2130,14.1797,1.7157,1.935,2,16.406,0.764,0.828,2.4212,2.328,3.328,0,1
6.2160,14.1854,1.7157,1.894,2,16.406,0.764,0.828,2.4159,2.328,3.328,0,1
6.2190,14.1911,1.7157,1.879,2,16.406,0.764,0.828,2.4107,2.328,3.328,0,1
6.2220,14.1966,1.7156,1.857,2,16.406,0.764,0.828,2.4056,2.328,3.328,0,1
6.2250,14.2022,1.7156,1.845,2,16.406,0.764,0.828,2.4005,2.328,3.328,0,1
6.2280,14.2077,1.7155,1.844,2,16.406,0.764,0.828,2.3954,2.328,3.328,0,1
6.2310,14.2133,1.7155,1.841,2,16.406,0.764,0.828,2.3903,2.328,3.328,0,1
6.2340,14.2188,1.7154,1.845,2,16.406,0.764,0.828,2.3851,2.328,3.328,0,1
6.2370,14.2244,1.7154,1.850,2,16.406,0.764,0.828,2.3800,2.328,3.328,0,1
6.2400,14.2299,1.7153,1.855,2,16.406,0.764,0.828,2.3749,2.328,3.328,0,1
6.2430,14.2355,1.7152,1.861,2,16.406,0.764,0.828,2.3697,2.328,3.328,0,1
6.2460,14.2411,1.7151,1.867,2,16.406,0.764,0.828,2.3646,2.328,3.328,0,1
6.2490,14.2467,1.7149,1.872,2,16.406,0.764,0.828,2.3594,2.328,3.328,0,1
6.2520,14.2523,1.7148,1.875,2,16.406,0.764,0.828,2.3542,2.328,3.328,0,1
6.2550,14.2580,1.7147,1.881,2,16.406,0.764,0.828,2.3490,2.328,3.328,0,1
6.2580,14.2637,1.7145,1.886,2,16.406,0.764,0.828,2.3437,2.328,3.328,0,1
6.2610,14.2693,1.7143,1.892,2,16.406,0.764,0.828,2.3385,2.328,3.328,0,1
6.2640,14.2750,1.7142,1.895,2,16.406,0.764,0.828,2.3332,2.328,3.328,0,1
6.2670,14.2807,1.7140,1.900,2,16.406,0.764,0.828,2.3279,2.328,3.328,1,0
6.2700,14.2864,1.7138,1.905,2,16.406,0.764,0.828,2.3226,2.328,3.328,1,0
6.2730,14.2922,1.7136,1.910,2,16.406,0.764,0.828,2.3173,2.328,3.328,1,0
6.2760,14.2979,1.7133,1.914,2,16.406,0.764,0.828,2.3120,2.328,3.328,1,0
6.2790,14.3037,1.7131,1.916,2,16.406,0.764,0.828,2.3066,2.328,3.328,1,0
6.2820,14.3094,1.7128,1.921,2,16.406,0.764,0.828,2.3013,2.328,3.328,1,0
6.2850,14.3152,1.7126,1.923,2,16.406,0.764,0.828,2.2959,2.328,3.328,1,0
6.2880,14.3210,1.7123,1.929,2,16.406,0.764,0.828,2.2905,2.328,3.328,1,0
6.2910,14.3268,1.7120,1.930,2,16.406,0.764,0.828,2.2851,2.328,3.328,1,0
6.2940,14.3326,1.7117,1.933,2,16.406,0.764,0.828,2.2797,2.328,3.328,1,0
6.2970,14.3384,1.7114,1.935,2,16.406,0.764,0.828,2.2743,2.328,3.328,1,0
6.3000,14.3442,1.7111,1.939,2,16.406,0.764,0.828,2.2689,2.328,3.328,1,0
6.3030,14.3500,1.7108,1.942,2,16.406,0.764,0.828,2.2634,2.328,3.328,1,0
6.3060,14.3559,1.7104,1.946,2,16.406,0.764,0.828,2.2580,2.328,3.328,1,0
6.3090,14.3617,1.7101,1.947,2,16.406,0.764,0.828,2.2525,2.328,3.328,1,0
6.3120,14.3676,1.7097,1.950,2,16.406,0.764,0.828,2.2471,2.328,3.328,1,0
6.3150,14.3734,1.7093,1.954,2,16.406,0.764,0.828,2.2416,2.328,3.328,1,0
6.3180,14.3793,1.7089,1.957,2,16.406,0.764,0.828,2.2361,2.328,3.328,1,0
6.3210,14.3852,1.7085,1.961,2,16.406,0.764,0.828,2.2306,2.328,3.328,1,0
6.3240,14.3911,1.7080,1.966,2,16.406,0.764,0.828,2.2251,2.328,3.328,1,0
6.3270,14.3970,1.7076,1.971,2,16.406,0.764,0.828,2.2195,2.328,3.328,1,0
6.3300,14.4029,1.7071,1.974,2,16.406,0.764,0.828,2.2140,2.328,3.328,1,0
6.3330,14.4088,1.7066,1.978,2,16.406,0.764,0.828,2.2084,2.328,3.328,1,0
6.3360,14.4148,1.7061,1.980,2,16.406,0.764,0.828,2.2028,2.328,3.328,1,0
6.3390,14.4207,1.7056,1.987,2,16.406,0.764,0.828,2.1972,2.328,3.328,1,0
6.3420,14.4267,1.7051,1.990,2,16.406,0.764,0.828,2.1916,2.328,3.328,1,0
6.3450,14.4327,1.7045,1.997,2,16.406,0.764,0.828,2.1860,2.328,3.328,1,0
6.3480,14.4387,1.7040,2.003,2,16.406,0.764,0.828,2.1803,2.328,3.328,1,0
6.3510,14.4447,1.7034,2.009,2,16.406,0.764,0.828,2.1746,2.328,3.328,1,0
6.3540,14.4507,1.7028,2.013,2,16.406,0.764,0.828,2.1689,2.328,3.328,1,0
6.3570,14.4568,1.7022,2.018,2,16.406,0.764,0.828,2.1632,2.328,3.328,1,0
6.3600,14.4628,1.7016,2.023,2,16.406,0.764,0.828,2.1575,2.328,3.328,1,0
6.3630,14.4689,1.7010,2.028,2,16.406,0.764,0.828,2.1518,2.328,3.328,1,0
6.3660,14.4750,1.7003,2.032,2,16.406,0.764,0.828,2.1460,2.328,3.328,1,0
6.3690,14.4811,1.6996,2.038,2,16.406,0.764,0.828,2.1402,2.328,3.328,1,0
6.3720,14.4872,1.6989,2.043,2,16.406,0.764,0.828,2.1344,2.328,3.328,1,0
6.3750,14.4933,1.6982,2.048,2,16.406,0.764,0.828,2.1286,2.328,3.328,1,0
6.3780,14.4994,1.6974,2.054,2,16.406,0.764,0.828,2.1228,2.328,3.328,1,0
6.3810,14.5056,1.6966,2.062,2,16.406,0.764,0.828,2.1169,2.328,3.328,1,0
6.3840,14.5117,1.6958,2.064,2,16.406,0.764,0.828,2.1110,2.328,3.328,1,0
6.3870,14.5179,1.6950,2.070,2,16.406,0.764,0.828,2.1051,2.328,3.328,1,0
6.3900,14.5241,1.6941,2.075,2,16.406,0.764,0.828,2.0992,2.328,3.328,1,0
6.3930,14.5303,1.6932,2.081,2,16.406,0.764,0.828,2.0932,2.328,3.328,1,0
6.3960,14.5365,1.6923,2.086,2,16.406,0.764,0.828,2.0873,2.328,3.328,1,0
6.3990,14.5427,1.6914,2.095,2,16.406,0.764,0.828,2.0813,2.328,3.328,1,0
6.4020,14.5489,1.6904,2.100,2,16.406,0.764,0.828,2.0753,2.328,3.328,1,0
6.4050,14.5552,1.6894,2.105,2,16.406,0.764,0.828,2.0692,2.328,3.328,1,0
6.4080,14.5615,1.6884,2.112,2,16.406,0.764,0.828,2.0632,2.328,3.328,1,0
6.4110,14.5678,1.6874,2.121,2,16.406,0.764,0.828,2.0571,2.328,3.328,1,0
6.4140,14.5741,1.6863,2.125,2,16.406,0.764,0.828,2.0510,2.328,3.328,1,0
6.4170,14.5804,1.6852,2.134,2,16.406,0.764,0.828,2.0448,2.328,3.328,1,0
6.4200,14.5868,1.6841,2.141,2,16.406,0.764,0.828,2.0386,2.328,3.328,1,0
6.4230,14.5931,1.6830,2.149,2,16.406,0.764,0.828,2.0325,2.328,3.328,1,0
6.4260,14.5995,1.6818,2.155,2,16.406,0.764,0.828,2.0262,2.328,3.328,1,0
6.4290,14.6059,1.6807,2.163,2,16.406,0.764,0.828,2.0200,2.328,3.328,1,0
6.4320,14.6124,1.6795,2.171,2,16.406,0.764,0.828,2.0137,2.328,3.328,1,0
6.4350,14.6188,1.6782,2.179,2,16.406,0.764,0.828,2.0074,2.328,3.328,1,0
6.4380,14.6253,1.6769,2.186,2,16.406,0.764,0.828,2.0011,2.328,3.328,1,0
6.4410,14.6317,1.6756,2.196,2,16.406,0.764,0.828,1.9947,2.328,3.328,1,0
6.4440,14.6382,1.6743,2.204,2,16.406,0.764,0.828,1.9883,2.328,3.328,1,0
6.4470,14.6448,1.6730,2.217,2,16.406,0.764,0.828,1.9819,2.328,3.328,1,0
6.4500,14.6513,1.6716,2.226,2,16.406,0.764,0.828,1.9754,2.328,3.328,1,0
6.4530,14.6579,1.6702,2.233,2,16.406,0.764,0.828,1.9689,2.328,3.328,1,0
6.4560,14.6645,1.6687,2.243,2,16.406,0.764,0.828,1.9624,2.328,3.328,1,0
6.4590,14.6711,1.6673,2.251,2,16.406,0.764,0.828,1.9559,2.328,3.328,1,0
6.4620,14.6778,1.6658,2.260,2,16.406,0.764,0.828,1.9493,2.328,3.328,1,0
6.4650,14.6845,1.6643,2.269,2,16.406,0.764,0.828,1.9427,2.328,3.328,1,0
6.4680,14.6912,1.6628,2.280,2,16.406,0.764,0.828,1.9360,2.328,3.328,1,0
6.4710,14.6979,1.6612,2.289,2,16.406,0.764,0.828,1.9294,2.328,3.328,1,0
6.4740,14.7046,1.6596,2.297,2,16.406,0.764,0.828,1.9227,2.328,3.328,1,0
6.4770,14.7114,1.6580,2.305,2,16.406,0.764,0.828,1.9159,2.328,3.328,1,0
6.4800,14.7182,1.6564,2.313,2,16.406,0.764,0.828,1.9092,2.328,3.328,1,0
6.4830,14.7250,1.6548,2.323,2,16.406,0.764,0.828,1.9024,2.328,3.328,1,0
6.4860,14.7318,1.6531,2.332,2,16.406,0.764,0.828,1.8956,2.328,3.328,1,0
6.4890,14.7387,1.6514,2.341,2,16.406,0.764,0.828,1.8887,2.328,3.328,1,0
6.4920,14.7456,1.6497,2.350,2,16.406,0.764,0.828,1.8818,2.328,3.328,1,0
6.4950,14.7525,1.6480,2.362,2,16.406,0.764,0.828,1.8749,2.328,3.328,1,0
6.4980,14.7594,1.6462,2.372,2,16.406,0.764,0.828,1.8680,2.328,3.328,1,0
6.5010,14.7664,1.6444,2.382,2,16.406,0.764,0.828,1.8610,2.328,3.328,1,0
6.5040,14.7734,1.6426,2.390,2,16.406,0.764,0.828,1.8540,2.328,3.328,1,0
6.5070,14.7804,1.6408,2.398,2,16.406,0.764,0.828,1.8469,2.328,3.328,1,0
6.5100,14.7874,1.6389,2.408,2,16.406,0.764,0.828,1.8399,2.328,3.328,1,0
6.5130,14.7944,1.6370,2.416,2,16.406,0.764,0.828,1.8328,2.328,3.328,1,0
6.5160,14.8015,1.6351,2.425,2,16.406,0.764,0.828,1.8257,2.328,3.328,1,0
6.5190,14.8086,1.6332,2.435,2,16.406,0.764,0.828,1.8185,2.328,3.328,1,0
6.5220,14.8157,1.6312,2.443,2,16.406,0.764,0.828,1.8114,2.328,3.328,1,0
6.5250,14.8228,1.6293,2.451,2,16.406,0.764,0.828,1.8042,2.328,3.328,1,0
6.5280,14.8300,1.6273,2.460,2,16.406,0.764,0.828,1.7969,2.328,3.328,1,0
6.5310,14.8371,1.6252,2.470,2,16.406,0.764,0.828,1.7897,2.328,3.328,1,0
6.5340,14.8443,1.6232,2.479,2,16.406,0.764,0.828,1.7824,2.328,3.328,1,0
6.5370,14.8515,1.6211,2.488,2,16.406,0.764,0.828,1.7751,2.328,3.328,1,0
6.5400,14.8588,1.6191,2.497,2,16.406,0.764,0.828,1.7677,2.328,3.328,1,0
6.5430,14.8660,1.6169,2.505,2,16.406,0.764,0.828,1.7604,2.328,3.328,1,0
6.5460,14.8733,1.6148,2.515,2,16.406,0.764,0.828,1.7530,2.328,3.328,1,0
6.5490,14.8806,1.6127,2.524,2,16.406,0.764,0.828,1.7455,2.328,3.328,1,0
6.5520,14.8879,1.6105,2.533,2,16.406,0.764,0.828,1.7381,2.328,3.328,1,0
6.5550,14.8952,1.6083,2.543,2,16.406,0.764,0.828,1.7306,2.328,3.328,1,0
6.5580,14.9026,1.6060,2.551,2,16.406,0.764,0.828,1.7231,2.328,3.328,1,0
6.5610,14.9100,1.6038,2.560,2,16.406,0.764,0.828,1.7156,2.328,3.328,1,0
6.5640,14.9174,1.6015,2.566,2,16.406,0.764,0.828,1.7080,2.328,3.328,1,0
6.5670,14.9248,1.5992,2.574,2,16.406,0.764,0.828,1.7004,2.328,3.328,1,0
6.5700,14.9322,1.5969,2.581,2,16.406,0.764,0.828,1.6928,2.328,3.328,1,0
6.5730,14.9396,1.5946,2.591,2,16.406,0.764,0.828,1.6852,2.328,3.328,1,0
6.5760,14.9471,1.5923,2.599,2,16.406,0.764,0.828,1.6776,2.328,3.328,1,0
6.5790,14.9546,1.5899,2.609,2,16.406,0.764,0.828,1.6699,2.328,3.328,1,0
6.5820,14.9621,1.5875,2.614,2,16.406,0.764,0.828,1.6622,2.328,3.328,1,0
6.5850,14.9696,1.5851,2.621,2,16.406,0.764,0.828,1.6545,2.328,3.328,1,0
6.5880,14.9771,1.5827,2.630,2,16.406,0.764,0.828,1.6467,2.328,3.328,1,0
6.5910,14.9847,1.5802,2.640,2,16.406,0.764,0.828,1.6390,2.328,3.328,1,0
6.5940,14.9922,1.5777,2.647,2,16.406,0.764,0.828,1.6312,2.328,3.328,1,0
6.5970,14.9998,1.5752,2.654,2,16.406,0.764,0.828,1.6233,2.328,3.328,1,0
6.6000,15.0074,1.5727,2.664,2,16.406,0.764,0.828,1.6155,2.328,3.328,1,0
6.6030,15.0150,1.5702,2.672,2,16.406,0.764,0.828,1.6076,2.328,3.328,1,0
6.6060,15.0227,1.5676,2.678,2,16.406,0.764,0.828,1.5997,2.328,3.328,1,0
6.6090,15.0303,1.5651,2.687,2,16.406,0.764,0.828,1.5918,2.328,3.328,1,0
6.6120,15.0380,1.5625,2.695,2,16.406,0.764,0.828,1.5839,2.328,3.328,1,0
6.6150,15.0457,1.5599,2.703,2,16.406,0.764,0.828,1.5759,2.328,3.328,1,0
6.6180,15.0534,1.5572,2.713,2,16.406,0.764,0.828,1.5679,2.328,3.328,1,0
6.6210,15.0611,1.5546,2.716,2,16.406,0.764,0.828,1.5599,2.328,3.328,1,0
6.6240,15.0689,1.5519,2.724,2,16.406,0.764,0.828,1.5519,2.328,3.328,1,0
6.6270,15.0766,1.5492,2.733,2,16.406,0.764,0.828,1.5439,2.328,3.328,1,0
6.6300,15.0844,1.5466,2.740,2,16.406,0.764,0.828,1.5358,2.328,3.328,1,0
6.6330,15.0922,1.5439,2.747,2,16.406,0.764,0.828,1.5277,2.328,3.328,1,0
6.6360,15.1000,1.5411,2.751,2,16.406,0.764,0.828,1.5196,2.328,3.328,1,0
6.6390,15.1078,1.5384,2.757,2,16.406,0.764,0.828,1.5115,2.328,3.328,1,0
6.6420,15.1157,1.5357,2.765,2,16.406,0.764,0.828,1.5034,2.328,3.328,1,0
6.6450,15.1235,1.5329,2.771,2,16.406,0.764,0.828,1.4952,2.328,3.328,1,0
6.6480,15.1314,1.5302,2.776,2,16.406,0.764,0.828,1.4871,2.328,3.328,1,0
6.6510,15.1393,1.5274,2.783,2,16.406,0.764,0.828,1.4789,2.328,3.328,1,0
6.6540,15.1472,1.5246,2.789,2,16.406,0.764,0.828,1.4707,2.328,3.328,1,0
6.6570,15.1551,1.5218,2.796,2,16.406,0.764,0.828,1.4625,2.328,3.328,1,0
6.6600,15.1630,1.5190,2.802,2,16.406,0.764,0.828,1.4542,2.328,3.328,1,0
6.6630,15.1710,1.5162,2.809,2,16.406,0.764,0.828,1.4460,2.328,3.328,1,0
6.6660,15.1790,1.5134,2.815,2,16.406,0.764,0.828,1.4377,2.328,3.328,1,0
6.6690,15.1870,1.5106,2.821,2,16.406,0.764,0.828,1.4294,2.328,3.328,1,0
6.6720,15.1950,1.5078,2.834,2,16.406,0.764,0.828,1.4211,2.328,3.328,1,0
6.6750,15.2030,1.5050,2.840,2,16.406,0.764,0.828,1.4128,2.328,3.328,1,0
6.6780,15.2111,1.5021,2.845,2,16.406,0.764,0.828,1.4045,2.328,3.328,1,0
6.6810,15.2191,1.4993,2.851,2,16.406,0.764,0.828,1.3961,2.328,3.328,1,0
6.6840,15.2272,1.4964,2.859,2,16.406,0.764,0.828,1.3877,2.328,3.328,1,0
6.6870,15.2353,1.4936,2.870,2,16.406,0.764,0.828,1.3793,2.328,3.328,1,0
6.6900,15.2435,1.4908,2.877,2,16.406,0.764,0.828,1.3709,2.328,3.328,1,0
6.6930,15.2516,1.4879,2.884,2,16.406,0.764,0.828,1.3625,2.328,3.328,1,0
6.6960,15.2598,1.4851,2.890,2,16.406,0.764,0.828,1.3540,2.328,3.328,1,0
6.6990,15.2680,1.4822,2.899,2,16.406,0.764,0.828,1.3456,2.328,3.328,1,0
6.7020,15.2762,1.4793,2.909,2,16.406,0.764,0.828,1.3371,2.328,3.328,1,0
6.7050,15.2845,1.4764,2.919,2,16.406,0.764,0.828,1.3286,2.328,3.328,1,0
6.7080,15.2928,1.4735,2.923,2,16.406,0.764,0.828,1.3200,2.328,3.328,1,0
