time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,13.904415,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000086,-0.000756,0.000082,0.000337,0.000000,0.099943,0.000000,0,0,13.904981,0.000000,0.000000,0.000000
0.204000,0.055295,0.000010,1.522611,0.000521,-0.000030,0.000433,0.000372,0.000000,0.172049,0.000000,0,0,13.905108,0.000000,0.000000,0.000000
0.306000,0.055218,0.000030,1.263977,0.000590,0.000247,0.001687,0.000425,0.000000,0.258636,0.000000,0,0,13.905182,0.000000,0.000000,0.000000
0.408000,0.055174,0.000077,0.902700,0.000428,0.000169,0.005325,0.000455,0.000000,0.341136,0.000000,0,0,13.905220,0.000000,0.000000,0.000000
0.510000,0.058522,-0.000201,0.564557,0.027753,0.076105,-0.004188,0.003799,0.000000,0.396936,0.000000,0,0,13.901926,0.000000,0.000000,0.000000
0.612000,0.059665,-0.000093,0.637287,-0.022644,-0.069912,0.000409,0.003744,0.000000,0.449299,0.000000,0,0,13.900778,0.000000,0.000000,0.000000
0.714000,0.053584,0.000257,0.740491,-0.013957,-0.046348,0.005321,-0.000980,0.000000,0.524012,0.000000,0,0,13.906780,0.000000,0.000000,0.000000
0.816000,0.049527,0.000662,0.744751,-0.038600,-0.033185,-0.009064,0.023964,0.000000,0.609497,0.000000,0,0,13.910765,0.000000,0.000000,0.000000
0.918000,0.054880,-0.000537,0.693043,0.090107,0.129111,0.007362,0.024124,0.000000,0.715790,0.000000,0,0,13.905583,0.000000,0.000000,0.000000
1.020000,0.078865,0.001454,0.663818,0.345316,0.334071,0.029382,-0.031492,0.000000,0.789201,0.000000,0,0,13.881527,0.000000,0.000000,0.000000
1.122000,0.125856,0.005382,0.689240,0.579262,0.565076,0.053102,0.011164,0.000000,0.827648,0.000000,0,0,13.834393,0.000000,0.000000,0.000000
1.224000,0.190963,0.012461,0.723096,0.711654,0.712949,0.071097,0.015204,0.000000,0.836601,0.000000,0,0,13.768903,0.000000,0.000000,0.000000
1.326000,0.273045,0.020207,0.746181,0.895435,0.891359,0.063802,0.024151,0.000000,0.818869,0.000000,0,0,13.686473,0.000000,0.000000,0.000000
1.428000,0.373193,0.027532,0.764439,1.063042,1.067234,0.054701,0.019872,0.000000,0.771794,0.000000,0,0,13.586141,0.000000,0.000000,0.000000
1.530000,0.491055,0.033536,0.775460,1.236584,1.240199,0.038078,0.025605,0.000000,0.708712,0.000000,0,0,13.468364,0.000000,0.000000,0.000000
1.632000,0.626190,0.038273,0.779200,1.400527,1.405272,0.026511,0.018546,0.000000,0.620311,0.000000,0,0,13.333576,0.000000,0.000000,0.000000
1.734000,0.777121,0.042255,0.779340,1.545770,1.547565,0.017064,0.016030,0.000000,0.530589,0.000000,0,0,13.183195,0.000000,0.000000,0.000000
1.836000,0.942051,0.045346,0.779778,1.679421,1.679694,0.003420,0.013040,0.000000,0.422623,0.000000,0,0,13.019025,0.000000,0.000000,0.000000
1.938000,1.120317,0.048603,0.780503,1.807886,1.811046,0.009984,0.011730,0.000000,0.354019,0.015191,0,0,12.841612,0.000000,0.000000,0.000000
2.040000,1.311939,0.053043,0.780161,1.940532,1.941788,0.014645,0.011088,0.000000,0.299322,0.043437,0,0,12.650817,0.000000,0.000000,0.000000
2.142000,1.515767,0.058451,0.780094,2.050531,2.051970,0.019871,0.015152,0.000000,0.264132,0.075128,0,0,12.447812,0.000000,0.000000,0.000000
2.244000,1.730213,0.064689,0.780183,2.145596,2.147035,0.021195,0.021787,0.000000,0.234592,0.115614,0,0,12.234193,0.000000,0.000000,0.000000
2.346000,1.953980,0.071699,0.780078,2.242591,2.240348,0.023867,0.022589,0.000000,0.214413,0.154454,0,0,12.011256,0.000000,0.000000,0.000000
2.448000,2.186614,0.079452,0.780665,2.317163,2.316581,0.017749,0.022815,0.000000,0.196342,0.200029,0,0,11.779459,0.000000,0.000000,0.000000
2.550000,2.425392,0.086431,0.779172,2.358673,2.361690,0.000977,0.023667,0.000000,0.183147,0.240028,0,0,11.541698,0.000000,0.000000,0.000000
2.652000,2.663055,0.092869,0.777688,2.275845,2.280998,-0.006609,0.014975,0.000000,0.170559,0.281857,0,0,11.305152,0.000000,0.000000,0.000000
2.754000,2.887598,0.098615,0.777891,2.116036,2.121340,-0.008426,0.015031,0.000000,0.160824,0.312223,0,0,11.081749,0.000000,0.000000,0.000000
2.856000,3.094187,0.104780,0.773715,1.946275,1.937387,0.008188,0.001655,0.000000,0.151074,0.329232,0,0,10.876129,0.000000,0.000000,0.000000
2.958000,3.282725,0.112216,0.753711,1.815551,1.771243,0.017152,-0.010310,0.000000,0.143228,0.338150,0,0,10.688265,0.000000,0.000000,0.000000
3.060000,3.453918,0.117342,0.725418,1.539153,1.552358,-0.011237,0.009165,0.022727,0.135126,0.346658,0,0,10.517923,0.000000,0.000000,0.000000
3.162000,3.597296,0.121039,0.735491,1.245670,1.281785,-0.010834,0.019376,0.159091,0.128452,0.338754,0,0,10.375359,0.000000,0.000000,0.000000
3.264000,3.714640,0.124369,0.759804,1.032333,1.036701,-0.011306,0.017529,0.363636,0.121441,0.315913,0,0,10.258654,0.000000,0.000000,0.000000
3.366000,3.809071,0.126514,0.770987,0.819552,0.819657,-0.013572,0.012007,0.568182,0.114885,0.283413,0,0,10.164820,0.000000,0.000000,0.000000
3.468000,3.880569,0.127555,0.769652,0.584772,0.585267,-0.016957,0.010763,0.750000,0.109395,0.249237,0,0,10.093862,0.000000,0.000000,0.000000
3.570000,3.927339,0.128178,0.765322,0.340871,0.343346,-0.005607,0.001946,0.931818,0.104193,0.211766,0,0,10.047456,0.000000,0.000000,0.000000
3.672000,3.950810,0.128502,0.764111,0.133612,0.133074,0.002622,0.012765,1.000000,0.098655,0.166991,0,0,10.024167,0.000000,0.000000,0.000000
3.774000,3.959789,0.129359,0.764592,0.069652,0.065217,0.003395,0.009944,1.000000,0.094186,0.124592,0,0,10.015156,0.000000,0.000000,0.000000
3.876000,3.964230,0.129910,0.764287,0.029304,0.029126,0.004152,0.005205,0.977273,0.101278,0.080024,0,0,10.010682,0.000000,0.000000,0.000000
3.978000,3.965828,0.129844,0.764075,-0.005424,-0.004618,0.003753,0.003890,0.963141,0.152462,0.053991,0,0,10.009108,0.000000,0.000000,0.000000
