time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.731430,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000072,-0.000743,0.000116,0.000363,0.000000,0.140642,0.000000,0,0,16.731991,0.000000,0.000000,0.000000
0.204000,0.055295,0.000016,1.522611,0.000525,-0.000028,0.000692,0.000372,0.000000,0.243343,0.000000,0,0,16.732117,0.000000,0.000000,0.000000
0.306000,0.055218,0.000051,1.263977,0.000581,0.000218,0.002905,0.000421,0.000000,0.368853,0.000000,0,0,16.732187,0.000000,0.000000,0.000000
0.408000,0.055206,0.000187,0.904270,-0.001146,0.003849,0.012683,0.005294,0.000000,0.526522,0.000000,0,0,16.732177,0.000000,0.000000,0.000000
0.510000,0.062081,0.001305,0.642949,0.064588,0.109905,0.027776,0.010906,0.000000,0.658472,0.000000,0,0,16.725212,0.000000,0.000000,0.000000
0.612000,0.062851,0.003278,0.716159,-0.018904,-0.060286,0.020120,-0.013123,0.000000,0.780027,0.000000,0,0,16.724137,0.000000,0.000000,0.000000
0.714000,0.061844,0.007242,0.789594,0.037676,0.024062,0.050083,-0.028362,0.000000,0.851590,0.000000,0,0,16.724498,0.000000,0.000000,0.000000
0.816000,0.072277,0.009389,0.784547,0.229212,0.230304,-0.017264,0.017978,0.000000,0.904677,0.000000,0,0,16.713856,0.000000,0.000000,0.000000
0.918000,0.117128,0.006358,0.769118,0.614877,0.611693,-0.016773,-0.004535,0.000000,0.935688,0.000000,0,0,16.670066,0.000000,0.000000,0.000000
1.020000,0.198809,0.007610,0.785341,0.976463,0.971718,0.021190,0.010749,0.000000,0.958693,0.000000,0,0,16.589241,0.000000,0.000000,0.000000
1.122000,0.314872,0.011973,0.814939,1.294350,1.288704,0.045985,0.012012,0.000000,0.972131,0.000000,0,0,16.473992,0.000000,0.000000,0.000000
1.224000,0.460712,0.018669,0.842612,1.567771,1.568169,0.065304,0.008760,0.000000,0.982100,0.000000,0,0,16.328991,0.000000,0.000000,0.000000
1.326000,0.635308,0.026634,0.860507,1.848405,1.847717,0.071617,0.013699,0.000000,0.987923,0.000000,0,0,16.155431,0.000000,0.000000,0.000000
1.428000,0.838055,0.034710,0.866776,2.112422,2.116596,0.064377,0.020622,0.000000,0.992243,0.000000,0,0,15.954109,0.000000,0.000000,0.000000
1.530000,1.067045,0.041781,0.862822,2.358135,2.366399,0.051256,0.020194,0.000000,0.994767,0.000000,0,0,15.727112,0.000000,0.000000,0.000000
