sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778838360.510491,0,1.598895,0.110346,0.010437,-0.0140,-0.1183,-0.001226,1.648994,-0.000000,-0.000000,-0.0020,1.598787,0.109349,0.010412,-0.0051,-0.0004,-0.000017,-0.111556,0.0000,1.598787,0.000000,0.000000,7.0000,0.000000,2.000000,7485.2395,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0842,0.0000,0.000000,0.2000,17.99,9.75,45.73,8.33,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,82.25228953724945,797.0069393913345,0.236014,0.228348,6560.2,6060.3,-0.019696,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778838360.519601,1,1.726694,-0.006225,0.002883,-0.0556,-0.0172,0.000986,1.648913,-0.000001,-0.000000,-0.0094,1.726632,-0.007051,0.002863,-0.0024,-0.0005,-0.000022,-0.013897,0.0000,1.726632,0.000000,-0.000000,7.0000,0.000000,2.000000,7911.0927,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0915,0.0000,0.000000,0.2240,16.44,9.40,42.28,7.45,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,110.48438299365338,668.0990095719644,0.197408,0.192338,6557.1,6063.5,-0.017505,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778838360.527775,2,1.730575,-0.024172,0.001021,-0.0254,0.0138,-0.000682,1.648775,-0.000002,-0.000002,-0.0125,1.730536,-0.024814,0.001004,-0.0016,-0.0007,-0.000028,-0.002980,0.0000,1.730536,0.000000,-0.000000,7.0000,0.000000,2.000000,7975.6019,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0996,0.0000,0.000000,0.2480,14.57,8.60,37.75,4.06,-0.000002,-0.0001,-7.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,187.36735174354587,524.0737404371032,0.155115,0.150113,6552.2,6068.3,-0.014140,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778838360.536195,3,1.530557,0.017006,0.001139,-0.0213,-0.0759,-0.000328,1.648627,-0.000005,-0.000003,-0.0121,1.530539,0.016372,0.001124,-0.0007,-0.0012,-0.000052,0.011782,0.0000,1.530539,0.000000,0.000000,7.0000,0.000000,2.000000,7705.3576,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1086,0.0000,0.000000,0.2720,12.43,7.93,32.80,4.14,-0.000005,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,213.4809955017661,524.7395953779403,0.154443,0.149999,6545.9,6074.6,-0.009738,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778838360.548012,4,1.599860,-0.022158,-0.000198,-0.0415,0.0487,0.001371,1.648492,-0.000007,-0.000005,-0.0106,1.599857,-0.022585,-0.000208,0.0001,-0.0014,-0.000059,0.031608,0.0000,1.599857,0.000000,0.000000,7.0000,0.000000,2.000000,7911.8408,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1183,0.0000,0.000000,0.2960,10.61,7.35,28.58,4.08,-0.000007,-0.0003,-7.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,267.32789639895674,372.2812593333207,0.105454,0.103559,6538.7,6081.8,-0.004715,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778838360.560115,5,1.635636,0.068437,-0.001176,-0.0104,0.0821,0.000325,1.648460,-0.000004,-0.000003,-0.0001,1.635645,0.068226,-0.001181,0.0010,-0.0011,-0.000046,0.065265,0.0000,1.635645,0.000000,0.000000,7.0000,0.000000,2.000000,8140.9172,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1288,0.0000,0.000000,0.3200,9.06,6.87,24.99,4.11,-0.000004,-0.0002,-7.0001,nan,nan,nan,nan,nan,nan,0.0,0.0,202.25930203601985,212.58031332843154,0.053316,0.052190,6528.3,6092.2,0.002526,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778838360.572152,6,1.664318,-0.021558,0.000333,-0.0800,-0.0183,0.000463,1.648469,0.000002,0.000000,0.0003,1.664332,-0.021752,0.000329,0.0013,-0.0016,-0.000060,0.081595,0.0000,1.664332,0.000000,-0.000000,7.0000,0.000000,2.000000,8358.8683,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1400,0.0000,0.000000,0.3440,7.75,6.45,21.96,4.08,0.000002,0.0000,-6.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,195.64288736106528,200.9713466895679,0.049780,0.049462,6522.6,6097.9,0.006505,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778838360.584145,7,1.630800,-0.010733,0.005875,-0.0424,0.0714,0.000265,1.648452,0.000007,0.000003,-0.0008,1.630814,-0.010780,0.005874,0.0015,-0.0005,-0.000020,0.096667,0.0000,1.630814,0.000000,0.000000,7.0000,0.000000,2.000000,8380.8591,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1519,0.0000,0.000000,0.3680,6.63,6.09,19.36,4.07,0.000007,0.0002,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,93.3187842422102,91.09321923636452,0.012360,0.012441,6517.5,6103.1,0.010106,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778838360.596168,8,1.655206,0.041508,0.003131,-0.0253,0.0320,0.000410,1.648434,0.000014,0.000007,-0.0008,1.655220,0.041517,0.003132,0.0017,0.0001,0.000007,0.114028,0.0000,1.655220,0.000000,-0.000000,7.0000,0.000000,2.000000,8538.9412,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1644,0.0000,0.000000,0.3920,5.69,5.79,17.17,4.10,0.000014,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,59.32828184405946,59.10940034186176,-0.002677,-0.002086,6511.9,6108.6,0.013965,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778838360.608117,9,1.596866,-0.026043,-0.002284,0.0609,-0.0298,0.000944,1.648415,0.000022,0.000011,-0.0007,1.597062,-0.026075,-0.002284,0.0136,-0.0007,-0.000017,0.131555,0.0000,1.597062,0.000000,0.000000,7.0000,0.000000,2.000000,8549.8197,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1776,0.0000,0.000000,0.4160,4.88,5.53,15.29,4.06,0.000022,0.0006,-7.0007,0.008000,0.145491,-0.6949,-0.488219,-0.004797,0.005934,0.0,0.0,82.97007095318477,78.96238621090941,0.008783,0.010465,6506.5,6114.0,0.017738,0.000000,0.000000,0.5000,1.0000,,,,,
