sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778838585.302663,0,1.675803,-0.020022,0.000636,-0.0215,0.0559,0.000562,1.648994,-0.000000,-0.000000,-0.0020,1.675687,-0.019554,0.000648,-0.0051,0.0002,0.000009,-0.114274,0.0000,1.675687,0.000000,-0.000000,7.0000,0.000000,2.000000,7078.0835,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0842,0.0000,0.000000,0.2000,17.45,9.25,44.15,5.02,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-39.64419813763155,-292.03024558245767,-0.113100,-0.109433,6560.9,6059.7,-0.050456,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778838585.308485,1,1.642756,-0.019382,0.000633,-0.0325,0.0015,0.000067,1.648913,-0.000001,-0.000000,-0.0094,1.642696,-0.019004,0.000643,-0.0025,0.0003,0.000014,-0.022570,0.0000,1.642696,0.000000,0.000000,7.0000,0.000000,2.000000,7006.7470,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0915,0.0000,0.000000,0.2240,15.24,8.69,39.17,5.53,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,41.53328978204526,-128.54653570861194,-0.091952,-0.088898,6557.8,6062.8,-0.045047,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778838585.318259,2,1.696311,-0.048409,0.000262,-0.0794,0.0478,-0.000237,1.648775,-0.000002,-0.000001,-0.0124,1.696275,-0.048030,0.000271,-0.0017,0.0006,0.000026,-0.013584,0.0000,1.696275,0.000000,-0.000000,7.0000,0.000000,2.000000,7000.9261,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0997,0.0000,0.000000,0.2480,13.01,7.82,33.85,2.87,-0.000002,-0.0001,-7.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,40.528915355427856,-144.87758488898027,-0.092475,-0.090312,6553.0,6067.6,-0.036658,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778838585.330414,3,1.679704,-0.021568,-0.004562,0.0363,0.1901,0.000791,1.648627,-0.000004,-0.000003,-0.0121,1.679901,-0.020966,-0.004548,0.0062,0.0018,0.000074,0.001888,0.0000,1.679901,0.000000,-0.000000,7.0000,0.000000,2.000000,6993.3345,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1086,0.0000,0.000000,0.2720,11.14,7.08,29.35,2.89,-0.000004,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,-295.11315678859546,-695.3452356644858,-0.147762,-0.145052,6546.7,6073.8,-0.025739,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778838585.342428,4,1.589565,0.149460,0.000517,0.0533,-0.0775,0.000133,1.648492,-0.000007,-0.000005,-0.0106,1.589979,0.149818,0.000525,0.0159,0.0017,0.000071,0.022606,0.0000,1.589979,0.000000,0.000000,7.0000,0.000000,2.000000,7001.2728,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1184,0.0000,0.000000,0.2960,9.54,6.44,25.53,2.83,-0.000007,-0.0003,-7.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,42.193880348330495,-149.05381657537606,-0.089864,-0.087479,6539.5,6081.1,-0.013123,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778838585.354450,5,1.671627,0.005053,0.005863,0.0285,-0.0107,-0.000281,1.648462,-0.000004,-0.000003,0.0002,1.672053,0.005321,0.005869,0.0192,0.0020,0.000081,0.060110,0.0000,1.672053,0.000000,-0.000000,7.0000,0.000000,2.000000,6973.9269,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1288,0.0000,0.000000,0.3200,8.20,5.91,22.30,2.87,-0.000004,-0.0002,-6.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,59.90963625193872,-63.69248553592326,-0.068248,-0.066676,6528.3,6092.3,0.006376,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778838585.366484,6,1.673732,-0.088744,-0.000215,-0.0239,0.0904,-0.000461,1.648468,0.000002,-0.000000,0.0002,1.674039,-0.088403,-0.000208,0.0160,0.0038,0.000144,0.076490,0.0000,1.674039,0.000000,-0.000000,7.0000,0.000000,2.000000,6976.5361,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1400,0.0000,0.000000,0.3440,7.05,5.45,19.55,2.85,0.000002,-0.0000,-6.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,21.561593977456525,-197.3009063606866,-0.089597,-0.088919,6522.7,6097.8,0.016102,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778838585.378266,7,1.640514,0.009466,0.000848,-0.0310,-0.0715,-0.000299,1.648453,0.000007,0.000003,-0.0009,1.640734,0.009630,0.000851,0.0133,0.0025,0.000094,0.091594,0.0000,1.640734,0.000000,0.000000,7.0000,0.000000,2.000000,6976.7890,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1519,0.0000,0.000000,0.3680,6.06,5.08,17.20,3.01,0.000007,0.0002,-7.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,25.534613493367544,-18.47894621673737,-0.044547,-0.044378,6517.7,6102.9,0.024928,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778838585.390447,8,1.708684,0.040917,-0.007702,-0.0079,-0.0068,0.000643,1.648434,0.000014,0.000007,-0.0008,1.708845,0.041034,-0.007699,0.0111,0.0024,0.000088,0.109640,0.0000,1.708845,0.000000,-0.000000,7.0000,0.000000,2.000000,6967.5656,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1644,0.0000,0.000000,0.3920,5.23,4.78,15.25,3.08,0.000014,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-3.226652217495115,-6.827586061834836,-0.033691,-0.032734,6512.1,6108.5,0.034679,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778838585.402326,9,1.753430,0.046591,0.001552,0.0076,-0.0348,-0.000202,1.648415,0.000022,0.000011,-0.0007,1.753568,0.046637,0.001553,0.0108,0.0012,0.000044,0.128487,0.0000,1.753568,-0.000000,-0.000000,7.0000,0.000000,2.000000,6955.5250,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1775,0.0000,0.000000,0.4160,4.52,4.50,13.53,2.86,0.000022,0.0006,-7.0007,0.008000,0.071698,0.0493,-0.490756,0.006676,-0.000367,0.0,0.0,-42.95824928444833,16.373561168973268,-0.013600,-0.013085,6506.4,6114.1,0.044530,0.000000,0.000000,0.5000,1.0000,,,,,
