time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.8850,15.3404,3.9164,4.143,2,16.406,0.764,0.828,3.3273,2.328,3.328,0,1
6.8880,15.3528,3.9180,4.143,2,16.406,0.764,0.828,3.3249,2.328,3.328,0,1
6.8910,15.3652,3.9196,4.142,2,16.406,0.764,0.828,3.3225,2.328,3.328,0,1
6.8940,15.3776,3.9212,4.141,2,16.406,0.764,0.828,3.3202,2.328,3.328,0,1
6.8970,15.3900,3.9227,4.139,2,16.406,0.764,0.828,3.3178,2.328,3.328,0,1
6.9000,15.4024,3.9243,4.138,2,16.406,0.764,0.828,3.3155,2.328,3.328,0,1
6.9030,15.4148,3.9258,4.136,2,16.406,0.764,0.828,3.3132,2.328,3.328,0,1
6.9060,15.4272,3.9273,4.136,2,16.406,0.764,0.828,3.3110,2.328,3.328,0,1
6.9090,15.4396,3.9288,4.135,2,16.406,0.764,0.828,3.3088,2.328,3.328,0,1
6.9120,15.4520,3.9303,4.134,2,16.406,0.764,0.828,3.3066,2.328,3.328,0,1
6.9150,15.4644,3.9317,4.131,2,16.406,0.764,0.828,3.3044,2.328,3.328,0,1
6.9180,15.4768,3.9332,4.130,2,16.406,0.764,0.828,3.3023,2.328,3.328,0,1
6.9210,15.4891,3.9346,4.130,2,16.406,0.764,0.828,3.3002,2.328,3.328,0,1
6.9240,15.5015,3.9360,4.129,2,16.406,0.764,0.828,3.2981,2.328,3.328,0,1
6.9270,15.5139,3.9374,4.129,2,16.406,0.764,0.828,3.2961,2.328,3.328,0,1
6.9300,15.5263,3.9388,4.125,2,16.406,0.764,0.828,3.2941,2.328,3.328,0,1
6.9330,15.5387,3.9401,4.121,2,16.406,0.764,0.828,3.2921,2.328,3.328,0,1
6.9360,15.5510,3.9415,4.121,2,16.406,0.764,0.828,3.2902,2.328,3.328,0,1
6.9390,15.5634,3.9428,4.119,2,16.406,0.764,0.828,3.2882,2.328,3.328,0,1
6.9420,15.5758,3.9441,4.117,2,16.406,0.764,0.828,3.2863,2.328,3.328,0,1
6.9450,15.5882,3.9454,4.116,2,16.406,0.764,0.828,3.2845,2.328,3.328,0,1
6.9480,15.6005,3.9466,4.115,2,16.406,0.764,0.828,3.2826,2.328,3.328,0,1
6.9510,15.6129,3.9478,4.115,2,16.406,0.764,0.828,3.2808,2.328,3.328,0,1
6.9540,15.6253,3.9490,4.114,2,16.406,0.764,0.828,3.2790,2.328,3.328,0,1
6.9570,15.6377,3.9502,4.113,2,16.406,0.764,0.828,3.2772,2.328,3.328,0,1
6.9600,15.6501,3.9514,4.112,2,16.406,0.764,0.828,3.2755,2.328,3.328,0,1
6.9630,15.6625,3.9526,4.112,2,16.406,0.764,0.828,3.2738,2.328,3.328,0,1
6.9660,15.6749,3.9537,4.115,2,16.406,0.764,0.828,3.2721,2.328,3.328,0,1
6.9690,15.6873,3.9548,4.114,2,16.406,0.764,0.828,3.2704,2.328,3.328,0,1
6.9720,15.6997,3.9559,4.111,2,16.406,0.764,0.828,3.2688,2.328,3.328,0,1
6.9750,15.7121,3.9570,4.110,2,16.406,0.764,0.828,3.2672,2.328,3.328,0,1
