time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,14.039899,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000089,-0.000759,0.000077,0.000335,0.000000,0.102464,0.000000,0,0,14.040468,0.000000,0.000000,0.000000
0.204000,0.055295,0.000010,1.522611,0.000523,-0.000029,0.000436,0.000370,0.000000,0.176811,0.000000,0,0,14.040596,0.000000,0.000000,0.000000
0.306000,0.055218,0.000031,1.263977,0.000595,0.000248,0.001744,0.000425,0.000000,0.267579,0.000000,0,0,14.040672,0.000000,0.000000,0.000000
0.408000,0.055174,0.000081,0.902700,0.000421,0.000156,0.005603,0.000453,0.000000,0.366650,0.000000,0,0,14.040714,0.000000,0.000000,0.000000
0.510000,0.058077,-0.000286,0.535964,0.034158,0.076601,-0.006445,0.009771,0.000000,0.436614,0.000000,0,0,14.037831,0.000000,0.000000,0.000000
0.612000,0.060291,-0.000342,0.544426,-0.046156,-0.081713,0.001069,-0.001163,0.000000,0.501185,0.000000,0,0,14.035622,0.000000,0.000000,0.000000
0.714000,0.053238,0.000038,0.648706,-0.026360,-0.047054,0.003678,-0.006519,0.000000,0.557136,0.000000,0,0,14.042650,0.000000,0.000000,0.000000
0.816000,0.051503,0.000579,0.659088,0.030277,0.038969,0.006629,0.002373,0.000000,0.619234,0.000000,0,0,14.044357,0.000000,0.000000,0.000000
0.918000,0.068730,0.000006,0.624585,0.261714,0.263809,0.000208,0.019241,0.000000,0.668302,0.000000,0,0,14.027176,0.000000,0.000000,0.000000
1.020000,0.101099,0.001882,0.623616,0.408292,0.404555,0.020036,0.010702,0.000000,0.711215,0.000000,0,0,13.994755,0.000000,0.000000,0.000000
1.122000,0.155414,0.005379,0.642222,0.667716,0.661341,0.032073,0.014712,0.000000,0.738867,0.000000,0,0,13.940336,0.000000,0.000000,0.000000
1.224000,0.238339,0.010266,0.666567,0.976699,0.967090,0.045780,0.013312,0.000000,0.753332,0.000000,0,0,13.857273,0.000000,0.000000,0.000000
1.326000,0.351722,0.017303,0.693657,1.267989,1.262411,0.064787,0.010740,0.000000,0.741724,0.000000,0,0,13.743686,0.000000,0.000000,0.000000
1.428000,0.494907,0.025871,0.718254,1.544295,1.543632,0.068205,0.009201,0.000000,0.695763,0.000000,0,0,13.600257,0.000000,0.000000,0.000000
1.530000,0.664971,0.033707,0.733257,1.778194,1.783967,0.052417,0.014091,0.000000,0.632190,0.000000,0,0,13.430013,0.000000,0.000000,0.000000
1.632000,0.859870,0.040175,0.736860,2.029569,2.034129,0.040229,0.021880,0.000000,0.542775,0.000000,0,0,13.235024,0.000000,0.000000,0.000000
1.734000,1.080261,0.046386,0.732239,2.271357,2.275179,0.043559,0.022752,-0.264265,0.367642,0.000000,0,0,13.014583,0.000000,0.000000,0.000000
1.836000,1.325299,0.049825,0.728009,2.506209,2.510448,-0.029808,-0.031681,-0.297327,0.255312,0.000000,0,0,12.769655,0.000000,0.000000,0.000000
1.938000,1.590824,0.046668,0.730493,2.673472,2.682042,-0.073677,-0.074306,-0.177079,0.261476,0.000000,0,0,12.504585,0.000000,0.000000,0.000000
2.040000,1.870830,0.039677,0.733634,2.773916,2.783885,-0.052829,-0.039714,0.000000,0.295872,0.078449,0,0,12.225260,0.000000,0.000000,0.000000
2.142000,2.156645,0.036267,0.735450,2.799276,2.800293,-0.016911,-0.003993,0.000000,0.269729,0.112093,0,0,11.939980,0.000000,0.000000,0.000000
2.244000,2.439737,0.033434,0.734390,2.744112,2.742924,-0.016827,0.005151,0.000000,0.246461,0.146154,0,0,11.657412,0.000000,0.000000,0.000000
2.346000,2.714328,0.031620,0.732975,2.634991,2.638029,-0.000864,-0.002072,0.000000,0.229574,0.168957,0,0,11.383301,0.000000,0.000000,0.000000
2.448000,2.977581,0.031848,0.730526,2.543730,2.532041,0.024706,-0.010174,0.000000,0.213550,0.183328,0,0,11.120418,0.000000,0.000000,0.000000
2.550000,3.230608,0.033968,0.711528,2.467533,2.427649,0.043490,-0.015845,0.000000,0.201215,0.185480,0,0,10.867657,0.000000,0.000000,0.000000
2.652000,3.472415,0.032511,0.677650,2.271769,2.271902,-0.028657,0.015659,0.045455,0.188908,0.177448,0,0,10.626310,0.000000,0.000000,0.000000
2.754000,3.694524,0.030423,0.681572,2.044296,2.086649,0.016237,0.010145,0.227273,0.179033,0.162334,0,0,10.404682,0.000000,0.000000,0.000000
2.856000,3.897354,0.036005,0.703630,1.893477,1.908604,0.088475,0.070618,0.431818,0.168857,0.136404,0,0,10.201869,0.000000,0.000000,0.000000
2.958000,4.085171,0.049289,0.720041,1.792071,1.787352,0.147630,0.109625,0.613636,0.160489,0.106215,0,0,10.013597,0.000000,0.000000,0.000000
3.060000,4.262797,0.071155,0.722968,1.719577,1.711278,0.213642,0.142359,0.766734,0.158466,0.068221,0,0,9.835009,0.000000,0.000000,0.000000
3.162000,4.432834,0.101889,0.716585,1.652970,1.645528,0.279338,0.197463,0.948552,0.195916,0.046027,0,0,9.663514,0.000000,0.000000,0.000000
3.264000,4.595227,0.142110,0.709963,1.574882,1.574731,0.341338,0.237323,0.972301,0.265897,0.029563,0,0,9.499188,0.000000,0.000000,0.000000
3.366000,4.751872,0.190612,0.706656,1.564007,1.566452,0.361046,0.226227,0.958580,0.344430,0.000000,0,0,9.340278,0.000000,0.000000,0.000000
3.468000,4.907388,0.243676,0.708531,1.605241,1.602231,0.361468,0.218767,1.000000,0.411799,0.000000,0,0,9.182431,0.000000,0.000000,0.000000
3.570000,5.068987,0.302946,0.713517,1.704989,1.700320,0.406379,0.260112,1.000000,0.305485,0.000000,0,0,9.018434,0.000000,0.000000,0.000000
3.672000,5.240960,0.372714,0.717598,1.837070,1.831542,0.439594,0.272475,1.000000,0.406675,0.000000,0,0,8.843943,0.000000,0.000000,0.000000
3.774000,5.423472,0.451752,0.720343,1.955272,1.956241,0.458219,0.301628,0.973911,0.652598,0.000000,0,0,8.659012,0.000000,0.000000,0.000000
3.876000,5.616662,0.542086,0.722551,2.097671,2.101654,0.483151,0.327699,0.462235,0.774526,0.002406,0,0,8.463663,0.000000,0.000000,0.000000
3.978000,5.824689,0.642688,0.722895,2.337432,2.334789,0.426325,0.224637,0.785899,0.791885,0.000000,0,0,8.254046,0.000000,0.000000,0.000000
4.080000,6.054494,0.748504,0.725788,2.526619,2.530429,0.431191,0.312863,0.216651,0.862821,0.001042,0,0,8.023554,0.000000,0.000000,0.000000
4.182000,6.301360,0.867463,0.731532,2.777460,2.775712,0.360505,0.236903,0.034833,0.880216,0.000703,0,0,7.777202,0.000000,0.000000,0.000000
4.284000,6.571010,0.988446,0.736569,2.975550,2.976211,0.238874,0.082729,0.589845,0.861538,0.000000,0,0,7.509579,0.000000,0.000000,0.000000
4.386000,6.859032,1.113014,0.739353,3.148862,3.151401,0.266846,0.185619,0.428030,0.856397,0.000000,0,0,7.225368,0.000000,0.000000,0.000000
4.488000,7.163958,1.249803,0.738553,3.362857,3.363961,0.227982,0.175152,0.566372,0.834134,0.000000,0,0,6.926818,0.000000,0.000000,0.000000
4.590000,7.482007,1.400397,0.736574,3.504487,3.511568,0.281580,0.255824,0.314216,0.815778,0.000000,0,0,6.618667,0.000000,0.000000,0.000000
4.692000,7.811676,1.563648,0.735309,3.666261,3.666357,0.231203,0.188406,0.231777,0.785882,0.000000,0,0,6.303448,0.000000,0.000000,0.000000
4.794000,8.150986,1.735108,0.736388,3.762983,3.764702,0.192777,0.132615,-0.006332,0.762429,0.000000,0,0,5.983932,0.000000,0.000000,0.000000
4.896000,8.499415,1.907200,0.738387,3.841639,3.840904,0.094044,0.028687,-0.180161,0.739008,0.000000,0,0,5.660788,0.000000,0.000000,0.000000
4.998000,8.856589,2.074908,0.738733,3.884458,3.888494,0.010302,-0.032709,-0.380166,0.716326,0.000000,0,0,5.334356,0.000000,0.000000,0.000000
5.100000,9.222090,2.234385,0.738838,3.929982,3.926416,-0.093789,-0.122234,-0.466155,0.699303,0.000000,0,0,5.004806,0.000000,0.000000,0.000000
5.202000,9.596270,2.381279,0.737178,3.956309,3.951401,-0.192279,-0.155789,-0.397263,0.695238,0.000000,0,0,4.671095,0.000000,0.000000,0.000000
5.304000,9.978468,2.516469,0.736115,3.990189,3.988820,-0.255110,-0.175880,-0.434849,0.712763,0.000000,0,0,4.334095,0.000000,0.000000,0.000000
5.406000,10.368977,2.641976,0.733478,4.043806,4.041418,-0.273010,-0.157225,-0.340189,0.743906,0.000000,0,0,3.994303,0.000000,0.000000,0.000000
5.508000,10.767666,2.763345,0.727958,4.122357,4.113838,-0.250430,-0.149173,-0.228873,0.784914,0.000000,0,0,3.654235,0.000000,0.000000,0.000000
5.610000,11.172967,2.884268,0.722571,4.154120,4.158336,-0.215467,-0.140421,-0.259662,0.817759,0.000000,0,0,3.318148,0.000000,0.000000,0.000000
5.712000,11.582141,3.001583,0.723743,4.154462,4.165056,-0.238379,-0.210568,-0.426737,0.856359,0.000000,0,0,2.989432,0.000000,0.000000,0.000000
5.814000,11.994133,3.107431,0.728421,4.160458,4.169194,-0.198306,-0.169009,-0.034733,0.895173,0.000000,0,0,2.667479,0.000000,0.000000,0.000000
5.916000,12.407459,3.216462,0.732764,4.206309,4.204024,-0.099718,-0.030783,0.043195,0.926977,0.000000,0,0,2.362560,0.000000,0.000000,0.000000
6.018000,12.821782,3.331765,0.735027,4.227465,4.225107,-0.038941,0.014608,0.073242,0.950839,0.000000,0,0,2.080894,0.000000,0.000000,0.000000
6.120000,13.236386,3.453525,0.733203,4.244642,4.246004,-0.016771,-0.019276,-0.035854,0.966660,0.000000,0,0,1.828701,0.000000,0.000000,0.000000
