time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
5.8440,18.2591,-1.0925,4.278,2,19.058,2.137,0.828,3.3269,2.328,3.328,0,1
5.8470,18.2719,-1.0931,4.265,2,19.058,2.137,0.828,3.3244,2.328,3.328,0,1
5.8500,18.2847,-1.0937,4.262,2,19.058,2.137,0.828,3.3220,2.328,3.328,0,1
5.8530,18.2976,-1.0943,4.268,2,19.058,2.137,0.828,3.3196,2.328,3.328,0,1
5.8560,18.3104,-1.0949,4.266,2,19.058,2.137,0.828,3.3173,2.328,3.328,0,1
5.8590,18.3232,-1.0954,4.268,2,19.058,2.137,0.828,3.3149,2.328,3.328,0,1
5.8620,18.3361,-1.0960,4.269,2,19.058,2.137,0.828,3.3126,2.328,3.328,0,1
5.8650,18.3489,-1.0965,4.272,2,19.058,2.137,0.828,3.3103,2.328,3.328,0,1
5.8680,18.3618,-1.0969,4.274,2,19.058,2.137,0.828,3.3080,2.328,3.328,0,1
5.8710,18.3746,-1.0974,4.273,2,19.058,2.137,0.828,3.3058,2.328,3.328,0,1
5.8740,18.3875,-1.0978,4.273,2,19.058,2.137,0.828,3.3036,2.328,3.328,0,1
5.8770,18.4003,-1.0983,4.270,2,19.058,2.137,0.828,3.3014,2.328,3.328,0,1
5.8800,18.4132,-1.0987,4.274,2,19.058,2.137,0.828,3.2993,2.328,3.328,0,1
5.8830,18.4260,-1.0990,4.274,2,19.058,2.137,0.828,3.2972,2.328,3.328,0,1
5.8860,18.4389,-1.0994,4.274,2,19.058,2.137,0.828,3.2951,2.328,3.328,0,1
5.8890,18.4517,-1.0998,4.273,2,19.058,2.137,0.828,3.2931,2.328,3.328,0,1
5.8920,18.4645,-1.1001,4.273,2,19.058,2.137,0.828,3.2910,2.328,3.328,0,1
5.8950,18.4774,-1.1004,4.273,2,19.058,2.137,0.828,3.2891,2.328,3.328,0,1
5.8980,18.4902,-1.1007,4.274,2,19.058,2.137,0.828,3.2871,2.328,3.328,0,1
5.9010,18.5031,-1.1010,4.273,2,19.058,2.137,0.828,3.2852,2.328,3.328,0,1
5.9040,18.5159,-1.1012,4.272,2,19.058,2.137,0.828,3.2833,2.328,3.328,0,1
5.9070,18.5288,-1.1015,4.271,2,19.058,2.137,0.828,3.2814,2.328,3.328,0,1
5.9100,18.5416,-1.1017,4.271,2,19.058,2.137,0.828,3.2796,2.328,3.328,0,1
5.9130,18.5545,-1.1019,4.270,2,19.058,2.137,0.828,3.2778,2.328,3.328,0,1
5.9160,18.5673,-1.1021,4.270,2,19.058,2.137,0.828,3.2760,2.328,3.328,0,1
