time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.793971,0.000000,0.000000,0.000000
0.102000,0.055424,0.000004,1.677833,-0.000081,-0.000751,0.000140,0.000358,0.000000,0.151704,0.000000,0,0,16.794537,0.000000,0.000000,0.000000
0.204000,0.055295,0.000019,1.522611,0.000528,-0.000029,0.000853,0.000373,0.000000,0.283995,0.000000,0,0,16.794664,0.000000,0.000000,0.000000
0.306000,0.055218,0.000064,1.263977,0.000579,0.000198,0.003656,0.000417,0.000000,0.423109,0.000000,0,0,16.794736,0.000000,0.000000,0.000000
0.408000,0.055239,0.000197,0.904411,0.009589,0.011170,0.012944,0.006830,0.000000,0.567122,0.000000,0,0,16.794700,0.000000,0.000000,0.000000
0.510000,0.062706,0.001192,0.642963,0.078261,0.122033,0.028934,0.022386,0.000000,0.685890,0.000000,0,0,16.787169,0.000000,0.000000,0.000000
0.612000,0.064805,0.003816,0.717093,-0.007505,-0.050208,0.030691,-0.012515,0.000000,0.797736,0.000000,0,0,16.784789,0.000000,0.000000,0.000000
0.714000,0.064845,0.009302,0.790778,0.044521,0.030952,0.064113,-0.030125,0.000000,0.863537,0.000000,0,0,16.784138,0.000000,0.000000,0.000000
0.816000,0.076446,0.012494,0.787117,0.235398,0.237977,-0.005095,0.019848,0.000000,0.912351,0.000000,0,0,16.772254,0.000000,0.000000,0.000000
0.918000,0.121943,0.011276,0.770644,0.636916,0.635074,-0.019352,-0.005244,0.000000,0.940865,0.000000,0,0,16.727176,0.000000,0.000000,0.000000
1.020000,0.205001,0.013070,0.786397,0.994206,0.988509,0.026551,0.013355,0.000000,0.962018,0.000000,0,0,16.644437,0.000000,0.000000,0.000000
1.122000,0.322335,0.018267,0.815748,1.310848,1.304178,0.054581,0.010697,0.000000,0.974375,0.000000,0,0,16.527261,0.000000,0.000000,0.000000
1.224000,0.469787,0.025937,0.843611,1.591909,1.588718,0.073250,0.012105,0.000000,0.983541,0.000000,0,0,16.379883,0.000000,0.000000,0.000000
1.326000,0.645750,0.034727,0.862293,1.852260,1.854046,0.074339,0.016022,0.000000,0.988896,0.000000,0,0,16.204056,0.000000,0.000000,0.000000
1.428000,0.847775,0.042788,0.867635,2.091748,2.102378,0.061314,0.019902,0.000000,0.992868,0.000000,0,0,16.002426,0.000000,0.000000,0.000000
1.530000,1.075733,0.050249,0.864369,2.353104,2.361123,0.055958,0.016419,0.000000,0.995188,0.000000,0,0,15.775117,0.000000,0.000000,0.000000
1.632000,1.330430,0.057758,0.858254,2.623071,2.622812,0.050495,0.019829,0.000000,0.996909,0.000000,0,0,15.521266,0.000000,0.000000,0.000000
1.734000,1.610917,0.065368,0.856485,2.868457,2.865148,0.041138,0.026002,0.000000,0.997915,0.000000,0,0,15.241821,0.000000,0.000000,0.000000
1.836000,1.914470,0.074064,0.855973,3.082962,3.084334,0.045203,0.029946,0.000000,0.998661,0.000000,0,0,14.939380,0.000000,0.000000,0.000000
1.938000,2.240945,0.083886,0.852022,3.306915,3.305844,0.042630,0.030010,0.000000,0.999096,0.000000,0,0,14.614096,0.000000,0.000000,0.000000
2.040000,2.587561,0.094395,0.848382,3.472717,3.479257,0.032943,0.027284,0.000000,0.999420,0.000000,0,0,14.268791,0.000000,0.000000,0.000000
2.142000,2.950673,0.105155,0.845736,3.642388,3.641009,0.018289,0.013246,0.000000,0.999608,0.000000,0,0,13.907150,0.000000,0.000000,0.000000
2.244000,3.328470,0.115195,0.829639,3.792898,3.729164,0.000267,-0.008533,-0.071110,0.996690,0.000000,0,0,13.531111,0.000000,0.000000,0.000000
2.346000,3.710146,0.123858,0.797091,3.712395,3.734438,0.016764,-0.017599,0.022727,0.999092,0.000000,0,0,13.151497,0.000000,0.000000,0.000000
2.448000,4.094987,0.134762,0.807341,3.791032,3.833358,0.016110,0.001338,-0.090909,0.993904,0.000000,0,0,12.768557,0.000000,0.000000,0.000000
2.550000,4.491300,0.141974,0.826947,3.937708,3.934004,-0.040646,-0.038935,-0.141380,0.991860,0.000000,0,0,12.374859,0.000000,0.000000,0.000000
2.652000,4.896284,0.143639,0.836219,4.017751,4.001355,-0.084112,-0.067787,-0.258464,0.976196,0.000000,0,0,11.973493,0.000000,0.000000,0.000000
2.754000,5.307552,0.137473,0.836060,4.077090,4.064914,-0.108071,-0.060515,-0.084373,0.969536,0.000000,0,0,11.567244,0.000000,0.000000,0.000000
2.856000,5.726303,0.127015,0.829299,4.138458,4.137885,-0.118948,-0.042407,-0.091174,0.953900,0.000000,0,0,11.154540,0.000000,0.000000,0.000000
2.958000,6.151363,0.115329,0.821898,4.176696,4.184327,-0.110752,-0.066256,-0.137906,0.939025,0.000000,0,0,10.736187,0.000000,0.000000,0.000000
3.060000,6.579149,0.102119,0.822653,4.192840,4.203929,-0.089968,-0.070301,-0.104189,0.927230,0.000000,0,0,10.315846,0.000000,0.000000,0.000000
3.162000,7.008249,0.087680,0.828569,4.213412,4.210572,-0.091177,-0.059321,-0.085957,0.916191,0.000000,0,0,9.894947,0.000000,0.000000,0.000000
3.264000,7.439121,0.070173,0.832984,4.251347,4.242989,-0.085132,-0.050824,-0.095395,0.908271,0.000000,0,0,9.473448,0.000000,0.000000,0.000000
3.366000,7.872694,0.050746,0.829699,4.251748,4.254385,-0.104409,-0.089327,-0.150472,0.912976,0.000000,0,0,9.050376,0.000000,0.000000,0.000000
3.468000,8.306447,0.023309,0.827913,4.255249,4.262013,-0.127968,-0.105890,-0.102040,0.923232,0.000000,0,0,8.629524,0.000000,0.000000,0.000000
3.570000,8.740431,-0.008911,0.829551,4.256707,4.266991,-0.144191,-0.056327,-0.097778,0.937311,0.000000,0,0,8.210536,0.000000,0.000000,0.000000
3.672000,9.175504,-0.045079,0.833088,4.293736,4.294946,-0.142521,-0.027965,-0.234988,0.951485,0.000000,0,0,7.792702,0.000000,0.000000,0.000000
3.774000,9.612479,-0.083459,0.829614,4.305369,4.302375,-0.148686,-0.134298,-0.175220,0.963313,0.000000,0,0,7.375172,0.000000,0.000000,0.000000
3.876000,10.049547,-0.126743,0.825976,4.302268,4.301471,-0.146285,-0.116184,-0.095532,0.973432,0.000000,0,0,6.960694,0.000000,0.000000,0.000000
3.978000,10.486174,-0.173394,0.826622,4.307224,4.309033,-0.115444,-0.071722,-0.087886,0.978710,0.000000,0,0,6.549895,0.000000,0.000000,0.000000
4.080000,10.923278,-0.220343,0.828708,4.314046,4.313115,-0.093775,-0.070768,-0.063003,0.981603,0.000000,0,0,6.141563,0.000000,0.000000,0.000000
4.182000,11.360991,-0.267335,0.829912,4.322915,4.318826,-0.067821,-0.041513,-0.082066,0.983517,0.000000,0,0,5.735952,0.000000,0.000000,0.000000
4.284000,11.799584,-0.314594,0.828134,4.328848,4.324767,-0.050197,-0.051023,-0.088106,0.985224,0.000000,0,0,5.333417,0.000000,0.000000,0.000000
4.386000,12.237811,-0.364403,0.826169,4.329538,4.330507,-0.064416,-0.057140,0.036147,0.987073,0.000000,0,0,4.936586,0.000000,0.000000,0.000000
4.488000,12.676473,-0.412477,0.824840,4.326540,4.325127,-0.016623,0.000307,-0.006514,0.987386,0.000000,0,0,4.544100,0.000000,0.000000,0.000000
