sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778839034.544712,0,1.636872,0.029506,0.001134,-0.0255,-0.0372,-0.000555,1.648994,-0.000000,-0.000000,-0.0020,1.636762,0.029194,0.001125,-0.0049,-0.0001,-0.000006,-0.108910,0.0000,1.636762,0.000000,0.000000,5.0000,0.000000,2.000000,3419.9561,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0723,0.0000,0.000000,0.2000,17.46,9.24,44.15,4.92,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-90.09485939714855,81.13831624984672,0.075923,0.072278,6559.5,6061.0,-0.048088,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778839034.550234,1,1.667647,0.070314,0.005699,0.0123,-0.0690,-0.001323,1.648913,-0.000001,-0.000000,-0.0094,1.667688,0.069952,0.005689,0.0001,-0.0003,-0.000014,-0.017135,0.0000,1.667688,0.000000,-0.000000,5.0000,0.000000,2.000000,3357.7125,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0785,0.0000,0.000000,0.2240,15.19,8.30,38.68,2.97,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-65.3076782531744,105.20525748199046,0.088631,0.084020,6556.4,6064.2,-0.042551,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778839034.560522,2,1.584168,0.029942,-0.000843,-0.0690,-0.0704,-0.000143,1.648775,-0.000002,-0.000001,-0.0124,1.584201,0.029539,-0.000853,0.0004,-0.0007,-0.000030,-0.008473,0.0000,1.584201,0.000000,0.000000,5.0000,0.000000,2.000000,3352.9571,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0855,0.0000,0.000000,0.2480,12.99,7.49,33.47,2.92,-0.000002,-0.0001,-5.0124,nan,nan,nan,nan,nan,nan,0.0,0.0,-31.63012376384671,132.63048926250622,0.098687,0.094794,6551.5,6069.1,-0.034013,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778839034.572527,3,1.723304,0.017766,-0.004349,-0.0404,0.0839,-0.001388,1.648627,-0.000005,-0.000003,-0.0121,1.723334,0.017575,-0.004356,0.0009,-0.0006,-0.000025,0.006618,0.0000,1.723334,0.000000,-0.000000,5.0000,0.000000,2.000000,3104.6286,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0932,0.0000,0.000000,0.2720,11.12,7.59,29.83,8.15,-0.000005,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,-70.63997339484311,56.72555893477194,0.048176,0.043243,6545.3,6075.2,-0.023336,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778839034.584389,4,1.623802,-0.014384,0.001271,-0.0175,-0.0203,0.000758,1.648492,-0.000007,-0.000005,-0.0106,1.623833,-0.014566,0.001266,0.0013,-0.0008,-0.000035,0.028816,0.0000,1.623833,0.000000,0.000000,5.0000,0.000000,2.000000,3005.0201,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1015,0.0000,0.000000,0.2960,9.53,7.23,26.29,5.20,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,-50.61600600390152,73.5651035789879,0.046228,0.043216,6538.2,6082.4,-0.010811,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778839034.596469,5,1.706233,0.039952,-0.005867,0.0750,0.0468,-0.000661,1.648464,-0.000004,-0.000003,0.0007,1.706606,0.039876,-0.005871,0.0164,-0.0005,-0.000021,0.059383,0.0000,1.706606,0.000000,-0.000000,5.0000,0.000000,2.000000,2994.1057,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1105,0.0000,0.000000,0.3200,8.17,6.95,23.30,5.34,-0.000004,-0.0002,-4.9993,nan,nan,nan,nan,nan,nan,0.0,0.0,-62.63353479422144,51.27163112484848,0.019614,0.016337,6528.9,6091.7,0.005397,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778839034.608489,6,1.632280,-0.075613,-0.005733,0.0652,-0.0272,-0.000237,1.648468,0.000002,-0.000000,0.0002,1.632819,-0.075716,-0.005736,0.0263,-0.0009,-0.000039,0.077342,0.0000,1.632819,0.000000,0.000000,5.0000,0.000000,2.000000,2989.5101,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1201,0.0000,0.000000,0.3440,7.03,6.71,20.78,5.37,0.000002,-0.0000,-4.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,-42.14285977487587,69.79679808810882,0.026477,0.023533,6523.0,6097.5,0.015589,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778839034.620459,7,1.636854,-0.059539,-0.000937,-0.0617,-0.0594,0.001729,1.648453,0.000007,0.000003,-0.0009,1.637247,-0.059701,-0.000940,0.0217,-0.0021,-0.000080,0.093565,0.0000,1.637247,0.000000,0.000000,5.0000,0.000000,2.000000,2983.8108,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1303,0.0000,0.000000,0.3680,6.06,6.56,18.68,5.69,0.000007,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,6.417385926472576,126.3985452820564,0.043263,0.043098,6517.8,6102.8,0.024684,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778839034.632371,8,1.697726,0.033402,0.003110,-0.0349,-0.0619,0.001672,1.648434,0.000014,0.000007,-0.0008,1.698018,0.033191,0.003108,0.0180,-0.0036,-0.000119,0.113093,0.0000,1.698018,0.000000,-0.000000,5.0000,0.000000,2.000000,2977.4717,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1410,0.0000,0.000000,0.3920,5.23,6.50,16.95,6.14,0.000014,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,65.01872790939485,192.5901705829141,0.057760,0.059756,6511.9,6108.6,0.034915,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778839034.644302,9,1.718513,-0.007306,0.010236,-0.0556,0.0926,0.001269,1.648415,0.000021,0.000011,-0.0007,1.718731,-0.007341,0.010237,0.0150,-0.0008,-0.000016,0.131950,0.0000,1.718731,0.000000,-0.000000,5.0000,0.000000,2.000000,2971.9434,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1523,0.0000,0.000000,0.4160,4.50,6.32,15.33,5.35,0.000021,0.0006,-5.0007,0.008000,0.048419,0.5285,-0.486817,-0.005791,0.001630,0.0,0.0,-42.452307268861134,65.47642182484407,0.010021,0.013257,6506.4,6114.2,0.044572,0.000000,0.000000,0.5000,1.0000,,,,,
