time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.731430,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000074,-0.000746,0.000113,0.000366,0.000000,0.129914,0.000000,0,0,16.731991,0.000000,0.000000,0.000000
0.204000,0.055295,0.000015,1.522611,0.000520,-0.000033,0.000666,0.000373,0.000000,0.243177,0.000000,0,0,16.732117,0.000000,0.000000,0.000000
0.306000,0.055218,0.000049,1.263977,0.000583,0.000221,0.002825,0.000421,0.000000,0.368628,0.000000,0,0,16.732187,0.000000,0.000000,0.000000
0.408000,0.055172,0.000132,0.902700,0.000376,0.000014,0.009273,0.000447,0.000000,0.526216,0.000000,0,0,16.732219,0.000000,0.000000,0.000000
0.510000,0.059355,-0.000473,0.564140,0.052919,0.100468,-0.010581,0.009007,0.000000,0.658270,0.000000,0,0,16.728187,0.000000,0.000000,0.000000
0.612000,0.063624,-0.000315,0.638069,0.014867,-0.032490,-0.000625,0.012839,0.000000,0.779908,0.000000,0,0,16.723948,0.000000,0.000000,0.000000
0.714000,0.061717,0.000543,0.743565,0.031175,-0.005690,0.008009,0.010216,0.000000,0.851509,0.000000,0,0,16.725693,0.000000,0.000000,0.000000
0.816000,0.062787,0.001020,0.748124,0.050098,0.045141,-0.007074,0.015996,0.000000,0.904625,0.000000,0,0,16.724561,0.000000,0.000000,0.000000
0.918000,0.076352,-0.001762,0.705733,0.163838,0.214192,-0.020200,0.030111,0.000000,0.935653,0.000000,0,0,16.711616,0.000000,0.000000,0.000000
1.020000,0.112000,-0.001808,0.676395,0.461818,0.466201,0.012416,0.014833,0.000000,0.958670,0.000000,0,0,16.676437,0.000000,0.000000,0.000000
1.122000,0.172532,0.001281,0.701343,0.715905,0.697200,0.038962,0.017569,0.000000,0.972116,0.000000,0,0,16.616194,0.000000,0.000000,0.000000
1.224000,0.251578,0.007871,0.739445,0.848198,0.848971,0.059613,0.014797,0.000000,0.982090,0.000000,0,0,16.537118,0.000000,0.000000,0.000000
1.326000,0.346411,0.016102,0.764176,1.012742,1.011375,0.066427,0.012036,0.000000,0.987917,0.000000,0,0,16.442199,0.000000,0.000000,0.000000
1.428000,0.458705,0.023508,0.775940,1.193197,1.192291,0.049444,0.022974,0.000000,0.992239,0.000000,0,0,16.330186,0.000000,0.000000,0.000000
1.530000,0.589692,0.029855,0.779597,1.372418,1.372586,0.032975,0.032071,0.000000,0.994764,0.000000,0,0,16.199910,0.000000,0.000000,0.000000
1.632000,0.738157,0.035088,0.779383,1.531515,1.532121,0.015597,0.021618,0.000000,0.996637,0.000000,0,0,16.052585,0.000000,0.000000,0.000000
1.734000,0.901947,0.039588,0.778606,1.672691,1.676673,0.012156,0.016240,0.000000,0.997731,0.000000,0,0,15.890287,0.000000,0.000000,0.000000
1.836000,1.080679,0.044774,0.777406,1.825050,1.825478,0.011147,0.013743,0.000000,0.998543,0.000000,0,0,15.713170,0.000000,0.000000,0.000000
1.938000,1.274573,0.050871,0.777317,1.969519,1.971398,0.019083,0.009607,0.000000,0.999017,0.000000,0,0,15.520987,0.000000,0.000000,0.000000
2.040000,1.483055,0.057763,0.777401,2.114667,2.113910,0.015797,0.015159,0.000000,0.999368,0.000000,0,0,15.314334,0.000000,0.000000,0.000000
2.142000,1.706031,0.065651,0.778821,2.258006,2.258789,0.020958,0.013728,0.000000,0.999396,0.000000,0,0,15.093275,0.000000,0.000000,0.000000
2.244000,1.943794,0.074518,0.781417,2.398329,2.400781,0.021719,0.012841,0.000000,0.985994,0.000000,0,0,14.857539,0.000000,0.000000,0.000000
