time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,13.904415,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000076,-0.000748,0.000077,0.000348,0.000000,0.102259,0.000000,0,0,13.904981,0.000000,0.000000,0.000000
0.204000,0.055295,0.000010,1.522611,0.000537,-0.000016,0.000436,0.000375,0.000000,0.176606,0.000000,0,0,13.905108,0.000000,0.000000,0.000000
0.306000,0.055218,0.000031,1.263977,0.000582,0.000239,0.001728,0.000423,0.000000,0.263133,0.000000,0,0,13.905182,0.000000,0.000000,0.000000
0.408000,0.055174,0.000079,0.902700,0.000426,0.000163,0.005476,0.000454,0.000000,0.346341,0.000000,0,0,13.905220,0.000000,0.000000,0.000000
0.510000,0.058037,-0.000263,0.536002,0.033070,0.073511,-0.004780,0.011876,0.000000,0.408705,0.000000,0,0,13.902414,0.000000,0.000000,0.000000
0.612000,0.059715,-0.000022,0.544943,-0.057712,-0.092846,0.006405,-0.004552,0.000000,0.468997,0.000000,0,0,13.900720,0.000000,0.000000,0.000000
0.714000,0.051954,0.000758,0.649693,-0.033829,-0.054526,0.006943,-0.005036,0.000000,0.523107,0.000000,0,0,13.908343,0.000000,0.000000,0.000000
0.816000,0.049597,0.001708,0.659911,0.022999,0.031863,0.017168,-0.003511,0.000000,0.584653,0.000000,0,0,13.910577,0.000000,0.000000,0.000000
0.918000,0.064080,0.001120,0.624159,0.229601,0.233566,-0.005822,0.024541,0.000000,0.633355,0.000000,0,0,13.896254,0.000000,0.000000,0.000000
1.020000,0.090878,0.001723,0.619180,0.308985,0.307481,0.016695,0.004664,0.000000,0.675029,0.000000,0,0,13.869560,0.000000,0.000000,0.000000
1.122000,0.133900,0.005055,0.634820,0.554981,0.544342,0.037673,0.013795,0.000000,0.702531,0.000000,0,0,13.826438,0.000000,0.000000,0.000000
1.224000,0.203224,0.009927,0.656640,0.835702,0.827052,0.052683,0.013644,0.000000,0.719263,0.000000,0,0,13.757010,0.000000,0.000000,0.000000
1.326000,0.303038,0.016712,0.682134,1.136947,1.128122,0.063249,0.010764,0.000000,0.714481,0.000000,0,0,13.657072,0.000000,0.000000,0.000000
1.428000,0.432875,0.024908,0.708349,1.422813,1.418166,0.071721,0.010079,0.000000,0.678232,0.000000,0,0,13.527149,0.000000,0.000000,0.000000
