time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.793971,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000082,-0.000753,0.000123,0.000338,0.000000,0.141361,0.000000,0,0,16.794537,0.000000,0.000000,0.000000
0.204000,0.055295,0.000016,1.522611,0.000525,-0.000030,0.000699,0.000371,0.000000,0.244110,0.000000,0,0,16.794664,0.000000,0.000000,0.000000
0.306000,0.055218,0.000051,1.263977,0.000580,0.000216,0.002924,0.000420,0.000000,0.369735,0.000000,0,0,16.794737,0.000000,0.000000,0.000000
0.408000,0.055172,0.000135,0.902700,0.000374,0.000005,0.009495,0.000448,0.000000,0.527339,0.000000,0,0,16.794773,0.000000,0.000000,0.000000
0.510000,0.058715,-0.000600,0.536027,0.054063,0.091740,-0.011269,0.009525,0.000000,0.659050,0.000000,0,0,16.791335,0.000000,0.000000,0.000000
0.612000,0.063252,-0.000611,0.543641,-0.010244,-0.047028,0.009994,0.008984,0.000000,0.780481,0.000000,0,0,16.786827,0.000000,0.000000,0.000000
0.714000,0.061312,0.001347,0.648761,0.040959,0.017410,0.021469,-0.004723,0.000000,0.851895,0.000000,0,0,16.788536,0.000000,0.000000,0.000000
0.816000,0.066622,0.003124,0.661997,0.136557,0.129706,-0.004740,0.020114,0.000000,0.904874,0.000000,0,0,16.783061,0.000000,0.000000,0.000000
0.918000,0.096550,0.003009,0.638571,0.450415,0.464158,0.021796,0.010910,0.000000,0.935820,0.000000,0,0,16.753333,0.000000,0.000000,0.000000
1.020000,0.163681,0.003781,0.639775,0.832048,0.828096,0.013904,-0.010086,0.000000,0.958778,0.000000,0,0,16.686538,0.000000,0.000000,0.000000
1.122000,0.265342,0.007657,0.667279,1.163048,1.154926,0.034923,0.021723,0.000000,0.972188,0.000000,0,0,16.585086,0.000000,0.000000,0.000000
1.224000,0.396989,0.013704,0.699651,1.432594,1.428754,0.054347,0.015631,0.000000,0.982137,0.000000,0,0,16.453597,0.000000,0.000000,0.000000
1.326000,0.556989,0.021672,0.725803,1.712352,1.711313,0.064952,0.012831,0.000000,0.987948,0.000000,0,0,16.293724,0.000000,0.000000,0.000000
1.428000,0.744018,0.029973,0.740100,1.948407,1.953464,0.061250,0.013830,0.000000,0.992259,0.000000,0,0,16.106968,0.000000,0.000000,0.000000
1.530000,0.956102,0.037199,0.740695,2.192616,2.198547,0.046147,0.019847,0.000000,0.994777,0.000000,0,0,15.895456,0.000000,0.000000,0.000000
1.632000,1.193811,0.043646,0.734011,2.452256,2.456122,0.038288,0.022595,0.000000,0.996646,0.000000,0,0,15.658600,0.000000,0.000000,0.000000
1.734000,1.457903,0.050471,0.730648,2.717021,2.714810,0.033731,0.018380,0.000000,0.988420,0.000000,0,0,15.395524,0.000000,0.000000,0.000000
1.836000,1.746733,0.058439,0.735395,2.935135,2.940000,0.040784,0.022574,0.000000,0.944820,0.000000,0,0,15.107784,0.000000,0.000000,0.000000
1.938000,2.057999,0.068482,0.740645,3.150888,3.157229,0.052646,0.017142,0.000000,0.884706,0.000000,0,0,14.797562,0.000000,0.000000,0.000000
2.040000,2.390264,0.080219,0.742404,3.354208,3.350387,0.054510,0.021172,0.000000,0.801392,0.000000,0,0,14.466335,0.000000,0.000000,0.000000
2.142000,2.740517,0.091902,0.739981,3.505056,3.506247,0.033156,0.027641,0.000000,0.718080,0.000000,0,0,14.117318,0.000000,0.000000,0.000000
2.244000,3.106548,0.102839,0.732514,3.693758,3.671643,0.018220,0.002965,0.000000,0.615605,0.000000,0,0,13.752806,0.000000,0.000000,0.000000
2.346000,3.483935,0.112165,0.699066,3.745816,3.692124,-0.047034,-0.000971,-0.125432,0.581942,0.000000,0,0,13.377318,0.000000,0.000000,0.000000
2.448000,3.859764,0.117392,0.691341,3.640807,3.696076,0.018342,0.041269,-0.002163,0.460369,0.020842,0,0,13.004012,0.000000,0.000000,0.000000
2.550000,4.242133,0.128883,0.712320,3.765844,3.791782,-0.023105,0.006762,-0.131016,0.414797,0.047464,0,0,12.623512,0.000000,0.000000,0.000000
2.652000,4.630839,0.134233,0.727776,3.830543,3.819142,-0.069092,-0.042167,-0.207707,0.375234,0.084191,0,0,12.237684,0.000000,0.000000,0.000000
2.754000,5.019367,0.133324,0.729484,3.792947,3.785110,-0.105758,-0.087609,-0.154432,0.347225,0.120835,0,0,11.853076,0.000000,0.000000,0.000000
2.856000,5.403346,0.126993,0.728944,3.733913,3.738515,-0.127617,-0.104202,-0.214087,0.321251,0.164995,0,0,11.473975,0.000000,0.000000,0.000000
2.958000,5.780485,0.116002,0.725406,3.637688,3.644558,-0.112381,-0.090733,-0.083901,0.301657,0.205975,0,0,11.102619,0.000000,0.000000,0.000000
3.060000,6.144942,0.106407,0.721941,3.495320,3.501186,-0.059346,-0.033971,-0.042782,0.282430,0.251605,0,0,10.743914,0.000000,0.000000,0.000000
3.162000,6.491953,0.097903,0.720035,3.296311,3.298457,-0.075439,-0.032572,-0.060284,0.267207,0.286201,0,0,10.402588,0.000000,0.000000,0.000000
3.264000,6.816669,0.089134,0.721390,3.079507,3.079010,-0.038050,-0.021861,-0.033638,0.251680,0.311834,0,0,10.083618,0.000000,0.000000,0.000000
