sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778839361.709383,0,1.639267,0.011104,-0.002558,0.0544,-0.0287,0.000915,1.648994,-0.000000,-0.000000,-0.0020,1.641592,0.010866,-0.002559,0.0494,-0.0001,-0.000005,-0.111740,0.0000,1.641592,0.000000,0.000000,7.0000,0.000000,2.000000,7287.2848,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0838,0.0000,0.000000,0.2000,17.39,9.53,44.32,6.88,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,182.03485159084238,252.59964326689192,0.054393,0.060418,6560.3,6060.3,-0.019729,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778839361.717005,1,1.639214,-0.044276,-0.006944,0.0012,0.0022,-0.001274,1.648913,-0.000001,-0.000000,-0.0094,1.640934,-0.044473,-0.006946,0.0417,-0.0002,-0.000006,-0.018328,0.0000,1.640934,0.000000,0.000000,7.0000,0.000000,2.000000,7336.4757,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0910,0.0000,0.000000,0.2240,15.40,9.12,39.91,6.75,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,162.66610783868964,212.38391753852338,0.043829,0.047068,6557.0,6063.5,-0.017478,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778839361.725322,2,1.701138,-0.043168,-0.000057,-0.1101,-0.0211,0.000910,1.648775,-0.000002,-0.000002,-0.0125,1.702364,-0.043348,-0.000058,0.0340,-0.0003,-0.000012,-0.009183,0.0000,1.702364,0.000000,-0.000000,7.0000,0.000000,2.000000,7386.5021,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0991,0.0000,0.000000,0.2480,13.16,8.19,34.51,2.94,-0.000002,-0.0001,-7.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,163.97335724244454,209.0980260357754,0.042953,0.046727,6552.2,6068.3,-0.014135,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778839361.737486,3,1.635153,0.005501,-0.001302,0.0222,-0.0111,-0.000752,1.648627,-0.000004,-0.000003,-0.0121,1.636149,0.005337,-0.001304,0.0322,-0.0005,-0.000018,0.005531,0.0000,1.636149,0.000000,0.000000,7.0000,0.000000,2.000000,7355.4753,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1081,0.0000,0.000000,0.2720,11.26,7.40,29.92,2.93,-0.000004,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,158.98983880288822,190.39880942000755,0.039403,0.041488,6546.1,6074.4,-0.009867,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778839361.749445,4,1.668230,-0.034537,-0.003144,-0.0033,-0.0632,0.001097,1.648492,-0.000007,-0.000005,-0.0106,1.668936,-0.034765,-0.003146,0.0266,-0.0010,-0.000041,0.026311,0.0000,1.668936,0.000000,-0.000000,7.0000,0.000000,2.000000,7419.5271,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1178,0.0000,0.000000,0.2960,9.65,6.72,26.01,2.84,-0.000007,-0.0003,-7.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,201.4640350938622,237.43720139248404,0.055541,0.058617,6538.8,6081.7,-0.004781,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778839361.761404,5,1.706437,0.047509,0.002330,0.0243,0.0844,0.001698,1.648461,-0.000004,-0.000003,0.0003,1.707052,0.047463,0.002332,0.0269,-0.0004,-0.000012,0.056682,0.0000,1.707052,0.000000,-0.000000,7.0000,0.000000,2.000000,7494.0135,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1283,0.0000,0.000000,0.3200,8.27,6.13,22.68,2.84,-0.000004,-0.0002,-6.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,90.16850806240146,107.11718372259625,0.011107,0.015765,6529.4,6091.2,0.001793,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778839361.773590,6,1.750365,-0.000872,0.006425,0.0635,0.0174,0.000771,1.648469,0.000003,0.000000,0.0004,1.751056,-0.000878,0.006427,0.0345,-0.0002,0.000000,0.075888,0.0000,1.751056,-0.000000,-0.000000,7.0000,0.000000,2.000000,7599.4926,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1394,0.0000,0.000000,0.3440,7.13,5.64,19.90,2.87,0.000003,0.0000,-6.9996,nan,nan,nan,nan,nan,nan,0.0,0.0,68.86602687153467,81.57169681835731,0.001743,0.006486,6523.1,6097.5,0.006198,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778839361.785323,7,1.669127,0.001408,-0.006701,0.0778,0.0129,0.001304,1.648452,0.000007,0.000003,-0.0009,1.669889,0.001415,-0.006698,0.0433,0.0001,0.000016,0.091914,0.0000,1.669889,0.000000,-0.000000,7.0000,0.000000,2.000000,7574.7564,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1512,0.0000,0.000000,0.3680,6.12,5.26,17.50,3.07,0.000007,0.0002,-7.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,56.84847376378487,67.90536002845063,-0.004403,0.001089,6517.7,6102.8,0.009910,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778839361.797739,8,1.654918,0.092614,0.003056,-0.0067,-0.0761,-0.000571,1.648434,0.000014,0.000007,-0.0008,1.655467,0.092519,0.003057,0.0354,-0.0020,-0.000053,0.110751,0.0000,1.655467,0.000000,-0.000000,7.0000,0.000000,2.000000,7576.6442,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1637,0.0000,0.000000,0.3920,5.31,5.88,16.51,9.40,0.000014,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,130.85466307052403,134.65971996315315,0.026269,0.029966,6512.0,6108.6,0.013945,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778839361.810254,9,1.665622,0.026023,-0.003487,-0.0755,-0.0696,0.002297,1.648415,0.000022,0.000011,-0.0007,1.666047,0.025854,-0.003486,0.0290,-0.0038,-0.000105,0.131021,0.0000,1.666047,0.000000,-0.000000,7.0000,0.000000,2.000000,7660.8450,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1768,0.0000,0.000000,0.4160,4.62,5.94,15.19,6.29,0.000022,0.0007,-7.0007,0.008000,0.030134,-0.0546,-0.472704,-0.024778,0.000644,0.0,0.0,191.0377129921445,201.38817355213936,0.046667,0.052573,6506.4,6114.1,0.017792,0.000000,0.000000,0.5000,1.0000,,,,,
0.1200,1778839361.822213,10,1.662174,-0.051950,-0.001816,-0.0080,0.0456,-0.000760,1.648397,0.000029,0.000015,-0.0006,1.662495,-0.052023,-0.001815,0.0239,-0.0020,-0.000046,0.150094,0.0000,1.662495,0.000000,-0.000000,7.0000,0.000000,2.000000,7744.8703,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1905,0.0000,0.000000,0.4400,4.03,5.83,13.89,5.19,0.000029,0.0008,-7.0006,0.008000,0.029629,0.2772,-0.477987,-0.011152,-0.002349,0.0,0.0,112.92613645693027,110.36326774015652,0.020466,0.024267,6501.0,6119.5,0.021556,0.000000,0.000000,0.5000,1.0000,,,,,
0.1320,1778839361.833962,11,1.638073,0.008561,0.001016,-0.0057,0.0134,-0.000269,1.648380,0.000035,0.000018,-0.0005,1.638314,0.008521,0.001017,0.0198,-0.0013,-0.000024,0.169088,0.0000,1.638314,0.000000,0.000000,7.0000,0.000000,2.000000,7745.4826,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2047,0.0000,0.000000,0.4640,3.52,5.71,12.74,5.04,0.000035,0.0010,-7.0005,0.008000,0.125528,0.0540,-0.482248,-0.006393,-0.000914,0.0,0.0,87.1767532021716,79.87356348759559,0.011471,0.014194,6495.7,6124.9,0.025313,0.000000,0.000000,0.5000,1.0000,,,,,
0.1440,1778839361.845741,12,1.640291,-0.000390,0.003692,0.0591,0.0101,-0.000145,1.648364,0.000043,0.000022,-0.0004,1.640609,-0.000407,0.003692,0.0278,-0.0007,0.000002,0.187645,0.0000,1.640609,0.000000,0.000000,7.0000,0.000000,2.000000,7815.1713,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2195,0.0000,0.000000,0.4880,3.07,5.49,11.63,4.25,0.000043,0.0013,-7.0004,0.008000,0.046261,0.2855,-0.474793,-0.003196,0.000170,0.0,0.0,70.93372385945754,61.32920238405744,0.005421,0.007432,6490.4,6130.1,0.028946,0.000000,0.000000,0.5000,1.0000,,,,,
0.1560,1778839361.857668,13,1.567416,0.036010,-0.005992,-0.0556,-0.0434,-0.000158,1.648349,0.000052,0.000027,-0.0003,1.567653,0.035942,-0.005993,0.0229,-0.0029,-0.000064,0.205040,0.0000,1.567653,0.000000,0.000000,7.0000,0.000000,2.000000,7768.7563,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2348,0.0000,0.000000,0.5120,2.69,5.28,10.66,4.11,0.000052,0.0015,-7.0003,0.008000,0.167539,-0.1733,-0.481857,-0.010978,-0.001562,0.0,0.0,111.73767237188247,94.93953234167819,0.021268,0.022687,6485.5,6135.0,0.032364,0.000000,0.000000,0.5000,1.0000,,,,,
0.1680,1778839361.869477,14,1.618511,-0.048722,0.008856,-0.0102,0.0396,0.001495,1.648334,0.000060,0.000031,-0.0002,1.618689,-0.048725,0.008857,0.0189,-0.0003,0.000036,0.223220,0.0000,1.618689,0.000000,0.000000,7.0000,0.000000,2.000000,7933.5275,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.2505,0.0000,0.000000,0.5360,2.35,5.10,9.81,4.09,0.000060,0.0018,-7.0002,0.008000,0.169190,0.3852,-0.488915,-0.001194,0.002452,0.0,0.0,58.04241376995466,48.432780359477775,0.000913,0.003970,6480.5,6140.1,0.035885,0.000000,0.000000,0.5000,1.0000,,,,,
