step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
13,0.266,0.014,0.32,0.963,0.00,3,18,10.00,5.63,+0.000,0.979,0.000,-0.002,0.980,0.000,1,10.652,47.94,0.000
14,0.370,0.021,0.38,1.140,0.00,3,18,10.00,5.63,+0.000,0.986,0.000,-0.002,0.988,0.000,1,10.262,47.03,0.000
15,0.491,0.029,0.49,1.303,0.00,3,18,10.00,5.63,+0.000,0.991,0.000,+0.003,0.993,0.000,1,9.769,47.10,0.000
16,0.629,0.035,0.67,1.481,0.00,3,18,10.00,5.63,+0.000,0.994,0.000,-0.001,0.998,0.000,1,9.814,47.16,0.000
17,0.785,0.042,0.87,1.644,0.00,3,18,10.00,5.63,+0.000,0.996,0.000,+0.001,0.999,0.000,1,9.434,47.05,0.000
18,0.955,0.047,1.03,1.793,0.00,3,18,10.00,5.63,+0.000,0.997,0.000,-0.002,0.999,0.000,1,9.128,47.33,0.000
19,1.141,0.053,1.17,1.947,0.00,3,18,10.00,5.63,+0.000,0.998,0.000,-0.000,0.996,0.000,1,8.416,47.36,0.000
20,1.341,0.060,1.27,2.087,0.00,3,18,10.00,5.63,+0.000,0.999,0.000,+0.004,0.995,0.000,1,8.320,47.22,0.000
21,1.555,0.068,1.35,2.236,0.00,3,18,10.00,5.63,+0.000,0.999,0.000,-0.023,0.995,0.000,1,7.810,46.96,0.000
22,1.784,0.077,1.46,2.381,0.00,3,18,10.00,5.62,+0.000,0.999,0.000,-0.021,0.978,0.000,1,7.322,47.27,0.000
23,2.026,0.085,1.55,2.513,0.00,3,18,10.00,5.62,+0.000,0.993,0.000,+0.019,0.978,0.000,1,6.927,47.18,0.000
24,2.282,0.093,1.66,2.658,0.00,3,18,10.00,5.62,+0.000,0.975,0.000,-0.031,0.950,0.000,1,6.739,48.52,0.000
25,2.552,0.101,1.80,2.800,0.00,3,18,10.00,5.62,+0.000,0.951,0.000,-0.032,0.880,0.000,1,6.091,47.03,0.011
26,2.836,0.110,1.90,2.944,0.00,3,18,10.00,5.61,+0.000,0.923,0.000,-0.028,0.935,0.000,1,5.958,47.03,0.002
27,3.135,0.121,1.95,3.107,0.00,3,18,10.00,5.61,+0.000,0.890,0.000,-0.038,0.886,0.000,1,5.731,47.34,0.007
28,3.446,0.132,1.99,3.263,0.00,3,18,10.00,5.61,+0.000,0.848,0.000,-0.034,0.837,0.000,1,5.379,47.03,0.007
29,3.768,0.143,1.99,3.249,-4.47,3,18,10.00,5.61,-0.159,0.808,0.000,-0.139,0.815,0.000,1,5.419,46.81,0.000
30,4.100,0.155,1.96,3.401,-9.03,3,18,10.00,5.26,-0.322,0.767,0.000,-0.437,0.709,0.000,1,5.709,47.04,0.002
31,4.444,0.165,1.80,3.550,-9.96,3,18,10.00,5.17,-0.355,0.724,0.000,-0.305,0.692,0.000,1,5.205,46.67,0.010
32,4.801,0.169,1.37,3.672,-6.64,3,18,10.00,5.48,-0.236,0.671,0.000,-0.246,0.671,0.000,1,4.562,46.94,0.001
33,5.169,0.166,0.99,3.782,-7.36,3,18,10.00,5.41,-0.262,0.620,0.000,-0.258,0.616,0.000,1,4.428,46.77,0.000
34,5.549,0.158,0.62,3.884,-5.55,3,18,10.00,5.56,-0.198,0.566,0.000,-0.208,0.564,0.000,1,3.114,47.22,0.000
35,5.940,0.144,0.20,3.999,-4.88,3,18,10.00,5.60,-0.174,0.505,0.000,-0.161,0.498,0.000,1,3.416,46.87,0.000
36,6.341,0.127,-0.25,4.103,-1.84,3,18,10.00,5.60,-0.065,0.449,0.000,-0.076,0.445,0.000,1,3.106,46.98,0.000
37,6.752,0.110,-0.72,4.180,-2.33,3,18,10.00,5.60,-0.083,0.413,0.011,-0.075,0.403,0.000,1,2.472,47.01,0.000
38,7.169,0.094,-1.10,4.254,-1.43,3,18,10.00,5.59,-0.051,0.385,0.028,-0.054,0.360,0.000,1,1.498,47.28,0.000
40,8.017,0.060,-1.58,4.285,1.67,3,18,10.00,5.59,+0.060,0.337,0.068,+0.060,0.337,0.068,0,1.005,7.81,0.000
55,13.974,0.008,0.52,3.784,5.85,4,18,10.00,5.54,+0.208,0.299,0.007,+0.117,0.283,0.000,1,0.329,47.69,0.000
57,14.727,0.033,1.18,3.839,6.77,4,18,10.00,5.47,+0.241,0.379,0.003,+0.076,0.302,0.000,1,0.259,47.32,0.001
58,15.109,0.051,1.57,3.887,9.64,4,18,10.00,5.19,+0.343,0.412,0.002,-0.208,0.384,0.000,1,0.433,47.17,0.309
59,15.496,0.069,1.77,3.931,8.21,4,18,10.00,5.33,+0.292,0.441,0.001,-0.145,0.343,0.000,1,0.147,47.31,0.147
60,15.886,0.081,1.63,3.977,12.57,4,18,10.00,4.90,+0.448,0.469,0.001,-0.270,0.312,0.000,1,0.374,47.03,0.466
61,16.282,0.087,1.39,4.029,17.59,4,18,10.00,4.41,+0.627,0.491,0.001,-0.328,0.311,0.000,1,0.357,46.87,0.643
62,16.683,0.084,0.99,4.061,21.01,4,18,10.00,4.12,+0.748,0.507,0.000,-0.259,0.227,0.000,1,0.366,46.97,1.376
63,17.088,0.073,0.39,4.101,20.45,5,18,10.00,4.17,+0.728,0.520,0.000,-0.073,0.285,0.000,1,0.313,47.03,1.321
64,17.496,0.058,-0.20,4.142,22.76,5,18,10.00,3.99,+0.811,0.532,0.000,+0.814,0.345,0.000,1,0.356,48.95,0.782
65,17.907,0.042,-0.68,4.164,23.40,5,18,10.00,3.94,+0.833,0.541,0.000,+0.718,0.392,0.000,1,-0.023,47.40,1.477
66,18.319,0.034,-0.55,4.167,28.07,5,18,10.00,3.62,+1.000,0.551,0.000,+0.713,0.516,0.000,1,0.377,47.36,2.497
67,18.733,0.038,-0.11,4.180,28.07,5,18,10.00,3.62,+1.000,0.560,0.000,+0.381,0.032,0.000,1,-0.478,47.50,2.987
68,19.148,0.053,0.53,4.209,28.07,5,18,10.00,3.62,+1.000,0.568,0.000,+0.871,0.189,0.000,1,-0.500,47.63,3.041
69,19.566,0.077,1.18,4.196,28.07,5,18,10.00,3.62,+1.000,0.573,0.000,+0.487,0.324,0.000,1,0.393,47.43,3.279
70,19.979,0.111,2.17,4.176,28.07,5,18,10.00,3.62,+1.000,0.578,0.000,+0.813,0.024,0.000,1,-0.480,47.36,4.765
71,20.391,0.154,3.22,4.165,28.07,5,18,10.00,3.62,+1.000,0.583,0.000,+0.284,0.272,0.000,1,-0.358,47.24,4.299
72,20.799,0.208,4.37,4.128,28.07,5,18,10.00,3.62,+1.000,0.592,0.000,+0.858,0.122,0.000,1,-0.390,47.32,4.908
73,21.205,0.272,4.84,4.100,28.07,5,18,10.00,3.62,+1.000,0.602,0.000,+0.444,0.395,0.000,1,-0.478,47.57,3.697
74,21.605,0.331,5.28,4.048,28.07,5,18,10.00,3.62,+1.000,0.616,0.000,+0.737,0.000,0.027,1,-0.429,47.39,4.619
75,21.999,0.384,5.91,4.005,28.07,5,18,10.00,3.62,+1.000,0.635,0.000,-0.129,0.050,0.000,1,-0.484,47.45,6.742
76,22.390,0.442,7.02,3.965,27.44,5,18,10.00,3.66,+0.977,0.658,0.000,+0.760,0.000,0.051,1,-0.495,47.27,5.309
77,22.775,0.502,7.68,3.886,27.44,5,18,10.00,3.66,+0.977,0.676,0.000,+0.282,0.070,0.000,1,-0.489,47.19,7.343
78,23.151,0.571,8.54,3.821,22.76,5,18,10.00,3.99,+0.811,0.700,0.000,+0.355,0.000,0.382,1,-0.379,47.41,15.298
79,23.512,0.644,9.29,3.609,23.26,5,18,10.00,3.95,+0.829,0.730,0.000,+0.096,0.000,0.802,1,-0.509,47.62,15.851
80,23.851,0.714,10.09,3.371,25.19,5,18,10.00,3.82,+0.897,0.780,0.000,+0.884,0.000,0.387,1,-0.026,47.30,21.645
81,24.166,0.779,10.59,3.135,23.72,5,18,10.00,3.92,+0.845,0.841,0.000,+0.861,0.000,0.595,1,-0.027,47.16,22.941
82,24.456,0.839,11.22,2.874,22.28,5,18,10.00,4.03,+0.793,0.893,0.000,+0.876,0.000,0.509,1,-0.019,47.62,24.347
83,24.723,0.894,11.79,2.626,16.53,5,18,10.00,4.52,+0.589,0.932,0.000,+0.919,0.000,0.486,1,-0.006,47.48,25.661
84,24.966,0.943,12.27,2.399,11.43,5,18,10.00,5.03,+0.407,0.954,0.000,-1.000,0.200,0.000,1,-0.520,47.49,4.787
85,25.194,0.990,11.81,2.207,12.23,5,18,10.00,4.95,+0.436,0.969,0.000,-1.000,0.411,0.000,1,-0.440,48.38,1.722
86,25.395,1.026,10.84,1.946,13.01,5,18,10.00,4.87,+0.463,0.979,0.000,-0.699,0.026,0.000,1,-0.346,47.31,1.749
87,25.574,1.050,9.91,1.729,14.43,5,18,10.00,4.73,+0.514,0.987,0.000,-0.864,0.274,0.000,1,-0.285,47.73,1.808
