sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778839631.596704,0,1.647653,0.055116,-0.008308,0.0739,0.1152,0.000904,1.648994,-0.000000,-0.000000,-0.0020,1.650817,0.056056,-0.008285,0.0690,0.0005,0.000021,-0.111991,0.0000,1.650817,0.000000,0.000000,7.0000,0.000000,2.000000,7080.9851,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0837,0.0000,0.000000,0.2000,17.09,9.28,43.46,5.23,-0.000000,-0.0000,-7.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-1059.9642292781737,-1505.73430230095,-0.229168,-0.223500,6560.3,6060.2,-0.049448,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778839631.602617,1,1.562294,0.005409,-0.001613,-0.0240,0.0354,0.000950,1.648913,-0.000001,-0.000000,-0.0094,1.564611,0.006239,-0.001592,0.0573,0.0007,0.000031,-0.019537,0.0000,1.564611,0.000000,0.000000,7.0000,0.000000,2.000000,7009.5571,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0909,0.0000,0.000000,0.2240,15.26,8.82,39.34,6.17,-0.000001,-0.0000,-7.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-831.5792238511224,-1273.5099900958871,-0.199722,-0.193924,6557.1,6063.5,-0.043776,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778839631.609354,2,1.709176,0.014541,-0.003775,0.0256,-0.0231,0.000378,1.648775,-0.000002,-0.000002,-0.0125,1.711048,0.015166,-0.003759,0.0514,0.0009,0.000038,-0.008182,0.0000,1.711048,0.000000,-0.000000,7.0000,0.000000,2.000000,6995.0931,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0990,0.0000,0.000000,0.2480,13.57,7.95,35.08,3.05,-0.000002,-0.0001,-7.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,-344.37128618043323,-730.4682413934881,-0.153321,-0.148096,6552.2,6068.3,-0.035357,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778839631.617862,3,1.625774,0.075953,-0.005962,-0.0512,0.0117,-0.001295,1.648627,-0.000005,-0.000003,-0.0121,1.627093,0.076466,-0.005950,0.0420,0.0013,0.000056,0.006869,0.0000,1.627093,0.000000,0.000000,7.0000,0.000000,2.000000,6997.6337,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1079,0.0000,0.000000,0.2720,11.60,7.19,30.40,2.88,-0.000005,-0.0002,-7.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,-130.06835758949848,-464.7309364089131,-0.127641,-0.125029,6546.0,6074.6,-0.024483,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778839631.629900,4,1.599780,-0.003787,0.001749,0.0112,0.0109,0.000306,1.648492,-0.000007,-0.000005,-0.0106,1.600768,-0.003354,0.001759,0.0366,0.0019,0.000077,0.026345,0.0000,1.600768,0.000000,0.000000,7.0000,0.000000,2.000000,6988.4271,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1176,0.0000,0.000000,0.2960,9.94,6.53,26.42,2.81,-0.000007,-0.0003,-7.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,-19.529268549223303,-281.50979186263044,-0.107499,-0.104995,6539.0,6081.6,-0.012277,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778839631.641876,5,1.602178,-0.039389,0.005655,0.0655,-0.0183,-0.000733,1.648461,-0.000004,-0.000003,0.0003,1.603182,-0.039072,0.005662,0.0432,0.0021,0.000086,0.064003,0.0000,1.603182,0.000000,0.000000,7.0000,0.000000,2.000000,6979.5444,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1281,0.0000,0.000000,0.3200,8.53,5.98,23.03,2.83,-0.000004,-0.0002,-6.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,49.467498450400754,-120.99552337094109,-0.079335,-0.078237,6527.7,6092.9,0.007431,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778839631.653845,6,1.676052,0.013330,-0.002541,0.0845,0.0164,0.001910,1.648469,0.000002,0.000000,0.0002,1.677103,0.013599,-0.002533,0.0516,0.0027,0.000109,0.079653,0.0000,1.677103,0.000000,-0.000000,7.0000,0.000000,2.000000,6972.8511,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1392,0.0000,0.000000,0.3440,7.32,5.50,20.14,2.81,0.000002,0.0000,-6.9998,nan,nan,nan,nan,nan,nan,0.0,0.0,48.04995928328388,-86.62712404629099,-0.071530,-0.068214,6522.2,6098.3,0.016961,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778839631.666129,7,1.698192,0.013518,-0.004369,-0.0161,-0.0395,0.000040,1.648452,0.000007,0.000003,-0.0009,1.698943,0.013670,-0.004364,0.0421,0.0022,0.000087,0.094681,0.0000,1.698943,0.000000,-0.000000,7.0000,0.000000,2.000000,6972.7207,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1511,0.0000,0.000000,0.3680,6.33,5.14,17.80,3.10,0.000007,0.0002,-7.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,21.4942154850921,-8.872047906629845,-0.042510,-0.039775,6517.2,6103.4,0.025772,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778839631.678110,8,1.601032,-0.000371,0.005292,-0.0009,-0.0139,0.001361,1.648434,0.000014,0.000007,-0.0008,1.601571,-0.000265,0.005296,0.0343,0.0019,0.000082,0.112947,0.0000,1.601571,0.000000,0.000000,7.0000,0.000000,2.000000,6972.9518,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1635,0.0000,0.000000,0.3920,5.48,4.91,15.87,3.62,0.000014,0.0004,-7.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,-11.134671124703331,4.81186799754677,-0.029755,-0.025809,6511.5,6109.1,0.035659,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778839631.700550,9,1.625589,0.078780,0.003645,-0.0632,0.0209,0.001290,1.648415,0.000021,0.000011,-0.0007,1.625980,0.078891,0.003649,0.0281,0.0026,0.000114,0.131693,0.0000,1.625980,0.000000,0.000000,7.0000,0.000000,2.000000,6964.9668,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1766,0.0000,0.000000,0.4160,4.73,4.64,14.09,3.07,0.000021,0.0006,-7.0007,0.008000,0.078704,0.6825,-0.473556,0.015285,0.000548,0.0,0.0,-18.485602712712563,-12.589548213598789,-0.032889,-0.028060,6505.9,6114.7,0.045459,0.000000,0.000000,0.5000,1.0000,,,,,
