sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778839681.178193,0,1.700178,0.032055,0.010807,-0.0160,-0.0276,0.000876,1.648994,-0.000000,-0.000000,-0.0020,1.700066,0.031830,0.010805,-0.0052,-0.0001,-0.000005,-0.117891,0.0000,1.700066,0.000000,-0.000000,1.5968,0.000000,2.000000,240.4291,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0518,0.0000,0.000000,0.2000,17.08,9.27,43.42,5.11,-0.000000,-0.0000,-1.5989,nan,nan,nan,nan,nan,nan,0.0,0.0,176.85627027567463,246.94185263584416,0.052448,0.058219,6561.8,6058.7,-0.020815,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778839681.183932,1,1.625228,-0.004765,-0.005612,-0.0239,-0.0128,0.000392,1.648913,-0.000001,-0.000000,-0.0094,1.625164,-0.004964,-0.005612,-0.0026,-0.0002,-0.000008,-0.025905,0.0000,1.625164,0.000000,0.000000,1.6900,0.000000,2.000000,223.1545,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0563,0.0000,0.000000,0.2240,15.22,8.71,39.16,5.58,-0.000001,-0.0000,-1.6993,nan,nan,nan,nan,nan,nan,0.0,0.0,168.436094087161,228.04429152908216,0.047002,0.052159,6558.6,6061.9,-0.018598,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778839681.190771,2,1.753519,0.008164,0.000227,0.0336,-0.0718,-0.001835,1.648775,-0.000002,-0.000002,-0.0126,1.753707,0.007888,0.000222,0.0047,-0.0005,-0.000019,-0.016585,0.0000,1.753707,-0.000000,-0.000000,1.5182,0.000000,2.000000,224.2968,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0613,0.0000,0.000000,0.2480,13.01,7.86,33.88,3.03,-0.000002,-0.0001,-1.5307,nan,nan,nan,nan,nan,nan,0.0,0.0,209.9515821772893,273.19247274763194,0.066774,0.068588,6553.8,6066.8,-0.015192,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778839681.202848,3,1.692991,0.001934,0.008547,-0.0408,0.0096,0.000270,1.648627,-0.000004,-0.000003,-0.0121,1.693133,0.001730,0.008544,0.0043,-0.0006,-0.000025,0.000100,0.0000,1.693133,0.000000,-0.000000,1.6062,0.000000,2.000000,265.7066,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0668,0.0000,0.000000,0.2720,11.13,7.11,29.38,2.89,-0.000004,-0.0002,-1.6183,nan,nan,nan,nan,nan,nan,0.0,0.0,183.45630870328674,221.58721155043656,0.049995,0.051805,6547.2,6073.4,-0.010622,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778839681.214804,4,1.608860,0.003833,0.001391,0.0392,-0.0365,0.000327,1.648492,-0.000007,-0.000005,-0.0106,1.609164,0.003614,0.001388,0.0116,-0.0011,-0.000043,0.019068,0.0000,1.609164,0.000000,0.000000,1.7080,0.000000,2.000000,236.8587,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0728,0.0000,0.000000,0.2960,9.54,6.47,25.54,2.82,-0.000007,-0.0003,-1.7186,nan,nan,nan,nan,nan,nan,0.0,0.0,197.51834661155803,230.84858684798283,0.054242,0.056117,6540.4,6080.2,-0.005880,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778839681.226887,5,1.765380,0.000179,0.003875,-0.0289,-0.0417,0.001239,1.648464,-0.000004,-0.000003,0.0006,1.765605,-0.000054,0.003873,0.0102,-0.0018,-0.000069,0.053481,0.0000,1.765605,-0.000000,-0.000000,1.4990,0.000000,2.000000,197.7279,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0792,0.0000,0.000000,0.3200,8.18,5.92,22.29,2.81,-0.000004,-0.0002,-1.4985,nan,nan,nan,nan,nan,nan,0.0,0.0,215.16287340573885,243.63164071369255,0.059095,0.062184,6530.0,6090.6,0.001378,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778839681.238806,6,1.710427,-0.060044,-0.003100,0.0177,-0.0648,0.000998,1.648468,0.000001,-0.000000,0.0002,1.710657,-0.060323,-0.003103,0.0121,-0.0031,-0.000113,0.070366,0.0000,1.710657,0.000000,-0.000000,1.5822,0.000000,2.000000,227.7013,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0861,0.0000,0.000000,0.3440,7.03,5.46,19.51,2.82,0.000001,-0.0000,-1.5820,nan,nan,nan,nan,nan,nan,0.0,0.0,247.53972952469596,282.71756166412484,0.072073,0.075828,6524.3,6096.3,0.005369,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778839681.250851,7,1.687118,0.000697,0.006250,-0.0042,-0.1462,-0.000839,1.648453,0.000006,0.000003,-0.0009,1.687287,0.000272,0.006244,0.0102,-0.0066,-0.000242,0.085695,0.0000,1.687287,0.000000,-0.000000,1.6139,0.000000,2.000000,233.4147,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0934,0.0000,0.000000,0.3680,6.05,5.06,17.17,2.81,0.000006,0.0002,-1.6148,nan,nan,nan,nan,nan,nan,0.0,0.0,313.5237687638171,416.40881320561294,0.114834,0.116780,6519.2,6101.4,0.008928,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778839681.262841,8,1.705754,-0.056774,0.007409,0.0214,-0.0504,0.000129,1.648434,0.000013,0.000007,-0.0008,1.705943,-0.057172,0.007403,0.0127,-0.0083,-0.000282,0.104288,0.0000,1.705943,0.000000,-0.000000,1.5888,0.000000,2.000000,219.1886,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1011,0.0000,0.000000,0.3920,5.23,4.73,15.18,2.84,0.000013,0.0004,-1.5896,nan,nan,nan,nan,nan,nan,0.0,0.0,323.37074671297796,406.6465286422608,0.111991,0.113725,6513.4,6107.2,0.012936,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778839681.275124,9,1.541969,-0.046329,0.000790,0.0189,-0.0076,0.001569,1.648415,0.000020,0.000011,-0.0007,1.542155,-0.046645,0.000786,0.0143,-0.0086,-0.000271,0.123181,0.0000,1.542155,0.000000,0.000000,1.7794,0.000000,2.000000,265.7054,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1092,0.0000,0.000000,0.4160,4.52,4.43,13.47,2.78,0.000020,0.0006,-1.7801,0.008000,0.222479,-0.5543,-0.487171,-0.047166,0.003937,0.0,0.0,304.29869756916503,345.14549609258944,0.092418,0.095810,6507.7,6112.8,0.016889,0.000000,0.000000,0.5000,1.0000,,,,,
