sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778839828.234883,0,1.665627,0.035907,0.001114,0.0370,-0.0744,0.001635,1.648994,-0.000000,-0.000000,-0.0020,1.667154,0.035302,0.001108,0.0321,-0.0003,-0.000013,-0.111854,0.0000,1.667154,0.000000,-0.000000,5.0000,0.000000,2.000000,3413.2104,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0719,0.0000,0.000000,0.2000,17.07,9.30,43.45,5.33,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,176.94267891814604,532.8511359177314,0.142558,0.153123,6560.3,6060.3,-0.019749,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778839828.240843,1,1.683547,0.074594,0.006513,0.0380,-0.0789,0.000878,1.648913,-0.000001,-0.000000,-0.0094,1.684975,0.073990,0.006506,0.0349,-0.0005,-0.000023,-0.019779,0.0000,1.684975,0.000000,-0.000000,5.0000,0.000000,2.000000,3346.4913,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0781,0.0000,0.000000,0.2240,15.25,8.71,39.22,5.38,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,184.69959402160546,537.5582041989489,0.144751,0.154365,6557.1,6063.4,-0.017549,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778839828.246746,2,1.721786,0.087348,-0.000659,0.1303,-0.0238,-0.000896,1.648775,-0.000002,-0.000002,-0.0125,1.723709,0.086816,-0.000666,0.0537,-0.0008,-0.000034,-0.008863,0.0000,1.723709,0.000000,-0.000000,5.0000,0.000000,2.000000,3346.1286,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0850,0.0000,0.000000,0.2480,13.38,7.85,34.61,3.00,-0.000002,-0.0001,-5.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,225.44499626520437,468.02676744583044,0.126629,0.133298,6552.2,6068.4,-0.014089,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778839828.256644,3,1.734021,0.024560,0.000200,-0.0405,-0.0623,-0.002044,1.648627,-0.000004,-0.000003,-0.0121,1.735374,0.024036,0.000191,0.0438,-0.0014,-0.000059,0.006010,0.0000,1.735374,0.000000,-0.000000,5.0000,0.000000,2.000000,3343.2466,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0927,0.0000,0.000000,0.2720,11.44,7.11,30.00,2.91,-0.000004,-0.0002,-5.0121,nan,nan,nan,nan,nan,nan,0.0,0.0,242.9425818829464,458.35632845495593,0.127349,0.130160,6546.0,6074.6,-0.009795,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778839828.268572,4,1.668450,0.013683,0.003055,0.0134,-0.0645,0.000570,1.648492,-0.000007,-0.000005,-0.0106,1.669477,0.013170,0.003047,0.0385,-0.0024,-0.000095,0.026447,0.0000,1.669477,0.000000,-0.000000,5.0000,0.000000,2.000000,3346.1897,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1010,0.0000,0.000000,0.2960,9.80,6.47,26.08,2.83,-0.000007,-0.0003,-5.0106,nan,nan,nan,nan,nan,nan,0.0,0.0,264.14817100600914,459.27554488686417,0.127195,0.130179,6538.8,6081.8,-0.004766,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778839828.280511,5,1.626570,-0.008748,0.001659,-0.0230,0.0121,-0.000355,1.648464,-0.000004,-0.000003,0.0005,1.627306,-0.009136,0.001652,0.0322,-0.0028,-0.000110,0.072908,0.0000,1.627306,0.000000,0.000000,5.0000,0.000000,2.000000,3365.0187,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1100,0.0000,0.000000,0.3200,8.41,5.93,22.76,2.85,-0.000004,-0.0002,-4.9995,nan,nan,nan,nan,nan,nan,0.0,0.0,287.38382729938996,360.90789909173,0.098366,0.100340,6525.3,6095.3,0.004645,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778839828.292605,6,1.785190,0.008399,-0.001852,-0.0536,0.0117,-0.000160,1.648468,0.000002,0.000000,0.0001,1.785714,0.008110,-0.001857,0.0265,-0.0030,-0.000114,0.089602,0.0000,1.785714,-0.000000,-0.000000,5.0000,0.000000,2.000000,3373.3500,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1195,0.0000,0.000000,0.3440,7.23,5.47,19.94,2.89,0.000002,0.0000,-4.9999,nan,nan,nan,nan,nan,nan,0.0,0.0,257.60734219156416,283.000695759583,0.075031,0.076426,6519.6,6101.0,0.008618,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778839828.304645,7,1.539792,-0.070609,-0.008391,0.0093,0.0165,0.000561,1.648453,0.000007,0.000003,-0.0008,1.540198,-0.070813,-0.008394,0.0235,-0.0030,-0.000107,0.104575,0.0000,1.540198,0.000000,0.000000,5.0000,0.000000,2.000000,3375.7946,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1297,0.0000,0.000000,0.3680,6.24,5.12,17.60,3.15,0.000007,0.0002,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,209.37149545914806,215.67328618428496,0.053843,0.055686,6514.6,6106.0,0.012127,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778839828.316467,8,1.737999,-0.008587,0.002443,-0.0348,-0.0889,-0.000049,1.648434,0.000013,0.000007,-0.0008,1.738293,-0.008865,0.002439,0.0194,-0.0055,-0.000187,0.121940,0.0000,1.738293,0.000000,-0.000000,5.0000,0.000000,2.000000,3363.8480,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1404,0.0000,0.000000,0.3920,5.36,5.03,15.75,4.52,0.000013,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,272.4660191911976,288.9583888968393,0.077755,0.079174,6509.1,6111.5,0.015938,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778839828.330963,9,1.599490,0.017392,0.002334,-0.0059,-0.0021,-0.000261,1.648415,0.000021,0.000011,-0.0007,1.599708,0.017173,0.002331,0.0161,-0.0055,-0.000183,0.140861,0.0000,1.599708,0.000000,0.000000,5.0000,0.000000,2.000000,3356.6649,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1516,0.0000,0.000000,0.4160,4.63,4.83,14.09,3.68,0.000021,0.0006,-5.0007,0.008000,0.119027,0.0778,-0.485696,-0.032096,0.001445,0.0,0.0,240.6129985512398,238.84031897284444,0.063711,0.064526,6503.5,6117.0,0.019824,0.000000,0.000000,0.5000,1.0000,,,,,
