step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,2.029,0.068,0.78,3.168,0.00,3,18,27.00,7.54,+0.000,0.967,0.000,+0.000,0.967,0.000,0,5.356,10.49,0.000
40,9.881,0.061,-1.38,4.188,-0.77,3,18,27.00,7.46,-0.027,0.351,0.000,-0.027,0.351,0.000,0,0.791,10.51,0.000
49,13.628,0.024,-0.21,4.220,5.04,4,18,27.00,7.45,+0.179,0.434,0.000,+0.149,0.438,0.000,1,0.549,66.75,0.002
50,14.045,0.036,0.25,4.223,5.27,4,18,27.00,7.43,+0.188,0.446,0.000,+0.125,0.450,0.000,1,0.044,48.02,0.002
51,14.463,0.047,0.72,4.229,6.10,4,18,27.00,7.36,+0.217,0.457,0.000,+0.176,0.456,0.000,1,0.367,47.65,0.000
52,14.881,0.062,1.18,4.234,6.72,4,18,27.00,7.31,+0.239,0.471,0.000,+0.097,0.469,0.000,1,0.338,47.58,0.000
53,15.300,0.082,1.63,4.231,10.33,4,18,27.00,6.90,+0.368,0.483,0.000,-0.115,0.598,0.000,1,-0.295,47.72,0.099
54,15.718,0.100,1.86,4.219,9.60,4,18,27.00,6.99,+0.342,0.495,0.000,+0.034,0.557,0.000,1,0.167,47.94,0.028
55,16.136,0.114,1.79,4.225,12.59,4,18,27.00,6.63,+0.448,0.508,0.000,+0.611,0.515,0.000,1,-0.202,47.51,0.028
56,16.554,0.130,1.80,4.218,16.64,4,18,27.00,6.15,+0.593,0.523,0.000,+0.684,0.468,0.000,1,-0.411,47.12,0.016
57,16.968,0.159,2.51,4.168,19.16,5,18,27.00,5.87,+0.682,0.537,0.000,+0.709,0.518,0.000,1,-0.465,47.56,0.030
58,17.378,0.206,3.72,4.144,20.01,5,18,27.00,5.78,+0.713,0.553,0.000,+0.902,0.519,0.000,1,-0.430,48.17,0.053
59,17.784,0.272,5.25,4.130,15.81,5,18,27.00,6.25,+0.563,0.572,0.000,+0.329,0.465,0.000,1,-0.454,47.47,1.470
60,18.186,0.354,7.02,4.132,13.45,5,18,27.00,6.53,+0.479,0.595,0.000,-0.798,0.548,0.000,1,-0.069,47.51,1.417
61,18.589,0.441,8.35,4.170,13.33,5,18,27.00,6.54,+0.475,0.615,0.000,-0.571,0.599,0.000,1,-0.088,47.60,0.414
62,18.993,0.517,8.36,4.111,12.78,5,18,27.00,6.61,+0.455,0.634,0.000,-0.424,0.551,0.000,1,-0.059,48.52,0.189
63,19.393,0.571,7.74,4.052,17.88,5,18,27.00,6.02,+0.637,0.656,0.000,-0.340,0.528,0.000,1,0.053,48.09,0.446
64,19.793,0.607,6.98,4.043,20.71,5,18,27.00,5.71,+0.738,0.686,0.000,-0.262,0.218,0.000,1,0.231,47.77,0.912
65,20.195,0.629,6.22,4.076,24.54,5,18,27.00,5.33,+0.874,0.717,0.000,-0.308,0.199,0.000,1,0.384,47.82,0.975
66,20.600,0.645,5.45,4.070,28.07,5,18,27.00,5.02,+1.000,0.746,0.000,-0.198,0.352,0.000,1,0.391,48.11,1.156
67,21.003,0.660,4.67,4.071,27.44,5,18,27.00,5.07,+0.977,0.773,0.000,-0.164,0.129,0.000,1,0.219,48.10,1.233
68,21.405,0.677,4.20,4.047,28.07,5,18,27.00,5.02,+1.000,0.800,0.000,-0.398,0.169,0.000,1,0.203,47.91,1.374
69,21.802,0.693,3.53,3.960,28.07,5,18,27.00,5.02,+1.000,0.825,0.000,-0.502,0.200,0.000,1,0.499,47.77,1.573
70,22.191,0.697,2.48,3.860,28.07,5,18,27.00,5.02,+1.000,0.856,0.000,-0.409,0.181,0.000,1,0.790,47.73,1.807
71,22.570,0.685,1.24,3.786,25.52,5,18,27.00,5.25,+0.909,0.899,0.000,-0.380,0.200,0.000,1,0.870,47.94,1.998
72,22.943,0.662,0.07,3.728,23.61,5,18,27.00,5.44,+0.841,0.936,0.000,-0.559,0.171,0.000,1,0.914,47.59,2.204
73,23.309,0.629,-1.00,3.658,23.40,5,18,27.00,5.46,+0.833,0.958,0.000,-0.166,0.842,0.000,1,-0.464,47.29,0.318
74,23.669,0.585,-2.30,3.674,23.40,5,18,27.00,5.46,+0.833,0.972,0.000,+0.379,0.761,0.000,1,-0.475,48.25,0.061
75,24.034,0.545,-3.16,3.754,24.76,5,18,27.00,5.32,+0.882,0.981,0.000,+0.174,0.836,0.000,1,-0.457,48.18,0.135
76,24.407,0.517,-3.05,3.824,26.48,5,18,27.00,5.16,+0.943,0.988,0.000,-0.200,0.531,0.000,1,-0.425,47.63,0.896
77,24.788,0.498,-2.80,3.871,22.49,5,18,27.00,5.54,+0.801,0.992,0.000,+0.312,0.870,0.000,1,-0.412,47.74,0.065
78,25.174,0.478,-3.27,3.931,21.28,5,18,27.00,5.66,+0.758,0.995,0.000,+0.309,0.856,0.000,1,-0.483,48.63,0.058
79,25.566,0.469,-3.01,3.995,18.76,5,18,27.00,5.92,+0.668,0.997,0.000,+0.061,0.747,0.000,1,-0.417,48.07,0.114
80,25.964,0.463,-2.36,4.057,17.73,5,18,27.00,6.03,+0.632,0.998,0.000,-0.159,0.854,0.000,1,-0.353,47.71,0.126
81,26.366,0.455,-2.09,4.094,15.35,5,18,27.00,6.31,+0.547,0.999,0.000,+0.097,0.855,0.000,1,-0.365,47.85,0.057
82,26.773,0.443,-2.19,4.143,15.34,5,18,27.00,6.30,+0.547,0.999,0.000,+0.347,0.915,0.000,1,-0.466,47.64,0.051
83,27.185,0.435,-1.85,4.191,14.02,5,18,27.00,6.46,+0.499,0.999,0.000,-0.394,0.813,0.000,1,-0.440,48.05,1.176
84,27.605,0.419,-1.62,4.199,14.16,5,18,27.00,6.44,+0.504,1.000,0.000,-0.303,0.925,0.000,1,-0.476,47.89,0.116
85,28.018,0.391,-2.13,4.196,17.71,5,18,27.00,6.03,+0.631,1.000,0.000,-0.159,0.882,0.000,1,-0.480,47.45,0.242
86,28.432,0.357,-3.22,4.217,19.69,5,18,27.00,5.81,+0.701,1.000,0.000,+0.823,0.930,0.000,1,-0.440,47.77,0.087
87,28.850,0.317,-4.41,4.224,18.40,5,18,27.00,5.95,+0.655,1.000,0.000,+0.616,0.932,0.000,1,-0.364,47.74,0.015
88,29.267,0.274,-5.12,4.220,18.76,5,18,27.00,5.91,+0.668,1.000,0.000,+0.792,0.898,0.000,1,-0.337,47.16,0.051
89,29.684,0.231,-5.37,4.231,18.95,5,18,27.00,5.89,+0.675,1.000,0.000,+0.597,0.910,0.000,1,-0.297,47.69,0.016
90,30.100,0.191,-5.36,4.233,18.98,5,18,27.00,5.89,+0.676,1.000,0.000,+0.696,0.921,0.000,1,-0.197,47.93,0.033
91,30.517,0.155,-5.33,4.231,19.16,5,18,27.00,5.87,+0.683,1.000,0.000,+0.696,0.903,0.000,1,-0.040,47.89,0.013
92,30.934,0.124,-5.29,4.221,17.09,5,18,27.00,6.10,+0.609,1.000,0.000,+0.699,0.957,0.000,1,0.162,47.32,0.003
93,31.350,0.098,-5.20,4.206,19.59,5,18,27.00,5.82,+0.698,1.000,0.000,+0.635,0.877,0.000,1,0.286,47.39,0.063
94,31.765,0.075,-4.91,4.201,18.74,5,18,27.00,5.91,+0.668,1.000,0.000,+0.878,0.933,0.000,1,0.054,47.93,0.022
95,32.182,0.054,-4.60,4.212,16.83,5,18,27.00,6.13,+0.600,1.000,0.000,+0.676,0.787,0.000,1,-0.249,47.91,0.002
96,32.596,0.035,-4.13,4.200,17.47,5,18,27.00,6.05,+0.622,1.000,0.000,+0.782,0.870,0.000,1,-0.469,47.64,0.023
97,33.012,0.018,-3.52,4.194,18.00,5,18,27.00,6.00,+0.641,1.000,0.000,+0.839,0.592,0.000,1,-0.454,47.55,0.206
98,33.425,0.006,-3.01,4.159,18.02,5,18,27.00,6.00,+0.642,1.000,0.000,+0.934,0.758,0.000,1,-0.143,48.11,0.719
99,33.836,-0.001,-2.59,4.132,18.36,5,18,27.00,5.96,+0.654,1.000,0.000,+0.791,0.297,0.000,1,-0.420,48.70,1.710
100,34.244,-0.003,-2.12,4.100,17.82,5,18,27.00,6.02,+0.635,1.000,0.000,+0.833,0.185,0.000,1,-0.374,47.67,3.046
101,34.648,-0.002,-1.55,4.055,18.19,5,18,27.00,5.98,+0.648,1.000,0.000,-0.117,0.345,0.000,1,-0.287,47.70,3.092
102,35.046,0.002,-1.00,4.023,16.77,5,18,27.00,6.14,+0.597,1.000,0.000,-0.127,0.937,0.000,1,-0.383,48.14,0.526
103,35.443,0.001,-1.04,4.018,18.66,5,18,27.00,5.93,+0.665,1.000,0.000,-0.149,0.853,0.000,1,-0.171,47.91,0.594
104,35.840,-0.006,-1.46,4.003,18.76,5,18,27.00,5.92,+0.668,1.000,0.000,-0.421,0.752,0.000,1,-0.118,47.84,0.482
105,36.234,-0.024,-2.12,3.988,20.37,5,18,27.00,5.75,+0.726,1.000,0.000,+0.014,0.824,0.000,1,0.322,47.71,0.173
106,36.629,-0.058,-3.09,4.001,21.17,5,18,27.00,5.67,+0.754,1.000,0.000,-0.054,0.608,0.000,1,-0.386,48.32,0.554
107,37.023,-0.101,-3.87,3.998,22.49,5,18,27.00,5.53,+0.801,1.000,0.000,+0.018,0.854,0.000,1,-0.379,47.85,0.392
108,37.417,-0.150,-4.78,4.010,22.98,5,18,27.00,5.48,+0.818,1.000,0.000,+0.654,0.389,0.000,1,0.052,47.75,1.340
109,37.813,-0.204,-5.69,3.988,24.30,5,18,27.00,5.36,+0.865,1.000,0.000,+0.822,0.755,0.000,1,-0.378,47.89,0.770
110,38.204,-0.255,-6.26,3.949,26.16,5,18,27.00,5.19,+0.932,1.000,0.000,+0.565,0.397,0.000,1,-0.029,48.48,1.456
111,38.590,-0.300,-6.60,3.929,24.01,5,18,27.00,5.39,+0.855,1.000,0.000,+0.848,0.582,0.000,1,-0.043,48.38,1.248
112,38.978,-0.342,-6.87,3.908,24.59,5,18,27.00,5.33,+0.876,1.000,0.000,+0.859,0.045,0.000,1,-0.323,47.95,2.244
113,39.360,-0.380,-6.83,3.863,24.47,5,18,27.00,5.35,+0.871,1.000,0.000,-0.471,0.246,0.000,1,0.481,47.29,3.250
114,39.735,-0.414,-6.59,3.784,23.41,5,18,27.00,5.45,+0.834,1.000,0.000,+0.817,0.469,0.000,1,-0.453,48.22,1.636
115,40.108,-0.459,-7.10,3.810,24.84,5,18,27.00,5.32,+0.885,1.000,0.000,+0.222,0.809,0.000,1,-0.325,48.08,0.090
116,40.475,-0.505,-7.31,3.743,21.91,5,18,27.00,5.60,+0.780,1.000,0.000,+0.750,1.000,0.000,1,-0.372,47.68,0.032
117,40.845,-0.552,-7.38,3.759,23.89,5,18,27.00,5.41,+0.851,1.000,0.000,+0.164,0.888,0.000,1,-0.464,47.32,0.115
118,41.213,-0.598,-7.31,3.788,25.43,5,18,27.00,5.26,+0.906,1.000,0.000,+0.312,0.848,0.000,1,-0.311,48.33,0.079
119,41.586,-0.648,-7.48,3.824,25.56,5,18,27.00,5.25,+0.910,1.000,0.000,+0.482,0.800,0.000,1,-0.286,48.01,0.030
120,41.963,-0.699,-7.76,3.846,25.44,5,18,27.00,5.26,+0.906,1.000,0.000,+0.320,0.951,0.000,1,-0.375,47.51,0.062
121,42.342,-0.752,-7.99,3.883,25.30,5,18,27.00,5.27,+0.901,1.000,0.000,+0.460,0.910,0.000,1,-0.192,47.73,0.011
122,42.723,-0.807,-8.28,3.881,24.47,5,18,27.00,5.35,+0.871,1.000,0.000,+0.682,0.952,0.000,1,-0.171,48.35,0.009
