time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
5.4300,16.5813,-0.0791,4.342,2,19.058,2.137,0.828,3.3236,2.328,3.328,0,1
5.4330,16.5943,-0.0801,4.341,2,19.058,2.137,0.828,3.3146,2.328,3.328,0,1
5.4360,16.6073,-0.0811,4.340,2,19.058,2.137,0.828,3.3056,2.328,3.328,0,1
5.4390,16.6203,-0.0821,4.340,2,19.058,2.137,0.828,3.2967,2.328,3.328,0,1
5.4420,16.6333,-0.0831,4.337,2,19.058,2.137,0.828,3.2877,2.328,3.328,0,1
5.4450,16.6463,-0.0840,4.337,2,19.058,2.137,0.828,3.2788,2.328,3.328,0,1
5.4480,16.6593,-0.0850,4.333,2,19.058,2.137,0.828,3.2699,2.328,3.328,0,1
5.4510,16.6723,-0.0859,4.335,2,19.058,2.137,0.828,3.2610,2.328,3.328,0,1
5.4540,16.6853,-0.0868,4.335,2,19.058,2.137,0.828,3.2521,2.328,3.328,0,1
5.4570,16.6983,-0.0877,4.335,2,19.058,2.137,0.828,3.2433,2.328,3.328,0,1
5.4600,16.7112,-0.0886,4.330,2,19.058,2.137,0.828,3.2345,2.328,3.328,0,1
5.4630,16.7242,-0.0895,4.335,2,19.058,2.137,0.828,3.2257,2.328,3.328,0,1
5.4660,16.7372,-0.0904,4.334,2,19.058,2.137,0.828,3.2169,2.328,3.328,0,1
5.4690,16.7502,-0.0913,4.332,2,19.058,2.137,0.828,3.2082,2.328,3.328,0,1
5.4720,16.7632,-0.0921,4.334,2,19.058,2.137,0.828,3.1994,2.328,3.328,0,1
5.4750,16.7762,-0.0930,4.333,2,19.058,2.137,0.828,3.1907,2.328,3.328,0,1
5.4780,16.7892,-0.0939,4.334,2,19.058,2.137,0.828,3.1821,2.328,3.328,0,1
5.4810,16.8021,-0.0947,4.333,2,19.058,2.137,0.828,3.1734,2.328,3.328,0,1
5.4840,16.8151,-0.0955,4.331,2,19.058,2.137,0.828,3.1648,2.328,3.328,0,1
5.4870,16.8281,-0.0964,4.331,2,19.058,2.137,0.828,3.1562,2.328,3.328,0,1
5.4900,16.8411,-0.0972,4.333,2,19.058,2.137,0.828,3.1476,2.328,3.328,0,1
5.4930,16.8541,-0.0980,4.334,2,19.058,2.137,0.828,3.1390,2.328,3.328,0,1
5.4960,16.8671,-0.0988,4.334,2,19.058,2.137,0.828,3.1305,2.328,3.328,0,1
5.4990,16.8801,-0.0996,4.334,2,19.058,2.137,0.828,3.1220,2.328,3.328,0,1
5.5020,16.8930,-0.1004,4.332,2,19.058,2.137,0.828,3.1135,2.328,3.328,0,1
5.5050,16.9060,-0.1011,4.332,2,19.058,2.137,0.828,3.1050,2.328,3.328,0,1
5.5080,16.9190,-0.1019,4.332,2,19.058,2.137,0.828,3.0966,2.328,3.328,0,1
5.5110,16.9320,-0.1027,4.334,2,19.058,2.137,0.828,3.0882,2.328,3.328,0,1
5.5140,16.9450,-0.1034,4.332,2,19.058,2.137,0.828,3.0798,2.328,3.328,0,1
5.5170,16.9580,-0.1042,4.333,2,19.058,2.137,0.828,3.0715,2.328,3.328,0,1
5.5200,16.9709,-0.1049,4.333,2,19.058,2.137,0.828,3.0632,2.328,3.328,0,1
5.5230,16.9839,-0.1056,4.332,2,19.058,2.137,0.828,3.0549,2.328,3.328,0,1
5.5260,16.9969,-0.1064,4.333,2,19.058,2.137,0.828,3.0466,2.328,3.328,0,1
5.5290,17.0099,-0.1071,4.332,2,19.058,2.137,0.828,3.0384,2.328,3.328,0,1
5.5320,17.0229,-0.1078,4.333,2,19.058,2.137,0.828,3.0302,2.328,3.328,0,1
5.5350,17.0358,-0.1085,4.333,2,19.058,2.137,0.828,3.0220,2.328,3.328,0,1
5.5380,17.0488,-0.1092,4.332,2,19.058,2.137,0.828,3.0138,2.328,3.328,0,1
5.5410,17.0618,-0.1099,4.330,2,19.058,2.137,0.828,3.0057,2.328,3.328,0,1
5.5440,17.0748,-0.1106,4.333,2,19.058,2.137,0.828,2.9976,2.328,3.328,0,1
5.5470,17.0877,-0.1113,4.333,2,19.058,2.137,0.828,2.9896,2.328,3.328,0,1
5.5500,17.1007,-0.1119,4.335,2,19.058,2.137,0.828,2.9815,2.328,3.328,0,1
5.5530,17.1137,-0.1126,4.315,2,19.058,2.137,0.828,2.9736,2.328,3.328,0,1
5.5560,17.1266,-0.1132,4.326,2,19.058,2.137,0.828,2.9656,2.328,3.328,0,1
5.5590,17.1396,-0.1139,4.321,2,19.058,2.137,0.828,2.9577,2.328,3.328,0,1
5.5620,17.1525,-0.1145,4.325,2,19.058,2.137,0.828,2.9498,2.328,3.328,0,1
5.5650,17.1655,-0.1152,4.326,2,19.058,2.137,0.828,2.9419,2.328,3.328,0,1
5.5680,17.1785,-0.1158,4.328,2,19.058,2.137,0.828,2.9340,2.328,3.328,0,1
5.5710,17.1914,-0.1164,4.329,2,19.058,2.137,0.828,2.9262,2.328,3.328,0,1
5.5740,17.2044,-0.1170,4.329,2,19.058,2.137,0.828,2.9184,2.328,3.328,0,1
5.5770,17.2174,-0.1176,4.330,2,19.058,2.137,0.828,2.9106,2.328,3.328,0,1
5.5800,17.2304,-0.1181,4.329,2,19.058,2.137,0.828,2.9029,2.328,3.328,0,1
5.5830,17.2433,-0.1187,4.329,2,19.058,2.137,0.828,2.8952,2.328,3.328,0,1
5.5860,17.2563,-0.1193,4.332,2,19.058,2.137,0.828,2.8875,2.328,3.328,0,1
5.5890,17.2693,-0.1199,4.331,2,19.058,2.137,0.828,2.8799,2.328,3.328,0,1
5.5920,17.2823,-0.1205,4.329,2,19.058,2.137,0.828,2.8723,2.328,3.328,0,1
5.5950,17.2952,-0.1211,4.321,2,19.058,2.137,0.828,2.8648,2.328,3.328,0,1
5.5980,17.3082,-0.1217,4.326,2,19.058,2.137,0.828,2.8573,2.328,3.328,0,1
5.6010,17.3211,-0.1223,4.325,2,19.058,2.137,0.828,2.8499,2.328,3.328,0,1
5.6040,17.3341,-0.1229,4.323,2,19.058,2.137,0.828,2.8425,2.328,3.328,0,1
5.6070,17.3470,-0.1235,4.321,2,19.058,2.137,0.828,2.8352,2.328,3.328,0,1
5.6100,17.3600,-0.1241,4.324,2,19.058,2.137,0.828,2.8279,2.328,3.328,0,1
5.6130,17.3729,-0.1248,4.320,2,19.058,2.137,0.828,2.8206,2.328,3.328,0,1
5.6160,17.3859,-0.1255,4.319,2,19.058,2.137,0.828,2.8135,2.328,3.328,0,1
