time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.793971,0.000000,0.000000,0.000000
0.102000,0.055424,0.000004,1.677832,-0.000078,-0.000750,0.000131,0.000356,0.000000,0.164883,0.000000,0,0,16.794537,0.000000,0.000000,0.000000
0.204000,0.055295,0.000018,1.522611,0.000532,-0.000024,0.000844,0.000373,0.000000,0.284762,0.000000,0,0,16.794664,0.000000,0.000000,0.000000
0.306000,0.055218,0.000063,1.263977,0.000583,0.000203,0.003640,0.000418,0.000000,0.423767,0.000000,0,0,16.794736,0.000000,0.000000,0.000000
0.408000,0.055223,0.000203,0.904401,0.009735,0.011714,0.013757,0.006273,0.000000,0.552188,0.000000,0,0,16.794715,0.000000,0.000000,0.000000
0.510000,0.062700,0.001186,0.642912,0.078174,0.121973,0.029307,0.021238,0.000000,0.686176,0.000000,0,0,16.787175,0.000000,0.000000,0.000000
0.612000,0.064872,0.003367,0.717490,-0.004647,-0.047530,0.025112,-0.009060,0.000000,0.787730,0.000000,0,0,16.784773,0.000000,0.000000,0.000000
0.714000,0.065084,0.008187,0.791190,0.045388,0.031463,0.054827,-0.024642,0.000000,0.863661,0.000000,0,0,16.784024,0.000000,0.000000,0.000000
0.816000,0.076758,0.010955,0.787372,0.234348,0.236924,-0.008782,0.024270,0.000000,0.912430,0.000000,0,0,16.772115,0.000000,0.000000,0.000000
0.918000,0.122542,0.010519,0.770933,0.638411,0.637518,-0.007719,-0.003557,0.000000,0.940919,0.000000,0,0,16.726665,0.000000,0.000000,0.000000
1.020000,0.206517,0.012441,0.786442,1.003925,0.997386,0.033256,0.010966,0.000000,0.962053,0.000000,0,0,16.643001,0.000000,0.000000,0.000000
1.122000,0.324692,0.017934,0.815732,1.316481,1.310548,0.055256,0.009838,0.000000,0.974398,0.000000,0,0,16.524956,0.000000,0.000000,0.000000
1.224000,0.472636,0.025648,0.843887,1.594771,1.592539,0.072037,0.012753,0.000000,0.983556,0.000000,0,0,16.377084,0.000000,0.000000,0.000000
1.326000,0.649045,0.034416,0.862660,1.856905,1.858573,0.072225,0.017825,0.000000,0.988906,0.000000,0,0,16.200817,0.000000,0.000000,0.000000
1.428000,0.851646,0.042493,0.867773,2.097260,2.107136,0.061787,0.019536,0.000000,0.992874,0.000000,0,0,15.998614,0.000000,0.000000,0.000000
1.530000,1.080105,0.049966,0.863934,2.354375,2.363489,0.056872,0.016382,0.000000,0.995192,0.000000,0,0,15.770808,0.000000,0.000000,0.000000
1.632000,1.335115,0.057600,0.857361,2.627280,2.627035,0.050015,0.020044,0.000000,0.996912,0.000000,0,0,15.516631,0.000000,0.000000,0.000000
1.734000,1.616119,0.065274,0.856009,2.872158,2.868860,0.041551,0.025666,0.000000,0.997917,0.000000,0,0,15.236666,0.000000,0.000000,0.000000
1.836000,1.920208,0.074154,0.855982,3.085905,3.088666,0.046162,0.029124,0.000000,0.998662,0.000000,0,0,14.933673,0.000000,0.000000,0.000000
1.938000,2.247090,0.084201,0.852208,3.312805,3.310671,0.041845,0.028288,0.000000,0.999097,0.000000,0,0,14.607958,0.000000,0.000000,0.000000
2.040000,2.594157,0.094553,0.848706,3.480292,3.486526,0.027714,0.028579,0.000000,0.999420,0.000000,0,0,14.262225,0.000000,0.000000,0.000000
2.142000,2.957819,0.105021,0.845955,3.650568,3.647672,0.013323,0.014111,-0.002196,0.999938,0.000000,0,0,13.900077,0.000000,0.000000,0.000000
2.244000,3.336424,0.115077,0.828817,3.801577,3.738990,0.013617,0.004261,0.000000,0.999726,0.000000,0,0,13.523236,0.000000,0.000000,0.000000
2.346000,3.718882,0.126413,0.795982,3.720694,3.745896,0.033409,0.002762,-0.020027,0.999955,0.000000,0,0,13.142503,0.000000,0.000000,0.000000
2.448000,4.104585,0.139887,0.805964,3.801371,3.839373,0.042792,0.019136,0.054003,0.999065,0.000000,0,0,12.758364,0.000000,0.000000,0.000000
2.550000,4.501177,0.155578,0.826936,3.947628,3.938479,0.040041,0.025758,0.001948,0.993777,0.000000,0,0,12.363231,0.000000,0.000000,0.000000
2.652000,4.906737,0.170341,0.839219,4.025550,4.014456,0.003290,-0.009199,-0.083023,0.974013,0.000000,0,0,11.959442,0.000000,0.000000,0.000000
2.754000,5.319968,0.180341,0.836707,4.097993,4.088050,-0.048803,-0.025919,-0.161498,0.958764,0.000000,0,0,11.548848,0.000000,0.000000,0.000000
2.856000,5.739560,0.181797,0.827803,4.127646,4.130972,-0.138362,-0.052086,-0.279470,0.936047,0.000000,0,0,11.133366,0.000000,0.000000,0.000000
2.958000,6.164216,0.172315,0.822996,4.183335,4.185736,-0.190006,-0.087821,-0.170873,0.917847,0.000000,0,0,10.714784,0.000000,0.000000,0.000000
3.060000,6.593230,0.159160,0.824580,4.218013,4.222519,-0.155258,-0.064102,-0.076937,0.900308,0.000000,0,0,10.292885,0.000000,0.000000,0.000000
3.162000,7.026144,0.148079,0.827483,4.264926,4.263912,-0.102698,-0.034918,-0.037364,0.883162,0.000000,0,0,9.867311,0.000000,0.000000,0.000000
3.264000,7.462678,0.141286,0.826019,4.298356,4.292855,-0.033880,-0.002365,0.030017,0.877806,0.000000,0,0,9.437986,0.000000,0.000000,0.000000
3.366000,7.900655,0.139356,0.825019,4.285718,4.291181,-0.016629,-0.007767,-0.063796,0.857482,0.000000,0,0,9.006939,0.000000,0.000000,0.000000
3.468000,8.337920,0.136891,0.832128,4.282048,4.288859,-0.031009,-0.041101,-0.007221,0.864238,0.000000,0,0,8.577242,0.000000,0.000000,0.000000
3.570000,8.776034,0.131990,0.839051,4.305952,4.308483,-0.022604,-0.020639,0.023841,0.874689,0.000000,0,0,8.147804,0.000000,0.000000,0.000000
3.672000,9.217192,0.128198,0.836039,4.336701,4.338138,0.003327,0.026215,-0.055285,0.883388,0.000000,0,0,7.715914,0.000000,0.000000,0.000000
3.774000,9.660575,0.122915,0.827084,4.349165,4.349845,-0.047410,-0.005764,-0.072219,0.899752,0.000000,0,0,7.283003,0.000000,0.000000,0.000000
3.876000,10.104040,0.113697,0.823751,4.346205,4.344392,-0.069064,-0.041083,-0.025066,0.931976,0.000000,0,0,6.851882,0.000000,0.000000,0.000000
3.978000,10.547160,0.102304,0.827081,4.348887,4.349779,-0.067285,-0.032073,0.015014,0.953866,0.000000,0,0,6.422846,0.000000,0.000000,0.000000
4.080000,10.991609,0.091719,0.827566,4.370875,4.366416,-0.033331,0.002918,0.011148,0.970634,0.000000,0,0,5.993814,0.000000,0.000000,0.000000
4.182000,11.437248,0.084297,0.825041,4.371688,4.369227,0.001231,-0.001303,-0.003017,0.975372,0.000000,0,0,5.564531,0.000000,0.000000,0.000000
4.284000,11.881981,0.079858,0.825499,4.346019,4.352043,0.024363,-0.012975,0.055267,0.981247,0.000000,0,0,5.137219,0.000000,0.000000,0.000000
4.386000,12.325364,0.078489,0.830306,4.347442,4.343741,0.057893,0.022827,0.016131,0.969916,0.000000,0,0,4.712462,0.000000,0.000000,0.000000
4.488000,12.768372,0.077700,0.834944,4.357081,4.345291,0.040012,0.012054,0.028868,0.964711,0.000000,0,0,4.290324,0.000000,0.000000,0.000000
4.590000,13.212552,0.076247,0.835353,4.370879,4.363477,0.026329,0.012987,0.007320,0.957040,0.000000,0,0,3.870216,0.000000,0.000000,0.000000
4.692000,13.658319,0.073734,0.833880,4.374811,4.375087,0.013123,0.007018,-0.234770,0.939945,0.000000,0,0,3.452603,0.000000,0.000000,0.000000
4.794000,14.104766,0.065013,0.830629,4.371249,4.371816,-0.082837,-0.082185,-0.319600,0.853940,0.000000,0,0,3.041286,0.000000,0.000000,0.000000
4.896000,14.549059,0.044486,0.830848,4.347773,4.343813,-0.163050,-0.142296,-0.358839,0.899943,0.000000,0,0,2.642973,0.000000,0.000000,0.000000
4.998000,14.989713,0.009788,0.835555,4.318381,4.315158,-0.246775,-0.173873,-0.412582,0.832732,0.000000,0,0,2.262993,0.000000,0.000000,0.000000
5.100000,15.427038,-0.039932,0.843130,4.303949,4.308934,-0.278926,-0.152038,-0.213190,0.850034,0.000000,0,0,1.905670,0.000000,0.000000,0.000000
5.202000,15.865637,-0.093072,0.848270,4.324610,4.324023,-0.239776,-0.166262,-0.269716,0.862227,0.000000,0,0,1.566260,0.000000,0.000000,0.000000
5.304000,16.302942,-0.150451,0.852781,4.310913,4.316344,-0.183306,-0.143610,-0.175605,0.856953,0.000000,0,0,1.252984,0.000000,0.000000,0.000000
5.406000,16.739284,-0.209639,0.858195,4.319257,4.320552,-0.154429,-0.143080,0.586546,0.897609,0.000000,0,4,0.971036,0.000000,0.000000,0.000000
5.508000,17.175097,-0.263151,0.861812,4.282337,4.284558,0.004285,0.044961,0.835379,0.802511,0.000000,0,38,0.722628,0.000000,0.000000,0.000000
5.610000,17.607445,-0.298898,0.866996,4.221758,4.221303,0.153861,0.182906,0.907420,0.838153,0.000000,0,72,0.507099,0.000000,0.000000,0.000000
5.712000,18.034871,-0.311691,0.871346,4.167178,4.167565,0.278542,0.238894,0.727031,0.751661,0.000000,0,106,0.325819,0.000000,0.000000,0.000000
5.814000,18.460110,-0.303822,0.874058,4.138695,4.139910,0.375118,0.276814,0.918005,0.729772,0.000000,0,140,0.184917,0.000000,0.000000,0.000000
5.916000,18.882281,-0.272886,0.874577,4.137460,4.137101,0.462769,0.310557,0.627413,0.790643,0.000000,0,174,0.088172,0.000000,0.000000,0.000000
6.018000,19.305771,-0.225707,0.870415,4.160111,4.155099,0.474070,0.340240,0.858534,0.767228,0.000000,0,208,0.047502,0.000000,0.000000,0.000000
6.120000,19.726084,-0.159451,0.869680,4.121468,4.130932,0.513104,0.374603,0.769809,0.783594,0.000000,0,242,0.063449,0.000000,0.000000,0.000000
6.222000,20.141359,-0.074958,0.877807,4.092839,4.111489,0.543699,0.381583,0.858167,0.847166,0.000000,0,276,0.134762,0.000000,0.000000,0.000000
