step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.041,0.048,0.77,1.765,0.00,3,18,10.00,5.63,+0.000,0.378,0.008,+0.000,0.378,0.008,0,8.022,10.53,0.000
40,4.111,0.171,3.36,0.250,27.74,3,18,10.00,3.65,+0.988,0.216,0.039,+0.988,0.216,0.039,0,8.666,10.56,0.000
45,4.241,0.216,4.50,0.569,24.96,3,18,10.00,3.84,+0.889,0.765,0.005,+0.884,0.760,0.000,1,5.539,75.39,0.000
46,4.307,0.238,5.05,0.809,23.12,3,18,10.00,3.97,+0.824,0.798,0.004,+0.828,0.786,0.000,1,5.544,49.11,0.000
47,4.396,0.268,5.74,1.041,16.10,3,18,10.00,4.56,+0.574,0.897,0.002,+0.579,0.895,0.000,1,4.499,47.45,0.000
48,4.506,0.304,6.56,1.257,14.83,3,18,10.00,4.69,+0.528,0.931,0.002,+0.528,0.935,0.000,1,4.198,46.98,0.000
49,4.638,0.346,7.39,1.479,9.61,3,18,10.00,5.22,+0.342,0.941,0.001,+0.338,0.940,0.000,1,3.320,46.73,0.000
50,4.789,0.391,8.32,1.667,4.50,3,18,10.00,5.63,+0.160,0.918,0.001,+0.155,0.916,0.000,1,2.620,47.51,0.000
51,4.958,0.440,9.22,1.849,-0.60,3,18,10.00,5.63,-0.021,0.874,0.000,+0.017,0.871,0.000,1,2.082,47.42,0.001
52,5.143,0.491,9.98,2.022,-5.71,3,18,10.00,5.58,-0.203,0.808,0.000,-0.169,0.812,0.000,1,1.792,47.16,0.003
53,5.344,0.543,10.61,2.160,-11.45,3,18,10.00,5.03,-0.408,0.721,0.000,-0.409,0.715,0.000,1,1.914,46.54,0.000
54,5.558,0.595,11.01,2.283,-12.81,3,18,10.00,4.89,-0.456,0.634,0.000,-0.458,0.631,0.000,1,1.587,47.76,0.000
60,7.107,0.887,11.06,3.024,-1.48,3,18,10.00,5.61,-0.053,0.333,0.119,-0.053,0.333,0.119,0,0.371,8.38,0.000
61,7.406,0.947,11.22,3.127,-6.58,3,18,10.00,5.49,-0.235,0.312,0.125,-0.823,0.228,0.000,1,-0.332,46.78,0.303
62,7.714,1.007,11.21,3.207,-4.67,3,18,10.00,5.61,-0.166,0.291,0.123,+0.245,0.099,0.000,1,-0.323,48.93,0.522
63,8.031,1.058,10.43,3.271,-9.77,3,18,10.00,5.19,-0.348,0.274,0.113,-0.168,0.091,0.000,1,-0.258,48.66,0.324
64,8.353,1.111,10.34,3.332,-14.88,3,18,10.00,4.67,-0.530,0.259,0.110,-0.593,0.130,0.000,1,-0.477,47.73,0.042
65,8.681,1.162,10.06,3.342,-19.98,3,18,10.00,4.21,-0.712,0.246,0.119,-0.786,0.140,0.000,1,-0.473,47.05,0.042
66,9.008,1.204,9.34,3.302,-25.09,3,18,10.00,3.82,-0.894,0.234,0.140,-0.943,0.120,0.000,1,-0.436,48.62,0.043
67,9.332,1.234,8.43,3.254,-24.45,3,18,10.00,3.87,-0.871,0.221,0.167,-0.873,0.068,0.000,1,-0.435,47.96,0.044
68,9.652,1.250,7.35,3.200,-24.45,3,18,10.00,3.87,-0.871,0.210,0.180,-0.823,0.030,0.000,1,-0.435,47.44,0.051
69,9.968,1.254,6.18,3.140,-28.07,3,18,10.00,3.63,-1.000,0.199,0.175,-0.893,0.042,0.000,1,-0.403,47.58,0.048
70,10.277,1.249,4.89,3.045,-27.44,3,18,10.00,3.67,-0.977,0.189,0.156,-0.920,0.053,0.000,1,-0.369,48.52,0.023
71,10.575,1.233,3.46,2.930,-28.07,3,18,10.00,3.63,-1.000,0.180,0.128,-0.947,0.072,0.000,1,-0.310,47.53,0.017
72,10.860,1.208,1.92,2.814,-25.52,3,18,10.00,3.80,-0.909,0.172,0.093,-0.908,0.087,0.000,1,-0.309,47.39,0.009
73,11.134,1.173,0.37,2.710,-27.44,3,18,10.00,3.67,-0.977,0.178,0.059,-0.963,0.113,0.000,1,-0.227,46.66,0.004
74,11.398,1.130,-1.17,2.609,-26.16,3,18,10.00,3.75,-0.932,0.231,0.039,-0.941,0.192,0.000,1,-0.191,48.04,0.002
75,11.650,1.078,-2.78,2.526,-23.61,3,18,10.00,3.93,-0.841,0.307,0.026,-0.844,0.285,0.000,1,-0.178,47.47,0.002
76,11.894,1.019,-4.46,2.490,-26.16,4,18,10.00,3.75,-0.932,0.398,0.017,-0.961,0.386,0.000,1,-0.139,46.91,0.001
77,12.136,0.954,-6.13,2.499,-28.07,4,18,10.00,3.63,-1.000,0.513,0.011,-0.966,0.501,0.000,1,-0.148,46.91,0.001
78,12.378,0.880,-7.90,2.550,-28.07,4,18,10.00,3.63,-1.000,0.610,0.008,-0.814,0.568,0.000,1,-0.213,48.55,0.003
79,12.626,0.797,-9.77,2.670,-28.07,4,18,10.00,3.63,-1.000,0.738,0.005,-0.836,0.617,0.000,1,-0.236,47.84,0.029
80,12.884,0.705,-11.61,2.812,-28.07,4,18,10.00,3.63,-1.000,0.826,0.003,-0.882,0.519,0.000,1,-0.254,47.29,0.728
81,13.155,0.603,-13.46,2.970,-28.07,4,18,10.00,3.63,-1.000,0.890,0.002,-0.786,0.390,0.000,1,-0.260,46.87,0.878
82,13.437,0.490,-15.39,3.113,-28.07,4,18,10.00,3.63,-1.000,0.924,0.001,-0.845,0.464,0.000,1,-0.269,48.72,0.976
