sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778840068.212395,0,1.678172,-0.040781,0.005118,-0.0077,-0.0863,-0.000190,1.648994,-0.000000,-0.000000,-0.0020,1.678071,-0.041501,0.005103,-0.0048,-0.0004,-0.000016,-0.107717,0.0000,1.678071,0.000000,-0.000000,5.0000,0.000000,2.000000,3417.6873,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0722,0.0000,0.000000,0.2000,17.07,9.25,43.39,5.03,-0.000000,-0.0000,-5.0020,nan,nan,nan,nan,nan,nan,0.0,0.0,-42.91517787400551,222.90358573507822,0.171593,0.170376,6559.2,6061.3,-0.047561,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778840068.218085,1,1.618167,0.007298,0.001485,-0.0439,-0.0119,-0.000385,1.648913,-0.000001,-0.000000,-0.0094,1.618113,0.006700,0.001472,-0.0022,-0.0005,-0.000023,-0.016168,0.0000,1.618113,0.000000,0.000000,5.0000,0.000000,2.000000,3348.5364,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0784,0.0000,0.000000,0.2240,15.20,8.31,38.72,2.95,-0.000001,-0.0000,-5.0094,nan,nan,nan,nan,nan,nan,0.0,0.0,-28.61286334678529,191.59706567420167,0.143609,0.142135,6556.1,6064.4,-0.042165,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778840068.221910,2,1.645528,-0.025852,-0.003027,-0.0336,-0.0227,0.000374,1.648775,-0.000002,-0.000002,-0.0125,1.645495,-0.026365,-0.003038,-0.0015,-0.0009,-0.000038,-0.008440,0.0000,1.645495,0.000000,0.000000,5.0000,0.000000,2.000000,3349.1980,4,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0854,0.0000,0.000000,0.2480,12.99,7.53,33.50,3.09,-0.000002,-0.0001,-5.0125,nan,nan,nan,nan,nan,nan,0.0,0.0,-8.955739850688573,177.07394048631915,0.124532,0.123808,6551.5,6069.1,-0.034003,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778840068.233981,3,1.724974,0.024086,-0.002022,-0.0106,0.0124,-0.000250,1.648627,-0.000005,-0.000003,-0.0122,1.724959,0.023696,-0.002031,-0.0007,-0.0012,-0.000050,0.006649,0.0000,1.724959,0.000000,-0.000000,5.0000,0.000000,2.000000,3062.7153,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0931,0.0000,0.000000,0.2720,11.12,7.59,29.83,7.97,-0.000005,-0.0002,-5.0122,nan,nan,nan,nan,nan,nan,0.0,0.0,-2.989599050138821,149.89938645096566,0.095996,0.095091,6545.4,6075.2,-0.023344,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778840068.245981,4,1.633484,-0.004673,0.011244,0.0216,-0.0666,0.001397,1.648492,-0.000007,-0.000005,-0.0105,1.633597,-0.005083,0.011236,0.0042,-0.0019,-0.000077,0.028638,0.0000,1.633597,0.000000,0.000000,5.0000,0.000000,2.000000,3003.0696,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1014,0.0000,0.000000,0.2960,9.52,7.22,26.27,5.13,-0.000007,-0.0003,-5.0105,nan,nan,nan,nan,nan,nan,0.0,0.0,43.53247450258306,186.5746303802789,0.102218,0.103257,6538.2,6082.4,-0.010881,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778840068.258025,5,1.691078,-0.034158,-0.007057,0.0242,-0.0475,0.002723,1.648463,-0.000004,-0.000003,0.0003,1.691277,-0.034555,-0.007063,0.0092,-0.0027,-0.000107,0.073672,0.0000,1.691277,0.000000,-0.000000,5.0000,0.000000,2.000000,2989.4016,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1104,0.0000,0.000000,0.3200,8.18,6.91,23.26,5.11,-0.000004,-0.0002,-4.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,107.50069382581066,237.00205450958813,0.099088,0.103370,6525.2,6095.3,0.011707,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778840068.269960,6,1.661263,0.081783,0.011661,0.0249,-0.0380,0.000267,1.648468,0.000001,-0.000000,0.0003,1.661518,0.081419,0.011656,0.0128,-0.0036,-0.000134,0.091237,0.0000,1.661518,0.000000,-0.000000,5.0000,0.000000,2.000000,2985.2452,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1200,0.0000,0.000000,0.3440,7.02,6.64,20.69,5.15,0.000001,-0.0000,-4.9997,nan,nan,nan,nan,nan,nan,0.0,0.0,127.5319078832378,252.2430783562403,0.094447,0.098242,6519.5,6101.1,0.021778,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778840068.281972,7,1.636256,-0.059007,-0.001825,-0.0785,0.0412,-0.001346,1.648453,0.000006,0.000003,-0.0009,1.636441,-0.059238,-0.001829,0.0108,-0.0030,-0.000112,0.106714,0.0000,1.636441,0.000000,0.000000,5.0000,0.000000,2.000000,2980.0798,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1302,0.0000,0.000000,0.3680,6.05,6.45,18.54,5.34,0.000006,0.0002,-5.0009,nan,nan,nan,nan,nan,nan,0.0,0.0,65.92850376233068,191.74370427451575,0.061211,0.062574,6514.4,6106.1,0.030573,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778840068.293936,8,1.653277,-0.033039,-0.004273,0.1083,-0.0007,0.000623,1.648434,0.000014,0.000007,-0.0008,1.653768,-0.033221,-0.004275,0.0301,-0.0031,-0.000102,0.124837,0.0000,1.653768,0.000000,0.000000,5.0000,0.000000,2.000000,2974.1607,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1409,0.0000,0.000000,0.3920,5.21,6.33,16.75,5.65,0.000014,0.0004,-5.0008,nan,nan,nan,nan,nan,nan,0.0,0.0,49.44701626860832,175.9703372102927,0.049286,0.051180,6508.9,6111.7,0.040226,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778840068.308078,9,1.576266,0.003972,0.002443,0.0307,-0.0365,0.000700,1.648415,0.000021,0.000011,-0.0007,1.576723,0.003783,0.002441,0.0308,-0.0041,-0.000131,0.143549,0.0000,1.576723,0.000000,0.000000,5.0000,0.000000,2.000000,2968.5856,0,1,clay,1.0000,0.500000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1521,0.0000,0.000000,0.4160,4.51,6.30,15.32,6.11,0.000021,0.0006,-5.0007,0.008000,0.158396,-0.1530,-0.471215,-0.027327,0.000270,0.0,0.0,79.21032118549326,208.9272084631723,0.053432,0.055851,6503.4,6117.2,0.049829,0.000000,0.000000,0.5000,1.0000,,,,,
