step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.315,0.052,0.81,2.492,0.00,3,18,27.00,7.60,+0.000,0.360,0.035,+0.000,0.360,0.035,0,7.521,7.91,0.000
40,4.413,0.247,5.07,0.403,24.63,3,18,27.00,5.41,+0.877,0.396,0.022,+0.877,0.396,0.022,0,8.070,7.67,0.000
50,5.908,0.734,12.64,2.853,-4.57,3,18,27.00,7.57,-0.163,0.765,0.000,+0.002,0.802,0.000,1,0.712,49.17,0.018
51,6.193,0.803,12.68,3.053,0.53,3,18,27.00,7.55,+0.019,0.679,0.000,+0.020,0.676,0.000,1,0.456,47.64,0.000
60,9.186,1.903,22.74,3.647,21.57,3,18,27.00,5.64,+0.768,0.321,0.120,+0.768,0.321,0.120,0,2.212,8.60,0.000
78,12.918,4.834,36.15,2.635,-28.07,4,18,27.00,5.07,-1.000,0.784,0.004,-0.980,0.781,0.000,1,1.281,48.21,0.000
79,13.155,4.963,34.70,2.783,-28.07,4,18,27.00,5.06,-1.000,0.778,0.003,-0.978,0.788,0.000,1,1.319,47.11,0.000
80,13.413,5.088,32.98,2.958,-28.07,4,18,27.00,5.06,-1.000,0.739,0.002,-0.910,0.740,0.000,1,1.320,46.97,0.000
81,13.693,5.210,31.11,3.151,-28.07,4,18,27.00,5.05,-1.000,0.672,0.001,-0.974,0.682,0.000,1,1.355,46.89,0.000
82,13.996,5.327,29.22,3.329,-28.07,4,18,27.00,5.04,-1.000,0.598,0.001,-0.943,0.601,0.000,1,1.325,49.49,0.000
94,18.384,6.298,12.49,4.092,-1.04,5,18,27.00,7.46,-0.037,0.911,0.000,-0.033,0.914,0.000,1,2.484,67.84,0.000
96,19.179,6.480,12.46,4.145,-7.75,5,18,27.00,7.21,-0.276,0.961,0.000,-0.282,0.960,0.000,1,2.045,47.46,0.000
97,19.582,6.563,12.00,4.177,-10.94,5,18,27.00,6.83,-0.390,0.975,0.000,-0.374,0.973,0.000,1,1.006,47.17,0.000
98,19.990,6.634,11.44,4.184,-9.66,5,18,27.00,6.99,-0.344,0.984,0.000,-0.347,0.988,0.000,1,2.115,47.67,0.000
99,20.402,6.693,10.65,4.206,-12.50,5,18,27.00,6.64,-0.445,0.989,0.000,-0.449,0.977,0.000,1,1.080,47.61,0.000
100,20.817,6.743,9.73,4.224,-11.23,5,18,27.00,6.80,-0.400,0.993,0.000,-0.410,0.985,0.000,1,1.187,47.13,0.000
101,21.236,6.781,8.57,4.248,-14.45,5,18,27.00,6.40,-0.515,0.995,0.000,-0.490,0.979,0.000,1,0.914,47.21,0.000
102,21.657,6.809,7.32,4.243,-16.35,5,18,27.00,6.18,-0.582,0.997,0.000,-0.606,0.954,0.000,1,0.349,48.04,0.007
103,22.077,6.826,5.90,4.227,-20.17,5,18,27.00,5.76,-0.719,0.998,0.000,-0.652,0.949,0.000,1,0.437,47.93,0.001
104,22.496,6.828,4.28,4.201,-17.62,5,18,27.00,6.04,-0.628,0.999,0.000,-0.779,0.934,0.000,1,0.454,47.15,0.006
105,22.913,6.815,2.59,4.177,-17.88,5,18,27.00,6.01,-0.637,0.999,0.000,-0.588,0.946,0.000,1,0.547,46.73,0.011
106,23.326,6.785,0.66,4.155,-12.77,5,18,27.00,6.61,-0.455,0.999,0.000,-0.450,0.985,0.000,1,1.159,54.80,0.000
107,23.737,6.743,-1.09,4.159,-10.22,5,18,27.00,6.92,-0.364,1.000,0.000,-0.362,0.997,0.000,1,1.125,47.67,0.000
108,24.148,6.693,-2.55,4.171,-7.67,5,18,27.00,7.21,-0.273,1.000,0.000,-0.275,0.997,0.000,1,1.320,47.67,0.000
109,24.559,6.638,-3.79,4.185,-6.87,5,18,27.00,7.29,-0.245,1.000,0.000,-0.245,0.991,0.000,1,1.423,47.41,0.000
110,24.972,6.583,-4.79,4.203,-2.26,5,18,27.00,7.46,-0.081,1.000,0.000,-0.078,0.999,0.000,1,1.764,48.87,0.000
111,25.385,6.528,-5.57,4.224,-3.54,5,18,27.00,7.45,-0.126,1.000,0.000,-0.129,1.000,0.000,1,1.864,48.72,0.000
112,25.800,6.475,-6.00,4.231,-3.84,5,18,27.00,7.45,-0.137,1.000,0.000,-0.142,1.000,0.000,1,1.837,48.13,0.000
113,26.216,6.421,-6.43,4.230,-6.38,5,18,27.00,7.34,-0.227,1.000,0.000,-0.228,0.989,0.000,1,1.638,47.19,0.000
114,26.630,6.365,-6.94,4.226,-8.51,5,18,27.00,7.12,-0.303,1.000,0.000,-0.306,0.997,0.000,1,1.639,48.34,0.000
