time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
7.1190,13.9319,4.1559,3.958,4,15.955,1.813,0.597,3.0956,2.097,3.097,0,1
7.1220,13.9433,4.1592,3.956,4,15.955,1.813,0.597,3.0907,2.097,3.097,0,1
7.1250,13.9548,4.1625,3.956,4,15.955,1.813,0.597,3.0858,2.097,3.097,0,1
7.1280,13.9663,4.1658,3.955,4,15.955,1.813,0.597,3.0809,2.097,3.097,0,1
7.1310,13.9777,4.1691,3.955,4,15.955,1.813,0.597,3.0760,2.097,3.097,0,1
7.1340,13.9892,4.1723,3.952,4,15.955,1.813,0.597,3.0711,2.097,3.097,0,1
7.1370,14.0006,4.1756,3.951,4,15.955,1.813,0.597,3.0663,2.097,3.097,0,1
7.1400,14.0121,4.1788,3.948,4,15.955,1.813,0.597,3.0615,2.097,3.097,0,1
7.1430,14.0236,4.1820,3.948,4,15.955,1.813,0.597,3.0567,2.097,3.097,0,1
7.1460,14.0351,4.1851,3.946,4,15.955,1.813,0.597,3.0519,2.097,3.097,0,1
7.1490,14.0465,4.1883,3.944,4,15.955,1.813,0.597,3.0471,2.097,3.097,0,1
7.1520,14.0580,4.1914,3.942,4,15.955,1.813,0.597,3.0424,2.097,3.097,0,1
7.1550,14.0695,4.1945,3.939,4,15.955,1.813,0.597,3.0377,2.097,3.097,0,1
7.1580,14.0810,4.1976,3.940,4,15.955,1.813,0.597,3.0330,2.097,3.097,0,1
7.1610,14.0925,4.2006,3.938,4,15.955,1.813,0.597,3.0283,2.097,3.097,0,1
7.1640,14.1040,4.2037,3.937,4,15.955,1.813,0.597,3.0237,2.097,3.097,0,1
7.1670,14.1155,4.2067,3.934,4,15.955,1.813,0.597,3.0190,2.097,3.097,0,1
7.1700,14.1270,4.2096,3.933,4,15.955,1.813,0.597,3.0144,2.097,3.097,0,1
7.1730,14.1384,4.2126,3.930,4,15.955,1.813,0.597,3.0098,2.097,3.097,0,1
7.1760,14.1499,4.2156,3.928,4,15.955,1.813,0.597,3.0053,2.097,3.097,0,1
7.1790,14.1614,4.2185,3.925,4,15.955,1.813,0.597,3.0007,2.097,3.097,0,1
7.1820,14.1729,4.2214,3.924,4,15.955,1.813,0.597,2.9962,2.097,3.097,0,1
7.1850,14.1844,4.2242,3.922,4,15.955,1.813,0.597,2.9916,2.097,3.097,0,1
7.1880,14.1960,4.2271,3.920,4,15.955,1.813,0.597,2.9871,2.097,3.097,0,1
7.1910,14.2075,4.2299,3.920,4,15.955,1.813,0.597,2.9827,2.097,3.097,0,1
7.1940,14.2190,4.2327,3.923,4,15.955,1.813,0.597,2.9782,2.097,3.097,0,1
7.1970,14.2305,4.2355,3.923,4,15.955,1.813,0.597,2.9738,2.097,3.097,0,1
7.2000,14.2421,4.2382,3.922,4,15.955,1.813,0.597,2.9694,2.097,3.097,0,1
7.2030,14.2536,4.2410,3.917,4,15.955,1.813,0.597,2.9650,2.097,3.097,0,1
7.2060,14.2651,4.2437,3.918,4,15.955,1.813,0.597,2.9606,2.097,3.097,0,1
7.2090,14.2767,4.2465,3.919,4,15.955,1.813,0.597,2.9563,2.097,3.097,0,1
7.2120,14.2882,4.2492,3.918,4,15.955,1.813,0.597,2.9520,2.097,3.097,0,1
7.2150,14.2998,4.2519,3.918,4,15.955,1.813,0.597,2.9477,2.097,3.097,0,1
7.2180,14.3113,4.2545,3.915,4,15.955,1.813,0.597,2.9434,2.097,3.097,0,1
7.2210,14.3229,4.2572,3.914,4,15.955,1.813,0.597,2.9392,2.097,3.097,0,1
7.2240,14.3344,4.2598,3.912,4,15.955,1.813,0.597,2.9350,2.097,3.097,0,1
7.2270,14.3460,4.2624,3.913,4,15.955,1.813,0.597,2.9308,2.097,3.097,0,1
7.2300,14.3575,4.2650,3.913,4,15.955,1.813,0.597,2.9267,2.097,3.097,0,1
7.2330,14.3691,4.2676,3.912,4,15.955,1.813,0.597,2.9225,2.097,3.097,0,1
7.2360,14.3806,4.2701,3.912,4,15.955,1.813,0.597,2.9184,2.097,3.097,0,1
7.2390,14.3922,4.2727,3.910,4,15.955,1.813,0.597,2.9144,2.097,3.097,0,1
7.2420,14.4038,4.2752,3.908,4,15.955,1.813,0.597,2.9103,2.097,3.097,0,1
7.2450,14.4154,4.2777,3.907,4,15.955,1.813,0.597,2.9063,2.097,3.097,0,1
7.2480,14.4269,4.2801,3.907,4,15.955,1.813,0.597,2.9022,2.097,3.097,0,1
7.2510,14.4385,4.2826,3.907,4,15.955,1.813,0.597,2.8983,2.097,3.097,0,1
7.2540,14.4501,4.2850,3.905,4,15.955,1.813,0.597,2.8943,2.097,3.097,0,1
7.2570,14.4617,4.2875,3.903,4,15.955,1.813,0.597,2.8904,2.097,3.097,0,1
7.2600,14.4732,4.2899,3.901,4,15.955,1.813,0.597,2.8865,2.097,3.097,0,1
7.2630,14.4848,4.2922,3.899,4,15.955,1.813,0.597,2.8826,2.097,3.097,0,1
7.2660,14.4964,4.2946,3.899,4,15.955,1.813,0.597,2.8787,2.097,3.097,0,1
7.2690,14.5079,4.2969,3.898,4,15.955,1.813,0.597,2.8749,2.097,3.097,0,1
7.2720,14.5195,4.2993,3.896,4,15.955,1.813,0.597,2.8711,2.097,3.097,0,1
7.2750,14.5311,4.3016,3.896,4,15.955,1.813,0.597,2.8674,2.097,3.097,0,1
7.2780,14.5427,4.3039,3.895,4,15.955,1.813,0.597,2.8636,2.097,3.097,0,1
7.2810,14.5542,4.3062,3.895,4,15.955,1.813,0.597,2.8599,2.097,3.097,0,1
7.2840,14.5658,4.3084,3.894,4,15.955,1.813,0.597,2.8563,2.097,3.097,0,1
7.2870,14.5774,4.3107,3.892,4,15.955,1.813,0.597,2.8526,2.097,3.097,0,1
7.2900,14.5890,4.3129,3.890,4,15.955,1.813,0.597,2.8490,2.097,3.097,0,1
7.2930,14.6006,4.3151,3.889,4,15.955,1.813,0.597,2.8454,2.097,3.097,0,1
7.2960,14.6121,4.3173,3.888,4,15.955,1.813,0.597,2.8418,2.097,3.097,0,1
7.2990,14.6237,4.3194,3.886,4,15.955,1.813,0.597,2.8383,2.097,3.097,0,1
7.3020,14.6353,4.3216,3.884,4,15.955,1.813,0.597,2.8347,2.097,3.097,0,1
7.3050,14.6469,4.3237,3.882,4,15.955,1.813,0.597,2.8313,2.097,3.097,0,1
7.3080,14.6585,4.3258,3.881,4,15.955,1.813,0.597,2.8278,2.097,3.097,0,1
7.3110,14.6700,4.3278,3.880,4,15.955,1.813,0.597,2.8243,2.097,3.097,0,1
7.3140,14.6816,4.3299,3.879,4,15.955,1.813,0.597,2.8209,2.097,3.097,0,1
7.3170,14.6932,4.3319,3.878,4,15.955,1.813,0.597,2.8175,2.097,3.097,0,1
7.3200,14.7048,4.3340,3.877,4,15.955,1.813,0.597,2.8142,2.097,3.097,0,1
7.3230,14.7164,4.3360,3.875,4,15.955,1.813,0.597,2.8109,2.097,3.097,0,1
7.3260,14.7279,4.3380,3.869,4,15.955,1.813,0.597,2.8076,2.097,3.097,0,1
7.3290,14.7395,4.3399,3.868,4,15.955,1.813,0.597,2.8043,2.097,3.097,0,1
7.3320,14.7511,4.3419,3.868,4,15.955,1.813,0.597,2.8011,2.097,3.097,0,1
7.3350,14.7626,4.3438,3.867,4,15.955,1.813,0.597,2.7979,2.097,3.097,0,1
7.3380,14.7742,4.3457,3.866,4,15.955,1.813,0.597,2.7947,2.097,3.097,0,1
7.3410,14.7858,4.3476,3.865,4,15.955,1.813,0.597,2.7915,2.097,3.097,0,1
7.3440,14.7974,4.3495,3.864,4,15.955,1.813,0.597,2.7884,2.097,3.097,0,1
7.3470,14.8089,4.3513,3.866,4,15.955,1.813,0.597,2.7853,2.097,3.097,0,1
