time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.731430,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677832,-0.000079,-0.000751,0.000107,0.000356,0.000000,0.140664,0.000000,0,0,16.731991,0.000000,0.000000,0.000000
0.204000,0.055295,0.000015,1.522611,0.000512,-0.000041,0.000661,0.000373,0.000000,0.243229,0.000000,0,0,16.732117,0.000000,0.000000,0.000000
0.306000,0.055218,0.000049,1.263977,0.000584,0.000221,0.002831,0.000421,0.000000,0.368630,0.000000,0,0,16.732187,0.000000,0.000000,0.000000
0.408000,0.055215,0.000189,0.904372,0.001905,0.005544,0.012956,0.006030,0.000000,0.508726,0.000000,0,0,16.732169,0.000000,0.000000,0.000000
0.510000,0.061939,0.001318,0.642802,0.061606,0.107403,0.028870,0.009479,0.000000,0.658217,0.000000,0,0,16.725350,0.000000,0.000000,0.000000
0.612000,0.062806,0.003329,0.716629,-0.018404,-0.060059,0.020842,-0.013816,0.000000,0.779845,0.000000,0,0,16.724173,0.000000,0.000000,0.000000
0.714000,0.061678,0.007345,0.789939,0.036507,0.022602,0.048078,-0.026675,0.000000,0.851467,0.000000,0,0,16.724645,0.000000,0.000000,0.000000
0.816000,0.072136,0.008828,0.784723,0.228963,0.229600,-0.022497,0.018592,0.000000,0.899788,0.000000,0,0,16.714085,0.000000,0.000000,0.000000
0.918000,0.115789,0.005174,0.769496,0.597268,0.596121,-0.012980,-0.008942,0.000000,0.935635,0.000000,0,0,16.671577,0.000000,0.000000,0.000000
1.020000,0.195422,0.005934,0.785138,0.960496,0.954585,0.017575,0.009191,0.000000,0.958659,0.000000,0,0,16.592854,0.000000,0.000000,0.000000
1.122000,0.309317,0.009960,0.814367,1.273868,1.268000,0.046881,0.008976,0.000000,0.972108,0.000000,0,0,16.479799,0.000000,0.000000,0.000000
