time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
6.0630,13.4615,2.3054,3.985,2,16.406,0.764,0.828,3.3235,2.328,3.328,0,1
6.0660,13.4728,2.3097,3.986,2,16.406,0.764,0.828,3.3155,2.328,3.328,0,1
6.0690,13.4840,2.3140,3.988,2,16.406,0.764,0.828,3.3076,2.328,3.328,0,1
6.0720,13.4953,2.3183,3.989,2,16.406,0.764,0.828,3.2996,2.328,3.328,0,1
6.0750,13.5065,2.3226,3.989,2,16.406,0.764,0.828,3.2918,2.328,3.328,0,1
6.0780,13.5178,2.3269,3.989,2,16.406,0.764,0.828,3.2839,2.328,3.328,0,1
6.0810,13.5290,2.3312,3.990,2,16.406,0.764,0.828,3.2761,2.328,3.328,0,1
6.0840,13.5403,2.3356,3.991,2,16.406,0.764,0.828,3.2683,2.328,3.328,0,1
6.0870,13.5515,2.3400,3.992,2,16.406,0.764,0.828,3.2606,2.328,3.328,0,1
6.0900,13.5627,2.3444,3.993,2,16.406,0.764,0.828,3.2529,2.328,3.328,0,1
6.0930,13.5739,2.3488,3.994,2,16.406,0.764,0.828,3.2453,2.328,3.328,0,1
6.0960,13.5852,2.3533,3.994,2,16.406,0.764,0.828,3.2377,2.328,3.328,0,1
6.0990,13.5964,2.3577,3.995,2,16.406,0.764,0.828,3.2301,2.328,3.328,0,1
6.1020,13.6076,2.3622,3.997,2,16.406,0.764,0.828,3.2226,2.328,3.328,0,1
6.1050,13.6188,2.3667,3.998,2,16.406,0.764,0.828,3.2151,2.328,3.328,0,1
6.1080,13.6300,2.3712,3.998,2,16.406,0.764,0.828,3.2076,2.328,3.328,0,1
6.1110,13.6412,2.3758,4.001,2,16.406,0.764,0.828,3.2002,2.328,3.328,0,1
6.1140,13.6524,2.3803,4.001,2,16.406,0.764,0.828,3.1928,2.328,3.328,0,1
6.1170,13.6636,2.3849,4.004,2,16.406,0.764,0.828,3.1855,2.328,3.328,0,1
6.1200,13.6748,2.3895,4.004,2,16.406,0.764,0.828,3.1782,2.328,3.328,0,1
6.1230,13.6860,2.3941,4.006,2,16.406,0.764,0.828,3.1710,2.328,3.328,0,1
6.1260,13.6972,2.3987,4.008,2,16.406,0.764,0.828,3.1638,2.328,3.328,0,1
6.1290,13.7084,2.4034,4.009,2,16.406,0.764,0.828,3.1566,2.328,3.328,0,1
6.1320,13.7196,2.4081,4.010,2,16.406,0.764,0.828,3.1495,2.328,3.328,0,1
6.1350,13.7307,2.4128,4.011,2,16.406,0.764,0.828,3.1425,2.328,3.328,0,1
6.1380,13.7419,2.4175,4.012,2,16.406,0.764,0.828,3.1354,2.328,3.328,0,1
6.1410,13.7531,2.4222,4.013,2,16.406,0.764,0.828,3.1285,2.328,3.328,0,1
6.1440,13.7642,2.4270,4.014,2,16.406,0.764,0.828,3.1215,2.328,3.328,0,1
6.1470,13.7754,2.4318,4.016,2,16.406,0.764,0.828,3.1147,2.328,3.328,0,1
6.1500,13.7865,2.4366,4.016,2,16.406,0.764,0.828,3.1078,2.328,3.328,0,1
6.1530,13.7977,2.4414,4.018,2,16.406,0.764,0.828,3.1011,2.328,3.328,0,1
6.1560,13.8088,2.4463,4.018,2,16.406,0.764,0.828,3.0943,2.328,3.328,0,1
6.1590,13.8200,2.4511,4.020,2,16.406,0.764,0.828,3.0876,2.328,3.328,0,1
6.1620,13.8311,2.4560,4.022,2,16.406,0.764,0.828,3.0810,2.328,3.328,0,1
6.1650,13.8423,2.4609,4.022,2,16.406,0.764,0.828,3.0744,2.328,3.328,0,1
6.1680,13.8534,2.4659,4.022,2,16.406,0.764,0.828,3.0678,2.328,3.328,0,1
6.1710,13.8645,2.4708,4.022,2,16.406,0.764,0.828,3.0613,2.328,3.328,0,1
6.1740,13.8756,2.4758,4.025,2,16.406,0.764,0.828,3.0549,2.328,3.328,0,1
6.1770,13.8868,2.4808,4.025,2,16.406,0.764,0.828,3.0485,2.328,3.328,0,1
6.1800,13.8979,2.4858,4.025,2,16.406,0.764,0.828,3.0421,2.328,3.328,0,1
6.1830,13.9090,2.4908,4.026,2,16.406,0.764,0.828,3.0358,2.328,3.328,0,1
6.1860,13.9201,2.4958,4.026,2,16.406,0.764,0.828,3.0296,2.328,3.328,0,1
6.1890,13.9312,2.5009,4.025,2,16.406,0.764,0.828,3.0234,2.328,3.328,0,1
6.1920,13.9423,2.5060,4.027,2,16.406,0.764,0.828,3.0173,2.328,3.328,0,1
6.1950,13.9533,2.5111,4.027,2,16.406,0.764,0.828,3.0112,2.328,3.328,0,1
6.1980,13.9644,2.5162,4.028,2,16.406,0.764,0.828,3.0051,2.328,3.328,0,1
6.2010,13.9755,2.5213,4.028,2,16.406,0.764,0.828,2.9992,2.328,3.328,0,1
6.2040,13.9866,2.5265,4.028,2,16.406,0.764,0.828,2.9932,2.328,3.328,0,1
6.2070,13.9976,2.5317,4.028,2,16.406,0.764,0.828,2.9874,2.328,3.328,0,1
6.2100,14.0087,2.5369,4.028,2,16.406,0.764,0.828,2.9816,2.328,3.328,0,1
6.2130,14.0197,2.5421,4.028,2,16.406,0.764,0.828,2.9758,2.328,3.328,0,1
6.2160,14.0307,2.5473,4.028,2,16.406,0.764,0.828,2.9701,2.328,3.328,0,1
6.2190,14.0418,2.5526,4.029,2,16.406,0.764,0.828,2.9645,2.328,3.328,0,1
6.2220,14.0528,2.5579,4.029,2,16.406,0.764,0.828,2.9589,2.328,3.328,0,1
6.2250,14.0638,2.5632,4.029,2,16.406,0.764,0.828,2.9533,2.328,3.328,0,1
6.2280,14.0748,2.5685,4.027,2,16.406,0.764,0.828,2.9479,2.328,3.328,0,1
6.2310,14.0858,2.5738,4.027,2,16.406,0.764,0.828,2.9424,2.328,3.328,0,1
6.2340,14.0968,2.5791,4.027,2,16.406,0.764,0.828,2.9371,2.328,3.328,0,1
6.2370,14.1078,2.5845,4.027,2,16.406,0.764,0.828,2.9318,2.328,3.328,0,1
6.2400,14.1188,2.5899,4.027,2,16.406,0.764,0.828,2.9265,2.328,3.328,0,1
6.2430,14.1298,2.5953,4.026,2,16.406,0.764,0.828,2.9213,2.328,3.328,0,1
6.2460,14.1407,2.6007,4.027,2,16.406,0.764,0.828,2.9162,2.328,3.328,0,1
6.2490,14.1517,2.6062,4.025,2,16.406,0.764,0.828,2.9111,2.328,3.328,0,1
6.2520,14.1626,2.6116,4.026,2,16.406,0.764,0.828,2.9061,2.328,3.328,0,1
6.2550,14.1736,2.6171,4.026,2,16.406,0.764,0.828,2.9012,2.328,3.328,0,1
6.2580,14.1845,2.6225,4.025,2,16.406,0.764,0.828,2.8963,2.328,3.328,0,1
6.2610,14.1955,2.6280,4.024,2,16.406,0.764,0.828,2.8914,2.328,3.328,0,1
6.2640,14.2064,2.6335,4.025,2,16.406,0.764,0.828,2.8866,2.328,3.328,0,1
6.2670,14.2173,2.6391,4.023,2,16.406,0.764,0.828,2.8819,2.328,3.328,0,1
6.2700,14.2282,2.6446,4.024,2,16.406,0.764,0.828,2.8773,2.328,3.328,0,1
6.2730,14.2391,2.6502,4.023,2,16.406,0.764,0.828,2.8727,2.328,3.328,0,1
6.2760,14.2500,2.6558,4.022,2,16.406,0.764,0.828,2.8681,2.328,3.328,0,1
6.2790,14.2609,2.6613,4.023,2,16.406,0.764,0.828,2.8636,2.328,3.328,0,1
6.2820,14.2718,2.6669,4.022,2,16.406,0.764,0.828,2.8592,2.328,3.328,0,1
6.2850,14.2827,2.6726,4.021,2,16.406,0.764,0.828,2.8549,2.328,3.328,0,1
6.2880,14.2935,2.6782,4.021,2,16.406,0.764,0.828,2.8506,2.328,3.328,0,1
6.2910,14.3044,2.6838,4.020,2,16.406,0.764,0.828,2.8463,2.328,3.328,0,1
6.2940,14.3152,2.6895,4.020,2,16.406,0.764,0.828,2.8422,2.328,3.328,0,1
6.2970,14.3261,2.6952,4.018,2,16.406,0.764,0.828,2.8381,2.328,3.328,0,1
6.3000,14.3369,2.7009,4.018,2,16.406,0.764,0.828,2.8341,2.328,3.328,0,1
6.3030,14.3477,2.7066,4.017,2,16.406,0.764,0.828,2.8301,2.328,3.328,0,1
6.3060,14.3585,2.7124,4.017,2,16.406,0.764,0.828,2.8262,2.328,3.328,0,1
6.3090,14.3693,2.7181,4.017,2,16.406,0.764,0.828,2.8224,2.328,3.328,0,1
6.3120,14.3801,2.7239,4.017,2,16.406,0.764,0.828,2.8186,2.328,3.328,0,1
6.3150,14.3909,2.7297,4.018,2,16.406,0.764,0.828,2.8149,2.328,3.328,0,1
6.3180,14.4017,2.7355,4.017,2,16.406,0.764,0.828,2.8113,2.328,3.328,0,1
6.3210,14.4124,2.7413,4.016,2,16.406,0.764,0.828,2.8077,2.328,3.328,0,1
6.3240,14.4232,2.7472,4.016,2,16.406,0.764,0.828,2.8042,2.328,3.328,0,1
6.3270,14.4339,2.7530,4.015,2,16.406,0.764,0.828,2.8008,2.328,3.328,0,1
6.3300,14.4447,2.7589,4.016,2,16.406,0.764,0.828,2.7974,2.328,3.328,0,1
6.3330,14.4554,2.7648,4.015,2,16.406,0.764,0.828,2.7941,2.328,3.328,0,1
6.3360,14.4661,2.7707,4.016,2,16.406,0.764,0.828,2.7909,2.328,3.328,0,1
6.3390,14.4768,2.7766,4.015,2,16.406,0.764,0.828,2.7877,2.328,3.328,0,1
6.3420,14.4875,2.7825,4.015,2,16.406,0.764,0.828,2.7846,2.328,3.328,0,1
6.3450,14.4982,2.7885,4.014,2,16.406,0.764,0.828,2.7816,2.328,3.328,0,1
6.3480,14.5089,2.7945,4.013,2,16.406,0.764,0.828,2.7787,2.328,3.328,0,1
6.3510,14.5195,2.8004,4.014,2,16.406,0.764,0.828,2.7758,2.328,3.328,0,1
6.3540,14.5302,2.8064,4.015,2,16.406,0.764,0.828,2.7730,2.328,3.328,0,1
6.3570,14.5408,2.8124,4.013,2,16.406,0.764,0.828,2.7702,2.328,3.328,0,1
6.3600,14.5515,2.8185,4.011,2,16.406,0.764,0.828,2.7675,2.328,3.328,0,1
6.3630,14.5621,2.8245,4.011,2,16.406,0.764,0.828,2.7649,2.328,3.328,0,1
6.3660,14.5727,2.8305,4.010,2,16.406,0.764,0.828,2.7623,2.328,3.328,0,1
6.3690,14.5833,2.8366,4.010,2,16.406,0.764,0.828,2.7599,2.328,3.328,0,1
6.3720,14.5939,2.8427,4.009,2,16.406,0.764,0.828,2.7575,2.328,3.328,0,1
6.3750,14.6045,2.8488,4.008,2,16.406,0.764,0.828,2.7551,2.328,3.328,0,1
6.3780,14.6151,2.8549,4.006,2,16.406,0.764,0.828,2.7529,2.328,3.328,0,1
6.3810,14.6257,2.8611,4.008,2,16.406,0.764,0.828,2.7507,2.328,3.328,0,1
6.3840,14.6362,2.8672,4.007,2,16.406,0.764,0.828,2.7486,2.328,3.328,0,1
6.3870,14.6468,2.8734,4.008,2,16.406,0.764,0.828,2.7465,2.328,3.328,0,1
6.3900,14.6573,2.8796,4.009,2,16.406,0.764,0.828,2.7445,2.328,3.328,0,1
6.3930,14.6679,2.8858,4.010,2,16.406,0.764,0.828,2.7426,2.328,3.328,0,1
6.3960,14.6784,2.8920,4.009,2,16.406,0.764,0.828,2.7408,2.328,3.328,0,1
6.3990,14.6889,2.8982,4.008,2,16.406,0.764,0.828,2.7390,2.328,3.328,0,1
6.4020,14.6994,2.9044,4.008,2,16.406,0.764,0.828,2.7373,2.328,3.328,0,1
6.4050,14.7099,2.9107,4.008,2,16.406,0.764,0.828,2.7357,2.328,3.328,0,1
6.4080,14.7204,2.9170,4.007,2,16.406,0.764,0.828,2.7341,2.328,3.328,0,1
6.4110,14.7309,2.9233,4.008,2,16.406,0.764,0.828,2.7327,2.328,3.328,0,1
6.4140,14.7414,2.9296,4.008,2,16.406,0.764,0.828,2.7313,2.328,3.328,0,1
6.4170,14.7518,2.9359,4.007,2,16.406,0.764,0.828,2.7299,2.328,3.328,0,1
