step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.347,0.052,0.79,2.515,0.00,3,18,27.00,7.60,+0.000,0.354,0.036,+0.000,0.354,0.036,0,7.484,7.66,0.000
40,5.627,0.563,11.25,2.442,14.52,3,18,27.00,6.50,+0.517,0.764,0.003,+0.517,0.764,0.003,0,2.423,7.74,0.000
44,6.705,0.958,15.97,3.269,-2.31,3,18,27.00,7.53,-0.082,0.770,0.000,+1.000,1.000,0.000,1,3.538,116.95,5.317
45,7.020,1.067,16.35,3.417,-4.86,3,18,27.00,7.52,-0.173,0.749,0.000,+1.000,1.000,0.000,1,2.311,53.56,0.527
46,7.341,1.189,17.48,3.506,-8.58,3,18,27.00,7.16,-0.306,0.708,0.000,+1.000,1.000,0.000,1,2.224,35.36,0.666
47,7.664,1.333,19.34,3.592,-16.87,3,18,27.00,6.15,-0.601,0.625,0.000,+1.000,1.000,0.000,1,2.150,33.98,1.022
48,7.986,1.497,21.58,3.654,-21.34,3,18,27.00,5.66,-0.760,0.574,0.000,+1.000,1.000,0.000,1,2.178,33.92,1.257
49,8.303,1.682,24.03,3.708,-23.40,3,18,27.00,5.46,-0.833,0.529,0.000,+1.000,1.000,0.000,1,2.251,33.93,1.408
50,8.615,1.888,26.62,3.759,-22.12,3,18,27.00,5.58,-0.788,0.487,0.000,+1.000,1.000,0.000,1,2.359,34.44,1.432
51,8.920,2.112,29.33,3.807,-27.22,3,18,27.00,5.10,-0.970,0.442,0.000,+1.000,1.000,0.000,1,2.421,75.85,1.723
52,9.217,2.354,32.14,3.849,-28.07,3,18,27.00,5.02,-1.000,0.418,0.000,+1.000,1.000,0.000,1,2.514,95.64,1.810
60,11.574,4.252,35.23,3.692,-28.07,3,18,27.00,5.03,-1.000,0.474,0.000,-1.000,0.474,0.000,0,0.690,7.81,0.000
61,11.903,4.419,33.13,3.714,-28.07,3,18,27.00,5.03,-1.000,0.539,0.000,+1.000,1.000,0.000,1,1.693,34.10,1.583
62,12.244,4.573,30.38,3.820,-27.44,4,18,27.00,5.08,-0.977,0.606,0.000,+1.000,1.000,0.000,1,1.560,43.87,1.453
63,12.591,4.731,29.20,3.881,-28.07,4,18,27.00,5.02,-1.000,0.670,0.000,+1.000,1.000,0.000,1,1.543,64.76,1.396
64,12.933,4.908,29.21,3.873,-26.80,4,18,27.00,5.13,-0.955,0.729,0.000,+1.000,1.000,0.000,1,1.576,48.83,1.278
65,13.262,5.105,29.87,3.841,-28.07,4,18,27.00,5.02,-1.000,0.771,0.000,+1.000,1.000,0.000,1,1.617,65.08,1.295
66,13.577,5.321,31.11,3.844,-26.80,4,18,27.00,5.14,-0.955,0.795,0.000,+1.000,1.000,0.000,1,1.663,59.83,1.222
67,13.880,5.556,32.87,3.862,-28.07,4,18,27.00,5.02,-1.000,0.820,0.000,+1.000,1.000,0.000,1,1.761,91.80,1.258
68,14.172,5.808,35.04,3.891,-28.07,4,18,27.00,5.02,-1.000,0.826,0.000,+1.000,1.000,0.000,1,1.908,76.09,1.255
69,14.455,6.077,37.48,3.932,-22.97,4,18,27.00,5.49,-0.818,0.846,0.000,+1.000,1.000,0.000,1,2.105,41.32,1.035
70,14.724,6.365,39.94,3.976,-23.61,4,18,27.00,5.43,-0.841,0.851,0.000,+1.000,1.000,0.000,1,2.349,34.52,1.057
71,14.979,6.673,42.34,3.980,-23.40,4,18,27.00,5.45,-0.833,0.852,0.000,+1.000,1.000,0.000,1,2.628,43.19,1.047
72,15.218,6.993,44.86,3.952,-22.76,4,18,27.00,5.51,-0.811,0.858,0.000,+1.000,1.000,0.000,1,2.933,33.96,1.020
73,15.440,7.324,47.58,3.959,-25.95,4,18,27.00,5.21,-0.924,0.864,0.000,+1.000,1.000,0.000,1,3.260,76.01,1.144
74,15.649,7.663,50.52,3.988,-27.86,4,18,27.00,5.04,-0.992,0.868,0.000,+1.000,1.000,0.000,1,3.606,84.17,1.222
75,15.845,8.012,53.63,4.007,-28.07,4,18,27.00,5.02,-1.000,0.880,0.000,+1.000,1.000,0.000,1,3.965,111.72,1.226
76,16.025,8.370,56.75,4.014,-28.07,4,18,27.00,5.02,-1.000,0.888,0.000,+1.000,1.000,0.000,1,4.337,81.71,1.228
77,16.187,8.737,59.80,4.009,-28.07,4,18,27.00,5.02,-1.000,0.906,0.000,+1.000,0.920,0.000,1,4.717,102.74,1.201
78,16.329,9.112,62.81,4.000,-26.16,4,18,27.00,5.19,-0.932,0.929,0.000,+1.000,0.928,0.000,1,5.107,75.10,1.120
79,16.450,9.493,65.81,3.998,-26.80,4,18,27.00,5.13,-0.955,0.955,0.000,+1.000,1.000,0.000,1,5.502,59.53,1.152
80,16.552,9.879,68.80,3.999,-28.07,4,18,27.00,5.02,-1.000,0.970,0.000,+1.000,0.985,0.000,1,5.899,87.23,1.200
81,16.633,10.271,71.79,4.001,-28.07,4,18,27.00,5.02,-1.000,0.980,0.000,+1.000,0.980,0.000,1,6.300,81.94,1.204
82,16.694,10.666,74.82,4.002,-28.07,4,18,27.00,5.02,-1.000,0.987,0.000,+1.000,1.000,0.000,1,6.701,102.81,1.201
83,16.735,11.064,77.82,3.996,-28.07,4,18,27.00,5.02,-1.000,0.992,0.000,+1.000,1.000,0.000,1,7.101,83.99,1.203
84,16.753,11.463,80.80,3.994,-28.07,4,18,27.00,5.02,-1.000,0.994,0.000,+1.000,1.000,0.000,1,7.500,104.75,1.200
