time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,13.904415,0.000000,0.000000,0.000000
0.102000,0.055424,0.000002,1.677833,-0.000086,-0.000756,0.000068,0.000363,0.000000,0.101969,0.000000,0,0,13.904981,0.000000,0.000000,0.000000
0.204000,0.055295,0.000010,1.522611,0.000525,-0.000027,0.000417,0.000369,0.000000,0.176016,0.000000,0,0,13.905108,0.000000,0.000000,0.000000
0.306000,0.055218,0.000030,1.263977,0.000580,0.000237,0.001691,0.000422,0.000000,0.263892,0.000000,0,0,13.905182,0.000000,0.000000,0.000000
0.408000,0.055214,0.000173,0.904380,0.004128,0.006589,0.011365,0.008313,0.000000,0.341078,0.000000,0,0,13.905171,0.000000,0.000000,0.000000
0.510000,0.060995,0.001483,0.642859,0.043389,0.088525,0.024479,-0.011300,0.000000,0.412904,0.000000,0,0,13.899278,0.000000,0.000000,0.000000
0.612000,0.059032,0.003086,0.717170,-0.050087,-0.089738,0.014052,-0.018928,0.000000,0.467260,0.000000,0,0,13.901047,0.000000,0.000000,0.000000
0.714000,0.053550,0.005180,0.790223,-0.022100,-0.032854,0.021498,-0.015911,0.000000,0.526469,0.000000,0,0,13.906257,0.000000,0.000000,0.000000
0.816000,0.055639,0.005700,0.779175,0.069248,0.084237,-0.010580,0.026342,0.000000,0.582146,0.000000,0,0,13.904123,0.000000,0.000000,0.000000
0.918000,0.069581,0.002577,0.754824,0.173156,0.171844,-0.002933,0.012795,0.000000,0.625033,0.000000,0,0,13.890624,0.000000,0.000000,0.000000
1.020000,0.090494,0.003291,0.757885,0.272212,0.266898,0.019635,0.011341,0.000000,0.664968,0.000000,0,0,13.869764,0.000000,0.000000,0.000000
1.122000,0.131079,0.006975,0.770579,0.538151,0.528054,0.038618,0.008043,0.000000,0.691384,0.000000,0,0,13.829023,0.000000,0.000000,0.000000
1.224000,0.200984,0.011868,0.790102,0.843944,0.837185,0.047208,0.018521,0.000000,0.705946,0.000000,0,0,13.759014,0.000000,0.000000,0.000000
1.326000,0.302567,0.018060,0.814665,1.154018,1.144735,0.063396,0.008241,0.000000,0.697356,0.000000,0,0,13.657386,0.000000,0.000000,0.000000
1.428000,0.435119,0.026083,0.839472,1.449481,1.444931,0.070757,0.008070,0.000000,0.656452,0.000000,0,0,13.524784,0.000000,0.000000,0.000000
1.530000,0.596864,0.034459,0.857162,1.713655,1.715889,0.063820,0.013746,0.000000,0.596498,0.000000,0,0,13.363147,0.000000,0.000000,0.000000
1.632000,0.784722,0.041752,0.862958,1.958010,1.964365,0.050698,0.022957,0.000000,0.504778,0.000000,0,0,13.175703,0.000000,0.000000,0.000000
1.734000,0.998551,0.048476,0.861042,2.211510,2.220294,0.046282,0.019996,0.000000,0.433261,0.004645,0,0,12.962547,0.000000,0.000000,0.000000
1.836000,1.238081,0.055626,0.857648,2.461704,2.463966,0.042103,0.015052,0.000000,0.375150,0.027563,0,0,12.723844,0.000000,0.000000,0.000000
1.938000,1.499876,0.062896,0.857164,2.651445,2.653955,0.036024,0.019892,0.000000,0.336845,0.056140,0,0,12.463053,0.000000,0.000000,0.000000
2.040000,1.778103,0.070990,0.855010,2.777709,2.784757,0.040060,0.017103,0.000000,0.303802,0.093917,0,0,12.185892,0.000000,0.000000,0.000000
2.142000,2.064638,0.078688,0.848549,2.816694,2.819535,0.019244,0.011078,0.000000,0.280564,0.128455,0,0,11.900582,0.000000,0.000000,0.000000
2.244000,2.350212,0.084975,0.842774,2.769731,2.770588,0.012068,0.004005,0.000000,0.259149,0.162788,0,0,11.616461,0.000000,0.000000,0.000000
2.346000,2.627504,0.090721,0.840838,2.663713,2.667072,0.002630,0.010142,0.000000,0.243086,0.185043,0,0,11.340686,0.000000,0.000000,0.000000
2.448000,2.893274,0.095244,0.839832,2.549664,2.551299,-0.009318,0.003159,0.000000,0.227401,0.198348,0,0,11.076560,0.000000,0.000000,0.000000
2.550000,3.148333,0.099647,0.827392,2.480810,2.449304,0.004727,-0.015420,0.000000,0.215030,0.199401,0,0,10.823136,0.000000,0.000000,0.000000
2.652000,3.391706,0.104800,0.792664,2.358650,2.317962,-0.033705,0.041900,0.000000,0.202449,0.189948,0,0,10.581258,0.000000,0.000000,0.000000
2.754000,3.618327,0.107096,0.783501,2.094656,2.130196,-0.025959,-0.013029,0.113636,0.192204,0.172797,0,0,10.356424,0.000000,0.000000,0.000000
2.856000,3.826589,0.111476,0.804139,1.948572,1.971679,0.031275,0.047907,0.318182,0.181532,0.144385,0,0,10.149549,0.000000,0.000000,0.000000
2.958000,4.021166,0.122662,0.822786,1.860338,1.860002,0.096712,0.092822,0.500000,0.172683,0.112697,0,0,9.955315,0.000000,0.000000,0.000000
3.060000,4.206501,0.143035,0.826615,1.801591,1.791940,0.174408,0.130515,0.702153,0.166333,0.073148,0,0,9.768955,0.000000,0.000000,0.000000
3.162000,4.385785,0.173454,0.821499,1.750816,1.744589,0.258628,0.162318,0.872127,0.198244,0.049351,0,0,9.587176,0.000000,0.000000,0.000000
3.264000,4.557992,0.215176,0.816039,1.674215,1.678618,0.327601,0.208657,0.850835,0.259224,0.031698,0,0,9.410832,0.000000,0.000000,0.000000
3.366000,4.724271,0.265391,0.815116,1.667945,1.666584,0.363163,0.199662,0.784746,0.328130,0.021386,0,0,9.239224,0.000000,0.000000,0.000000
3.468000,4.890304,0.319553,0.815707,1.709595,1.699580,0.345065,0.202114,0.648294,0.415253,0.013736,0,0,9.067395,0.000000,0.000000,0.000000
3.570000,5.063181,0.373716,0.817304,1.806250,1.799089,0.304043,0.201148,0.587408,0.495882,0.009267,0,0,8.888870,0.000000,0.000000,0.000000
3.672000,5.249766,0.430047,0.820642,1.977514,1.973402,0.262951,0.179292,0.562465,0.581701,0.005952,0,0,8.696560,0.000000,0.000000,0.000000
3.774000,5.455571,0.492843,0.823926,2.205873,2.196552,0.287138,0.185943,0.688224,0.646947,0.004016,0,0,8.484467,0.000000,0.000000,0.000000
3.876000,5.680256,0.566586,0.826917,2.405568,2.403211,0.330804,0.231679,0.713601,0.697490,0.002709,0,0,8.252438,0.000000,0.000000,0.000000
3.978000,5.924424,0.654489,0.832576,2.640853,2.638468,0.361512,0.253298,0.556901,0.731456,0.001828,0,0,7.999629,0.000000,0.000000,0.000000
4.080000,6.188559,0.754820,0.838116,2.849108,2.854034,0.347172,0.243207,0.343543,0.743048,0.001118,0,0,7.725974,0.000000,0.000000,0.000000
4.182000,6.471670,0.863948,0.844291,3.054328,3.058274,0.298561,0.196731,0.185061,0.729641,0.000754,0,0,7.433077,0.000000,0.000000,0.000000
4.284000,6.773221,0.977930,0.848870,3.236906,3.235033,0.218869,0.136196,0.028477,0.700399,0.000000,0,0,7.122055,0.000000,0.000000,0.000000
