sim_time,wall_time,seq,x_fa_meas,y_fa_meas,psi_meas,u_meas,v_meas,omega_meas,x_fa_true,y_fa_true,psi_true,u_true,x_fa_comp,y_fa_comp,psi_comp,u_comp,v_comp,omega_comp,ax_state,delta_prev_state,x_ref_0,y_ref_0,psi_ref_0,v_ref_0,delta_dot,Jx,mpc_cost,solver_status,solver_iters,terrain_class_est,terrain_confidence,n_terrain_est,terrain_update_applied,residual_enabled,residual_du_pred,residual_dv_pred,residual_domega_pred,residual_updates,residual_last_loss,residual_last_update_ms,steering,throttle,braking,steering_angle,acceleration,tau_one_way_ms,tau_solve_ms,tau_comp_ms,solve_time_ms,crosstrack_err,heading_err_deg,speed_err,pred1_age_s,pred1_pos_err_m,pred1_psi_err_deg,pred1_u_err_mps,pred1_v_err_mps,pred1_omega_err_radps,actual_Fy_front,actual_Fy_rear,pred_Fy_front,pred_Fy_rear,alpha_f,alpha_r,Fz_f_mean,Fz_r_mean,kappa_diag,kappa_meas_diag,sr_diag,u_safe_diag,speed_fade_diag,force_resid_dFy_f,force_resid_dFy_r,force_resid_updates,force_resid_bias_f,force_resid_bias_r
0.0000,1778840814.365586,0,1.627886,-0.045941,0.001892,0.0308,-0.0096,0.000857,1.648994,-0.000000,-0.000000,-0.0020,1.629134,-0.046012,0.001894,0.0258,-0.0000,-0.000002,-0.114338,0.0000,1.629134,0.000000,0.000000,1.6854,0.000000,2.000000,255.9146,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0520,0.0000,0.000000,0.2000,17.05,9.56,43.67,7.06,-0.000000,-0.0000,-1.6874,nan,nan,nan,nan,nan,nan,0.0,0.0,93.43225873216764,141.20083468024643,0.016444,0.022104,6560.9,6059.6,-0.020187,0.000000,0.000000,0.5000,1.0000,,,,,
0.0120,1778840814.373473,1,1.675674,-0.121354,-0.004890,-0.0911,-0.1159,-0.000528,1.648913,-0.000001,-0.000000,-0.0094,1.676619,-0.121605,-0.004892,0.0224,-0.0002,-0.000008,-0.020184,0.0000,1.676619,0.000000,-0.000000,1.6278,0.000000,2.000000,259.3594,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0565,0.0000,0.000000,0.2240,15.50,9.19,40.19,7.11,-0.000001,-0.0000,-1.6371,nan,nan,nan,nan,nan,nan,0.0,0.0,191.9258070580273,256.75912132711335,0.058382,0.062259,6557.6,6062.9,-0.017886,0.000000,0.000000,0.5000,1.0000,,,,,
0.0240,1778840814.381300,2,1.708917,-0.011359,0.004201,-0.0645,-0.0033,0.001968,1.648775,-0.000002,-0.000002,-0.0125,1.709628,-0.011556,0.004201,0.0184,-0.0002,-0.000010,-0.007414,0.0000,1.709628,0.000000,-0.000000,1.5837,0.000000,2.000000,265.9070,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0616,0.0000,0.000000,0.2480,14.13,8.43,36.68,4.10,-0.000002,-0.0001,-1.5961,nan,nan,nan,nan,nan,nan,0.0,0.0,173.2411487007937,227.29652083793155,0.047178,0.052817,6552.8,6067.8,-0.014532,0.000000,0.000000,0.5000,1.0000,,,,,
0.0360,1778840814.387334,3,1.642076,-0.068040,0.001612,0.0170,-0.0368,-0.000038,1.648627,-0.000004,-0.000003,-0.0121,1.642691,-0.068257,0.001610,0.0186,-0.0005,-0.000020,0.007458,0.0000,1.642691,0.000000,0.000000,1.6696,0.000000,2.000000,250.0451,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0671,0.0000,0.000000,0.2720,12.06,7.80,31.91,4.21,-0.000004,-0.0002,-1.6816,nan,nan,nan,nan,nan,nan,0.0,0.0,188.95858927882767,235.86996019086564,0.052278,0.056775,6546.6,6074.0,-0.010175,0.000000,0.000000,0.5000,1.0000,,,,,
0.0480,1778840814.399282,4,1.669559,0.035879,0.006760,-0.0166,-0.0681,-0.000602,1.648492,-0.000007,-0.000005,-0.0105,1.670002,0.035601,0.006756,0.0157,-0.0010,-0.000043,0.027631,0.0000,1.670002,0.000000,-0.000000,1.6362,0.000000,2.000000,277.1655,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0731,0.0000,0.000000,0.2960,10.29,7.25,27.83,4.14,-0.000007,-0.0003,-1.6467,nan,nan,nan,nan,nan,nan,0.0,0.0,227.8773232550756,276.067968233951,0.068810,0.071664,6539.3,6081.2,-0.005144,0.000000,0.000000,0.5000,1.0000,,,,,
0.0600,1778840814.411235,5,1.669060,0.118907,-0.002780,0.0713,-0.0180,0.000708,1.648463,-0.000004,-0.000003,0.0004,1.669726,0.118656,-0.002783,0.0275,-0.0015,-0.000058,0.066289,0.0000,1.669726,0.000000,-0.000000,1.6365,0.000000,2.000000,267.6850,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0796,0.0000,0.000000,0.3200,8.79,6.78,24.36,4.13,-0.000004,-0.0002,-1.6361,nan,nan,nan,nan,nan,nan,0.0,0.0,223.27924052236617,251.75299092497823,0.062027,0.065232,6527.8,6092.8,0.002937,0.000000,0.000000,0.5000,1.0000,,,,,
0.0720,1778840814.423267,6,1.665995,-0.008674,0.004619,0.0059,-0.0027,-0.000153,1.648468,0.000001,0.000000,0.0002,1.666498,-0.008872,0.004617,0.0238,-0.0018,-0.000065,0.083642,0.0000,1.666498,0.000000,-0.000000,1.6406,0.000000,2.000000,254.5460,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0865,0.0000,0.000000,0.3440,7.52,6.39,21.42,4.16,0.000001,0.0000,-1.6404,nan,nan,nan,nan,nan,nan,0.0,0.0,199.62836680332177,213.1232279531151,0.051179,0.053572,6521.8,6098.7,0.007066,0.000000,0.000000,0.5000,1.0000,,,,,
0.0840,1778840814.435398,7,1.704910,0.031610,0.004434,-0.0433,0.0211,0.001872,1.648453,0.000007,0.000003,-0.0009,1.705273,0.031488,0.004435,0.0196,-0.0016,-0.000052,0.098563,0.0000,1.705273,0.000000,-0.000000,1.5897,0.000000,2.000000,216.4606,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.0939,0.0000,0.000000,0.3680,6.45,6.06,18.95,4.22,0.000007,0.0002,-1.5906,nan,nan,nan,nan,nan,nan,0.0,0.0,147.269187076239,157.00916576483334,0.031992,0.036315,6516.8,6103.8,0.010595,0.000000,0.000000,0.5000,1.0000,,,,,
0.0960,1778840814.447297,8,1.659396,-0.071649,0.001628,-0.0384,-0.0035,0.000860,1.648434,0.000013,0.000007,-0.0008,1.659659,-0.071749,0.001628,0.0163,-0.0017,-0.000045,0.116193,0.0000,1.659659,0.000000,-0.000000,1.6491,0.000000,2.000000,249.8895,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1016,0.0000,0.000000,0.3920,5.53,5.87,16.92,4.78,0.000013,0.0004,-1.6499,nan,nan,nan,nan,nan,nan,0.0,0.0,131.89330951356587,137.89144296388534,0.026642,0.031228,6511.2,6109.4,0.014471,0.000000,0.000000,0.5000,1.0000,,,,,
0.1080,1778840814.461322,9,1.537796,0.022894,-0.007519,0.1194,0.0565,-0.000930,1.648415,0.000020,0.000011,-0.0007,1.538346,0.022888,-0.007518,0.0367,-0.0001,0.000007,0.134329,0.0000,1.538346,0.000000,0.000000,1.7834,0.000000,2.000000,267.5146,4,1,sand,1.0000,1.100000,0,0,0.000000,0.000000,0.000000,0,nan,0.00,0.000000,0.1097,0.0000,0.000000,0.4160,4.75,5.65,15.15,4.43,0.000020,0.0006,-1.7841,0.008000,0.157199,-0.5449,-0.465109,-0.000699,-0.000583,0.0,0.0,63.73263219045441,62.887166527232864,0.000187,0.002699,6505.7,6114.8,0.018291,0.000000,0.000000,0.5000,1.0000,,,,,
