time,x,y,z,speed,vx_local,vy_local,omega_z,steering,throttle,braking,collisions,near_misses,nearest_clearance_m,latency_control_s,latency_manual_s,latency_camera_s
0.000000,0.055994,0.000000,1.713326,-0.008781,-0.002031,0.000002,-0.000008,0.000000,0.000000,0.000000,0,0,16.793971,0.000000,0.000000,0.000000
0.102000,0.055424,0.000003,1.677833,-0.000095,-0.000764,0.000125,0.000351,0.000000,0.164612,0.000000,0,0,16.794537,0.000000,0.000000,0.000000
0.204000,0.055295,0.000018,1.522611,0.000547,-0.000010,0.000831,0.000373,0.000000,0.284396,0.000000,0,0,16.794664,0.000000,0.000000,0.000000
0.306000,0.055218,0.000063,1.263977,0.000588,0.000206,0.003632,0.000419,0.000000,0.423441,0.000000,0,0,16.794736,0.000000,0.000000,0.000000
0.408000,0.055240,0.000193,0.904382,0.004903,0.009312,0.012401,0.005534,0.000000,0.551969,0.000000,0,0,16.794699,0.000000,0.000000,0.000000
0.510000,0.062892,0.001139,0.642864,0.084052,0.127290,0.028617,0.021672,0.000000,0.686035,0.000000,0,0,16.786989,0.000000,0.000000,0.000000
0.612000,0.065281,0.003982,0.717314,-0.003040,-0.045687,0.033563,-0.011295,0.000000,0.797829,0.000000,0,0,16.784298,0.000000,0.000000,0.000000
0.714000,0.065780,0.009503,0.791497,0.047030,0.033049,0.061974,-0.027805,0.000000,0.863600,0.000000,0,0,16.783186,0.000000,0.000000,0.000000
0.816000,0.077319,0.012952,0.788345,0.231573,0.232359,0.001139,0.025985,0.000000,0.912391,0.000000,0,0,16.771335,0.000000,0.000000,0.000000
0.918000,0.122187,0.012111,0.771315,0.631547,0.630344,-0.010730,0.000216,0.000000,0.940892,0.000000,0,0,16.726840,0.000000,0.000000,0.000000
1.020000,0.205568,0.013718,0.786671,0.992574,0.988583,0.021044,0.007950,0.000000,0.962036,0.000000,0,0,16.643802,0.000000,0.000000,0.000000
1.122000,0.323070,0.018380,0.816161,1.308452,1.302225,0.048668,0.009887,0.000000,0.974386,0.000000,0,0,16.526518,0.000000,0.000000,0.000000
1.224000,0.470389,0.025677,0.843823,1.589860,1.586990,0.068060,0.013293,0.000000,0.983549,0.000000,0,0,16.379314,0.000000,0.000000,0.000000
1.326000,0.646395,0.034147,0.862472,1.852232,1.854417,0.071171,0.015938,0.000000,0.988901,0.000000,0,0,16.203480,0.000000,0.000000,0.000000
1.428000,0.848511,0.042173,0.867516,2.096378,2.106406,0.062392,0.019166,0.000000,0.992871,0.000000,0,0,16.001765,0.000000,0.000000,0.000000
1.530000,1.076848,0.049721,0.864085,2.355462,2.363993,0.056774,0.016816,0.000000,0.995190,0.000000,0,0,15.774071,0.000000,0.000000,0.000000
1.632000,1.332005,0.057358,0.857966,2.629613,2.629287,0.050020,0.018072,0.000000,0.996911,0.000000,0,0,15.519749,0.000000,0.000000,0.000000
1.734000,1.613166,0.064977,0.856463,2.874557,2.871353,0.041611,0.024773,0.000000,0.997916,0.000000,0,0,15.239633,0.000000,0.000000,0.000000
1.836000,1.917365,0.073637,0.855927,3.090056,3.090858,0.045326,0.030245,0.000000,0.998661,0.000000,0,0,14.936558,0.000000,0.000000,0.000000
1.938000,2.244526,0.083342,0.851706,3.313559,3.312526,0.040814,0.030115,0.000000,0.999097,0.000000,0,0,14.610607,0.000000,0.000000,0.000000
2.040000,2.591885,0.093797,0.848473,3.480723,3.486854,0.030781,0.026037,0.000000,0.999420,0.000000,0,0,14.264573,0.000000,0.000000,0.000000
2.142000,2.955673,0.104398,0.846177,3.648306,3.646953,0.015815,0.012516,0.000000,0.999546,0.000000,0,0,13.902285,0.000000,0.000000,0.000000
2.244000,3.334182,0.114401,0.829108,3.798307,3.735844,0.012559,0.002929,0.000000,0.999698,0.000000,0,0,13.525547,0.000000,0.000000,0.000000
2.346000,3.716449,0.125408,0.795878,3.719750,3.745061,0.036887,0.008503,0.017567,1.000000,0.000000,0,0,13.145046,0.000000,0.000000,0.000000
2.448000,4.102008,0.139654,0.805644,3.796059,3.835045,0.061787,0.043581,0.079382,0.995869,0.000000,0,0,12.760949,0.000000,0.000000,0.000000
2.550000,4.498410,0.157241,0.827304,3.946997,3.937518,0.040932,0.029458,-0.011908,1.000000,0.000000,0,0,12.365750,0.000000,0.000000,0.000000
2.652000,4.903531,0.173337,0.839396,4.025258,4.013907,0.003634,-0.001145,-0.113076,1.000000,0.000000,0,0,11.962206,0.000000,0.000000,0.000000
2.754000,5.316477,0.184201,0.837480,4.094569,4.081585,-0.056266,-0.031160,-0.198010,1.000000,0.000000,0,0,11.551760,0.000000,0.000000,0.000000
2.856000,5.735435,0.185660,0.829759,4.122607,4.126687,-0.142776,-0.050411,-0.263486,1.000000,0.000000,0,0,11.136887,0.000000,0.000000,0.000000
2.958000,6.160175,0.177759,0.825877,4.191849,4.195611,-0.175852,-0.066863,-0.149564,1.000000,0.000000,0,0,10.717959,0.000000,0.000000,0.000000
3.060000,6.590960,0.166985,0.824529,4.235806,4.239816,-0.152970,-0.065649,-0.107906,1.000000,0.000000,0,0,10.293903,0.000000,0.000000,0.000000
3.162000,7.024810,0.157485,0.826770,4.272556,4.268761,-0.112244,-0.076254,-0.112616,1.000000,0.000000,0,0,9.867096,0.000000,0.000000,0.000000
3.264000,7.461941,0.147227,0.825439,4.304918,4.299140,-0.101434,-0.072638,-0.108495,1.000000,0.000000,0,0,9.437706,0.000000,0.000000,0.000000
3.366000,7.900993,0.135983,0.825740,4.296918,4.306561,-0.066434,-0.036962,0.011617,1.000000,0.000000,0,0,9.007201,0.000000,0.000000,0.000000
3.468000,8.341430,0.126807,0.830364,4.313664,4.329002,-0.034347,0.002685,-0.021129,1.000000,0.000000,0,0,8.575645,0.000000,0.000000,0.000000
