time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
5.4690,17.0137,0.3846,4.308,4,18.643,3.011,0.597,3.0901,2.097,3.097,0,1
5.4720,17.0265,0.3865,4.306,4,18.643,3.011,0.597,3.0818,2.097,3.097,0,1
5.4750,17.0393,0.3883,4.309,4,18.643,3.011,0.597,3.0735,2.097,3.097,0,1
5.4780,17.0521,0.3902,4.309,4,18.643,3.011,0.597,3.0653,2.097,3.097,0,1
5.4810,17.0649,0.3921,4.309,4,18.643,3.011,0.597,3.0570,2.097,3.097,0,1
5.4840,17.0777,0.3939,4.308,4,18.643,3.011,0.597,3.0488,2.097,3.097,0,1
5.4870,17.0905,0.3958,4.308,4,18.643,3.011,0.597,3.0407,2.097,3.097,0,1
5.4900,17.1033,0.3977,4.309,4,18.643,3.011,0.597,3.0326,2.097,3.097,0,1
5.4930,17.1161,0.3995,4.309,4,18.643,3.011,0.597,3.0245,2.097,3.097,0,1
5.4960,17.1290,0.4014,4.310,4,18.643,3.011,0.597,3.0164,2.097,3.097,0,1
5.4990,17.1418,0.4032,4.311,4,18.643,3.011,0.597,3.0084,2.097,3.097,0,1
5.5020,17.1546,0.4051,4.311,4,18.643,3.011,0.597,3.0004,2.097,3.097,0,1
5.5050,17.1674,0.4070,4.311,4,18.643,3.011,0.597,2.9925,2.097,3.097,0,1
5.5080,17.1802,0.4088,4.311,4,18.643,3.011,0.597,2.9846,2.097,3.097,0,1
5.5110,17.1930,0.4107,4.310,4,18.643,3.011,0.597,2.9767,2.097,3.097,0,1
5.5140,17.2058,0.4126,4.309,4,18.643,3.011,0.597,2.9688,2.097,3.097,0,1
5.5170,17.2186,0.4144,4.309,4,18.643,3.011,0.597,2.9610,2.097,3.097,0,1
5.5200,17.2314,0.4163,4.309,4,18.643,3.011,0.597,2.9532,2.097,3.097,0,1
5.5230,17.2442,0.4182,4.308,4,18.643,3.011,0.597,2.9455,2.097,3.097,0,1
5.5260,17.2570,0.4201,4.307,4,18.643,3.011,0.597,2.9377,2.097,3.097,0,1
5.5290,17.2698,0.4220,4.307,4,18.643,3.011,0.597,2.9301,2.097,3.097,0,1
5.5320,17.2826,0.4239,4.306,4,18.643,3.011,0.597,2.9224,2.097,3.097,0,1
5.5350,17.2954,0.4258,4.308,4,18.643,3.011,0.597,2.9148,2.097,3.097,0,1
5.5380,17.3082,0.4277,4.308,4,18.643,3.011,0.597,2.9072,2.097,3.097,0,1
5.5410,17.3210,0.4296,4.308,4,18.643,3.011,0.597,2.8996,2.097,3.097,0,1
5.5440,17.3338,0.4315,4.307,4,18.643,3.011,0.597,2.8921,2.097,3.097,0,1
5.5470,17.3466,0.4334,4.303,4,18.643,3.011,0.597,2.8847,2.097,3.097,0,1
5.5500,17.3594,0.4353,4.305,4,18.643,3.011,0.597,2.8772,2.097,3.097,0,1
5.5530,17.3722,0.4372,4.307,4,18.643,3.011,0.597,2.8698,2.097,3.097,0,1
5.5560,17.3850,0.4391,4.309,4,18.643,3.011,0.597,2.8625,2.097,3.097,0,1
5.5590,17.3978,0.4410,4.308,4,18.643,3.011,0.597,2.8552,2.097,3.097,0,1
5.5620,17.4106,0.4429,4.308,4,18.643,3.011,0.597,2.8479,2.097,3.097,0,1
5.5650,17.4234,0.4448,4.306,4,18.643,3.011,0.597,2.8407,2.097,3.097,0,1
5.5680,17.4361,0.4467,4.306,4,18.643,3.011,0.597,2.8335,2.097,3.097,0,1
5.5710,17.4489,0.4486,4.306,4,18.643,3.011,0.597,2.8263,2.097,3.097,0,1
5.5740,17.4617,0.4505,4.306,4,18.643,3.011,0.597,2.8192,2.097,3.097,0,1
5.5770,17.4745,0.4525,4.307,4,18.643,3.011,0.597,2.8121,2.097,3.097,0,1
5.5800,17.4873,0.4544,4.307,4,18.643,3.011,0.597,2.8051,2.097,3.097,0,1
5.5830,17.5001,0.4563,4.308,4,18.643,3.011,0.597,2.7981,2.097,3.097,0,1
