step,x,y,psi_deg,u,delta_deg,n_obs,horizon,phi_lb_deg,v_max_terrain,steer_in,throttle_in,brake_in,steer_out,throttle_out,brake_out,was_modified,min_clearance,solve_ms,cost_min
20,1.062,0.057,0.73,1.842,0.00,3,18,10.00,5.63,+0.000,0.377,0.008,+0.000,0.377,0.008,0,7.866,10.44,0.000
40,4.228,0.186,3.28,0.100,26.68,3,18,10.00,3.72,+0.950,0.154,0.056,+0.950,0.154,0.056,0,9.198,10.51,0.000
46,4.280,0.207,3.75,0.404,26.27,3,18,10.00,3.75,+0.936,0.773,0.005,+0.932,0.767,0.000,1,6.155,79.56,0.000
47,4.331,0.225,4.19,0.650,26.33,3,18,10.00,3.75,+0.938,0.807,0.004,+0.935,1.000,0.000,1,5.626,54.43,0.070
48,4.405,0.249,4.78,0.887,20.07,3,18,10.00,4.21,+0.715,0.865,0.002,+0.714,1.000,0.000,1,5.196,52.76,0.034
49,4.501,0.280,5.54,1.108,15.38,3,18,10.00,4.63,+0.548,0.859,0.001,+0.547,1.000,0.000,1,4.785,53.19,0.036
50,4.617,0.317,6.38,1.317,10.35,3,18,10.00,5.14,+0.369,0.824,0.001,+0.368,1.000,0.000,1,4.383,53.64,0.057
60,6.637,0.726,9.71,2.617,6.27,3,18,10.00,5.52,+0.223,0.307,0.191,+0.223,0.307,0.191,0,2.168,10.57,0.000
80,10.029,1.464,14.13,1.232,26.16,3,18,10.00,3.76,+0.932,0.238,0.070,+0.932,0.238,0.070,0,1.494,10.56,0.000
100,11.326,2.321,26.60,0.326,-17.23,3,18,10.00,4.46,-0.614,0.543,0.014,-0.614,0.529,0.000,1,1.000,78.91,0.000
101,11.364,2.336,26.47,0.504,-20.42,3,18,10.00,4.18,-0.727,0.616,0.011,-0.728,0.605,0.000,1,0.891,81.97,0.000
102,11.419,2.356,26.24,0.691,-25.52,3,18,10.00,3.80,-0.909,0.729,0.007,-0.910,1.000,0.000,1,0.690,64.80,0.140
103,11.494,2.380,25.84,0.879,-28.07,3,18,10.00,3.63,-1.000,0.851,0.004,-1.000,1.000,0.000,1,0.534,44.13,0.042
104,11.588,2.407,25.24,1.065,-28.07,3,18,10.00,3.63,-1.000,0.900,0.003,-1.000,1.000,0.000,1,0.358,43.29,0.019
105,11.700,2.436,24.47,1.237,-28.07,3,18,10.00,3.63,-1.000,0.933,0.002,-1.000,1.000,0.000,1,0.162,43.28,0.009
106,11.831,2.465,23.57,1.405,-27.44,3,18,10.00,3.67,-0.977,0.955,0.001,-0.979,1.000,0.000,1,-0.017,52.62,0.004
107,11.979,2.496,22.56,1.583,-26.90,4,18,10.00,3.71,-0.958,0.971,0.001,-0.953,1.000,0.000,1,-0.217,53.07,0.004
108,12.145,2.527,21.41,1.755,-23.53,4,18,10.00,3.94,-0.838,0.980,0.001,-0.890,1.000,0.000,1,-0.189,88.97,0.003
109,12.328,2.558,20.15,1.902,-19.71,4,18,10.00,4.24,-0.702,0.986,0.000,+1.000,1.000,0.000,1,-0.120,92.90,0.870
110,12.524,2.589,18.45,2.060,-17.55,4,18,10.00,4.43,-0.625,0.990,0.000,+1.000,0.936,0.000,1,-0.384,105.76,0.830
111,12.733,2.625,17.41,2.187,-17.46,4,18,10.00,4.44,-0.622,0.994,0.000,+1.000,1.000,0.000,1,-0.443,161.67,0.854
112,12.952,2.673,16.88,2.319,-15.90,4,18,10.00,4.58,-0.566,0.996,0.000,+1.000,0.992,0.000,1,-0.489,136.75,0.838
113,13.180,2.734,16.74,2.446,-13.96,4,18,10.00,4.77,-0.497,0.997,0.000,+1.000,0.870,0.000,1,-0.500,154.48,1.042
114,13.418,2.807,16.94,2.587,-12.26,4,18,10.00,4.94,-0.437,0.998,0.000,+1.000,0.000,0.113,1,-0.508,103.97,4.967
115,13.666,2.893,17.44,2.721,-10.42,4,18,10.00,5.13,-0.371,0.999,0.000,+1.000,0.000,0.016,1,-0.505,137.25,14.762
116,13.921,2.994,18.27,2.808,-9.16,4,18,10.00,5.25,-0.326,0.999,0.000,+1.000,0.000,1.000,1,-0.518,53.18,22.783
117,14.169,3.102,19.37,2.577,-7.63,4,18,10.00,5.40,-0.272,0.999,0.000,+1.000,0.000,1.000,1,-0.570,35.95,133.242
118,14.391,3.204,20.54,2.344,-8.82,4,18,10.00,5.29,-0.314,1.000,0.000,+1.000,0.000,1.000,1,-0.617,36.80,424.568
119,14.592,3.294,21.76,2.117,-14.57,4,18,10.00,4.71,-0.519,1.000,0.000,+1.000,0.000,1.000,1,-0.653,83.46,747.440
120,14.772,3.374,22.91,1.872,-19.67,4,18,10.00,4.24,-0.701,1.000,0.000,+1.000,1.000,0.000,1,-0.693,103.42,517.676
121,14.929,3.443,23.89,1.612,-24.78,4,18,10.00,3.85,-0.883,1.000,0.000,+1.000,1.000,0.000,1,-0.690,40.03,495.444
122,15.066,3.513,24.75,1.570,-24.78,4,18,10.00,3.85,-0.883,1.000,0.000,+1.000,1.000,0.000,1,-0.670,36.53,286.841
