time,veh_x,veh_y,v_veh,rock_id,rock_x,rock_y,rock_r,dist_2d,hard_margin,near_margin,is_collision,is_near_miss
9.7140,27.5629,0.3833,4.207,3,29.922,2.729,0.834,3.3267,2.334,3.334,0,1
9.7170,27.5755,0.3844,4.208,3,29.922,2.729,0.834,3.3170,2.334,3.334,0,1
9.7200,27.5881,0.3855,4.209,3,29.922,2.729,0.834,3.3073,2.334,3.334,0,1
9.7230,27.6007,0.3866,4.211,3,29.922,2.729,0.834,3.2976,2.334,3.334,0,1
9.7260,27.6134,0.3877,4.212,3,29.922,2.729,0.834,3.2879,2.334,3.334,0,1
9.7290,27.6260,0.3888,4.211,3,29.922,2.729,0.834,3.2783,2.334,3.334,0,1
9.7320,27.6386,0.3899,4.211,3,29.922,2.729,0.834,3.2687,2.334,3.334,0,1
9.7350,27.6512,0.3910,4.212,3,29.922,2.729,0.834,3.2591,2.334,3.334,0,1
9.7380,27.6638,0.3921,4.213,3,29.922,2.729,0.834,3.2496,2.334,3.334,0,1
9.7410,27.6764,0.3931,4.214,3,29.922,2.729,0.834,3.2401,2.334,3.334,0,1
9.7440,27.6891,0.3942,4.215,3,29.922,2.729,0.834,3.2306,2.334,3.334,0,1
9.7470,27.7017,0.3952,4.216,3,29.922,2.729,0.834,3.2211,2.334,3.334,0,1
9.7500,27.7143,0.3962,4.218,3,29.922,2.729,0.834,3.2117,2.334,3.334,0,1
9.7530,27.7270,0.3972,4.220,3,29.922,2.729,0.834,3.2023,2.334,3.334,0,1
9.7560,27.7396,0.3982,4.219,3,29.922,2.729,0.834,3.1929,2.334,3.334,0,1
9.7590,27.7523,0.3992,4.221,3,29.922,2.729,0.834,3.1835,2.334,3.334,0,1
9.7620,27.7649,0.4002,4.222,3,29.922,2.729,0.834,3.1742,2.334,3.334,0,1
9.7650,27.7776,0.4011,4.224,3,29.922,2.729,0.834,3.1649,2.334,3.334,0,1
9.7680,27.7902,0.4020,4.224,3,29.922,2.729,0.834,3.1557,2.334,3.334,0,1
9.7710,27.8029,0.4030,4.225,3,29.922,2.729,0.834,3.1464,2.334,3.334,0,1
9.7740,27.8156,0.4039,4.225,3,29.922,2.729,0.834,3.1373,2.334,3.334,0,1
9.7770,27.8283,0.4047,4.225,3,29.922,2.729,0.834,3.1281,2.334,3.334,0,1
